Table 1
ID	TERM	HIT	LINK	L FT	C FT	TALLY 0	IL YR	IU YR	BL YR	BU YR	COLLECTOR	TITLE	AID 0		AID 1																
mmm	"""valiz"""	https://researchworks.oclc.org/archivegrid/collection/data/166638044	oclc	2	eee	eee	1779	1788	eee	eee	University of Michigan - William L. Clements Library	Manchester Papers	https://quod.lib.umich.edu/c/clementsead/umich-wcl-M-1536man?rgn=Entire+Finding+Aid;view=text;q1=manchester+papers#main_content	xxx	eee																
mmm	"""valiz"""	https://researchworks.oclc.org/archivegrid/fa.php?id=214&fileloc=214_stxarchivesorgadminutlac00068xml 	oclc	5	eee	eee	1770	1909	1822	1879	"Benson Latin American Collection, The University of Texas at Austin"	Valentín Gómez Farías Collection	https://txarchives.org/utlac/finding_aids/00068.xml	xxx	eee																
mmm	"""palo tinte""~3"	https://researchworks.oclc.org/archivegrid/collection/data/32165605?p=1&q=%22palo+tinte%22%7E3	oclc	eee	eee	1	1762	1762	eee	eee	Bancroft Library	Expedición de orden de S.M.C. en los territorios del palo de tinte en la Probincia de Yucatan donde morean los expediciones de los Yngleses ...	https://search.library.berkeley.edu/permalink/01UCS_BER/10rhv18/alma991007306109706532	xxx	eee																
mmm	"""palo tinte""~3"	https://researchworks.oclc.org/archivegrid/collection/data/33961103	oclc	eee	eee	1	1769	1783	eee	eee	Newberry Library	Copia del manifiesto que presentó Dn. Tomás Southuel â la Superioridad en el año de 1769 proponiendo el establecimiento de pescas en las sondas de las Indias Occidentales ê Yslas como el medio mas seguro para poblar y conservarlas; y las costas adjacentes con algunas noticias que tal vez será util tenerlas presentes en los tratados de paz y comercio con los yngleses. El Pardo 8 de febrero de 1783.	https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma991267628805867	xxx	https://collections.carli.illinois.edu/digital/collection/nby_eeayer/id/43126/																
mmm	"""palo tinte""~3"	https://researchworks.oclc.org/archivegrid/fa.php?id=214&fileloc=214_stxarchivesorgadminutlac00032xml	oclc	7	eee	eee	1716	1880	1835	1875	"Benson Latin American Collection, The University of Texas at Austin"	Mariano Riva Palacio Collection	https://txarchives.org/utlac/finding_aids/00032.xml	xxx	eee																
mmm	"""palo tinte""~3"	https://researchworks.oclc.org/archivegrid/fa.php?id=211&fileloc=211_stxarchivesorgadminutsa00107xml	oclc	30	eee	eee	1555	1987	eee	eee	University of Texas at San Antonio Libraries Special Collections	Sons of the Republic of Texas Kathryn Stoner O’Connor Mexican Manuscript Collection	https://txarchives.org/utsa/finding_aids/00107.xml	xxx	eee																
mmm	"""palo campeche""~3"	https://researchworks.oclc.org/archivegrid/collection/data/1240220650	oclc	eee	eee	1	1614	1616	eee	eee	Biblioteca Nacional de España - National Library of Spain	"Por Domingo de Lausagarreta en el pleito con Juan de Vergara Gaviria, sobre escritura de débito otorgada en Nueva Veracruz de Indias, en mayo de 1614, entre Gaviria y Bernabé de Urquiza"			eee																
mmm	"""palo campeche""~3"	https://researchworks.oclc.org/archivegrid/collection/data/1004303171	oclc	eee	eee	1	1645	1739	eee	eee	Biblioteca Nacional de España - National Library of Spain	Papeles varios [Manuscrito]	eee		eee																
mmm	"""palo campeche""~3"	https://researchworks.oclc.org/archivegrid/fa.php?id=322&fileloc=322_ssearchamphilsocorgcollectionsdataeadmssmscoll67eadxml	oclc	80	eee	eee	1526	2004	1526	1839	American Philosophical Society Library	Ruben E. Reina Papers	https://search.amphilsoc.org/collections/view?docId=ead/Mss.Ms.Coll.67-ead.xml;query=;brand=default	xxx	eee																
mmm	"""campeachy wood""~3"	https://researchworks.oclc.org/archivegrid/fa.php?id=542&fileloc=542_sarchiveslibkuedurepositories3resources3998	oclc	eee	eee	8	1810	1818	eee	eee	"Kenneth Spencer Research Library, University of Kansas"	Balance books from a London trader	http://hdl.handle.net/10407/8020477861	xxx	eee																
