Table 1
ID	COUNTRY	DISTRICT	POSTAL	CITY	STREET	EMAIL 0	EMAIL 1	TEL 0	TEL 1	REF 0	FORM	NAME STD 0	NAME STD 1	NAME 0	NAME 1	NAME 2	NAME STD	TYPE	OCLC	VIAF 0	VIAF 1	STD 0	STD 1	STD 2	LINK 0	LINK 1	LINK 2	LINK 3	AID 0	AID 1	AID 2	AID 3	SID 0	SID 1	SID 2	SID 3	SID 4	SID 5	SID 6	SID 7	SID 8	SID 9	SID 10	SID 11	SID 12	SID 13	SID 14	SID 15	SID 16	SID 17	SID 18	SID 19	SERIES 0	AID 4	AID 5	SERIES 1	AID 6	AID 7	AID 8	SERIES 2	AID 9	AID 10	SERIES 3	AID 11	AID 12	END		
mmm	Barbados	St Michael	BB11000	Bridgetown	Cave Hill Campus	smlibrary@cavehill.uwi.edu	eee	+12464174440	+12464174456	mmm	mmm			Sidney Martin Library	eee	University of the West Indies		S	eee	mmm	mmm	eee	eee	eee	https://www.cavehill.uwi.edu/smlibrary/home.aspx	eee	eee	eee	eee	eee	eee	eee	397	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	Special Collections	https://www.cavehill.uwi.edu/smlibrary/search/special-collections.aspx	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	###		
mmm	Belize	Cayo	eee	Belmopan	26-28 Unity Blvd	info@archives.gov.bz	eee	+5018222097	+5018222247	mmm	mmm			Archives & Records Service	"Ministry of Education, Culture, Science & Technology"	Government of Belize	Archives & Records Service	R	eee	317098488	mmm	eee	eee	eee	https://www.archives.gov.bz	eee	eee	eee	"Burdon, Archives of British Honduras, London, Sifton, Praed & Co., 1931-1935, 3 vols, OCLC mmm"	"Nilsen, ""Commonwealth Caribbean Government Publications : Biographies and acquisition naids"", in Government Publications Review, part A, vol 7, no 6, pp 489-503, 1980, 1 paper, DOI mmm"	eee	eee	9	11	13	15	17	19	21	23	25	27	29	31	33	35	37	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	###		
mmm	France	Bouches-du-Rhône	13182	Aix-en-Provence	29 chemin du moulin de Testas	anom.aix@culture.gouv.fr	eee	+33442933850	eee	mmm	mmm			Archives nationales d'outre-mer	Ministère de la culture	Gouvernement de la République française	Archives nationales d'outre-mer	R	eee	mmm	mmm	https://www.archivesportaleurope.net/directory/-/dir/ai/code/FR-FRANOM	eee	eee	https://recherche-anom.culture.gouv.fr	http://www.archivesnationales.culture.gouv.fr/anom/fr/index.html	http://www.archivesnationales.culture.gouv.fr/anom/en/Recherches/IREL.html	eee	eee	eee	eee	eee	41	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	First colonial empire (17th - early 19th century)	http://anom.archivesnationales.culture.gouv.fr/ark:/61561/wz818cxx	"de Vaissière & Bézard, Répertoire numérique des archives des colonies, Paris, 1914-1975, -mising- vols, OCLC mmm"	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	###		
mmm	France	Paris	75002	Paris	58 rue de Richelieu	manuscrits@bnf.fr	eee	+33153795959	eee	mmm	mmm			Bibliothèque nationale de France	eee	Bibliothèque nationale de France	Bibliothèque nationale de France	R	BDF	mmm	mmm	mmm	eee	eee	https://archivesetmanuscrits.bnf.fr	https://archivesetmanuscrits.bnf.fr/pageCollections.html?col=1	https://www.bnf.fr/fr/bibliotheque-de-recherche	https://www.bnf.fr/fr/vous-etes-chercheur	eee	eee	eee	eee	99	101	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	Manuscrits américain	https://archivesetmanuscrits.bnf.fr/ark:/12148/cc4408r	"Omont, “Catalogue des manuscrits américains de la Bibliothèque nationale”, paper in Revue des Bibliothèques vol mmm, no mmm, pp 90-110, DOI mmm, link https://gallica.bnf.fr/ark:/12148/bpt6k255704n"	eee	https://archivesetmanuscrits.bnf.fr/ark:/12148/cc4472q	"Boban, Documents pour servir à l'histoire du Mexique, Paris, 1891-mmm, 3 vols, OCLC mmm, link v 1 https://gallica.bnf.fr/ark:/12148/bpt6k2557004, link v 2 https://gallica.bnf.fr/ark:/12148/bpt6k255701h, link v 3 mmm"	"Omont, Catalogue des manuscrits mexicains de la Bibliothèque nationale, Paris, 1899, 1 vol, OCLC mmm, link https://gallica.bnf.fr/ark:/12148/bpt6k2557051"	"Galarza, Codex mexicains, Paris, 1974, 1 vol, OCLC mmm, link https://gallica.bnf.fr/ark:/12148/bpt6k255711v"	eee	eee	eee	eee	eee	###		
mmm	Guatemala	Guatemala	01001	Guatemala	4a Av 7-41 zona 1	agcasecretaria@yahoo.com	eee	+50222323037	eee	mmm	mmm			Archivo general de centroamérica	Ministerio de cultura y deportes	Gobierno de Guatemala	Archivo general de centroamérica	R	eee	mmm	mmm	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=50950	eee	eee	https://www.rosspub.com/guatemalaenglishbrochure.htm	eee	eee	eee	"Luján Muñoz, Guía del archivo general de centoamérica, Guatemala, 1982, 1 vol, OCLC 1025885876"	"López Gómez, El Archivo general de centroamérica (ciudad de Guatemala) : informe, Madrid, 1991, 1 vol, OCLC 644533328"	eee	eee	45	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	###		
mmm	Guatemala	Sacatepéquez	03001	La Antigua Guatemala	5a C/ Oriente 5	cirma@cirma.org.gt	eee	+50279310300	eee	mmm	mmm	CIRMA		Archivo histórico	eee	Centro de investigaciones regionales de Mesoamérica	Centro de investigaciones regionales de Mesoamérica	C	eee	mmm	mmm	mmm	eee	eee	https://www.alaarchivos.org/lista-miembros-clase-c/	http://cirma.org.gt/glifos/index.php/Página_principal	http://cirma.org.gt/glifos/index.php?title=Categor%C3%ADa:AH	eee	eee	eee	eee	eee	mmm	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	###		
mmm	Guatemala	Guatemala	01001	Guatemala	"Palacio Arzobispal, 7a Av 6-21 zona 1"	archivoeclesiastico@gmail.com	eee	+5022329707	+5022329601	mmm	mmm	AHAG		Archivo histórico arquidiocesano «Francisco de Paula García Peláez»	Arquidiócesis de Santiago de Guatemala	Catholic Church	Archivo histórico de la arquidiócesis de Guatemala	C	eee	mmm	mmm	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=50948	eee	eee	https://m.arzobispadodeguatemala.com/arquidiocesis/c/0/i/30298609/archivo-historico-arquidiocesano	eee	eee	eee	eee	eee	eee	eee	429	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	###		
mmm	Guatemala	Guatemala	01001	Guatemala	"Edificio de recursos educativos, Ciudad universitaria zona 12"	eee	eee	+50224187880	+50224187827	mmm	mmm			Biblioteca central	eee	Universidad de San Carlos de Guatemala		S	eee	mmm	mmm	mmm	eee	eee	http://biblioteca.usac.edu.gt/biblioteca2/index.php	eee	eee	eee	eee	eee	eee	eee	mmm	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	###		
mmm	Guatemala	Guatemala	01001	Guatemala	5a Av 7-26 zona 1	bibliotecanacional@mcd.gob.gt	eee	+50222322443	eee	mmm	mmm			Biblioteca nacional «Luis Cardoza y Aragón»	Ministerio de cultura y deportes	Gobierno de Guatemala	Biblioteca nacional de Guatemala	R	eee	mmm	mmm	mmm	eee	eee	https://mcd.gob.gt/biblioteca-nacional/	eee	eee	eee	eee	eee	eee	eee	mmm	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	###		
mmm	Guatemala	Guatemala	01001	Guatemala	5a Av 7-26 zona 1	hemenagua@gmail.com	eee	+50222327625 ext 203	eee	mmm	mmm			Hemeroteca nacional «Lic Clemente Marroquín Rojas»	Ministerio de cultura y deportes	Gobierno de Guatemala	Hemeroteca nacional de Guatemala	R	eee	mmm	mmm	mmm	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	mmm	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	###		
mmm	Jamaica	St Catherine	mmm	Spanish Town	Cors King & Manchester St	jarchives@jard.gov.jm	eee	+18769845001	eee	mmm	mmm			Archives and Records Department	eee	Government of Jamaica		R	eee	mmm	mmm	https://discovery.nationalarchives.gov.uk/details/a/A13533073	eee	eee	https://www.jard.gov.jm	http://archives.jard.gov.jm/home	eee	eee	"Ingram, Sources of Jamaican History : 1655-1838, Zug, 1976-1976, 2 vols, OCLC 647426399"	eee	eee	eee	43	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	Vice-Admiralty Court records	"Thomas, Whyte & Nicholas, ""Access to Vice-Admiralty and colonial records of the trans-Atlantic slave trade and of African slavery in Jamaica”, presented to mtg 141 of 77th IFLA Grl Conf & Assy, San Juan, 2011, 1 paper, DOI mmm, link https://www.ifla.org/past-wlic/2011/141-thomas-en.pdf"	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	###		
mmm	Jamaica	St Andrew	7	Kingston	Mona Campus	wisc.library@uwimona.edu.jm	manlibry@uwimona.edu.jm	+18769271667 ext 7107	eee	mmm	mmm			Mona Library	eee	University of the West Indies		S	BWM	mmm	mmm	https://discovery.nationalarchives.gov.uk/details/a/A13530151	eee	eee	https://www.mona.uwi.edu/library/	http://aleph-app.uwimona.edu.jm:8991/F/16Q3P26RK1AA2VMV93SI943G4M88GLX1EX29J1HIPM9S68KB23-12082?func=file&file_name=base-list	eee	eee	eee	eee	eee	eee	395	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	West Indies and Special Collections 	https://libguides.uwi.edu/wiscmona	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	eee	###		
