Table 1
id	yellow_1.1_ver_1.4_ids	yellow_1.1_collections	yellow_1.1_country	yellow_1.1_district	yellow_1.1_url	yellow_1.1_cat_0	yellow_1.1_directory_0	yellow_1.1_directory_1	yellow_1.1_directory_2	yellow_1.1_directory_3	yellow_1.1_notes	isni_0	iso_3166_alpha_2	wikidata_0	ror_0	record_action_0_date	record_action_0_log
sa000												https://isni.org/isni/0000000123428550	gb	https://www.wikidata.org/wiki/Q2495231		08 aug 2022	created id isni_0 iso_3166_alpha_2 wikidata_0 yellow_1.1_display_name_0
sa001												https://isni.org/isni/0000000100886866		https://www.wikidata.org/wiki/Q626864		08 aug 2022	
sa002														https://www.wikidata.org/wiki/Q30268075	https://ror.org/03dxy2v98	08 aug 2022	
sa003																	
sa004																	
sa005																	
sa006																	
sa007																	
sa008																	
sa009																	
sa010																	
sa011																	
sa012																	
sa013																	
sa014																	
sa015																	
sa016																	
sa017																	
sa018																	
sa019																	
sa020																	
sa021																	
sa022																	
sa023																	
sa024																	
sa025																	
sa026																	
sa027																	
sa028																	
sa029																	
sa030																	
sa031																	
sa032																	
sa033																	
sa034																	
sa035																	
sa036																	
sa037																	
sa038																	
sa039																	
sa040																	
sa041																	
sa042																	
sa043																	
sa044																	
sa045																	
sa046																	
sa047																	
sa048																	
sa049																	
sa050																	
sa051																	
sa052																	
sa053																	
sa054																	
sa055																	
sa056																	
sa057																	
sa058																	
sa059																	
sa060																	
sa061																	
sa062																	
sa063																	
sa064																	
sa065																	
sa066																	
sa067																	
sa068																	
sa069																	
sa070																	
sa071																	
sa072																	
sa073																	
sa074																	
sa075																	
sa076																	
sa077																	
sa078																	
sa079																	
sa080																	
sa081																	
sa082																	
sa083																	
sa084																	
sa085																	
sa086																	
sa087																	
sa088																	
sa089																	
sa090																	
sa091																	
sa092																	
sa093																	
sa094																	
sa095																	
sa096																	
sa097																	
sa098																	
sa099																	
sa100																	
sa101																	
sa102																	
sa103																	
sa104																	
sa105																	
sa106																	
sa107																	
sa108																	
sa109																	
sa110																	
sa111																	
sa112																	
sa113																	
sa114																	
sa115																	
sa116																	
sa117																	
sa118																	
sa119																	
sa120																	
sa121																	
sa122																	
sa123																	
sa124																	
sa125																	
sa126																	
sa127																	
sa128																	
sa129																	
sa130																	
sa131																	
sa132																	
sa133																	
sa134																	
sa135																	
sa136																	
sa137																	
sa138																	
sa139																	
sa140																	
sa141																	
sa142																	
sa143																	
sa144																	
sa145																	
sa146																	
sa147																	
sa148																	
sa149																	
sa150																	
sa151																	
sa152																	
sa153																	
sa154																	
sa155																	
sa156																	
sa157																	
sa158																	
sa159																	
sa160																	
sa161																	
sa162																	
sa163																	
sa164																	
sa165																	
sa166																	
sa167																	
sa168																	
sa169																	
sa170																	
sa171																	
sa172																	
sa173																	
sa174																	
sa175																	
sa176																	
sa177																	
sa178																	
sa179																	
sa180																	
sa181																	
sa182																	
sa183																	
sa184																	
sa185																	
sa186																	
sa187																	
sa188																	
sa189																	
sa190																	
sa191																	
sa192																	
sa193																	
sa194																	
sa195																	
sa196																	
sa197																	
sa198																	
sa199																	
sa200																	
sa201																	
sa202																	
sa203																	
sa204																	
sa205																	
sa206																	
sa207																	
sa208																	
sa209																	
sa210																	
sa211																	
sa212																	
sa213																	
sa214																	
sa215																	
sa216																	
sa217																	
sa218																	
sa219																	
sa220																	
sa221																	
sa222																	
sa223																	
sa224																	
sa225																	
sa226																	
sa227																	
sa228																	
sa229																	
sa230																	
sa231																	
sa232																	
sa233																	
sa234																	
sa235																	
sa236																	
sa237																	
sa238																	
sa239																	
sa240																	
sa241																	
sa242																	
sa243																	
sa244																	
sa245																	
sa246																	
sa247																	
sa248																	
sa249																	
sa250																	
sa251																	
sa252																	
sa253																	
sa254																	
sa255																	
sa256																	
sa257																	
sa258																	
sa259																	
sa260																	
sa261																	
sa262																	
sa263																	
sa264																	
sa265																	
sa266																	
sa267																	
sa268																	
sa269																	
sa270																	
sa271																	
sa272																	
sa273																	
sa274																	
sa275																	
sa276																	
sa277																	
sa278																	
sa279																	
sa280																	
sa281																	
sa282																	
sa283																	
sa284																	
sa285																	
sa286																	
sa287																	
sa288																	
sa289																	
sa290																	
sa291																	
sa292																	
sa293																	
sa294																	
sa295																	
sa296																	
sa297																	
sa298																	
sa299																	
sa300																	
sa301																	
sa302																	
sa303																	
sa304																	
sa305																	
sa306																	
sa307																	
sa308																	
sa309																	
sa310																	
sa311																	
sa312																	
sa313																	
sa314																	
sa315																	
sa316																	
