Table 1
	sort	class	pp							
	0	physical - climate	6	‘Belize hurricane horror’ Literary Digest 110:7 26 Sept 1931.						
	1	physical - climate	6	Boga D ‘Writing home about the hurricane’ Times (London) 6 Dec 1961 p9.						
	2	physical - climate	6	British Honduras Secretariat Report on Hurricane ‘Janet’ 27th-28th Sept 1955 Belize 1955 41pp.						
	3	physical - climate	6	"Brooks CEP ‘The Meteorology of Belize, British Honduras’ Quarterly Journal of the Royal Meteorological Society 44/188: 303-306 Oct 1918."						
	4	physical - climate	6	Burdon Sir John A ‘From the Outposts; Hurricane in British Honduras’ Blackwood’s Magazine 230:847-855 Dec 1931.						
	5	physical - climate	6	Cain Ernest E Cyclone ‘Hattie’ Ilfracombe England: Arthur H Stockwell Ltd 1963.						
	6	physical - climate	6	- Cyclone! Official record of a hurricane and tidal wave which destroyed the city of Belize 10 Sept 1931 London: Arthur H. Stockwell 1933 135 pp.						
	7	physical - climate	6	de Freitas GV ‘Hurricane Hattie’ Corona 14: 89-92 1962.						
	8	physical - climate	6	- ‘Life after Hattie’ Corona 14: 337-340 1962.						
	9	physical - climate	6	Freisen John D Hurricane Hattie London: Derksen Printers Ltd 1965 106pp.						
	10	physical - climate	6	Koppen W and Geiger R eds Klimakunde von Mittelamerika Berlin 1932.						
	11	physical - climate	6	Milton F ‘Storm that broke the rules’ Blackwood’s Magazine 291: 199-208 March 1962.						
	12	physical - climate	7	Pagney P ‘Un cyclone dans la mer Caribe: le cyclone Janet (Septembre 1955)’ Cahiers d’Outre-Mer 10: 65-91 1957.						
	13	physical - climate	7	Pawling John W ‘The Climate of Central America’ MA thesis Dept of Geography Clark University 1956.						
	14	physical - climate	7	Reed WW ‘Climatological Data for Central America’ Monthly Weather Review 51 1923.						
	15	physical - climate	7	Rickards C ‘British Honduras after hurricane Hattie’ New Commonwealth 40/6: 359-362 June 1962.						
	16	physical - climate	7	‘Stricken Belize: The Hurricane and the “Slump”’ Times (London) 21 Sept 1931 p.11a.						
	17	physical - climate	7	US Dept of Commerce Weather Bureau An annotated bibliography on the climate of British Honduras by Allen J Wallace and Angelo F Spano Washington: US GPO April 1962 17pp.						
	18	physical - climate	7	‘Why Belize couldn’t talk back’ Literary Digest 111/12: 25 19 Dec 1931.						
	19	cultural - history	19	Anderson AH Brief sketch of British Honduras 8th ed Belize: Govt Printing Dept 1963 97pp.						
	20	cultural - history	19	Blom Frans F The Contest of Yucatan New York: Houghton Mifflin Co 1936 238pp.						
	21	cultural - history	19	Brown Vera Lee ‘Anglo-Spanish relations in the closing years of the colonial era’ Hispanic American Historical Review 5/3: 325-483 Aug 1922.						
	22	cultural - history	19	Burdon Sir John A ed Archives of British Honduras 3 vols London: Sifton Praed and Co 1931-1934.						
	23	cultural - history	20	- ‘The Battle of St George’s Cays; A little-known but gallant episode in empire history’ United Empire NS 19: 248-257 May 1928.						
	24	cultural - history	20	- Brief sketch of British Honduras past present and future’ 2nd ed London: West India Committee 1927 53pp.						
	25	cultural - history	20	"- ‘Story of British Honduras, review of the archives of British Honduras’ Scottish Geographical Magazine 48: 279-281 Sept 1932."						
	26	cultural - history	20	Cacho CP ‘British Honduras: A case of deviation in Commonwealth Caribbean decolonisation’ New World Quarterly 3/3: 33-44 1967.						
	27	cultural - history	20	Caiger Stephen L. British Honduras past and present London: George Allen and Unwin 1951 240pp.						
	28	cultural - history	20	Calderon Quijano JA Belice 1663 (?)-1821: Historia de los establecimientos británicos del Rio Valis hasta la independencia de Hispanoamérica Seville: Victoria-Artes Gráficas 1944.						
	29	cultural - history	20	Clegern Wayne M ‘British Honduras and the pacification of Yucatan’ The Americas 18/3: 243-255 Jan 1962.						
	30	cultural - history	20	- British Honduras: Colonial dead and 1859-1900 Baton Rouge: Louisiana State University Press 1967 166pp.						
	31	cultural - history	20	"- ‘Calendar of certain volumes of British Foreign Office Records, section 15 and section 50 pertaining to British Honduras 1859-1902’ Bancroft Library University of California Berkeley nd (Microfilm)."						
