Table 1
	sort	class	pp	record	notes					
	0	^^^	7	A - 1 - ABARCA ROQUE Reglamento de las compañías fijas de Omoa el Golfo Trujillo Fuerte de San Carlos y Peten según el plan formado por el señor sub inspector general de las tropas de este Reyno brigadier don Roque Abarca y aprobado por SM en Real Orden de 5 de Octubre de 1802 artículo 7. 6pp.						
	1	^^^	7	A - 6 - AGUILAR PELAEZ VICTOR Diccionario geográfico de la Republica de Guatemala. Talleres Tipográficos “San Antonio” 13 calle oriente No 30 año de 1930 120 páginas de texto Guatemala Centroamérica.						
	2	^^^	8	A - 7 - AGUIRRE LILLY El país de la eterna primavera traducido del ingles por Lily y Jorge Aguirre. Editorial del Ministerio de Educación Publica Guatemala Centroamérica ano MCML 1950 239pp con ilustraciones.						
	3	^^^	8	A - 10 - ALCEDO D ANTONIO DE CORONEL Capitan de Reales Guardias Españolas Diccionario geografico-historico de las Indias Occidentales o America es a saber de los Reynos del Peru Nueva España Tierra-Firme Chile y Nuevo Reyno de Granada con la descripción de sus provincias naciones ciudades villas pueblos ríos montes costas puertos islas arzobispados obispados audiencias virreinatos gobiernos corregimientos y fortalezas frutos y producciones con expresión de sus descubrimientos conquistadores y fundadores conventos y religiones elección de sus catedrales y obispos que ha habido en ellas y noticia de los sucesos mas notables de varios lugares incendios terremotos sitios e invasiones que han experimentado y hombres ilustres que han producido escrito por. Madrid En la imprenta de Manuel González 1786-1789. 5 tomos.						
	4	^^^	8	A - 12 - ALVARADO GARCIA ERNESTO LIC Y PROF Historia de centroamérica nociones de instrucción cívica y geografía de Centroamérica. Primera parte Tegucigalpa Honduras 1949 359pp. Segunda parte Tegucigalpa Honduras 1949 380pp.						
	5		9	A - 21 - ARCHILA MANUEL ANTONIO Divulgacion geografica el antiguo lago del Peten publicado en El Liberal Progresista y reproducido en Anales de la Sociedad de Geografía e Historia de Guatemala No 3 tomo XI marzo de 1935 paginas 339-352.						
	6		10	A - 22 - ARCHILA MANUEL ANTONIO Geografia de Guatemala el antiguo gran lago dl Peten El rio Villalobos o Michatoya publicado en Anales de la Sociedad de Geografía e Historia de Guatemala No 2 tomo XIV diciembre de 1937 paginas 171-175.						
	7		10	A - 24 - ASTURIAS FRANCISCO DOCTOR Ampliación de la conferencia del 5 de abril de 1925 dio de su ingreso a la Sociedad de Geografía e Historia de Guatemala. Centroamerica 92pp con un mapa a colores del territorio de Belice.						
	8		10	A - 25 - ASTURIAS FRANCISCO DOCTOR Publicaciones de la Revista de la Facultad de Ciencias Jurídicas y Sociales Belice segunda edición aumentada. Guatemala Centroamérica junio de 1941 con dos mapas a colores y la bibliografía que consulto el autor 177pp.						
	9		11	A - 36 - BATRES JAUREGUI ANTONIO Cartografia de Guatemala publicado en Anales de la SGHG No 3 tomo IV marzo de 1928 ilustrada con las 8 cartas de Rivera Maestre.						
	10									
	11									
	12									
	13									
	14									
	15									
	16									
	17									
	18									
	19									
	20									
	21									
	44									
	45									
	46									
	47									
	48									
	49									
	50									
	51									
	52									
	53									
	54									
	55									
	56									
	57									
	58									
	59									
	60									
	61									
	62									
	63									
	64									
	65									
	66									
	67									
	68									
	69									
	70									
	71									
	72									
	73									
	74									
	75									
	76									
	77									
	78									
	79									
	80									
	81									
	82									
	83									
	84									
	85									
	86									
	87									
	88									
	89									
	90									
	91									
	92									
	93									
	94									
	95									
	96									
	97									
	98									
	99									
	100									
	101									
	102									
	103									
	104									
	105									
	106									
	107									
	108									
	109									
	110									
	111									
	112									
	113									
	114									
	115									
	116									
	117									
	118									
	119									
	120									
	121									
	122									
	123									
	124									
	125									
	126									
	127									
	128									
	129									
	130									
	131									
	132									
	133									
	134									
	135									
	136									
	137									
	138									
	139									
	140									
	141									
	142									
	143									
	144									
	145									
	146									
	147									
	148									
	149									
	150									
	151									
	152									
	153									
	154									
	155									
	156									
	157									
	158									
	159									
	160									
	161									
	162									
	163									
	164									
	165									
	166									
	167									
	168									
	169									
	170									
	171									
	172									
	173									
	174									
	175									
	176									
	177									
	178									
	179									
	180									
	181									
	182									
	183									
	184									
	185									
	186									
	187									
	188									
	189									
	190									
	191									
	192									
	193									
	194									
	195									
	196									
	197									
	198									
	199									
	200									
	201									
	202									
	203									
	204									
	205									
	206									
	207									
	208									
	209									
	210									
	211									
