Table 1
ID	OID	PRIM	COLLECTED	FORMAT	DATE	DATE	DESCRIPTION	TITLE	TITLE	PLACE	PUB	NAME	NOTE	URL	URL	END	
	S 581	1	1	M	np	^^^	1 items / Coverage of 1794—1794	Account for purchase and shipping of logwood on the 'Watson'	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13530857	https://discovery.nationalarchives.gov.uk/details/r/6716a059-4361-4840-ad48-fefdf53e0bc6%20/%20https://explore.library.leeds.ac.uk/special-collections-explore/454110	^^^	###	
	S 411	1	1	M	np	^^^	1 boxes / Coverage of 1838—1871	"Aaron Columbus Burr papers, 1838-1871 (inclusive)"	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	https://hdl.handle.net/10079/bibid/613852	^^^	###	
	S 413	1	1	M	np	^^^	2 items / Coverage of 1768—1774	"Accounts for slave sales at the Bay of Honduras, 1768-1774"	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	https://hdl.handle.net/10079/bibid/11880621	^^^	###	
	S 415	1	1	M	np	^^^	7 boxes / Coverage of 1664—1857	"British Caribbean documents, 1664-1857 (bulk 1765-1825)"	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	https://hdl.handle.net/10079/bibid/12766676	^^^	###	
	S 417	1	1	M	np	^^^	4 boxes / Coverage of 1576—1949	"Central America collection, 1576-1949 (inclusive)."	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	https://archives.yale.edu/repositories/12/resources/3754%20/%20https://hdl.handle.net/10079/bibid/4816612	^^^	###	
	S 419	1	1	M	np	^^^	2 vols / Coverage of 1826—1830	Charles Dashwood diaries and commissions relating to Xalapa and Guatemala City	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	https://hdl.handle.net/10079/bibid/8013010%20/%20https://researchworks-oclc-org.proxygw.wrlc.org/archivegrid/collection/data/702182800	^^^	###	
	S 421	1	1	M	np	^^^	9 vols / Coverage of 1771—1959	"Records of the Moravian Missions, 1771-1959 (inclusive)"	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	https://researchworks-oclc-org.proxygw.wrlc.org/archivegrid/collection/data/702152514%20/%20https://hdl.handle.net/10079/bibid/4169488	^^^	###	
	S 571	1	1	M	np	^^^	5 feet / Coverage of 1740—1950	Protestant Episcopal Bishops collection	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	http://hdl.handle.net/10079/fa/mssa.ms.0021	^^^	###	
	S 573	1	1	M	np	^^^	228 feet / Coverage of 1779—1952	Ellsworth Huntington papers	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	http://hdl.handle.net/10079/fa/mssa.ms.0001	^^^	###	
	S 575	1	1	M	np	^^^	9 feet / Coverage of 1560—1943	Bernhard Knollenberg collection	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	http://hdl.handle.net/10079/fa/mssa.ms.0026	^^^	###	
