Table 1
								
								
		Harvesting ie collection of data which may be of use to us here						
	id	description	null	notes				
	0	"are indices, catalogues, or datasets which may contain guides, surveys, or aids eg bibliographies, finding aids"						
	1	"are guides, surveys, finding aids, lists of maps, etc"						
	2	are collections of data items or records						
	3	are data items or records themselves						
	0a	"online indices, catalogues, or datasets"						
	1a	"published guides, surveys, aids, bibliographies, finding aids, lists of maps"						
								
								
								
								
								
								
								
								
	0a	description	scope	notes	link			
		AN - Consolidated references from various manuscript projects to 25 July 2022	2613 refs	inc vars duplicates / NOT QUERIED 25 JUL 2022	sheet AN - sum 2613			
		OCLC - WorldCat - FirstSearch		NOT QUERIED 25 JUL 2022 / 79 hits for su Belize -- Bibliography	http://id.lib.harvard.edu/alma/990079877190203941/catalog			
		OCLC - ArchiveGrid		NOT QUERIED 25 JUL 2022	http://id.lib.harvard.edu/alma/990079188590203941/catalog			
		KIT - KVK Karlsruher Virtueller Katalog		NOT QUERIED 25 JUL 2022	http://id.lib.harvard.edu/alma/990082460620203941/catalog			
		Ulrichsweb - global serials directory		NOT QUERIED 25 JUL 2022	http://id.lib.harvard.edu/alma/990152941710203941/catalog			
		CSA / ProQuest - IBSS International bibliography of the social sciences		possibly not historical / NOT QUERIED 25 JUL 2022	http://id.lib.harvard.edu/alma/990125276600203941/catalog			
		LC - HLAS Handbook of Latin American studies		NOT QUERIED 25 JUL 2022	http://id.lib.harvard.edu/alma/990150151330203941/catalog			
		UCLA - HAPI Hispanic American periodicals index		possibly not historical / NOT QUERIED 25 JUL 2022	http://id.lib.harvard.edu/alma/990153178330203941/catalog			
		EU - Archives Portal Europe		NOT QUERIED 25 JUL 2022	https://www.archivesportaleurope.net			
		MCU - Censo-Guía de Archivos de España e Iberoamérica		NOT QUERIED 25 JUL 2022	http://censoarchivos.mcu.es/CensoGuia/portada.htm			
								
								
								
								
	1a	description	scope	notes	link	0A SOURCE		
		OUP - Oxford Bibliographies		digitised	^^^			
		OUP - Oxford Research encyclopaedias - Latin American		digitised	https://oxfordre-com.ezp-prod1.hul.harvard.edu/latinamericanhistory			
		"A bibliography of British Honduras, 1900-1970 by Clarence W. Minkel and Ralph H. Alderman, [East Lansing : Latin American Studies Center, Michigan State University, c1970]"	^^^ refs	in Widener / OCLC: 139160	http://id.lib.harvard.edu/alma/990009993160203941/catalog			
		"Belize, a bibliography [by] John L. Noyce, Brighton : Noyce, 1978"	^^^ refs	in Widener offsite / OCLC: 6786827	http://id.lib.harvard.edu/alma/990009097980203941/catalog			
		"Belize, 2nd ed., Peggy Wright and Brian E. Coutts, compilers, Oxford, England ; Santa Barbara, Calif. : CLIO Press, c1993"	^^^ refs	in Widener offsite / OCLC: 43476670 [online] and OCLC: 31436781 [print] / 1st ed dig OL https://archive.org/details/belize00wood	http://id.lib.harvard.edu/alma/990036971360203941/catalog			
		"A bibliography of the national collection in the Central Library, Bliss Institute, Belize, [Belize?] 1960"	^^^ refs	in Widener	http://id.lib.harvard.edu/alma/990041476990203941/catalog			
		"Colonial manuscripts of Jalapa, Jutiapa and Santa Rosa departments in Guatemala [Washington, D.C. : Organization of American States, 1981]"	^^^ refs	in Tozzer offsite	http://id.lib.harvard.edu/alma/990010361500203941/catalog			
		"Guatemala : reseña bibliográfica [Mexico] : CEIDEC, 1992."		in Widener	http://id.lib.harvard.edu/alma/990034840210203941/catalog			
		"Catálogo general de libros, folletos y revistas editados en la Tipografía nacional de Guatemala desde 1892 hasta 1943"		in Widener offsite	http://id.lib.harvard.edu/alma/990035052890203941/catalog			
