Table 1
	CODE	R.FTM	R.GENRE	R.TIT	R.ATIT	R.BTIT	R.JTIT	R.SER	R.PLACE	R.ED	R.PUB	R.DATE	R.ID	R.ID	R.INT	R.VOL	R.ISS	R.PP	R.LAST	R.FIRST	LAST	FIRST	TIT	ATIT	BTIT	JTIT	SER	PLACE	ED	PUB	DATE	ID	ID	INT	VOL	ISS	PP		
	ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.jtitle=Google+Maps&amp;rft.atitle=Grace+Bank%2C+Belize&amp;rft.date=2022&amp;rft.au=Google&amp;rft_id=https%3A%2F%2Fwww.google.com%2Fmaps%2Fplace%2FGrace%2BBank%2C%2BBelize%2F%4017.6507527%2C-88.417201%2C14z%2Fdata%3D%213m1%214b1%214m5%213m4%211s0x8f5c4202d2f41c67%3A0xc9d90b4a29de66a0%218m2%213d17.6507538%214d-88.3996914&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AGrace+Bank	journal	article	^^^	Grace+Bank%2C+Belize	^^^	Google+Maps	^^^	^^^	^^^	^^^	2022	https%3A%2F%2Fwww.google.com%2Fmaps%2Fplace%2FGrace%2BBank%2C%2BBelize%2F%4017.6507527%2C-88.417201%2C14z%2Fdata%3D%213m1%214b1%214m5%213m4%211s0x8f5c4202d2f41c67%3A0xc9d90b4a29de66a0%218m2%213d17.6507538%214d-88.3996914	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	"Grace Bank, Belize"	^^^	Google Maps	^^^	^^^	^^^	^^^	2022	https://www.google.com/maps/place/Grace%2BBank%2C%2BBelize/%4017.6507527%2C-88.417201%2C14z/data=%213m1%214b1%214m5%213m4%211s0x8f5c4202d2f41c67:0xc9d90b4a29de66a0%218m2%213d17.6507538%214d-88.3996914	^^^	^^^	^^^	^^^	^^^		
	ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.jtitle=Boston+Gazette&amp;rft.atitle=New-York%2C+February+19&amp;rft.issue=10&amp;rft.pages=2&amp;rft.date=1753-03-06&amp;rft.au=anon.&amp;rft_id=https%3A%2F%2Finfoweb-newsbank-com.ezp-prod1.hul.harvard.edu%2Fapps%2Freadex%2Fdoc%3Fp%3DEANX%26docref%3Dimage%2Fv2%253A1036CD2E61FB47A0%2540EANX-10444F4975F34A37%25402361395-10444F498D7FCD08%25401-10444F49DB899D79%2540New-York%25252C%252BFebruary%252B19&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3ATimeline+of+piracy+in+the+Bay+of+Honduras	journal	article	^^^	New-York%2C+February+19	^^^	Boston+Gazette	^^^	^^^	^^^	^^^	1753-03-06	https%3A%2F%2Finfoweb-newsbank-com.ezp-prod1.hul.harvard.edu%2Fapps%2Freadex%2Fdoc%3Fp%3DEANX%26docref%3Dimage%2Fv2%253A1036CD2E61FB47A0%2540EANX-10444F4975F34A37%25402361395-10444F498D7FCD08%25401-10444F49DB899D79%2540New-York%25252C%252BFebruary%252B19	^^^	^^^	^^^	10	2	^^^	^^^	^^^	^^^	^^^	"New-York, February 19"	^^^	Boston Gazette	^^^	^^^	^^^	^^^	1753-03-06	https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX%26docref=image/v2%3A1036CD2E61FB47A0%40EANX-10444F4975F34A37%402361395-10444F498D7FCD08%401-10444F49DB899D79%40New-York%252C%2BFebruary%2B19	^^^	^^^	^^^	10	2		
	ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.jtitle=Bolet%C3%ADn+de+la+Sociedad+de+Geograf%C3%ADa+y+Estad%C3%ADstica+de+la+Rep%C3%BAblica+Mexicana&amp;rft.atitle=Historia+de+las+relaciones+de+Espa%C3%B1a+y+M%C3%A9xico+con+Inglaterra%2C+sobre+el+establecimiento+de+Belice&amp;rft.volume=1&amp;rft.pages=217-256%2C+377-403&amp;rft.date=1869&amp;rft.aulast=Peniche&amp;rft.aufirst=Manuel&amp;rft_id=https%3A%2F%2Fwww.google.com%2Fbooks%2Fedition%2FBolet%25C3%25ADn_de_la_Sociedad_de_Geograf%25C3%25ADa_y%2FlARGAQAAMAAJ%3Fhl%3Den%26gbpv%3D0%26kptab%3Deditions&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3ADraft%3AEnglish+settling+of+Belize	journal	article	^^^	Historia+de+las+relaciones+de+Espa%C3%B1a+y+M%C3%A9xico+con+Inglaterra%2C+sobre+el+establecimiento+de+Belice	^^^	Bolet%C3%ADn+de+la+Sociedad+de+Geograf%C3%ADa+y+Estad%C3%ADstica+de+la+Rep%C3%BAblica+Mexicana	^^^	^^^	^^^	^^^	1869	https%3A%2F%2Fwww.google.com%2Fbooks%2Fedition%2FBolet%25C3%25ADn_de_la_Sociedad_de_Geograf%25C3%25ADa_y%2FlARGAQAAMAAJ%3Fhl%3Den%26gbpv%3D0%26kptab%3Deditions	^^^	^^^	1	^^^	217-256%2C+377-403	Peniche	Manuel	Peniche	Manuel	^^^	"Historia de las relaciones de España y México con Inglaterra, sobre el establecimiento de Belice"	^^^	Boletín de la Sociedad de Geografía y Estadística de la República Mexicana	^^^	^^^	^^^	^^^	1869	https://www.google.com/books/edition/Bolet%C3%ADn_de_la_Sociedad_de_Geograf%C3%ADa_y/lARGAQAAMAAJ?hl=en%26gbpv=0%26kptab=editions	^^^	^^^	1	^^^	217-256%2C+377-403		
	ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.jtitle=F%C3%A9nix&amp;rft.atitle=OJEADA+sobre+el+establecimiento+brit%C3%A1nico+de+BELICE+y+reflexiones+sobre+su+futura+influencia&amp;rft.issue=62&amp;rft.pages=3-4&amp;rft.date=1849-09-05&amp;rft.au=F&amp;rft_id=http%3A%2F%2Fwww.hndm.unam.mx%2Fconsulta%2Fpublicacion%2Fvisualizar%2F558075be7d1e63c9fea1a284%3FintPagina%3D3%26tipo%3Dpublicacion%26anio%3D1849%26mes%3D09%26dia%3D05%26butIr%3DIr&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3ADraft%3AEnglish+settling+of+Belize	journal	article	^^^	OJEADA+sobre+el+establecimiento+brit%C3%A1nico+de+BELICE+y+reflexiones+sobre+su+futura+influencia	^^^	F%C3%A9nix	^^^	^^^	^^^	^^^	1849-09-05	http%3A%2F%2Fwww.hndm.unam.mx%2Fconsulta%2Fpublicacion%2Fvisualizar%2F558075be7d1e63c9fea1a284%3FintPagina%3D3%26tipo%3Dpublicacion%26anio%3D1849%26mes%3D09%26dia%3D05%26butIr%3DIr	^^^	^^^	^^^	62	3-4	^^^	^^^	^^^	^^^	^^^	OJEADA sobre el establecimiento británico de BELICE y reflexiones sobre su futura influencia	^^^	Fénix	^^^	^^^	^^^	^^^	1849-09-05	http://www.hndm.unam.mx/consulta/publicacion/visualizar/558075be7d1e63c9fea1a284?intPagina=3%26tipo=publicacion%26anio=1849%26mes=09%26dia=05%26butIr=Ir	^^^	^^^	^^^	62	3-4		
	ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Abook&amp;rft.genre=book&amp;rft.btitle=Historia+de+Yucatan+desde+la+%C3%A8poca+mas+remota+hasta+nuestros+dias&amp;rft.place=Merida&amp;rft.edition=1st&amp;rft.pub=Imprenta+de+M.+Heredia+Arg%C3%BCelles&amp;rft.date=1878&amp;rft.aulast=Ancona&amp;rft.aufirst=Eligio&amp;rft_id=https%3A%2F%2Fwww.google.com%2Fbooks%2Fedition%2FHistoria_de_Yucat%C3%A1n_desde_la_%C3%A9poca_sic%2FFDcCAAAAYAAJ%3Fhl%3Den%26gbpv%3D1&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3ADraft%3ABacalar+District	book	book	^^^	^^^	Historia+de+Yucatan+desde+la+%C3%A8poca+mas+remota+hasta+nuestros+dias	^^^	^^^	Merida	1st	Imprenta+de+M.+Heredia+Arg%C3%BCelles	1878	https%3A%2F%2Fwww.google.com%2Fbooks%2Fedition%2FHistoria_de_Yucat%C3%A1n_desde_la_%C3%A9poca_sic%2FFDcCAAAAYAAJ%3Fhl%3Den%26gbpv%3D1	^^^	^^^	^^^	^^^	^^^	Ancona	Eligio	Ancona	Eligio	^^^	^^^	Historia de Yucatan desde la época mas remota hasta nuestros dias	^^^	^^^	Merida	1st	Imprenta de M. Heredia Argüelles	1878	https://www.google.com/books/edition/Historia_de_Yucat%C3%A1n_desde_la_%C3%A9poca_sic/FDcCAAAAYAAJ?hl=en%26gbpv=1	^^^	^^^	^^^	^^^	^^^		
	ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.jtitle=American+Weekly+Mercury&amp;rft.atitle=Charles-Town%2C+South-Carolina%2C+March+27&amp;rft.issue=1165&amp;rft.pages=3&amp;rft.date=1742-04-29&amp;rft.au=anon.&amp;rft_id=https%3A%2F%2Finfoweb-newsbank-com.ezp-prod1.hul.harvard.edu%2Fapps%2Freadex%2Fdoc%3Fp%3DEANX%26docref%3Dimage%2Fv2%253A10380B67EBBF3BE8%2540EANX-105E3EE043563CC1%25402357431-105E3EE0487B8CBD%25400&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3ATimeline+of+piracy+in+the+Bay+of+Honduras	journal	article	^^^	Charles-Town%2C+South-Carolina%2C+March+27	^^^	American+Weekly+Mercury	^^^	^^^	^^^	^^^	1742-04-29	https%3A%2F%2Finfoweb-newsbank-com.ezp-prod1.hul.harvard.edu%2Fapps%2Freadex%2Fdoc%3Fp%3DEANX%26docref%3Dimage%2Fv2%253A10380B67EBBF3BE8%2540EANX-105E3EE043563CC1%25402357431-105E3EE0487B8CBD%25400	^^^	^^^	^^^	1165	3	^^^	^^^	^^^	^^^	^^^	"Charles-Town, South-Carolina, March 27"	^^^	American Weekly Mercury	^^^	^^^	^^^	^^^	1742-04-29	https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX%26docref=image/v2%3A10380B67EBBF3BE8%40EANX-105E3EE043563CC1%402357431-105E3EE0487B8CBD%400	^^^	^^^	^^^	1165	3		
	ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.jtitle=American+Weekly+Mercury&amp;rft.atitle=Charles-Town+South-Carolina%2C+March+6&amp;rft.issue=1012&amp;rft.pages=2&amp;rft.date=1739-05-24&amp;rft.au=anon.&amp;rft_id=https%3A%2F%2Finfoweb-newsbank-com.ezp-prod1.hul.harvard.edu%2Fapps%2Freadex%2Fdoc%3Fp%3DEANX%26docref%3Dimage%2Fv2%253A10380B67EBBF3BE8%2540EANX-105E3F30DDF57A4C%25402356360-105E3F30F16092A1%25400&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3ATimeline+of+piracy+in+the+Bay+of+Honduras	journal	article	^^^	Charles-Town+South-Carolina%2C+March+6	^^^	American+Weekly+Mercury	^^^	^^^	^^^	^^^	1739-05-24	https%3A%2F%2Finfoweb-newsbank-com.ezp-prod1.hul.harvard.edu%2Fapps%2Freadex%2Fdoc%3Fp%3DEANX%26docref%3Dimage%2Fv2%253A10380B67EBBF3BE8%2540EANX-105E3F30DDF57A4C%25402356360-105E3F30F16092A1%25400	^^^	^^^	^^^	1012	2	^^^	^^^	^^^	^^^	^^^	"Charles-Town South-Carolina, March 6"	^^^	American Weekly Mercury	^^^	^^^	^^^	^^^	1739-05-24	https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX%26docref=image/v2%3A10380B67EBBF3BE8%40EANX-105E3F30DDF57A4C%402356360-105E3F30F16092A1%400	^^^	^^^	^^^	1012	2		
	ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.jtitle=American+Weekly+Mercury&amp;rft.atitle=Extract+of+a+Letter+from+Jamaica%2C+to+a+Merchant+in+London%2C+dated+May+21st.+1725&amp;rft.issue=305&amp;rft.pages=3&amp;rft.date=1725-10-21&amp;rft.au=anon.&amp;rft_id=https%3A%2F%2Finfoweb-newsbank-com.ezp-prod1.hul.harvard.edu%2Fapps%2Freadex%2Fdoc%3Fp%3DEANX%26docref%3Dimage%2Fv2%253A10380B67EBBF3BE8%2540EANX-105E3DC05A3ADB00%25402351397-105E3DC086ECD1C4%25402&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3ATimeline+of+piracy+in+the+Bay+of+Honduras	journal	article	^^^	Extract+of+a+Letter+from+Jamaica%2C+to+a+Merchant+in+London%2C+dated+May+21st.+1725	^^^	American+Weekly+Mercury	^^^	^^^	^^^	^^^	1725-10-21	https%3A%2F%2Finfoweb-newsbank-com.ezp-prod1.hul.harvard.edu%2Fapps%2Freadex%2Fdoc%3Fp%3DEANX%26docref%3Dimage%2Fv2%253A10380B67EBBF3BE8%2540EANX-105E3DC05A3ADB00%25402351397-105E3DC086ECD1C4%25402	^^^	^^^	^^^	305	3	^^^	^^^	^^^	^^^	^^^	"Extract of a Letter from Jamaica, to a Merchant in London, dated May 21st. 1725"	^^^	American Weekly Mercury	^^^	^^^	^^^	^^^	1725-10-21	https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX%26docref=image/v2%3A10380B67EBBF3BE8%40EANX-105E3DC05A3ADB00%402351397-105E3DC086ECD1C4%402	^^^	^^^	^^^	305	3		
	ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.jtitle=American+Weekly+Mercury&amp;rft.atitle=Philadelphia%2C+January+12&amp;rft.issue=265&amp;rft.pages=3&amp;rft.date=1725-01-12&amp;rft.au=anon.&amp;rft_id=https%3A%2F%2Finfoweb-newsbank-com.ezp-prod1.hul.harvard.edu%2Fapps%2Freadex%2Fdoc%3Fp%3DEANX%26docref%3Dimage%2Fv2%253A10380B67EBBF3BE8%2540EANX-105E3DACB98FEC34%25402351115-105E3DACE4F86303%25402&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3ATimeline+of+piracy+in+the+Bay+of+Honduras	journal	article	^^^	Philadelphia%2C+January+12	^^^	American+Weekly+Mercury	^^^	^^^	^^^	^^^	1725-01-12	https%3A%2F%2Finfoweb-newsbank-com.ezp-prod1.hul.harvard.edu%2Fapps%2Freadex%2Fdoc%3Fp%3DEANX%26docref%3Dimage%2Fv2%253A10380B67EBBF3BE8%2540EANX-105E3DACB98FEC34%25402351115-105E3DACE4F86303%25402	^^^	^^^	^^^	265	3	^^^	^^^	^^^	^^^	^^^	"Philadelphia, January 12"	^^^	American Weekly Mercury	^^^	^^^	^^^	^^^	1725-01-12	https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX%26docref=image/v2%3A10380B67EBBF3BE8%40EANX-105E3DACB98FEC34%402351115-105E3DACE4F86303%402	^^^	^^^	^^^	265	3		
	ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.jtitle=Boston+Evening-Post&amp;rft.atitle=Boston&amp;rft.issue=1278&amp;rft.pages=4&amp;rft.date=1760-02-25&amp;rft.au=anon.&amp;rft_id=https%3A%2F%2Finfoweb-newsbank-com.ezp-prod1.hul.harvard.edu%2Fapps%2Freadex%2Fdoc%3Fp%3DEANX%26docref%3Dimage%2Fv2%253A1089C792E64CF650%2540EANX-108B72AFA5CE0A20%25402363942-108B72AFB30683E8%25400&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AGrace+Bank	journal	article	^^^	Boston	^^^	Boston+Evening-Post	^^^	^^^	^^^	^^^	1760-02-25	https%3A%2F%2Finfoweb-newsbank-com.ezp-prod1.hul.harvard.edu%2Fapps%2Freadex%2Fdoc%3Fp%3DEANX%26docref%3Dimage%2Fv2%253A1089C792E64CF650%2540EANX-108B72AFA5CE0A20%25402363942-108B72AFB30683E8%25400	^^^	^^^	^^^	1278	4	^^^	^^^	^^^	^^^	^^^	Boston	^^^	Boston Evening-Post	^^^	^^^	^^^	^^^	1760-02-25	https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX%26docref=image/v2%3A1089C792E64CF650%40EANX-108B72AFA5CE0A20%402363942-108B72AFB30683E8%400	^^^	^^^	^^^	1278	4		
