Table 1
CODE	ID	NO	PRIM	COLL	TYPE	AID	NAME 0	CITED	START 0	STOP 0	SIZE	UNITS	NAME 1	NAME 2	PLACE 0	PLACE 1	DESC 0	PLACE 2	PLACE 3	START 1	STOP 1	NAME 3	NAME 4	NAME 5	VOL	ISS	VIA	FAID	DESC 1	NOTE	LINK	END	
RED;;;ID=S 581;;;PRIM=1;;;COLL=1;;;TYPE=M;;;AID=xxx;;;NAME 0=xnp;;;CITED=0;;;START 0=1794;;;STOP 0=1794;;;SIZE=1;;;UNITS=items;;;NAME 1=Account for purchase and shipping of logwood on the 'Watson';;;NAME 2Yorkshire Archaeological and Historical Society;;;PLACE 0Leeds;;;PLACE 1=UK;;;DESC 0=np;;;PLACE 2=np;;;PLACE 3=np;;;START 1=np;;;STOP 1=np;;;NAME 3=np;;;NAME 4=np;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=https://discovery.nationalarchives.gov.uk/details/r/6716a059-4361-4840-ad48-fefdf53e0bc6 / https://explore.library.leeds.ac.uk/special-collections-explore/454110;;;DESC 1=np;;;NOTE=See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13530857;;;LINK=xnp;;;END###	S 581	581	1	1	M	xxx	xnp	0	1794	1794	1	items	Account for purchase and shipping of logwood on the 'Watson'	Yorkshire Archaeological and Historical Society	Leeds	UK	np	np	np	np	np	np	np	np	np	np	xnp	https://discovery.nationalarchives.gov.uk/details/r/6716a059-4361-4840-ad48-fefdf53e0bc6 / https://explore.library.leeds.ac.uk/special-collections-explore/454110	np	See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13530857	xnp	###	
"RED;;;ID=S 411;;;PRIM=1;;;COLL=1;;;TYPE=M;;;AID=xxx;;;NAME 0=xnp;;;CITED=0;;;START 0=1838;;;STOP 0=1871;;;SIZE=1;;;UNITS=boxes;;;NAME 1=Aaron Columbus Burr papers, 1838-1871 (inclusive);;;NAME 2Yale University;;;PLACE 0New Haven;;;PLACE 1=USA;;;DESC 0=np;;;PLACE 2=np;;;PLACE 3=np;;;START 1=np;;;STOP 1=np;;;NAME 3=np;;;NAME 4=np;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=https://hdl.handle.net/10079/bibid/613852;;;DESC 1=np;;;NOTE=xnp;;;LINK=xnp;;;END###"	S 411	411	1	1	M	xxx	xnp	0	1838	1871	1	boxes	"Aaron Columbus Burr papers, 1838-1871 (inclusive)"	Yale University	New Haven	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://hdl.handle.net/10079/bibid/613852	np	xnp	xnp	###	
"RED;;;ID=S 413;;;PRIM=1;;;COLL=1;;;TYPE=M;;;AID=xxx;;;NAME 0=xnp;;;CITED=0;;;START 0=1768;;;STOP 0=1774;;;SIZE=2;;;UNITS=items;;;NAME 1=Accounts for slave sales at the Bay of Honduras, 1768-1774;;;NAME 2Yale University;;;PLACE 0New Haven;;;PLACE 1=USA;;;DESC 0=np;;;PLACE 2=np;;;PLACE 3=np;;;START 1=np;;;STOP 1=np;;;NAME 3=np;;;NAME 4=np;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=https://hdl.handle.net/10079/bibid/11880621;;;DESC 1=np;;;NOTE=xnp;;;LINK=xnp;;;END###"	S 413	413	1	1	M	xxx	xnp	0	1768	1774	2	items	"Accounts for slave sales at the Bay of Honduras, 1768-1774"	Yale University	New Haven	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://hdl.handle.net/10079/bibid/11880621	np	xnp	xnp	###	
"RED;;;ID=S 415;;;PRIM=1;;;COLL=1;;;TYPE=M;;;AID=xxx;;;NAME 0=xnp;;;CITED=0;;;START 0=1664;;;STOP 0=1857;;;SIZE=7;;;UNITS=boxes;;;NAME 1=British Caribbean documents, 1664-1857 (bulk 1765-1825);;;NAME 2Yale University;;;PLACE 0New Haven;;;PLACE 1=USA;;;DESC 0=np;;;PLACE 2=np;;;PLACE 3=np;;;START 1=np;;;STOP 1=np;;;NAME 3=np;;;NAME 4=np;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=https://hdl.handle.net/10079/bibid/12766676;;;DESC 1=np;;;NOTE=xnp;;;LINK=xnp;;;END###"	S 415	415	1	1	M	xxx	xnp	0	1664	1857	7	boxes	"British Caribbean documents, 1664-1857 (bulk 1765-1825)"	Yale University	New Haven	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://hdl.handle.net/10079/bibid/12766676	np	xnp	xnp	###	
"RED;;;ID=S 417;;;PRIM=1;;;COLL=1;;;TYPE=M;;;AID=xxx;;;NAME 0=xnp;;;CITED=0;;;START 0=1576;;;STOP 0=1949;;;SIZE=4;;;UNITS=boxes;;;NAME 1=Central America collection, 1576-1949 (inclusive).;;;NAME 2Yale University;;;PLACE 0New Haven;;;PLACE 1=USA;;;DESC 0=np;;;PLACE 2=np;;;PLACE 3=np;;;START 1=np;;;STOP 1=np;;;NAME 3=np;;;NAME 4=np;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=https://archives.yale.edu/repositories/12/resources/3754 / https://hdl.handle.net/10079/bibid/4816612;;;DESC 1=np;;;NOTE=xnp;;;LINK=xnp;;;END###"	S 417	417	1	1	M	xxx	xnp	0	1576	1949	4	boxes	"Central America collection, 1576-1949 (inclusive)."	Yale University	New Haven	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://archives.yale.edu/repositories/12/resources/3754 / https://hdl.handle.net/10079/bibid/4816612	np	xnp	xnp	###	
RED;;;ID=S 419;;;PRIM=1;;;COLL=1;;;TYPE=M;;;AID=xxx;;;NAME 0=xnp;;;CITED=0;;;START 0=1826;;;STOP 0=1830;;;SIZE=2;;;UNITS=vols;;;NAME 1=Charles Dashwood diaries and commissions relating to Xalapa and Guatemala City;;;NAME 2Yale University;;;PLACE 0New Haven;;;PLACE 1=USA;;;DESC 0=np;;;PLACE 2=np;;;PLACE 3=np;;;START 1=np;;;STOP 1=np;;;NAME 3=np;;;NAME 4=np;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=https://hdl.handle.net/10079/bibid/8013010 / https://researchworks-oclc-org.proxygw.wrlc.org/archivegrid/collection/data/702182800;;;DESC 1=np;;;NOTE=xnp;;;LINK=xnp;;;END###	S 419	419	1	1	M	xxx	xnp	0	1826	1830	2	vols	Charles Dashwood diaries and commissions relating to Xalapa and Guatemala City	Yale University	New Haven	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://hdl.handle.net/10079/bibid/8013010 / https://researchworks-oclc-org.proxygw.wrlc.org/archivegrid/collection/data/702182800	np	xnp	xnp	###	
"RED;;;ID=S 421;;;PRIM=1;;;COLL=1;;;TYPE=M;;;AID=xxx;;;NAME 0=xnp;;;CITED=0;;;START 0=1771;;;STOP 0=1959;;;SIZE=9;;;UNITS=vols;;;NAME 1=Records of the Moravian Missions, 1771-1959 (inclusive);;;NAME 2Yale University;;;PLACE 0New Haven;;;PLACE 1=USA;;;DESC 0=np;;;PLACE 2=np;;;PLACE 3=np;;;START 1=np;;;STOP 1=np;;;NAME 3=np;;;NAME 4=np;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=https://researchworks-oclc-org.proxygw.wrlc.org/archivegrid/collection/data/702152514 / https://hdl.handle.net/10079/bibid/4169488;;;DESC 1=np;;;NOTE=xnp;;;LINK=xnp;;;END###"	S 421	421	1	1	M	xxx	xnp	0	1771	1959	9	vols	"Records of the Moravian Missions, 1771-1959 (inclusive)"	Yale University	New Haven	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://researchworks-oclc-org.proxygw.wrlc.org/archivegrid/collection/data/702152514 / https://hdl.handle.net/10079/bibid/4169488	np	xnp	xnp	###	
RED;;;ID=S 571;;;PRIM=1;;;COLL=1;;;TYPE=M;;;AID=xxx;;;NAME 0=xnp;;;CITED=0;;;START 0=1740;;;STOP 0=1950;;;SIZE=5;;;UNITS=feet;;;NAME 1=Protestant Episcopal Bishops collection;;;NAME 2Yale University;;;PLACE 0New Haven;;;PLACE 1=USA;;;DESC 0=np;;;PLACE 2=np;;;PLACE 3=np;;;START 1=np;;;STOP 1=np;;;NAME 3=np;;;NAME 4=np;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=http://hdl.handle.net/10079/fa/mssa.ms.0021;;;DESC 1=np;;;NOTE=xnp;;;LINK=xnp;;;END###	S 571	571	1	1	M	xxx	xnp	0	1740	1950	5	feet	Protestant Episcopal Bishops collection	Yale University	New Haven	USA	np	np	np	np	np	np	np	np	np	np	xnp	http://hdl.handle.net/10079/fa/mssa.ms.0021	np	xnp	xnp	###	
RED;;;ID=S 573;;;PRIM=1;;;COLL=1;;;TYPE=M;;;AID=xxx;;;NAME 0=xnp;;;CITED=0;;;START 0=1779;;;STOP 0=1952;;;SIZE=228;;;UNITS=feet;;;NAME 1=Ellsworth Huntington papers;;;NAME 2Yale University;;;PLACE 0New Haven;;;PLACE 1=USA;;;DESC 0=np;;;PLACE 2=np;;;PLACE 3=np;;;START 1=np;;;STOP 1=np;;;NAME 3=np;;;NAME 4=np;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=http://hdl.handle.net/10079/fa/mssa.ms.0001;;;DESC 1=np;;;NOTE=xnp;;;LINK=xnp;;;END###	S 573	573	1	1	M	xxx	xnp	0	1779	1952	228	feet	Ellsworth Huntington papers	Yale University	New Haven	USA	np	np	np	np	np	np	np	np	np	np	xnp	http://hdl.handle.net/10079/fa/mssa.ms.0001	np	xnp	xnp	###	
RED;;;ID=S 575;;;PRIM=1;;;COLL=1;;;TYPE=M;;;AID=xxx;;;NAME 0=xnp;;;CITED=0;;;START 0=1560;;;STOP 0=1943;;;SIZE=9;;;UNITS=feet;;;NAME 1=Bernhard Knollenberg collection;;;NAME 2Yale University;;;PLACE 0New Haven;;;PLACE 1=USA;;;DESC 0=np;;;PLACE 2=np;;;PLACE 3=np;;;START 1=np;;;STOP 1=np;;;NAME 3=np;;;NAME 4=np;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=http://hdl.handle.net/10079/fa/mssa.ms.0026;;;DESC 1=np;;;NOTE=xnp;;;LINK=xnp;;;END###	S 575	575	1	1	M	xxx	xnp	0	1560	1943	9	feet	Bernhard Knollenberg collection	Yale University	New Haven	USA	np	np	np	np	np	np	np	np	np	np	xnp	http://hdl.handle.net/10079/fa/mssa.ms.0026	np	xnp	xnp	###	
