Table 1
CODE	OID	AID	OAID	FM	TO	FORM	PRIM	DATE	DATE	TITLE	DESC	IMPRINT	CAT 0	CAT 1	CAT 2	AV	NOTE	SOURCE	SURL	END												
"PUR;;;OID=S 960;;;AID=H Tordesillas bb;;;OAID=Herrera / H Tordesillas bb;;;FM=1;;;TO=9;;;FORM=P;;;PRIM=1;;;DATE=1601;;;DATE=1615;;;TITLE=Historia general de los hechos de los castellanos en las Islas i Tierra Firme del Mar Oceano;;;DESC=vol 1 to 9 of 9 / vol 1 to 4 of 4 / decades 1 to 8 of 8 / 1st ed;;;IMPRINT=^^^;;;CAT 0=http://id.lib.harvard.edu/alma/990042385300203941/catalog;;;CAT 1=http://www.memoriachilena.gob.cl/602/w3-article-8393.html;;;CAT 2=https://bibliotecadigital.jcyl.es/es/consulta/registro.do?id=4906;;;AV=^^^;;;NOTE=De Cada primera / En quatro Decadas desde al Ano de 1492 hasta el de 1531 / 9 v. in 4 / The first 4 decades and the Descripción were printed in 1601 by Juan Flamenco. The last 4 decades, continuing the history from 1532 to 1554, were printed in 1615 by Juan de la Cuesta / 1 = https://bibliotecadigital.jcyl.es/es/consulta/registro.do?id=4906 / 2= https://bibliotecadigital.jcyl.es/es/consulta/registro.do?id=16931 / 3 = https://bibliotecadigital.jcyl.es/es/consulta/registro.do?id=4907 / 4 = https://bibliotecadigital.jcyl.es/es/consulta/registro.do?id=16932 / 5 = https://bibliotecadigital.jcyl.es/es/consulta/registro.do?id=4908 / 6 = https://bibliotecadigital.jcyl.es/es/consulta/registro.do?id=16933 / 7 = https://bibliotecadigital.jcyl.es/es/consulta/registro.do?id=5348 / 8 = https://bibliotecadigital.jcyl.es/es/consulta/registro.do?id=16934;;;SOURCE=AN - orig data sources 1.2.numbers;;;SURL=/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data sources 1.2.numbers;;;END###"	S 960	H Tordesillas bb	Herrera / H Tordesillas bb	1	9	P	1	1601	1615	Historia general de los hechos de los castellanos en las Islas i Tierra Firme del Mar Oceano	vol 1 to 9 of 9 / vol 1 to 4 of 4 / decades 1 to 8 of 8 / 1st ed	^^^	http://id.lib.harvard.edu/alma/990042385300203941/catalog	http://www.memoriachilena.gob.cl/602/w3-article-8393.html	https://bibliotecadigital.jcyl.es/es/consulta/registro.do?id=4906	^^^	"De Cada primera / En quatro Decadas desde al Ano de 1492 hasta el de 1531 / 9 v. in 4 / The first 4 decades and the Descripción were printed in 1601 by Juan Flamenco. The last 4 decades, continuing the history from 1532 to 1554, were printed in 1615 by Juan de la Cuesta / 1 = https://bibliotecadigital.jcyl.es/es/consulta/registro.do?id=4906 / 2= https://bibliotecadigital.jcyl.es/es/consulta/registro.do?id=16931 / 3 = https://bibliotecadigital.jcyl.es/es/consulta/registro.do?id=4907 / 4 = https://bibliotecadigital.jcyl.es/es/consulta/registro.do?id=16932 / 5 = https://bibliotecadigital.jcyl.es/es/consulta/registro.do?id=4908 / 6 = https://bibliotecadigital.jcyl.es/es/consulta/registro.do?id=16933 / 7 = https://bibliotecadigital.jcyl.es/es/consulta/registro.do?id=5348 / 8 = https://bibliotecadigital.jcyl.es/es/consulta/registro.do?id=16934"	AN - orig data sources 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data sources 1.2.numbers	###												
"PUR;;;OID=S 798;;;AID=^^^;;;OAID=Duro / F Duro;;;FM=1;;;TO=9;;;FORM=P;;;PRIM=0;;;DATE=1895;;;DATE=1903;;;TITLE=Armada española desde la unión de los reinos de Castilla y de León;;;DESC=vol 1 to 9 of 9 / 1st ed;;;IMPRINT=^^^;;;CAT 0=https://catalog.hathitrust.org/Record/001245848/Home;;;CAT 1=https://hollis.harvard.edu/permalink/f/1mdq5o5/TN_cdi_hathitrust_hathifiles_nyp_33433009379904;;;CAT 2=https://armada.defensa.gob.es/ArmadaPortal/page/Portal/ArmadaEspannola/cienciaorgano/prefLang-es/02cienciaihcn--01a-cesareo-fernandez-duro;;;AV=^^^;;;NOTE=Madrid, Est. tipográfico ""Sucesores de Rivadeneyra,"" 1895-1903.;;;SOURCE=AN - orig data sources 1.2.numbers;;;SURL=/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data sources 1.2.numbers;;;END###"	S 798	^^^	Duro / F Duro	1	9	P	0	1895	1903	Armada española desde la unión de los reinos de Castilla y de León	vol 1 to 9 of 9 / 1st ed	^^^	https://catalog.hathitrust.org/Record/001245848/Home	https://hollis.harvard.edu/permalink/f/1mdq5o5/TN_cdi_hathitrust_hathifiles_nyp_33433009379904	https://armada.defensa.gob.es/ArmadaPortal/page/Portal/ArmadaEspannola/cienciaorgano/prefLang-es/02cienciaihcn--01a-cesareo-fernandez-duro	^^^	"Madrid, Est. tipográfico ""Sucesores de Rivadeneyra,"" 1895-1903."	AN - orig data sources 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data sources 1.2.numbers	###												
"PUR;;;OID=^^^;;;AID=^^^;;;OAID=^^^;;;FM=1;;;TO=8;;;FORM=P;;;PRIM=^^^;;;DATE=2000;;;DATE=2000;;;TITLE=Caribbeana: Being Miscellaneous Papers Relating to the History, Genealogy, Topography, and Antiquities of the British West Indies;;;DESC=vol 1 to 8 of 8 / reprint of 1st ed;;;IMPRINT=[Toronto, Ont.] : CanDoo Creative Publishing;;;CAT 0=https://hollis.harvard.edu/permalink/f/1mdq5o5/TN_cdi_hathitrust_hathifiles_txu_059173010222648;;;CAT 1=^^^;;;CAT 2=^^^;;;AV=1;;;NOTE=First published London: Mitchell, Hughes and Clarke, 1910-1919, in 6 vols / vol 8 of 2000 reprint = indexes of volumes 1 to 7 of 2000 reprint;;;SOURCE=OB - AH - Britain and Empire, 1685-1730;;;SURL=https://www-oxfordbibliographies-com.ezp-prod1.hul.harvard.edu/view/document/obo-9780199730414/obo-9780199730414-0226.xml#obo-9780199730414-0226-div1-0002;;;END###"	^^^	^^^	^^^	1	8	P	^^^	2000	2000	"Caribbeana: Being Miscellaneous Papers Relating to the History, Genealogy, Topography, and Antiquities of the British West Indies"	vol 1 to 8 of 8 / reprint of 1st ed	"[Toronto, Ont.] : CanDoo Creative Publishing"	https://hollis.harvard.edu/permalink/f/1mdq5o5/TN_cdi_hathitrust_hathifiles_txu_059173010222648	^^^	^^^	1	"First published London: Mitchell, Hughes and Clarke, 1910-1919, in 6 vols / vol 8 of 2000 reprint = indexes of volumes 1 to 7 of 2000 reprint"	"OB - AH - Britain and Empire, 1685-1730"	https://www-oxfordbibliographies-com.ezp-prod1.hul.harvard.edu/view/document/obo-9780199730414/obo-9780199730414-0226.xml#obo-9780199730414-0226-div1-0002	###												
PUR;;;OID=^^^;;;AID=^^^;;;OAID=H Tordesillas;;;FM=1;;;TO=8;;;FORM=P;;;PRIM=1;;;DATE=1726;;;DATE=1739;;;TITLE=Historia general de los hechos de los castellanos en las Islas i Tierra Firme del Mar Oceano;;;DESC=vol 1 to 8 of 8 / decades 1 to 8 of 8 / reprint of 1st ed;;;IMPRINT=^^^;;;CAT 0=https://link.gale.com/apps/doc/CY0111567515/SABN?u=camb55135&sid=primo&xid=3acb195c&pg=1;;;CAT 1=^^^;;;CAT 2=^^^;;;AV=^^^;;;NOTE=1 = https://link.gale.com/apps/doc/CY0111567515/SABN?u=camb55135&sid=primo&xid=3acb195c&pg=1 / 2 = https://link.gale.com/apps/doc/CY0111567821/SABN?u=camb55135&sid=primo&xid=c14e185f&pg=1 / 3 = https://link.gale.com/apps/doc/CY0111568114/SABN?u=camb55135&sid=primo&xid=0962b7e9&pg=3 / 4 = https://link.gale.com/apps/doc/CY0111568415/SABN?u=camb55135&sid=primo&xid=b3b40552&pg=1 / 5 = https://link.gale.com/apps/doc/CY0111568652/SABN?u=camb55135&sid=primo&xid=1895b915&pg=1 / 6 = https://link.gale.com/apps/doc/CY0111568913/SABN?u=camb55135&sid=primo&xid=7613eec8&pg=1 / 7 = https://link.gale.com/apps/doc/CY0111569154/SABN?u=camb55135&sid=primo&xid=3c476799&pg=1 / 8 = https://link.gale.com/apps/doc/CY0111569408/SABN?u=camb55135&sid=primo&xid=85455339&pg=1 / 3 = https:// archive.org/details/generaldehechosd02herr;;;SOURCE=AN - orig data sources 1.2.numbers;;;SURL=/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data sources 1.2.numbers;;;END###	^^^	^^^	H Tordesillas	1	8	P	1	1726	1739	Historia general de los hechos de los castellanos en las Islas i Tierra Firme del Mar Oceano	vol 1 to 8 of 8 / decades 1 to 8 of 8 / reprint of 1st ed	^^^	https://link.gale.com/apps/doc/CY0111567515/SABN?u=camb55135&sid=primo&xid=3acb195c&pg=1	^^^	^^^	^^^	1 = https://link.gale.com/apps/doc/CY0111567515/SABN?u=camb55135&sid=primo&xid=3acb195c&pg=1 / 2 = https://link.gale.com/apps/doc/CY0111567821/SABN?u=camb55135&sid=primo&xid=c14e185f&pg=1 / 3 = https://link.gale.com/apps/doc/CY0111568114/SABN?u=camb55135&sid=primo&xid=0962b7e9&pg=3 / 4 = https://link.gale.com/apps/doc/CY0111568415/SABN?u=camb55135&sid=primo&xid=b3b40552&pg=1 / 5 = https://link.gale.com/apps/doc/CY0111568652/SABN?u=camb55135&sid=primo&xid=1895b915&pg=1 / 6 = https://link.gale.com/apps/doc/CY0111568913/SABN?u=camb55135&sid=primo&xid=7613eec8&pg=1 / 7 = https://link.gale.com/apps/doc/CY0111569154/SABN?u=camb55135&sid=primo&xid=3c476799&pg=1 / 8 = https://link.gale.com/apps/doc/CY0111569408/SABN?u=camb55135&sid=primo&xid=85455339&pg=1 / 3 = https:// archive.org/details/generaldehechosd02herr	AN - orig data sources 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data sources 1.2.numbers	###												
"PUR;;;OID=^^^;;;AID=Ungewitter;;;OAID=Ungewitter & Hopf 1872;;;FM=1;;;TO=8;;;FORM=P;;;PRIM=^^^;;;DATE=1872;;;DATE=1879;;;TITLE=Neueste Erdbeschreibung und Staatenkunde, oder geographisch-statistisch-historisches Handbuch : mit besonderer Berücksichtigung der neuesten Gestaltung Deutschlands : in drei Bänden;;;DESC=vol 1 to 8 of 8 / ^^^ ed;;;IMPRINT=Dresden: Gustav Dietze;;;CAT 0=https://mdz-nbn-resolving.de/details:bsb11005231;;;CAT 1=^^^;;;CAT 2=^^^;;;AV=^^^;;;NOTE=^^^;;;SOURCE=AN - Draft:English settling of Belize;;;SURL=https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize;;;END###"	^^^	Ungewitter	Ungewitter & Hopf 1872	1	8	P	^^^	1872	1879	"Neueste Erdbeschreibung und Staatenkunde, oder geographisch-statistisch-historisches Handbuch : mit besonderer Berücksichtigung der neuesten Gestaltung Deutschlands : in drei Bänden"	vol 1 to 8 of 8 / ^^^ ed	Dresden: Gustav Dietze	https://mdz-nbn-resolving.de/details:bsb11005231	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###												
"PUR;;;OID=S 860;;;AID=Hon Alm;;;OAID=HA / Hon Alm / Hon Alm nn;;;FM=1;;;TO=7;;;FORM=P;;;PRIM=^^^;;;DATE=1826;;;DATE=1839;;;TITLE=The Honduras almanack, for the year of our Lord ...;;;DESC=vol 1 to 7 of 7 / 1st ed;;;IMPRINT=^^^;;;CAT 0=^^^;;;CAT 1=^^^;;;CAT 2=^^^;;;AV=^^^;;;NOTE=vols for 1826, 1827, 1828, 1829, 1830, 1832, 1839 extant /// HA 1826 https://www.worldcat.org/oclc/950944267 [in BL] / HA 1827 https://www.worldcat.org/oclc/950947887 / HA 1828 https://www.worldcat.org/oclc/266074037 [in AAS and KCL] / HA 1829 https://www.worldcat.org/oclc/682190774 / HA 1830 https://www.worldcat.org/oclc/266074037 [in AAS, NYHS, Yale] / HA 1832 https://www.worldcat.org/oclc/266074037 / HA 1839 https://www.worldcat.org/oclc/266074037 /// 1826-1827 and 1829-1830 in BL http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01001150023 /// 1826-1828 and 1830 in AAS https://catalog.mwa.org/vwebv/search?searchArg1=Honduras+Almanack&searchCode1=GKEY&argType1=all&searchType=2&sk=en_US /// 1826, 1828-1830, 1832 and 1839 at Cambridge https://idiscover.lib.cam.ac.uk/permalink/f/t9gok8/44CAM_ALMA21412588010003606 /// Possibly continued in 1879-1888 British Honduras Almanac [https://idiscover.lib.cam.ac.uk/permalink/f/t9gok8/44CAM_ALMA21317879910003606 / https://idiscover.lib.cam.ac.uk/permalink/f/t9gok8/44CAM_ALMA21295448360003606] / in 1895 Angelus Almanac [https://idiscover.lib.cam.ac.uk/permalink/f/t9gok8/44CAM_ALMA21295422150003606] /// 1829 copy https://hdl.handle.net/2027/nnc1.cu56617763 /// 1839 copy https://www.dloc.com/AA00064481/00001;;;SOURCE=AN - Draft:English settling of Belize;;;SURL=https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize;;;END###"	S 860	Hon Alm	HA / Hon Alm / Hon Alm nn	1	7	P	^^^	1826	1839	"The Honduras almanack, for the year of our Lord ..."	vol 1 to 7 of 7 / 1st ed	^^^	^^^	^^^	^^^	^^^	"vols for 1826, 1827, 1828, 1829, 1830, 1832, 1839 extant /// HA 1826 https://www.worldcat.org/oclc/950944267 [in BL] / HA 1827 https://www.worldcat.org/oclc/950947887 / HA 1828 https://www.worldcat.org/oclc/266074037 [in AAS and KCL] / HA 1829 https://www.worldcat.org/oclc/682190774 / HA 1830 https://www.worldcat.org/oclc/266074037 [in AAS, NYHS, Yale] / HA 1832 https://www.worldcat.org/oclc/266074037 / HA 1839 https://www.worldcat.org/oclc/266074037 /// 1826-1827 and 1829-1830 in BL http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01001150023 /// 1826-1828 and 1830 in AAS https://catalog.mwa.org/vwebv/search?searchArg1=Honduras+Almanack&searchCode1=GKEY&argType1=all&searchType=2&sk=en_US /// 1826, 1828-1830, 1832 and 1839 at Cambridge https://idiscover.lib.cam.ac.uk/permalink/f/t9gok8/44CAM_ALMA21412588010003606 /// Possibly continued in 1879-1888 British Honduras Almanac [https://idiscover.lib.cam.ac.uk/permalink/f/t9gok8/44CAM_ALMA21317879910003606 / https://idiscover.lib.cam.ac.uk/permalink/f/t9gok8/44CAM_ALMA21295448360003606] / in 1895 Angelus Almanac [https://idiscover.lib.cam.ac.uk/permalink/f/t9gok8/44CAM_ALMA21295422150003606] /// 1829 copy https://hdl.handle.net/2027/nnc1.cu56617763 /// 1839 copy https://www.dloc.com/AA00064481/00001"	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###												
"PUR;;;OID=^^^;;;AID=Kinsbruner;;;OAID=Kinsbruner & Langer 2008;;;FM=1;;;TO=6;;;FORM=P;;;PRIM=^^^;;;DATE=2008;;;DATE=2008;;;TITLE=Encyclopedia of Latin American History and Culture;;;DESC=vol 1 to 6 of 6 / 2nd ed;;;IMPRINT=^^^;;;CAT 0=https://www.encyclopedia.com/humanities/encyclopedias-almanacs-transcripts-and-maps/wallace-peter;;;CAT 1=http://id.lib.harvard.edu/alma/990114896650203941/catalog;;;CAT 2=^^^;;;AV=^^^;;;NOTE=v. 1. A-B -- v. 2. C-D -- v. 3. E-I -- v. 4. J-O -- v. 5. P-S -- v. 6. T-Z. / Wallace, Peter in vol 6;;;SOURCE=AN - Draft:English settling of Belize;;;SURL=https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize;;;END###"	^^^	Kinsbruner	Kinsbruner & Langer 2008	1	6	P	^^^	2008	2008	Encyclopedia of Latin American History and Culture	vol 1 to 6 of 6 / 2nd ed	^^^	https://www.encyclopedia.com/humanities/encyclopedias-almanacs-transcripts-and-maps/wallace-peter	http://id.lib.harvard.edu/alma/990114896650203941/catalog	^^^	^^^	"v. 1. A-B -- v. 2. C-D -- v. 3. E-I -- v. 4. J-O -- v. 5. P-S -- v. 6. T-Z. / Wallace, Peter in vol 6"	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###												
PUR;;;OID=^^^;;;AID=^^^;;;OAID=Ronciere;;;FM=1;;;TO=6;;;FORM=P;;;PRIM=0;;;DATE=1899;;;DATE=1932;;;TITLE=Histoire de la marine française;;;DESC=vol 1 to 6 of 6 / 1st to 2nd ed;;;IMPRINT=^^^;;;CAT 0=http://id.lib.harvard.edu/alma/990032697730203941/catalog;;;CAT 1=http://id.lib.harvard.edu/alma/990015222610203941/catalog;;;CAT 2=https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001103669599;;;AV=^^^;;;NOTE=I. Les Origines. - 1899 ; II. La Guerre de Cent ans. Révolution maritime. - 1900 ; III. Les Guerres d'Italie. Liberté des mers. - 1906 ; IV. En quête d'un empire colonial. Richelieu. - 1910 ; V. La Guerre de Trente ans. Colbert. - 1920 ; VI. Le Crépuscule du grand règne. L'Apogée de la guerre de course. - 1932 / BnF = http://ark.bnf.fr/ark:/12148/cb340657338;;;SOURCE=AN - orig data sources 1.2.numbers;;;SURL=/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data sources 1.2.numbers;;;END###	^^^	^^^	Ronciere	1	6	P	0	1899	1932	Histoire de la marine française	vol 1 to 6 of 6 / 1st to 2nd ed	^^^	http://id.lib.harvard.edu/alma/990032697730203941/catalog	http://id.lib.harvard.edu/alma/990015222610203941/catalog	https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001103669599	^^^	I. Les Origines. - 1899 ; II. La Guerre de Cent ans. Révolution maritime. - 1900 ; III. Les Guerres d'Italie. Liberté des mers. - 1906 ; IV. En quête d'un empire colonial. Richelieu. - 1910 ; V. La Guerre de Trente ans. Colbert. - 1920 ; VI. Le Crépuscule du grand règne. L'Apogée de la guerre de course. - 1932 / BnF = http://ark.bnf.fr/ark:/12148/cb340657338	AN - orig data sources 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data sources 1.2.numbers	###												
"PUR;;;OID=S 1400;;;AID=L Munoz;;;OAID=Lujan;;;FM=1;;;TO=6;;;FORM=P;;;PRIM=^^^;;;DATE=1993;;;DATE=1999;;;TITLE=Historia General de Guatemala;;;DESC=vol 1 to 6 of 6 / ^^^ ed;;;IMPRINT=Guatemala: Asociación de Amigos del País, Fundación para la Cultura y el Desarollo;;;CAT 0=^^^;;;CAT 1=^^^;;;CAT 2=^^^;;;AV=^^^;;;NOTE=v 2: http://fundacionhcg.org/libros/lq/tomoii/#p=1 / v 3: http://fundacionhcg.org/libros/lq/tomoiii/ /// See vol 3 cap ^^^ re Eng presence in colonial Guat;;;SOURCE=^^^;;;SURL=^^^;;;END###"	S 1400	L Munoz	Lujan	1	6	P	^^^	1993	1999	Historia General de Guatemala	vol 1 to 6 of 6 / ^^^ ed	"Guatemala: Asociación de Amigos del País, Fundación para la Cultura y el Desarollo"	^^^	^^^	^^^	^^^	v 2: http://fundacionhcg.org/libros/lq/tomoii/#p=1 / v 3: http://fundacionhcg.org/libros/lq/tomoiii/ /// See vol 3 cap ^^^ re Eng presence in colonial Guat	^^^	^^^	###												
"PUR;;;OID=^^^;;;AID=^^^;;;OAID=Edwards;;;FM=1;;;TO=5;;;FORM=P;;;PRIM=0;;;DATE=1819;;;DATE=1819;;;TITLE=The history, civil and commercial of the British West Indies;;;DESC=vol 1 to 5 of 5 / 5th ed;;;IMPRINT=^^^;;;CAT 0=https://hollis.harvard.edu/permalink/f/1mdq5o5/TN_cdi_crkn_books_44291;;;CAT 1=http://id.lib.harvard.edu/alma/990073183670203941/catalog;;;CAT 2=^^^;;;AV=^^^;;;NOTE=First published 1793 in two vols [Dublin, Luke White, 1793, http://id.lib.harvard.edu/alma/990124147610203941/catalog] /// 1794 The history, civil and commercial [London, for John Stockdale Piccadilly, 1794, in two vols, 2nd ed, http://id.lib.harvard.edu/alma/990122845000203941/catalog] / 1801 The history [London, for John Stockdale, 1801, in 3 vols, 3rd ed with considerable additions, http://id.lib.harvard.edu/alma/990018460620203941/catalog] / 1807 The history [London, for J Stockdale, in 3 vols, 4th ed, http://id.lib.harvard.edu/alma/990020621510203941/catalog] / 1819 The history [London, for G and WB Whittaker, 1819], in 5 vols, 5th ed with maps and plates;;;SOURCE=AN - orig data sources 1.2.numbers;;;SURL=/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data sources 1.2.numbers;;;END###"	^^^	^^^	Edwards	1	5	P	0	1819	1819	"The history, civil and commercial of the British West Indies"	vol 1 to 5 of 5 / 5th ed	^^^	https://hollis.harvard.edu/permalink/f/1mdq5o5/TN_cdi_crkn_books_44291	http://id.lib.harvard.edu/alma/990073183670203941/catalog	^^^	^^^	"First published 1793 in two vols [Dublin, Luke White, 1793, http://id.lib.harvard.edu/alma/990124147610203941/catalog] /// 1794 The history, civil and commercial [London, for John Stockdale Piccadilly, 1794, in two vols, 2nd ed, http://id.lib.harvard.edu/alma/990122845000203941/catalog] / 1801 The history [London, for John Stockdale, 1801, in 3 vols, 3rd ed with considerable additions, http://id.lib.harvard.edu/alma/990018460620203941/catalog] / 1807 The history [London, for J Stockdale, in 3 vols, 4th ed, http://id.lib.harvard.edu/alma/990020621510203941/catalog] / 1819 The history [London, for G and WB Whittaker, 1819], in 5 vols, 5th ed with maps and plates"	AN - orig data sources 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data sources 1.2.numbers	###												
