Table 1
P	TAB	URL	NO	REF	LVL	DATES	AGIID	AGIID DUP
1	"<tr class=""odd""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347272?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347272"" onerror=""sin_thumbnail('347272')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347272""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel19.gif"" title=""File"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347272?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347272""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1634-01-28 / 1635-02-01</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,15,R.13,N.79</p></td></tr>"	http	15	"GUATEMALA,15,R.13,N.79"	Uc	1634-01-28 / 1635-02-01	347272	0
1	"<tr class=""even""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347296?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347296"" onerror=""sin_thumbnail('347296')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347296""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel19.gif"" title=""File"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347296?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347296""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1639-01-12 / 1640-07-27</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,16,R.1,N.1</p></td></tr>"	http	16	"GUATEMALA,16,R.1,N.1"	Uc	1639-01-12 / 1640-07-27	347296	0
1	"<tr class=""even""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347336?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347336"" onerror=""sin_thumbnail('347336')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347336""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel19.gif"" title=""File"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347336?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347336""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1645-07-06 / 1645-09-30</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,16,R.6,N.41</p></td></tr>"	http	16	"GUATEMALA,16,R.6,N.41"	Uc	1645-07-06 / 1645-09-30	347336	0
1	"<tr class=""even""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347353?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347353"" onerror=""sin_thumbnail('347353')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347353""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel19.gif"" title=""File"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347353?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347353""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1647-05 / 1648-09-03</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,16,R.8,N.55</p></td></tr>"	http	16	"GUATEMALA,16,R.8,N.55"	Uc	1647-05 / 1648-09-03	347353	0
1	"<tr class=""odd""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347315?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347315"" onerror=""sin_thumbnail('347315')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347315""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel19.gif"" title=""File"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347315?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347315""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1642-12-19 / 1643-12-03</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,16,R.3,N.20</p></td></tr>"	http	16	"GUATEMALA,16,R.3,N.20"	Uc	1642-12-19 / 1643-12-03	347315	0
1	"<tr class=""odd""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347340?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347340"" onerror=""sin_thumbnail('347340')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347340""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel19.gif"" title=""File"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347340?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347340""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1646-07-30 / 1647-07-16</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,16,R.7,N.45</p></td></tr>"	http	16	"GUATEMALA,16,R.7,N.45"	Uc	1646-07-30 / 1647-07-16	347340	0
1	"<tr class=""odd""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347358?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347358"" onerror=""sin_thumbnail('347358')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347358""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel19.gif"" title=""File"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347358?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347358""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1647-06-28 / 1648-09-26</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,16,R.8,N.60</p></td></tr>"	http	16	"GUATEMALA,16,R.8,N.60"	Uc	1647-06-28 / 1648-09-26	347358	0
1	"<tr class=""even""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347365?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347365"" onerror=""sin_thumbnail('347365')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347365""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel19.gif"" title=""File"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347365?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347365""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1648-03-17 / 1649-01-09</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,17,R.1,N.4</p></td></tr>"	http	17	"GUATEMALA,17,R.1,N.4"	Uc	1648-03-17 / 1649-01-09	347365	0
1	"<tr class=""even""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347370?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347370"" onerror=""sin_thumbnail('347370')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347370""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel19.gif"" title=""File"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347370?nm"">Cartas de Audiencia&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347370""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1648-03-20 / 1653-04-22</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,17,R.1,N.9</p></td></tr>"	http	17	"GUATEMALA,17,R.1,N.9"	Uc	1648-03-20 / 1653-04-22	347370	0
1	"<tr class=""even""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347376?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347376"" onerror=""sin_thumbnail('347376')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347376""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel19.gif"" title=""File"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347376?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347376""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1649-02-28 / 1652-04-20</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,17,R.2,N.15</p></td></tr>"	http	17	"GUATEMALA,17,R.2,N.15"	Uc	1649-02-28 / 1652-04-20	347376	0
1	"<tr class=""even""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347402?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347402"" onerror=""sin_thumbnail('347402')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347402""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel19.gif"" title=""File"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347402?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347402""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1651-06-01 / 1652-03-06</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,17,R.4,N.41</p></td></tr>"	http	17	"GUATEMALA,17,R.4,N.41"	Uc	1651-06-01 / 1652-03-06	347402	0
1	"<tr class=""even""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347420?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347420"" onerror=""sin_thumbnail('347420')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347420""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel19.gif"" title=""File"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347420?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347420""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1651-07-02 / 1652-04-20</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,17,R.4,N.59</p></td></tr>"	http	17	"GUATEMALA,17,R.4,N.59"	Uc	1651-07-02 / 1652-04-20	347420	0
1	"<tr class=""odd""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347368?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347368"" onerror=""sin_thumbnail('347368')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347368""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel19.gif"" title=""File"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347368?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347368""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1648-03-18 / 1654-05-12</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,17,R.1,N.7</p></td></tr>"	http	17	"GUATEMALA,17,R.1,N.7"	Uc	1648-03-18 / 1654-05-12	347368	0
1	"<tr class=""odd""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347375?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347375"" onerror=""sin_thumbnail('347375')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347375""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel19.gif"" title=""File"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347375?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347375""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1649-02-27 / 1651-02-17</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,17,R.2,N.14</p></td></tr>"	http	17	"GUATEMALA,17,R.2,N.14"	Uc	1649-02-27 / 1651-02-17	347375	0
1	"<tr class=""odd""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347388?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347388"" onerror=""sin_thumbnail('347388')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347388""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel19.gif"" title=""File"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347388?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347388""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1649-05-20 / 1652-03-04</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,17,R.2,N.27</p></td></tr>"	http	17	"GUATEMALA,17,R.2,N.27"	Uc	1649-05-20 / 1652-03-04	347388	0
