Table 1
P	TAB	URL	NO	REF	LVL	DATES	AGIID	AGIID DUP
1	"<tr class=""odd""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347263?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347263"" onerror=""sin_thumbnail('347263')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347263""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel20.gif"" title=""Item or Associated Element of Description"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347263?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347263""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1630-01-14</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,15,R.9,N.70</p></td></tr>"	http	15	"GUATEMALA,15,R.9,N.70"	Us	1630-01-14	347263	0
1	"<tr class=""even""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347264?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347264"" onerror=""sin_thumbnail('347264')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347264""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel20.gif"" title=""Item or Associated Element of Description"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347264?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347264""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1630-01-15</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,15,R.9,N.71</p></td></tr>"	http	15	"GUATEMALA,15,R.9,N.71"	Us	1630-01-15	347264	0
1	"<tr class=""odd""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347265?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347265"" onerror=""sin_thumbnail('347265')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347265""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel20.gif"" title=""Item or Associated Element of Description"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347265?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347265""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1630-11-23</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,15,R.9,N.72</p></td></tr>"	http	15	"GUATEMALA,15,R.9,N.72"	Us	1630-11-23	347265	0
1	"<tr class=""even""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347266?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347266"" onerror=""sin_thumbnail('347266')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347266""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel20.gif"" title=""Item or Associated Element of Description"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347266?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347266""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1630-11-26</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,15,R.9,N.73</p></td></tr>"	http	15	"GUATEMALA,15,R.9,N.73"	Us	1630-11-26	347266	0
1	"<tr class=""odd""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347267?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347267"" onerror=""sin_thumbnail('347267')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347267""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel20.gif"" title=""Item or Associated Element of Description"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347267?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347267""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1631-05-05</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,15,R.10,N.74</p></td></tr>"	http	15	"GUATEMALA,15,R.10,N.74"	Us	1631-05-05	347267	0
1	"<tr class=""even""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347268?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347268"" onerror=""sin_thumbnail('347268')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347268""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel20.gif"" title=""Item or Associated Element of Description"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347268?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347268""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1631-08-29</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,15,R.10,N.75</p></td></tr>"	http	15	"GUATEMALA,15,R.10,N.75"	Us	1631-08-29	347268	0
1	"<tr class=""odd""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347269?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347269"" onerror=""sin_thumbnail('347269')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347269""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel20.gif"" title=""Item or Associated Element of Description"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347269?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347269""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1632-02-21</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,15,R.11,N.76</p></td></tr>"	http	15	"GUATEMALA,15,R.11,N.76"	Us	1632-02-21	347269	0
1	"<tr class=""even""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347270?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347270"" onerror=""sin_thumbnail('347270')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347270""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel20.gif"" title=""Item or Associated Element of Description"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347270?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347270""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1632-03-22</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,15,R.11,N.77</p></td></tr>"	http	15	"GUATEMALA,15,R.11,N.77"	Us	1632-03-22	347270	0
1	"<tr class=""odd""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347271?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347271"" onerror=""sin_thumbnail('347271')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347271""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel20.gif"" title=""Item or Associated Element of Description"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347271?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347271""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1633-01-07</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,15,R.12,N.78</p></td></tr>"	http	15	"GUATEMALA,15,R.12,N.78"	Us	1633-01-07	347271	0
1	"<tr class=""even""><td style=""padding: 0.5em; min-width: 75px; text-align:center""><a href=""/ParesBusquedas20/catalogo/show/347273?nm"" id=""thumbnail""><img src=""/ParesBusquedas20/catalogo/showthumbnail/347273"" onerror=""sin_thumbnail('347273')""></a></td><td><p class=""titulo""><input type=""checkbox"" name=""sel"" value=""347273""><img class=""iconoNivel"" src=""/ParesBusquedas20/img/iconoNivel20.gif"" title=""Item or Associated Element of Description"">&nbsp;<a href=""/ParesBusquedas20/catalogo/description/347273?nm"">CARTAS DE AUDIENCIA&nbsp;</a><a class=""btn_ventana_nueva"" target=""_blank"" href=""/ParesBusquedas20/catalogo/description/347273""><img src=""/ParesBusquedas20/img/flecha_ventana_nueva.jpg"" width=""20"" height=""15"" alt=""Open link in new window"" class=""icono""></a></p><p class=""tipo_archivo""><em class=""destacado"">Archive: </em>Archivo General de Indias</p><p class=""fecha""><em class=""destacado"">Dates: </em>1634-03-28</p><p class=""signatura""><em class=""destacado"">Reference number: </em>GUATEMALA,15,R.13,N.80</p></td></tr>"	http	15	"GUATEMALA,15,R.13,N.80"	Us	1634-03-28	347273	0
