Table 1
ID	OID	SER	FM	CF	URL	REL	EXT	START	STOP	PIR	DEF	IMG	FOL	CAT SUMM	PARAS	NOTE	SOURCE	SURL	END		
^^^	^^^	Gob	Yuc	MX 359 ram 10 no 61	http://pares.mcu.es/ParesBusquedas20/catalogo/description/369575	^^^	^^^	19 Feb 1610	^^^	^^^	^^^	^^^	^^^	"Expediente de Antonio de Figueroa, Gobernador de Yucatán, sobre que se le den despachos. /v PARES cat / g.or de yucatan ~ Pide Una licençia para Un criado mas q. sean çinco pues se an dado a[ill] a sus antecesores. y q. las se[ill] de los dos las de en serviz.o por tenerlos alla. /v covering fol img 2"	"don Ant.o de fig.a a quien V.M. a hecho m.d de mandarle le siva en el govierno de yucatan dize q se me an conçedido lic.a para quatro criados haviendose dado a todos mis anteçesores ocho Ssupp.co A V.M. se me de p.a uno mas q sean çinco y por tener los dos dellos en serv.o de las se[ill]s de estos a[ill] y a [ill] los tres en q. Recevire muy gre[ill] /v img 1 / don phelip[ill] Teni.do cons[ill]on., a lo que bos don antonio de figueroa me abeis servido Y la Relaçion q se me a echo de las buenas partes meritos y sufiçiençia que en v.ra Perss.a concurren Y esperando continuareis mi serviçio en lo que os encargare con la fidelidad que se rrequiere tengo por vien Y es mi mnd.o que ag.a y de aqui adelante por tiempo Y espaçio de çinco años mas o menos el q [ill]ere mi boluntad seais mi governador de la provi.a de yucattan en Lugar de don carlos de luna y arellano mi governador que al Res.te [Res.de?] Es della de mas de los quales cinco años os señalo seis meses Para llegar a tomar la posesion del dho offiçio y an de correr desde [...] [start img 4] [start img 5] [start img 6] /v img 3-6"	re expediente de gob re personal household /v covering fol img 2	^^^	^^^	###	993	
^^^	^^^	Gob	Yuc	MX 359 ram 10 no 60	http://pares.mcu.es/ParesBusquedas20/catalogo/description/369574	^^^	^^^	19 Feb 1610	^^^	^^^	^^^	^^^	^^^	"Carta de Carlos de Luna y Arellano, Gobernador de Yucatán. /v PARES cat"	^^^	re algunos Indios ynquietos en Tecax / con testimonio del proçeso [contra indios] que ba con esta /v f 1 img 1 / 77 IMGS MAY NEED CLOSER RDG 17 JUL 2022	^^^	^^^	###	994	
^^^	^^^	Gob	Yuc	MX 359 ram 10 no 62	http://pares.mcu.es/ParesBusquedas20/catalogo/description/369576	^^^	^^^	19 Jan 1612	22 Feb 1613	^^^	^^^	^^^	^^^	^^^	^^^	re expediente sobre nombramiento de teniente de gob /v PARES cat / 13 IMGS MAY NEED CLOSER RDG 17 JUL 2022	^^^	^^^	###	995	
^^^	^^^	Gob	Yuc	MX 359 ram 10 no 63	http://pares.mcu.es/ParesBusquedas20/catalogo/description/369577	^^^	^^^	17 May 1614	^^^	^^^	^^^	^^^	^^^	^^^	^^^	re expediente sobre que se concedan ayudas de costa a gob para realizar visita a su gobernación /v PARES cat / 22 IMGS MAY NEED CLOSER RDG 17 JUL 2022	^^^	^^^	###	996	
^^^	^^^	Gob	Yuc	MX 359 ram 11 no 66	http://pares.mcu.es/ParesBusquedas20/catalogo/description/369578	^^^	^^^	8 Jul 1616	^^^	^^^	^^^	^^^	^^^	^^^	^^^	re memo de gob re personal household /v PARES cat	^^^	^^^	###	997	
^^^	^^^	Gob	Yuc	MX 359 ram 12 no 67	http://pares.mcu.es/ParesBusquedas20/catalogo/description/369579	^^^	^^^	20 Dec 1620	^^^	^^^	^^^	^^^	^^^	^^^	^^^	re memo de gob re personal household /v PARES cat	^^^	^^^	###	998	
^^^	^^^	Gob	Yuc	MX 359 ram 12 no 68	http://pares.mcu.es/ParesBusquedas20/catalogo/description/369580	^^^	^^^	20 May 1622	^^^	^^^	^^^	^^^	^^^	^^^	^^^	re residencia de gob and reasons against it /v f 1 img 1 / testimonio autus e[ill]ado della y de las demas autos y comiscones y estado de la caussa Remito con esta /v f 2 img 2	^^^	^^^	###	999	
^^^	^^^	Gob	Yuc	MX 359 ram 12 no 69	http://pares.mcu.es/ParesBusquedas20/catalogo/description/369581	^^^	^^^	9 Nov 1622	^^^	^^^	^^^	^^^	^^^	^^^	^^^	re los negoçios del servici.o de Su Mag.d /v f 1 img 1 / 60 IMGS BLURRY TEXT MAY NEED CLOSER RDG 17 JUL 2022	^^^	^^^	###	1000	
^^^	^^^	Gob	Yuc	MX 359 ram 12 no 70	http://pares.mcu.es/ParesBusquedas20/catalogo/description/369582	^^^	^^^	22 Nov 1623	^^^	^^^	^^^	^^^	^^^	^^^	^^^	re memo sobre le nombramiento de teniente de gob /v PARES cat	^^^	^^^	###	1001	
^^^	^^^	Gob	Yuc	MX 359 ram 12 no 71	http://pares.mcu.es/ParesBusquedas20/catalogo/description/369583	^^^	^^^	17 Oct 1624	^^^	^^^	^^^	^^^	^^^	^^^	^^^	re traslado de título de capitán de guerra a las cortes de Yuc /v PARES cat	^^^	^^^	###	1002	
^^^	^^^	Gob	Yuc	MX 359 ram 12 no 72	http://pares.mcu.es/ParesBusquedas20/catalogo/description/369584	^^^	^^^	18 Nov 1624	^^^	^^^	^^^	^^^	^^^	^^^	^^^	"re traslado de real cedula sobreq ue se interrumpa la pacificación de los indios Taysasis, Lacoindones y otros /v PARES cat"	^^^	^^^	###	1003	
^^^	^^^	Gob	Yuc	MX 359 ram 12 no 73	http://pares.mcu.es/ParesBusquedas20/catalogo/description/369585	^^^	^^^	4 Nov 1627	^^^	^^^	^^^	^^^	^^^	^^^	^^^	re memo sobre el empleo de un oficial real /v PARES cat	^^^	^^^	###	1004	
^^^	^^^	Gob	Yuc	MX 359 ram 13 no 74	http://pares.mcu.es/ParesBusquedas20/catalogo/description/369586	^^^	^^^	10 Feb 1629	^^^	^^^	^^^	^^^	^^^	^^^	^^^	re memo de agrarios contra gobernadores de los naturales de la provincia de Tabasco /v PARES cat	^^^	^^^	###	1005	
^^^	^^^	Gob	Yuc	MX 359 ram 13 no 75	http://pares.mcu.es/ParesBusquedas20/catalogo/description/369587	^^^	^^^	9 May 1629	^^^	^^^	^^^	^^^	^^^	^^^	^^^	re carta de V Mgd su f.ha de veinte de mayo de seis y veinte y sieta En la q. V Mg.d da a entender el celo x[ill]ristianisimo Con que de hordinario esta en Raçon de la pax y quietud de sus basallos de que esta çiu.d esta muy agradecida /v f 1 img 1 / 11 IMGS MAY NEED CLOSER READING 17 JUL 2022 	^^^	^^^	###	1006	
