Table 1
ID	OID	CF	LOC	QUOTE	NOTES	RE 0	DESC	ATT	CLG	FLR	DATE	SETTLEMENT DEF	DESC	SOURCE	SURL	END	
d0	^^^	B-Thomas	p 139	‘Wallice’ was “Lieutenant among the Bucaniers who formerly infested these seas..............he first discovered the mouth of the River Belize”.	"Quote from Hon Alm for 1827 p 5 / Deemed a 'Wallace'-related 'foundation myth' which 'can now be shown to be false' ie 'can be laid to rest' ie ‘[is] without foundation’ /v B-Thomas pp 138, 144-145"	Old R	Lt buccaneer discovers Old R	2n	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d1	^^^	Ancona	vol 2 pp 371-372	"“Dícese que un [start p 372] bucanero escosés, atrevido y emprendedor, llamado Petter Wallace, movido de la fama de las riquezas que se ganaban en aquellas expediciones infames, y asociado de los mas resueltos de sus camaradas, determinó buscar un sitio á propósito en que colocar perpétuamente su guarida, á fin de salir á sus piraterías en la mejor ocasion y volver con toda seguridad. Como esto ocurria á mediados del siglo XVII, la costa de Yucatan, bañada del golfo de Honduras, se hallaba totalmente deshabitada de españoles, pues el único establecimiento que allí habia, el de Bacalar, habia sido aniquilado por la irrupcion del filibustero Abraham, y por la sublevacion de los indios de aquel distrito. Wallace hizo un perfecto reconocimiento de aquellos bajos y arrecifes, y despues de un exámen diligente, halló en nuestras costas un rio, enteramente á cubierto por una serie de cayos y bajos; y desembarcó allí con unos ochenta piratas, que desde el momento mismo construyeron unas cuantas chozas circunvaladas de una especia de empalizada ó ruda fortaleza. Dieron aquellos aventureros el nombre de Wallace al rio, en cuyas márgenes se establecieron: nombre que despues degeneró en Wallix, y por último en Belice, que es como lo nombran los geógrafos modernos, y así se denomina en las actas oficiales del gobiero inglés” (3) [Ojeada sobre el establecimiento británico de Belice, publicada en el Fénix]."	"Quote from Fenix ^^^ column Ojeada sobre el establecimiento británico de Belice / Hay dos pequeñas inexactitudes en este relato, que conviene hacer notar, aunque no afecten á la esencia de la materia que venimos examinando ie re name 'Belice' given rather as 'Balize' in anglophone records, and re Bacalar which was not 'destruida' so much as 'llevado al mas triste estado de decadencia' ie 'se mantuvo casi siempre en su antiguo sitio [in siglo XVII] como el centinela avanzado de la provincia en aquella region' ie '[s]us vecinos y autoridades no la desampararon, sino momentáneamente, en la ocasion de que en otra parte hemos hablado (4) [Ancona ^^^ lib IV cap IV]’ /v Ancona 2 pp 372-373 /// En cuanto á que Belice deba su fundacion á Petter Wallace, debemos hacer notar que algunos críticos han puesto en duda la existencia de este aventurero, fundándose en que su nombre no se registra, ni como célebre, ni como indiferente, en la historia de la piratería. El Sr. Sierra no acostumbraba citar las fuentes de donde sacaba sus noticias, y esta circunstancia nos priva del placer de intentar su defensa. No es sin embargo el único escritor que ha hablado casi en los mismos términos del filibustero escosés. Tambien [lo hizo] Stephens [in Stephens 1 cap 1] /v Ancona 2 p 373 /// [T]emiendo perder algun dia las ganancias que les proporcionaba [la ocupacion del territerio de las provincias de Yucatan y de Honduras], imaginaron un ardid para dar á su usurpacion un viso de legalidad. Atribúyese el pensamiento al mismo Wallace, de quien se dice que celebró un tratado con el cacique de los indios MOSQUITOS para que le cediese el terreno en que fundó su establecimiento (9) [Sierra, opúsculo citado ie in Fenix]. Ignoramos el crédito que deba darse á esta asercion, porque no conocemos las fuentes de donde ha sido tomada. /v Ancona 2 p 377"	Old R	bucanero escosés y 80 asociados piratas buscan un sitio á propósito en que colocar perpétuamente su guarida á fin de salir á sus piraterías y despues de examén diligente de costa yucateca en Bahía de Hon hallan Old R	1p	^^^	^^^	á mediados del siglo XVII / despues de aniquilado Bacalar por Abraham y sublevacion de indios	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d2	^^^	B-Thomas	p 144	"“1638 – this year a few British subjects first inhabited Honduras, having been wrecked on the coast.”"	"Quote from Hon Alm for 1829 p 40 / Deemed a shipwrecked-sailors-related 'foundation myth' which 'can now be shown to be false' ie 'can be laid to rest’ ie ‘[is] without foundation’ /v B-Thomas pp 138, 144-145"	Hon	a few shipwrecked British subjects first inhabit	2n	1638	1638	in 1638	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d3	^^^	B-Thomas	pp 139-140	"“Belize owes its origin to a Scotch Corsair Chief of the name of Wallace, a native of Falkland in Kinrosshire. At the time that these formidable pirates were driven from Tortuga, a small island situated a few miles north of St. Domingo [Haiti], Wallace to escape from the just vengeance of the Spaniards fled for security amongst the numerous islands on the coast of Yucatan and [start p 140] finally settled at the mouth of the River Belize. Here after many vicissitudes both by sea and land Wallace fixed his residence, erected a few log huts and a small fortalice, which stood on the site now occupied by the handsome premises of Messrs. Boitias and Delande”."	"Quote from Hon Alm for 1839 p 2 / Deemed a 'Wallace'-related 'foundation myth' which 'can now be shown to be false' ie 'can be laid to rest' ie ‘[is] without foundation’ /v B-Thomas pp 138, 144-145 /// This version of the Wallace myth was then reproduced faithfully by John Lloyd Stephens, who visited Belize during his exploration of Maya sites in Central America (Stephens cited the Honduras Almanack as his source). /v B-Thomas p 140"	Old R	"Scotch corsair chief finds security amongs Yuc islands, finally settles at Old R, fixes residence, erects a few log huts and a small fortalice"	2n	^^^	^^^	at the time pirates were driven from Tortuga / after Scotch corsair chief Wallace escaped from the just vengeance of the Sp	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d4	^^^	B-Thomas	pp 140-141	"“Dicese que un bucanero escosés, atrevido y emprendedor, llamado Peter Wallace, movido de la fama de las riquezas que se ganaban en aquellas expediciones infames, y asociado de los mas resueltos de sus camaradas, determinó buscar un sitio a propósito en que colocar perpetuamente su guarida, a fin de salir a sus piraterías en la mejor occasión y volver con toda seguridad. Como esto ocurría a [start p 141] mediados del siglo XVII, la costa de Yucatán bañada del golfo de Honduras, se hallaba totalmente deshabitada de españoles, pues el único establecimiento que allí había, el de Bacalar, había sido aniquilado por la irrupción del filibuster Abraham y por la sublevación de los indios de aquel distrito. Wallace hizo un perfecto reconocimiento de aquellos bajos y arrecifes.......y desembarcó allí con con unos ochenta piratas, que desde el momento mismo construyeron unas cuantas chozas, circunvaladas de una especie de empalizada o ruda fortaleza”."	"Quote from magazine El Fénix published in Campeche between 1849 and 1851, attributed to Justo Sierra, via Eligio Acona, Historia de Yucatán, vol 2 [Barcelona: Imprenta de J. J. Roviralta, 1889], pp 367-368 /v B-Thomas pp 140-141 /// Deemed a 'Wallace'-related 'foundation myth' which 'can now be shown to be false' ie 'can be laid to rest' ie ‘[is] without foundation’ /v B-Thomas pp 138, 144-145"	Old R	bucanero escosés y 80 asociados piratas buscan un sitio á propósito en que colocar perpétuamente su guarida á fin de salir á sus piraterías y despues de examén diligente de costa yucateca en Bahía de Hon hallan Old R	2n	^^^	^^^	á mediados del siglo XVII / despues de aniquilado Bacalar por Abraham y sublevacion de indios	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d5	^^^	B-Thomas	p 144	“In 1638 a few British sailors were wrecked on the coast of Yucatan and would appear to have settled.”	"Quote from Gibbs p 23 / Deemed a shipwrecked-sailors-related 'foundation myth' which 'can now be shown to be false' ie 'can be laid to rest’ ie ‘[is] without foundation’ /v B-Thomas pp 138, 144-145"	^^^	a few shipwrecked British sailors appear to have settled	2n	1638	1638	in 1638	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d6	^^^	B-Thomas	p 145	"“Our history began when English and Scottish sailors (buccaneers) landed at the mouth of the Belize River in 1638. They were the first to do so and might have claimed the land in the name of the sovereign, except for the fact that this land, our land, by an accident of history was from 1494 a part of the Spanish Main.”"	"Quote from Amandala iss ^^^ for 6 May 2011 p ^^^ sec Ideas and Opinions – To the ICJ or not para ^^^ /v B-Thomas pp 144-145 /// Deemed a shipwrecked-sailors-related 'foundation myth' which 'can now be shown to be false' ie 'can be laid to rest’ ie ‘[is] without foundation’ /v B-Thomas pp 138, 144-145"	Old R	English and Scottish sailors (buccaneers) first land	2n	1638	1638	in 1638	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d7	^^^	B-Thomas	p 142	"“The ‘Wallace Legend’ suggests that a Scottish buccaneer or pirate, Peter Wallace, first settled at the mouth of the Belize River, possibly in 1638. His name was supposedly mis-spelt by the Spaniards until it changed into the word ‘Belize’. So far, there is not enough historical evidence to prove this legend.” [new para] This agnosticism with regard to the historical evidence is fortunately incorrect. We can in fact demonstrate that [Peter] Wallace never existed and therefore cannot have been the founder, or one of the founders, of Belize."	"Quote from Iyo p 287 / Deemed a 'Wallace'-related 'foundation myth' which 'can now be shown to be false' ie 'can be laid to rest’ ie ‘[is] without foundation’ /v B-Thomas pp 138, 144-145"	Old R	Scottish buccaneer or pirate first settles	2n	^^^	^^^	possibly in 1638	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d8	^^^	B-Thomas	p 139	"“The town of Belize, situated at the mouth of the river of the same name, was so called after its first discoverer, Wallice, a noted Bucanier who made this, the place of his retreat”."	"Quote from Hon Alm for 1829 p 5 / Deemed a 'Wallace'-related 'foundation myth' which 'can now be shown to be false' ie 'can be laid to rest' ie ‘[is] without foundation’ /v B-Thomas pp 138, 144-145"	Old R	bucanier first makes Old R the place of retreat	2n	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d9	^^^	B-Thomas	p 143	"“Willis, the notorious Buccaneer, was the first Englishman [sic] who settled on the banks of the river to which he gave his name. The Spaniards called it Walis, and the corrupting influence of time has softened it to Belize. The ex-governor of Tortuga sought his retreat on the shores and isles of Yucatan, where a multitude of his subjects or friends, who preferred a distant fortune to a narrow home, quickly joined him.”"	"Quote from Bridges 2 p 134, with content sourced from “two highly respectable and well- informed inhabitants of Honduras, George Westby and Thomas Pickstock, Esquires” per Bridges 2 pp 497-505 /// Deemed a 'Wallace'-related 'foundation myth' which 'can now be shown to be false' ie 'can be laid to rest' /v B-Thomas pp 138, 144 /// [T]here can be no doubt that the ‘ex-governor of Tortuga’ referred to by the French writers [du Tertre 1667, Charlevoix 1733], the Honduras Almanack [for 1827] and Bridges [1828] was none other than Captain James. This man never went to Belize, although he does appear in 1663 in a list of buccaneers operating from Jamaica and Tortuga.[cf Haring p 273] Intriguingly, he is also cited in the apocryphal story by Gibbs [in Gibbs p 24] as the sea captain who discovered the value of logwood in 1655.[cf Gibbs p 24, quoting Hon Alm for 1826, Hon Alm for 1827, originally via Dampier, A voyage to New Holland, &c., in the year 1699, London:Printed for James Knapton, 1699, though this story 'is demonstrably false'] /v B-Thomas p 144 /// 1639 - Tortuga settlers elect Roger Floud as governor, former sheriff of Old Prov / ≥ 1639 - Tortuga elect James, alias Pres. James in Old Prov records, as leader / 1640 - British settlers routed fm Tortuga by French fm St Kitts / 1667 - du Terte, with testimony from French gov of Tortuga, claims 300 buccaneers chose ‘un anglais’ as their chief in 1640 [cf du Tertre, Histoire generale des antilles habitees par les françois, Paris: Jolly, 1667] / 1733 - Charlevoix repeats du Tertre intel, adding “Parmi les Anglois.....il y en avoit un, nommé Willis, qui étoit homme de tête & de résolution” [cf Charlevoix et le Pers, Histoire de l'isle espagnole ou de s. domingue, vol 2, Amsterdam: François l'Honoré, 1733, pp 10-11] / 1914 - Newton suggests James's first name was ‘William’ st Charlevoix confused first and second names [cf Newton, 1914, p 281 fn 10] /v B-Thomas pp 143-144"	Old R	Englishman first settled	2n	^^^	^^^	after period as governor of Tortuga 	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
