Series S 0—435 / Primary and secondary sources.
ID	NO	PRIMARY	TYPE	ALT ID			SIZE		ITEM				CITY	COUNTRY	FIRST PUB	LAST PUB	AUTHORS	EDITORS	JOURNAL	V	I			LINK	
S 0	0	0	P	Adams			3		The Cambridge History of the Native Peoples of the Americas				Cambridge	UK	1996	xxx		"R. E. W. Adams, M. J. MacLeod"						https://www-cambridge-org.ezp-prod1.hul.harvard.edu/core/series/cambridge-history-of-the-native-peoples-of-the-americas/4C505D0578405CDB65145628352F3B82	
S 8	8	0	A	Allen					"Sketch of the Eastern Coast of Central America, Compiled from Notes of Captain Richard Owen and the Officers of Her Majesty's Ship Thunder, and Schooner Lark"						1841		B. Allen		Journal of the Royal Geographical Society	11				https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/WJSWUN066496772/NCCO?u=camb55135&sid=NCCO&xid=3aaff7ff	
S 9	9	0	P	Alsedo			1		Piraterías y agresiones de los ingleses y de otros pueblos de Europa en la América española desde el siglo XVI al XVIII				Madrid	Spain	1883		D. de Alsedo y Herrera							https://www.google.com/books/edition/Pirater%C3%ADas_y_agresiones_de_los_ingleses/MasMAAAAYAAJ?hl=en&gbpv=1&printsec=frontcover	
S 10	10	0	P	Alves			1		Guerra y fiscalidad en la Iberoamérica colonial				Mexico	Mexico	2012			"A. Alves Carrara, E. Sánchez Santiró"						file:///Users/angelnavidad/Downloads/Entre_la_paz_y_la_guerra_el_gasto_milita.pdf	
S 11	11	0	P	Ancona			5		"Historia de Yucatan, desde la època más remota hasta nuestros dias"				Merida	Mexico	1878	xxx	E. Ancona							"Google v 2,3,4: http://nrs.harvard.edu/urn-3:HUL.FIG:003871492"	
S 		0	P	Anderson			1		Mahogany: The Costs of Luxury in Early America				Cambridge	USA	2012		J. L. Anderson							https://doi-org.ezp-prod1.hul.harvard.edu/10.4159/harvard.9780674067264	
S 14	14	0	MS	Antochiw					ALEJANDRO JOSEPH DE GUELLE						2004		M. Antochiw							http://observatoriogeograficoamericalatina.org.mx/egal9/Geografiasocioeconomica/Geografiacultural/10.pdf	
S 19	19	0	A	Awe					The Sword and the Olive Jar: Material Evidence of Seventeenth-Century Maya-European Interaction in Central Belize						2015		"J. J. Awe, C. Helmke"		Ethnohistory	62	2			https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00141801-2854369	
S 20	20	0	P	Bancroft			3		History of Central America				San Francisco	USA	1882	xxx	H. H. Bancroft							"Google: http://nrs.harvard.edu/urn-3:HUL.FIG:002653988
LLMC: http://id.lib.harvard.edu/alma/99154275013303941/catalog"	
S 21	21	0	A	Barbour					Privateers and Pirates of the West Indies						1911		V. Barbour		American Historical Review	16	3			http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/1834836	
S 22	22	0	T	Barke 12					BACALAR EN EL SIGLO XVII						2012		G. Vasquez Barke							http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/761	
S 23	23	0	T	Barke 16					Los poderes y los hombres						2016		G. Vasquez Barke							http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/336	
S 25	25	0	A	Baudot					Dissidences indiennes et complicités flibustières dans le Yucatán du XVII e siècle						1986		G. Baudot		Cahiers du monde hispanique et luso-brésilien	46				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/40852876	
S 26	26	0	P	Bechtold			1		Handbook of Natural Colorants				Chippenham	UK	2009			"T. Bechtold, R. Mussak"						"file:///Users/angelnavidad/Downloads/(Wiley%20series%20in%20renewable%20resources)%20Thomas%20Bechtold,%20Rita%20Mussak%20-%20Handbook%20of%20natural%20colorants-Wiley%20(2009).pdf"	
S 		0	P	Bethell			11		Cambridge History of Latin America				Cambridge	UK	1984	xxx		L. Bethell						https://www-cambridge-org.ezp-prod1.hul.harvard.edu/core/series/cambridge-history-of-latin-america/91F3260941408B240FD337BD8C94C28C#	
S 28	28	0	A	Bialuschewski					Slaves of the Buccaneers: Mayas in Captivity in the Second Half of the Seventeenth Century						2017		A. Bialuschewski		Ethnohistory	64	1			https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00141801-3688359	
S 29	29	0	A	Bialuschewski 20					Juan Gallardo: A Native American Buccaneer						2020		A. Bialuschewski		Hispanic American Historical Review	100	2			https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00182168-8178200	
S 33	33	0	P	Bolland 1			1		Land in Belize 1765—1871				Kingston	Jamaica	1975		"O. N. Bolland, A. Shoman"							file:///Users/angelnavidad/Downloads/land_in_belize_1765-1871_bolland_and_shoman.pdf	
S 34	34	0	P	Bolland 2			1		Formation of a Colonial Society				Baltimore	USA	1977		O. N. Bolland							https://archive.org/details/formationofcolon0000boll	
