Series S 0—435 / Primary and secondary sources.
ID	NO	PRIMARY	TYPE	ALT ID	PERIOD	PERIOD	SIZE	UNITS	ITEM	REPOSITORY	CITY	COUNTRY	CITY	COUNTRY	FIRST PUB	LAST PUB	AUTHORS	EDITORS	JOURNAL	V	I	VIA	NOTE	LINK	
S 1	1	1	MS	Add MS	1	2019	157097	mss	Additional Manuscripts	British Library	London	UK										BL Catalogue	"PERIOD = 1 set arbitrarily / couple Add MS dated BCE /BL Catalogue, Link: http://searcharchives.bl.uk/primo_library/libweb/action/search.do?vid=IAMS_VU2"		
S 2	2	1	MS	ADM d/d	1205	1998	363	series	"Records of the Admiralty, Naval Forces, Royal Marines, Coastguard, and related bodies"	National Archives	Kew	UK										TNA Kew Catalogue			
S 3	3	1	MS	"AGCA, a"	1544	1821	xxx			Archivo General de Centro América	Guatemala	Guatemala											"Microfilm copy by Ross Publishing LLC, New York, NY, USA Link: https://www.rosspub.com/guatemalaenglishbrochure.htm "		
S 4	4	1	MS	"AGN Mex, Historia, d"	1616	1880	597	vols	"V Colecciones y documentos, 257 Historia"	Archivo General de la Nación	Mexico	Mexico										AGN Mexico Guía	AGN Mexico Guía Link: https://archivos.gob.mx/GuiaGeneral/GuiaGeneral.html 		
S 5	5	1	MS	"AGN Mex, Reales Cédulas, d"	1520	1820	447	vols	"I Documentación de las instituciones coloniales, 100 Reales Cédulas"	Archivo General de la Nación	Mexico	Mexico										AGN Mexico Guía			
S 6	6	1	P	AHA 1898	xxx		1	vols	Annual report of the American Historical Association for the year 1898				Washington	USA	1899							Readex / US Congressional Serial Set		https://docs-newsbank-com.ezp-prod1.hul.harvard.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:SERIAL&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=113940A2F120EB68&svc_dat=Digital:ssetdoc&req_dat=B425E5B32E784515BC5AAA87BC16A340	
S 7	7	1	P	Aitzema	xxx		6	vols	Saken van staet en oorlogh in ende omtrent de Vereenigde Nederlanden				Hague	Netherlands	1669	1672						Goslinga			
S 12	12	1	S	Ann Reg	1758	2021	263	issues	The Annual Register				London	UK	1758	2021								"To 1799: https://access-newspaperarchive-com.ezp-prod1.hul.harvard.edu/browse/uk/middlesex/london/london-annual-register/
To 1830: http://nrs.harvard.edu/urn-3:HUL.FIG:000796411"	
S 13	13	1	MS	ANOM	xxx		xxx			Archives Nationales d'Outre-Mer	Aix-en-Provence	France													
S 15	15	1	P	APC Col	1613	1783	6	vols	Act of the Privy Council of England : colonial series				London	UK	1908	1912						Burdon 1		http://id.lib.harvard.edu/alma/99154274911603941/catalog	
