Table 1
	ID	Lvl	Alt ID	Par	Pre	Stable	Stable	Pre	Styles	Head	Head Civ Serv	M Address	P Address	City	Tel	Tel	Tel	Tel	Fax	Fax	Email	Email	Cf	Note	
		0	Crown			Crown	Crown in right of Belize																		
		1	Govt	Crown		Government																			
		1	Judy	Crown		Judiciary	Courts																		
		1	Legl	Crown		Parliament																			
		2	Cabt	Govt		Cabinet			Cabinet	Prime Minister	Secretary														
		2	GG	Govt		Governor General		Office of the	Governor General	Governor General	xxx														
		2	GOE	Govt		Government-owned enterprises																			
		2	Oppsn	Govt		Opposition		Office of the	Leader of the Opposition	Leader of the Opposition	xxx														
		2	Quan	Govt		Non-departmental public bodies																			
		2	Queen	Govt		Queen	Queen in right of Belize			Queen															
		2	Stat	Govt		Non-ministerial government departments																			
		2	App Ct	Judy		Court of Appeals			Court of Appeals	xxx															
		2	Gen Reg	Judy		General Registry			General Registry	Registrar General															
		2	Mag Ct	Judy		Magistracy	Magistrates’ Courts		Magistrates’ Courts	Chief Magistrate															
		2	PC	Judy		Privy Council			Caribbean Court of Justice	xxx															
		2	Sup Ct	Judy		Supreme Court			Supreme Court	xxx															
		2	Clerk	Legl		Clerk to Parliament			Clerk to the National Assembly	Clerk															
		2	Parl	Legl		Parliament			National Assembly																
		3	AG	Cabt	Office of the	Attorney General			Attorney General’s Ministry	Attorney General			E Block Bldg	Belmopan	822 2154				822 1529		attorney.general@agm.gov.bz	solicitor.general@agm.gov.bz	Consular 2021 229		
		3	Agriculture	Cabt	Ministry of	Agriculture		Ministry of	"Agriculture, Food Security and Enterprise"	Minister of Government			HM Queen Elizabeth II Blvd	Belmopan	822 2630	822 2241	822 2252	822 2243	802 2333		ceo@agriculture.gov.bz	secretary@agriculture.gov.bz	Consular 2021 219	"Min of Govt = HM Queen Elizabeth II Blvd, Belmopan / Tel 802 3286 or 802 2249 or 802 2711 / Fax 802 2333 / minister.secretary@agriculture.gov.bz / Cf Consular 2021 219"	
		3	Cabinet	Cabt		Cabinet Office							Sir Edney Cain Bldg Thd Fl	Belmopan	822 2345	822 2346			822 0898		cabinet.secretary@opm.gov.bz		Consular 2021 216		
		3	Defence	Cabt	Ministry of	Defence		Ministry of	National Defence and Border Security	Minister of Government			Curl Thompson Bldg	Belmopan	822 2872	822 2817			822 0846		ceo@mns.gov.bz	ceo.secretary@mns.gov.bz	Consular 2021 221	"Min of Govt = Curl Thompson Bldg, Belmopan / Tel 822 3677 / Fax 822 1371 / natsecurity@police.net.bz / Cf Consular 2021 221 /// BDF = Price Barracks, Ladyville / Tel 225 2174 / Fax 225 2175 / steven.ortega@bdf.mil.bz /// Coast Guard = Belize Ntl Coast Guard HQ mi 4 1/2 George Price Hwy, Belize / Mail PO Box 1803, Belize / Tel 222 5260 / Fax 222 5261 / commandant@bncg.gov.bz"	
		3	Disasters	Cabt				Ministry of	"Sustainable Development, Climate Change and Disaster Risk Management"	Minister of Government			Old Lands Bldg Market Sq	Belmopan	802 3286	802 0160			822 2333		ceo@environment.gov.bz		Consular 2021 225		
		3	Education	Cabt	Ministry of	Education		Ministry of	"Education, Culture, Science and Technology"	Minister of Government			W Block Bldg Thd Fl	Belmopan	822 2329	822 3163	822 2380		822 3389		ceo@moe.gov.bz		Consular 2021 220	"Min of Govt = W Block Bldg Thd Fl, Belmopan / Tel 822 2698 or 822 0385 / Fax 822 0102 / Cf Consular 2021 220"	
		3	Fisheries	Cabt				Ministry of	Blue Economy and Civil Aviation	Minister of Government			106 S St	Belize	227 2801	227 2802			227 2810				Consular 2021 227		
		3	Foreign	Cabt		Foreign Office		Ministry of	"Foreign Affairs, Foreign Trade and Immigration"	Minister of Government			NEMO Bldg	Belmopan	822 2322	822 2167			822 2854		maiamalia035@gmail.com		Consular 2021 227–228	"Min of Govt = NEMO Bldg, Belmopan / Tel 822 2110 / Fax 822 2889 / ecourtbze@gmail.com / sanisidro1990@gmail.com / belizemfa@btl.net / Cf Consular 2021 227–228 /// Immigration Dept = Habet Bldg Sd Fl Constitution Dr, Belmopan / Tel 802 2663 / Fax 802 2297 / Cf Consular 2021 228 /// INS = Dry Creek Rd, Belmopan / Tel 822 3860 or 822 4552 / Fax 822 2662 / director@ins.gov.bz / mario.arzu@ins.gov.bz / Cf Consular 2021 228"	
		3	Health	Cabt	Ministry of	Health		Ministry of	Health and Wellness	Minister of Government			E Block Bldg Thd Fl	Belmopan	822 0589	822 2326			822 2942		ceo@health.gov.bz	seniorsecretary@health.gov.bz	Consular 2021 226		
		3	Home	Cabt		Home Office		Ministry of	Home Affairs and New Growth Industries	Minister of Government			Habet Bldg Sd Fl Constitution Dr	Belmopan	822 0842						ceo.secretary@homeaffairs.gov.bz		Consular 2021 224	"Min of Govt = W Block Bldg Sd Fl, Belmopan / homeaffairscpb@gmail.com / Cf Consular 2021 224 /// Police Dept = Bliss Parade, xxx / Tel 822 2224 / Fax 822 3291 / compol@police.net.bz / Cf Consular 2021 224"	
		3	Human	Cabt				Ministry of	"Human Development, Families and Indigenous Peoples’ Affairs"	Minister of Government			W Block Bldg Gd Fl	Belmopan	822 2161	822 2246			822 3175		ceo@humandev.gov.bz	senior.secretary@humandev.gov.bz	Consular 2021 223	"Min of Govt = W Block Bldg Gd Fl, Belmopan / Tel 822 2248 / Fax 822 3175 / minister@humandev.gov.bz / Cf Consular 2021 223"	
		3	Lands	Cabt				Ministry of	"Natural Resources, Petroleum and Mining"	Minister of Government			HM Queen Elizabeth II Blvd	Belmopan	822 3286				822 2333		ceo@naturalresources.gov.bz		Consular 2021 218	"Min of Govt = Constitution Dr, Belmopan / Tel 822 2673 or 822 2297 / Fax 822 2815 / minister@naturalresources.gov.bz /Cf Consular 2021 218 /// Min of State = Sir Edney Cain Bldg Gd Fl, Belmopan / Tel 822 2526 or 822 2527 / Fax 822 3673 / ceo.secretary@med.gov.bz / Cf Consular 2021 218"	
		3	Local	Cabt				Ministry of	"Rural Transformation, Community Development, Labour and Local Government"	Minister of Government			Constitution Dr	Belmopan	802 2663	822 2297			822 2815		ceo@labour.gov.bz		Consular 2021 222	"Min of Govt = Sir Edney Cain Bldg Thd Fl, Belmopan / Tel 822 2345 or 822 2346 / Fax 822 0071 / Cf Consular 2021 222"	
