Table 1
	From	To	Ft	Ft	Name			
Ill 6	May 1520		 	 	Pánfilo de Narváez Plague			
Hos 15	Dec 1543	Dec 1544	Sp	Ma	Pacheco Conquest			
Rev 7	Jan 1547	Jun 1547	Sp	Ma	Chanlacan			
Rev 8	Jan 1568	Dec 1568	Sp	Ma	Tipu			
Hos 16	Apr 1568	Dec 1568	Sp	Ma	Garzón Reconquest			
Hos 17	Jan 1608	Dec 1620	Sp	Ma	New Reductions			
Hos 18	Jan 1619	Dec 1619	Sp	Ma	Franciscan Inquisition			
Hos 14	Apr 1622	Jul 1624	Sp	Ma	Mirones y Lescado Entrada			
Rev 10	Mar 1630	Dec 1630	Sp	Ma	Xibun and Soite			
Rev 9	Jul 1638	Dec 1642	Sp	Ma	Tipu Conspiracy			
Hos 13	Jan 1639	Nov 1652	 	Du Ma	Provid or Tort Raids			
Nat 4	Jan 1647	Dec 1650	 	 	Great Famine			
Hos 19	Nov 1652	Apr 1656	Sp	Ma	Pérez Entradas			
Hos 20	Jan 1678	Dec 1678	Sp	Ma	Porras Entrada			
Hos 21	Jan 1684	Dec 1684	Sp	Ma	Paliac Murders			
Hos 1	Jan 1696	Mar 1701	Sp	 	 			
Hos 22	Apr 1697	Dec 1708	Sp	Ma	Fall of Tipu			
War 1	Jul 1701	Sep 1714	Sp	Fr	Sp Succession			
Hos 2	Jan 1718	Feb 1725	Sp	Pir	Golden Age of Pir			
War 2	Aug 1718	Feb 1720	Sp	 	Quadruple Alliance			
Nat 5	Jan 1725	Dec 1727			Famine			
War 3	Mar 1726	Feb 1728	Sp	 	 			
Hos 3	Nov 1728	Aug 1732	Sp	 	Bacalar Offensives			
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Ear Prelude			
Ill 1	Jun 1737		 	 	Diphtheria ?			
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear			
Ill 2	Mar 1750		 	 	Malaria ?			
Hos 5	May 1750	Feb 1755	Sp	 	Amphibious Siege			
Ill 3	Nov 1751		 	 	Measles ?			
Hos 6	May 1756	Apr 1761	Sp	Fr	Seven Years’ Prelude			
War 5	Jan 1762	Feb 1763	Sp	Fr	Seven Years’			
Hos 7	Dec 1763	Dec 1763	Sp	 	 			
Fin 1	Jun 1765		 	 	Tragedy of Commons			
Rev 1	Aug 1765	Sep 1765	 	 	Cook’s			
Crs 2	Jan 1766		Sp	 	Sp Seduction			
Crs 1	Feb 1767	Dec 1770	 	Du Fr	Alien Logging			
Hos 8	Mar 1767	Apr 1767	Sp	 	 			
Hos 12	Jul 1767	Jul 1767		Ma	Naismith Raid			
Hos 9	Jul 1770	Mar 1772	Sp	 	 			
Nat 1	Jun 1771	Nov 1771	 	 	Great Famine			
Hos 10	Jan 1773	Sep 1773	 	Ma	Arms Raids			
Rev 2	May 1773	Aug 1773	 	 	Davidson’s			
War 6	Apr 1775	Sep 1783	Sp	Am Fr	Am Revolution			
Nat 2	Dec 1784	Nov 1785	 	 	 			
Crs 3	Feb 1785		Sp	 	 			
Rev 3	Jun 1786	Jun 1786	 	 	Old R			
Crs 4	Jun 1787	Apr 1791	 	 	 			
Ill 4	Feb 1788		 	 	Measles ?			
Nat 3	Nov 1792	Oct 1792	 	 	 			
Hos 11	Nov 1793	Nov 1793	 	Ma	 			
War 7	Aug 1796	Mar 1802	Sp	Fr	Fr Revolution			
Ill 5	Sep 1797		 	 	Yellow Fever			
War 8	May 1804	Jul 1808	Sp	Fr	Napoleonic			
War 9	Jun 1812	Feb 1815	 	Am	 			
Rev 4	Jan 1813				New R			
Rev 5	Apr 1820		 	 	Will & Sharper			
