Table 1
	Link	Auhor	Pub	p	Title	Desc	Desc	Desc	Desc	Desc	
1644	Lon 1644	W. Castell & B. Rudyerd	London	58	A short discoverie of the coasts and continent of America	"Sackings of P Cavallos 1591, 1616"					"Castell, William, et al. A short discoverie of the coasts and continent of America  from the equinoctiall northward and the adjacent isles. [s.n.], 1644. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102903240/SABN?u=camb55135&sid=SABN&xid=6db34e3d&pg=91. Accessed 19 Feb. 2021."
1655	Lon 1655	T. Gage & T. Chaloner	London		A new survey of the West-India's						"Gage, Thomas, and Thomas Chaloner. A new survey of the West-India's, or, The English American, his travail by sea and land : containing a journal of three thousand and three hundred miles within the main land of America : wherein is set forth his voyage from Spain to St. John de Ulhua, and from thence to Zalappa, to Tlazcalla, the City of Angels, and forward to Mexico : with the description of that great city as it was in former times and also at this present : likewise, his journey from Mexico through the provinces of Guaxaca, Chiapa, Guatemala, Vera Paz, Truxillo, Comayagua, with his abode twelve years about Guatemala and especially in the Indian-towns of Mixco, Pinola, Petapa, Amatitlan : as also his strange and wonderfull conversion and calling from those remote parts to his native country : with his return through the province of Nicaragua and Costa Rica to Nicoya, Panama, Portobelo, Cartagena and Havana, with divers occurrents and dangers that did befal in the said journey : also, a new and exact discovery of the Spanish navigation to those parts and of their dominions, government, religion, forts, castles, ports, havens, commodities, fashions, behaviour of Spaniards, priests and friars, blackmores, mulatto's, mestiso's, Indians, and of their feasts and solemnities : with a grammar or some few rudiments of the Indian tongue called Poconchi, or Pocoman. 2nd ed., Printed by E. Cotes, 1655. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0103064190/SABN?u=camb55135&sid=SABN&xid=35cc20a3&pg=1. Accessed 19 Feb. 2021."
1662	Ams 1662	J. Blaeu	Amsterdam		Atlas Maior						https://www.erfgoedleiden.nl/schatkamer/bladeren-door-blaeu
1671	Lon 1671	J. Ogilby	London	219	"America, being the latest and most accurate description of the Nevv VVorld"	1596 Sack Campeche	"1591, 1597 Sack P Cavallos "				"Ogilby, John. America, being the latest and most accurate description of the Nevv VVorld : containing the original of the inhabitants and the remarkable voyages thither, the conquest of the vast empires of Mexico and Peru and other large provinces and territories, with the several European plantations in those parts : also their cities, fortresses, towns, temples, mountains and rivers, their habits, customs, manners and religions, their plants, beasts, birds and serpents : with an appendix, containing, besides several other considerable additions, a brief survey of what hath been discover'd of the unknown south-land and the Arctick region. Printed by the author and are to be had at his house in White Fryers, 1671. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0110106505/SABN?u=camb55135&sid=SABN&xid=af6e3093&pg=1. Accessed 19 Feb. 2021."
1678	Ams 1678	A. O. Exquemeling	Amsterdam	91	The Pirates of Panama	"Sacking P Cavallo, St Peter in 1666"					https://www.gutenberg.org/dirs/2/6/6/9/26690/26690-h/26690-h.htm
1688	Mad 1688	D. L. de Cogolludo y F. de Ayeta	Madrid	"251, 653, 714, 742"	Historia de Yucathan	Bucc raids > 1638					"López de Cogolludo, Diego, and Francisco de Ayeta. Historia de Yucathan. Jvan Garcia Infanzen, 1688. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102936949/SABN?u=camb55135&sid=SABN&xid=fbdf1b13&pg=444. Accessed 18 Feb. 2021."
1694	Mad 1694	S. de Roteta	Madrid		Method of Securing the Ports and Populations of All the Coasts of the Indies	Bucc wars or activities	Tortuga				https://www.wdl.org/en/item/4393/
1700	Lon 1700	W. Dampier	London	img 100	Voyages and descriptions vol 2	Campeachy voyage					http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/voyages-descriptions-three-parts-which-is-added/docview/2264207852/se-2?accountid=11311
1724	Lon 1724	C. Johnson	London		General History of the Pyrates	Bucc activities					https://www.gutenberg.org/files/40580/40580-h/40580-h.htm
1726	Lon 1726	A. B. & J. Knight	London	15	The state of the island of Jamaica.	Log at Camp	Sp raid in 1724 ?				https://link.gale.com/apps/doc/U0100618230/MOME?u=camb55135&sid=MOME&xid=62daebbf&pg=15
1729	Lon 1729	sn	London		Observations on the conduct of Great-Britain	Sp seizures in 1726 War & losses					"Observations on the conduct of Great-Britain : with regard to the negociations and other transactions abroad. Printed and sold by J. Roberts, 1729. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0101707279/SABN?u=camb55135&sid=SABN&xid=19effaa4&pg=24. Accessed 17 Feb. 2021."
1732	Lon 1732	sn	London		"The history and lives of all the most notorious pirates, and their crews"	Pir hostilities					"The history and lives of all the most notorious pirates, and their crews : from Capt. Avery, who first settled at Madagascar, to Capt. John Gow, and James Williams, his lieutenant, &c. who were hanged at Execution Dock, June 11, 1725, for piracy and murther ... to which is prefixed, An abstract of the laws against piracy. 4th ed., Printed for Edw. Midwinter ..., 1732. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0105489709/SABN?u=camb55135&sid=SABN&xid=93626f95&pg=131. Accessed 18 Feb. 2021."
1740	Lon 1740	J. Cockburn	London		"The unfortunate Englishmen, or, A faithful narrative of the distresses and adventures of John Cockburn, and five other English mariners"	Sp marooning in Port Cavallo in 1731					"Cockburn, John. The unfortunate Englishmen, or, A faithful narrative of the distresses and adventures of John Cockburn, and five other English mariners ... who were taken by a Spanish guarda costa in the John and Ann, Edward Burt, master, and set on shore at a place call'd Porto-Cavallo ... : containing a journey over land from the Gulph of Honduras to the great South Sea ... as also an account of the manners, customs, and behaviour of the several Indians inhabiting a tract of land of 2400 miles ... Printed and sold by the booksellers of London and Westminster, 1740. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0101299426/SABN?u=camb55135&sid=SABN&xid=cb833230&pg=1. Accessed 17 Feb. 2021."
1741	Lon 1741	Honestus	London		The profit and loss of Great Britain in the present war with Spain	Sp seizures in 1739 War to 1741					"Honestus. The profit and loss of Great Britain in the present war with Spain : from July 1739, to July 1741 : in a letter to a friend. Printed for J. Roberts, ..., 1741. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102392227/SABN?u=camb55135&sid=SABN&xid=5588032e&pg=1. Accessed 17 Feb. 2021."
1742	Lon 1742	Philalethes	London		The profit and loss of Great-Britain and Spain	Sp seizures in 1739 War to 1742					"Philalethes. The profit and loss of Great-Britain and Spain : from the commencement of the present war, to this time, impartially stated : by laying before the publick, as perfect and regular a list, as can be hand, of all the ships taken from either nation, since the beginning of the war, to this time : with proper remarks upon the list of British ships, in a pamphlet, intitled, Hireling artifice detected : in a letter to the author. Printed for T. Cooper, ..., 1742. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102392266/SABN?u=camb55135&sid=SABN&xid=1cb00ab5&pg=1. Accessed 17 Feb. 2021."
1753	Dub 1753	J. MacSparran	Dublin		America dissected						"MacSparran, James. America dissected : being a full and true account of all the American colonies : shewing, the intemperance of the climates : excessive heat and cold ... badness of money : danger from enemies : but, above all, the danger to the souls of the poor people that remove thither, from the multifarious wicked and pestilent heresies that prevail in those parts : in several letters, from a rev. divine of the Church of England, missionary to America ... Printed and sold by S. Powell, 1753. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0100561686/SABN?u=camb55135&sid=SABN&xid=3bc0a340&pg=1. Accessed 19 Feb. 2021."
1762	Lon 1762	sn	London		The American gazetteer	Sp assault 1722					"The American gazetteer : containing a distinct account of all the parts of the New world : their situation, climate, soil, produce, former and present condition : commodities, manufactures, and commerce : together with an accurate account of the cities, towns, ports, bays, rivers, lakes, mountains, passes, and fortifications ... Vol. 2, Printed for A. Millar [etc.], 1762. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0103933762/SABN?u=camb55135&sid=SABN&xid=919c328b&pg=109. Accessed 17 Feb. 2021."
1775	Lon 1775	T. Jefferys	London		"The West-India atlas, or, A compendious description of the West-Indies"	 					"Jefferys, Thomas. The West-India atlas, or, A compendious description of the West-Indies : illustrated with forty correct charts and maps, taken from actual surveys : together with an historical account of the several countries and islands which compose that part of the world, their discovery, situation, extent, boundaries, product, trade, inhabitants, strength, government, religion, &c. Printed for Robert Sayer and John Bennett, 1775. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0110763069/SABN?u=camb55135&sid=SABN&xid=f28b570d&pg=16. Accessed 17 Feb. 2021."
1779	Lon 1779	sn	London		"A Full answer to the King of Spain's last manifesto, respecting the bay of Honduras, and the Mosquito shore"	Capture of St. George’s	Sp expulsion 1763	"Slave desertions Jan to Jul 1768, < 14 Feb 72 / Slave or Maya asylum affair"	Slave revolt 1768 ?	Evac c Jul 1768 ?	"A Full answer to the King of Spain's last manifesto, respecting the bay of Honduras, and the Mosquito shore : in which all the accusations brought against the subjects of Great Britain settled in the bay of Honduras : and against the ancient British settlement in the free and independent dominions of the Mosquito shore : are candidly stated and refuted : and the importance of the Mosquito shore to Great Britain, delineated and ascertained ... Printed for T. Cadell, 1779. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0100038323/SABN?u=camb55135&sid=SABN&xid=46610deb&pg=1. Accessed 17 Feb. 2021."
1779	Lon 1779	sn	London		"A Full answer to the King of Spain's last manifesto, respecting the bay of Honduras, and the Mosquito shore "	 					"A Full answer to the King of Spain's last manifesto, respecting the bay of Honduras, and the Mosquito shore : in which all the accusations brought against the subjects of Great Britain settled in the bay of Honduras : and against the ancient British settlement in the free and independent dominions of the Mosquito shore : are candidly stated and refuted : and the importance of the Mosquito shore to Great Britain, delineated and ascertained ... Printed for T. Cadell, 1779. World Scholar: Latin America & the Caribbean, tinyurl.gale.com/tinyurl/DPB2D6. Accessed 16 Feb. 2021."
1789	Lon 1789	R. White	London		The case of His Majesty's subjects having property in and lately established upon the Mosquito Shore in America 	 					"White, Robert. The case of His Majesty's subjects having property in and lately established upon the Mosquito Shore in America : most humbly submitted to the King's Most Excellent Majesty in Council, the Lords and Commons in Parliament, and the nation of Great-Britain at large, 1789. Printed for T. Cadell in the Strand, 1789. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102270362/SABN?u=camb55135&sid=SABN&xid=b8095f09&pg=1. Accessed 17 Feb. 2021."
1789	Lon 1789	R. White	London		The case of His Majesty's subjects settled on the coast of Yucatan in the bay of Honduras under the special and sole protection of the crown of Spain 	Capture of St. George’s [inc losses]	Sp expulsion 1763				"White, Robert, et al. The case of His Majesty's subjects settled on the coast of Yucatan in the bay of Honduras under the special and sole protection of the crown of Spain : who were, in the month of September 1779, robbed and despoiled of their property, and captivated in their persons by the King of Spain's forces and subjects, in violation of the seventeenth article of the treaty of Paris, concluded in February 1763, and in breach of other prior articles and treaties, then in force between His Majesty and the said King of Spain. Printed for T. Cadell, 1789. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102760133/SABN?u=camb55135&sid=SABN&xid=50d0d710&pg=1. Accessed 17 Feb. 2021."
1790	Lon 1790	Verus & J. B. Burges	London		Letters lately published in The diary on the subject of the present dispute with Spain	 					"Verus., and James Bland Burges. Letters lately published in The diary on the subject of the present dispute with Spain. Printed for G. Kearsley ..., 1790. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102153815/SABN?u=camb55135&sid=SABN&xid=252b8bd7&pg=69. Accessed 17 Feb. 2021."
1790	Lon 1790	sn	London		A narrative of the negotiations occasioned by the dispute between England and Spain	 					"A narrative of the negotiations occasioned by the dispute between England and Spain, in the year 1790. [s.n.], [1791?]. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102254917/SABN?u=camb55135&sid=SABN&xid=5592a75c&pg=1. Accessed 17 Feb. 2021."
1793	Lon 1793	R. White	London		"The case of the agents to the settlers on the coast of Yucatan, and the late settlers on the Mosquito-Shore "	Capture of St. George’s [inc losses]	Evac of Mos [inc losses]				"White, Robert. The case of the agents to the settlers on the coast of Yucatan, and the late settlers on the Mosquito-Shore : stating the whole of his conduct, in soliciting compensation for the losses, sustained by each of those classes of His Majesty's injured and distressed subjects. Printed for T. Cadell, 1793. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0101574822/SABN?u=camb55135&sid=SABN&xid=a6dcd8a3&pg=1. Accessed 17 Feb. 2021."
1793	Lon 1793	R. White	London		The case of the agent to the settlers on the coast of Yucatan and the late settlers on the Mosquito-Shore 	 					"White, Robert. The case of the agent to the settlers on the coast of Yucatan and the late settlers on the Mosquito-Shore : stating the whole of his conduct in soliciting compensation for the losses sustained by each of those classes of His Majesty's injured and distressed subjects. Printed for T. Cadell, 1793. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0105619504/SABN?u=camb55135&sid=SABN&xid=8970463d&pg=1. Accessed 17 Feb. 2021."
1809	Lon 1809	G. Henderson	London		An account of the British settlement of Honduras 	 					"Henderson, George. An account of the British settlement of Honduras : being a view of its commercial and agricultural resources, soil, climate, natural history, &c. : to which are added, sketches of the manners and customs of the Mosquito Indians, preceded by the journal of a voyage to the Mosquito shore ... C. and R. Baldwin, 1809. World Scholar: Latin America & the Caribbean, tinyurl.gale.com/tinyurl/DPB2a9. Accessed 17 Feb. 2021."
1818	Lon 1818	B. Edwards	London		"The history, civil and commercial, of the British West Indies"	 					"Edwards, Bryan. The history, civil and commercial, of the British West Indies. 5th ed., vol. 4, G. and W.B. Whittaker; [etc., etc.], 1818-19. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0103354739/SABN?u=camb55135&sid=SABN&xid=f999489c&pg=261. Accessed 17 Feb. 2021."
1818	Lon 1818	B. Edwards	London		"The history, civil and commercial, of the British West Indies"	 					"Edwards, Bryan. The history, civil and commercial, of the British West Indies. 5th ed., vol. 5, G. and W.B. Whittaker; [etc., etc.], 1818-19. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0106428381/SABN?u=camb55135&sid=SABN&xid=e80cf12a&pg=1. Accessed 17 Feb. 2021."
1823	Lon 1823	sn	London		"The defence, &c. &c."	Mos Slavery					https://link.gale.com/apps/doc/DS0103730001/SAS?u=camb55135&sid=SAS&xid=1ede003f&pg=40
1824	Lon 1824	J. Armstrong & G. Arthur	London		"A candid examination of ""The defense of the settlers of Honduras"" "	Mos Slavery					https://link.gale.com/apps/doc/U0107412823/MOME?u=camb55135&sid=MOME&xid=ace432cc&pg=1
1827	Lon 1827	T. Southey	London		Chronological history of the West Indies	French dispute 1766 ?					"Southey, Thomas. Chronological history of the West Indies. Vol. 2, Longman, Rees, Orme, Brown, and Green, 1827. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0104192403/SABN?u=camb55135&sid=SABN&xid=9a3daa27&pg=257. Accessed 17 Feb. 2021."
1836	Lon 1836	R. M. Martin	London	451	History of the West Indies	Capture of St. George’s	Siege of Omoa				"Martin, Robert Montgomery. History of the West Indies: Comprising Jamaica, Honduras, Trinidad, Tobago, Grenada, The Bahamas, and The Virgin Isles. Vol. 1, Whittaker & Co., 1836. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0112507654/SABN?u=camb55135&sid=SABN&xid=06da52f8&pg=72. Accessed 17 Feb. 2021."
1837	Lon 1837	R. M. Martin	London		Colonial policy of the British Empire	 					"Martin, Robert Montgomery. Colonial policy of the British Empire. Pt. 1, Government. W.H. Allen & Co., 1837. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0106089023/SABN?u=camb55135&sid=SABN&xid=1305c6c0&pg=90. Accessed 17 Feb. 2021."
1839	Lon 1839	ECCACA Co.	London		"Brief statement, supported by original documents, of the important grants conceded to the Eastern Coast of Central America Commercial and Agricultural Company by the state of Guatemala"	 					"Eastern Coast of Central America Commercial and Agricultural Company. Board of Directors. Brief statement, supported by original documents, of the important grants conceded to the Eastern Coast of Central America Commercial and Agricultural Company by the state of Guatemala. Whittaker & Co., 1839. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0106797626/SABN?u=camb55135&sid=SABN&xid=fc50e901&pg=7. Accessed 17 Feb. 2021."
1853	Was 1853	J. M. Clayton	Washington		"Speech of John M. Clayton, of Delaware, delivered in the Senate of the United States on the 8th of March, 1853"	 					"Clayton, John Middleton. Speech of John M. Clayton, of Delaware, delivered in the Senate of the United States on the 8th of March, 1853 : in vindication of the Central American treaty concluded with Great Britain on the 19th of April, 1850. Printed by Kirkwood & McGill, 1853. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0104293458/SABN?u=camb55135&sid=SABN&xid=1d289d88&pg=14. Accessed 17 Feb. 2021."
1854	Lon 1854	C. S. J. Fancourt	London		"The history of Yucatan, from its discovery to the close of the seventeenth century"						"Fancourt, Charles Saint John. The history of Yucatan, from its discovery to the close of the seventeenth century. J. Murray, 1854. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0100004060/SABN?u=camb55135&sid=SABN&xid=783b6f0e&pg=1. Accessed 20 Feb. 2021."
1855	Lon 1855	E. G. Squier	London		"Waikna, or, Adventures on the Mosquito shore"	 					"Squier, Ephraim George, and Samuel A. Bard. Waikna, or, Adventures on the Mosquito shore. Sampson Low, son, & co., 1855. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0103178029/SABN?u=camb55135&sid=SABN&xid=f8bae517&pg=93. Accessed 17 Feb. 2021."
1856	Was 1856	sn	Washington		Documents relative to Central American affairs and the enlistment question	 					"United States. Dept. of State., et al. Documents relative to Central American affairs and the enlistment question. C. Wendell, Printer, 1856. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102905680/SABN?u=camb55135&sid=SABN&xid=e04c57fa&pg=1. Accessed 17 Feb. 2021."
1858	NYC 1858	E. G. Squier	NYC		The states of Central America 	 					"Squier, Ephraim George. The states of Central America : their geography, topography, climate, population, resources, productions, commerce, political organization, aborigines, etc. etc. : comprising chapters on Honduras, San Salvador, Nicaragua, Costa Rica, Guatemala, Belize, the Bay Islands, the Mosquito Shore, and the Honduras Inter-oceanic Railway. Harper & Bros, 1858. World Scholar: Latin America & the Caribbean, tinyurl.gale.com/tinyurl/DPB2g3. Accessed 17 Feb. 2021."
1860	NYC 1860	J. D. Harris	NYC		A summer on the borders of the Caribbean Sea	 					"Harris, J. Dennis. A summer on the borders of the Caribbean Sea. A.B. Burdick, 1860. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0100216178/SABN?u=camb55135&sid=SABN&xid=de785820&pg=137. Accessed 17 Feb. 2021."
1893	Lon 1893	R. Chalmers	London		A History of Currency in the British Colonies	Silver scarcity					https://link.gale.com/apps/doc/U0112205310/MOME?u=camb55135&sid=MOME&xid=212bf46b&pg=1
1902	CU 1902	R. G. Marsden	CU		"The High Court of Admiralty in Relation to National History, Commerce and the Colonisation of America. A.D. 1550-1650"						http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/3678118
1904	Mer 1904	J. F. Molina Solís	Merida		Historia de Yucatán durante la dominación española vol 1						http://simurg.bibliotecas.csic.es/viewer/image/990002353440204201_V01/1/
1904	Mer 1904	J. F. Molina Solís	Merida		Historia de Yucatán durante la dominación española vol 2	First offensives					http://simurg.bibliotecas.csic.es/viewer/image/990002353440204201_V02/1/
1904	Mer 1904	J. F. Molina Solís	Merida		Historia de Yucatán durante la dominación española vol 3						http://simurg.bibliotecas.csic.es/viewer/image/990002353440204201_V03/1/
1905	Was 1905	J. L. Bristow	Washington		Report Of Joseph L. Bristow Special Panama Railroad Commissioner To The Secretary Of War. 1905	 					"Report Of Joseph L. Bristow Special Panama Railroad Commissioner To The Secretary Of War. 1905. World Scholar: Latin America & the Caribbean, worldscholar.gale.com/region/latin-america/MonographsDetailsPage/MonographsDetailsWindow?disableHighlighting=false&displayGroupName=DVI-Monographs&docIndex=1&prodId=LAC&mode=view&limiter=&display-query=TX+Report+Of+Joseph+L.+Bristow+Special+Panama+Railroad+Commissioner+To+The+Secretary+Of+War.+1905&contentModules=&action=e&sortBy=&windowstate=normal&currPage=1&dviSelectedPage=&scanId=&query=TX+Report+Joseph+L.+Bristow+Special+Panama+Railroad+Commissioner+Secretary+War.+1905&search_within_results=&p=LACD&catId=&displayGroups=&documentId=GALE%7CSA5299194852&activityType=BasicSearch&failOverType=&commentary=&source=Bookmark&u=camb55135&jsid=ae0cdd8d308047d5a8955c6b8b44f227. Accessed 17 Feb. 2021."
1910	Lon 1910	C. H. Haring	London		Buccaneers in the West Indies in the Seventeenth Century	Maya slaves 1653					http://www.gutenberg.org/ebooks/19139
1944	Sev 1944	J. A. Calderón Quijano	Sevilla		Belice 1663 (?)-1821 	Figueroa losses img 335	Navarrete losses im 423				http://simurg.bibliotecas.csic.es/viewer/image/CSIC000048031/1/
1963	UPR 1963	J. C. M. Ogelsby	UPR		The British and Panama — 1742	 					http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/25611756
1964	Was 1964	M. J. Crawford	Washington	"79, 372, 399"	Naval Documents of the American Revolution 10						https://wayback.archive-it.org/org-593/20200907065528/https://www.history.navy.mil/research/publications/publications-by-subject/naval-documents-of-the-american-revolution.html
1965	UPR 1965	D. Grunewald	UPR		The Anglo-Guatemalan Dispute over British Honduras	 					http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/25611880
1969	UCL 1969	W. S. Sorsby	UCL	84	"The British superintendency of the Mosquito Shore, 1749-1787"	 					"Sorsby, W. S. (1969). The british superintendency of the mosquito shore, 1749-1787 (Order No. 27822076). Available from ProQuest Dissertations & Theses Global. (2351282127). Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/british-superintendency-mosquito-shore-1749-1787/docview/2351282127/se-2?accountid=11311"
1978	Lon 1978	J. J. McCusker	London		"Money and exchange in Europe and America, 1600-1775: a handbook"						"/Users/angelnavidad/Downloads/John J. McCusker (auth.) - Money and Exchange in Europe and America, 1600–1775_ A Handbook-Palgrave Macmillan UK (1978).pdf"
1983	KIT 1983	N. L. Gonzalez	KITLV	149	NEW EVIDENCE ON THE ORIGIN OF THE BLACK CARIB: WITH THOUGHTS ON THE MEANING OF TRADITION	Siege of Omoa	Settlement of Rat				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/41849126
1986	UT 1986	G. Baudot	UT		Dissidences indiennes et complicités flibustières dans le Yucatán du XVII e siècle	Tipu conspiracy	Bucc raids > 1638				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/40852876
1986	Was 1986	W. J. Morgan	Washington	237	Naval Documents of the American Revolution 7	"Am seizures, Washington affair"					https://wayback.archive-it.org/org-593/20200907065528/https://www.history.navy.mil/research/publications/publications-by-subject/naval-documents-of-the-american-revolution.html
1989	FAM 1989	G. L. Rossano	FAM		Down to the Bay	 					http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/43460260
1989	Alb 1989	G. D. Jones	"Albuquerque, NM"	"62, 224"	Maya Resistance to Spanish Rule	"Sacking / Destruction of Bacalar 1642, 1648"	"Piracy on Maya > 1638, 1641"				file:///Users/angelnavidad/Downloads/Grant D. Jones - Maya resistance to Spanish rule_ Time and history on a colonial frontier-University of New Mexico Press (1989).djvu
1989	YU 1989	"E. Graham, et al."	YU		On the Fringes of Conquest: Maya-Spanish Contact in Colonial Belize	Maya conquest in Hon	Bucc raids > 1638				"Graham, E., Pendergast, D. M., & Jones, G. D. (1989). On the fringe of conquest: Maya-spanish contact in colonial belize. Science, 246(4935), 1254. Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/on-fringe-conquest-maya-spanish-contact-colonial/docview/213534015/se-2?accountid=11311"
1991	UCL 1991	D. M. McJunkin	UCLA		Logwood						"McJunkin, D. M. (1991). Logwood: An inquiry into the historical biogeography of haematoxylum campechianum L. and related dyewoods of the neotropics (Order No. 9113559). Available from ProQuest Dissertations & Theses Global. (303932948). Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/logwood-inquiry-into-historical-biogeography/docview/303932948/se-2?accountid=11311"
1993	UT 1993	K. H. Breuer	UT	116	"Colonies of happenstance: The english settlements in central america, 1525-1787 "	 					"Breuer, K. H. (1993). Colonies of happenstance: The english settlements in central america, 1525-1787 (Order No. 1352917). Available from ProQuest Dissertations & Theses Global. (230667983). Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/colonies-happenstance-english-settlements-central/docview/230667983/se-2?accountid=11311"
1996	BU 1996	A. Bowett	BU	170	The english mahogany trade 1700-1793 	 					"Bowett, A. (1996). The english mahogany trade 1700-1793 (Order No. CA47977). Available from ProQuest Dissertations & Theses Global. (304303774). Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/english-mahogany-trade-1700-1793/docview/304303774/se-2?accountid=11311"
1996	JHU 1996	Y. Wu	JHU		"Jamaican trade, 1688-1769"						"Wu, Y. (1996). Jamaican trade, 1688-1769: A quantitative study (Order No. 9617624). Available from ProQuest Dissertations & Theses Global. (304300587). Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/jamaican-trade-1688-1769-quantitative-study/docview/304300587/se-2?accountid=11311"
1996	UT 1996	M. A. Camille & R. Espejo-Saavedra	UT		Historical Geography of the Belizean Logwood Trade						http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/25765830
