Table 1
	Link	State	p	Title	Desc	Desc	
1638	"MEXICO,360,R.5,N.24"	"MEXICO,360,R.5,N.24"		CARTAS DE GOBERNADORES	Ma fear attack fm Bac		http://pares.mcu.es/ParesBusquedas20/catalogo/description/369617?nm
1638	"MEXICO,360,R.5,N.29"	"MEXICO,360,R.5,N.29"		CARTAS DE GOBERNADORES	Ma fear attack fm Bac		http://pares.mcu.es/ParesBusquedas20/catalogo/show/369622?nm
1643	"MEXICO,360,R.5,N.33"	"MEXICO,360,R.5,N.33"		CARTAS DE GOBERNADORES	Bacalar assault	Soite sacked	http://pares.mcu.es/ParesBusquedas20/catalogo/show/369626?nm
1653	"MEXICO,360,R.10,N.48"	"MEXICO,360,R.10,N.48"		CARTAS DE GOBERNADORES	Plague / famine		http://pares.mcu.es/ParesBusquedas20/catalogo/show/369641?nm
1683	CSP 1163	CSP 1163		‘America and West Indies: July 1683’	Fr Dutch Pir assault Sp		"‘America and West Indies: July 1683’, in Calendar of State Papers Colonial, America and West Indies: Volume 11, 1681-1685, ed. J W Fortescue (London, 1898), pp. 452-462. British History Online http://www.british-history.ac.uk/cal-state-papers/colonial/america-west-indies/vol11/pp452-462 [accessed 17 February 2021]."
1684	CSP 2067	CSP 2067		America and West Indies: February 1685'	 		"America and West Indies: February 1685', in Calendar of State Papers Colonial, America and West Indies: Volume 11, 1681-1685, ed. J W Fortescue (London, 1898), pp. 765-769. British History Online http://www.british-history.ac.uk/cal-state-papers/colonial/america-west-indies/vol11/pp765-769 [accessed 17 February 2021]."
1684	CSP 1563	CSP 1563		America and West Indies: February 1684'	Pir head to Bay		"America and West Indies: February 1684', in Calendar of State Papers Colonial, America and West Indies: Volume 11, 1681-1685, ed. J W Fortescue (London, 1898), pp. 581-601. British History Online http://www.british-history.ac.uk/cal-state-papers/colonial/america-west-indies/vol11/pp581-601 [accessed 17 February 2021]."
1685	CSP 378	CSP 378		America and West Indies: September 1685'	Navy officers careen in Bay		"America and West Indies: September 1685', in Calendar of State Papers Colonial, America and West Indies: Volume 12 1685-1688 and Addenda 1653-1687, ed. J W Fortescue (London, 1899), pp. 86-99. British History Online http://www.british-history.ac.uk/cal-state-papers/colonial/america-west-indies/vol12/pp86-99 [accessed 17 February 2021]."
1686	CSP 1066	CSP 1066		America and West Indies: December 1686'	 		"America and West Indies: December 1686', in Calendar of State Papers Colonial, America and West Indies: Volume 12 1685-1688 and Addenda 1653-1687, ed. J W Fortescue (London, 1899), pp. 293-307. British History Online http://www.british-history.ac.uk/cal-state-papers/colonial/america-west-indies/vol12/pp293-307 [accessed 17 February 2021]."
1687	CSP 1580	CSP 1580		America and West Indies: December 1687'	 		"America and West Indies: December 1687', in Calendar of State Papers Colonial, America and West Indies: Volume 12 1685-1688 and Addenda 1653-1687, ed. J W Fortescue (London, 1899), pp. 474-485. British History Online http://www.british-history.ac.uk/cal-state-papers/colonial/america-west-indies/vol12/pp474-485 [accessed 17 February 2021]."
1688	CSP 1624	CSP 1624		America and West Indies: February 1688'	Pir assault Sp		"America and West Indies: February 1688', in Calendar of State Papers Colonial, America and West Indies: Volume 12 1685-1688 and Addenda 1653-1687, ed. J W Fortescue (London, 1899), pp. 491-509. British History Online http://www.british-history.ac.uk/cal-state-papers/colonial/america-west-indies/vol12/pp491-509 [accessed 17 February 2021]."
1689	"MEXICO,250,N.1"	"MEXICO,250,N.1"		Expediente de Confirmación de Encomienda de Loche y Senotchuil en Valladolid a Antonia González de Moredo. Resuelto	Bucc assaults		http://pares.mcu.es/ParesBusquedas20/catalogo/show/369386?nm
1696	"MEXICO,363,R.4,N.75"	"MEXICO,363,R.4,N.75"		CARTAS DE GOBERNADORES	First Offensives		http://pares.mcu.es/ParesBusquedas20/catalogo/show/369882?nm
1715	CSP 271 I	CSP 271 I		"America and West Indies: March 1715, 1-15'"	Sp seize Baltimore ship		"America and West Indies: March 1715, 1-15', in Calendar of State Papers Colonial, America and West Indies: Volume 28, 1714-1715, ed. Cecil Headlam (London, 1928), pp. 110-122. British History Online http://www.british-history.ac.uk/cal-state-papers/colonial/america-west-indies/vol28/pp110-122 [accessed 17 February 2021]."
1715	CSP 508	CSP 508		"America and West Indies: July 1715, 1-15'"	 		"America and West Indies: July 1715, 1-15', in Calendar of State Papers Colonial, America and West Indies: Volume 28, 1714-1715, ed. Cecil Headlam (London, 1928), pp. 215-235. British History Online http://www.british-history.ac.uk/cal-state-papers/colonial/america-west-indies/vol28/pp215-235 [accessed 17 February 2021]."
1720	CSP 95	CSP 95		America and West Indies: June 1720'	"Hon, Camp prisoners at Carthagena < May 1720"		"America and West Indies: June 1720', in Calendar of State Papers Colonial, America and West Indies: Volume 32, 1720-1721, ed. Cecil Headlam (London, 1933), pp. 44-60. British History Online http://www.british-history.ac.uk/cal-state-papers/colonial/america-west-indies/vol32/pp44-60 [accessed 17 February 2021]."
1764	G 10456	G 10456		London Gazette 10456	Sp to restore Bay c 27 Sep 64		https://www.thegazette.co.uk/London/issue/10456/page/1/data.htm
1765	G 10530	G 10530		London Gazette 10530	Sp restore Bay on 5 Mar 65		https://www.thegazette.co.uk/London/issue/10530/page/1/data.htm
