Table 1
						Event	Event	Near	Sp	Ally	Ally	Lives	Held	Moved	Craft	Property	Other
Hos 13	Jan 1639	Oct 1654	 	Bu Ma	Tortuga Raids	1 Jan 1639	Capture of Zacatan	Zacatan									
Hos 13	Jan 1639	Oct 1654	 	Bu Ma	Tortuga Raids	1 Jul 1641		"Old, Sittee"					2 Sp held for some time			"Soite, Cehake towns [hamlets?] raided"	
Hos 13	Jan 1639	Oct 1654	 	Bu Ma	Tortuga Raids	1 Nov 1642	Diego Raids	Sittee		Diego Lucifer de los Reyes el Mulato 70 Pir			kidnapped numb of [Maya] women / impressed men				
Hos 13	Jan 1639	Oct 1654	 	Bu Ma	Tortuga Raids	1 Nov 1642	Diego Raids	Old		Diego Lucifer de los Reyes el Mulato 70 Pir					Pir took 3 or 4 Sp boats		
Hos 13	Jan 1639	Oct 1654	 	Bu Ma	Tortuga Raids	22 Nov 1642	Sacking of Bacalar	Bacalar		Diego Lucifer de los Reyes el Mulato 70 Pir			kidnapped 3 Sp 2 Maya / Maya later released / Sp possibly died	Sp Maya residents forced into hiding by Lake Bacalar min. to early 1643		"stole all gold and silver fm Sp church = sum 12,000 to 16,000 pesos"	
Hos 13	Jan 1639	Oct 1654	 	Bu Ma	Tortuga Raids	1 Jun 1648	Sacking of Bacalar	Bacalar	Capt. Bartolomé Palomino 27 men	Eng Pir or Bucc Abraham and co.		1 Sp killed	women carried off to Islote de los Cayos / liberated after 2 months	Bacalar residents move further inland to Pacha near Villadolid			
Hos 13	Jan 1639	Oct 1654	 	Bu Ma	Tortuga Raids	1 Nov 1652		New					some Maya fm Uatibal and Chanlacan kidnapped [likely sold as slaves]	Ma moved inland w Sp help		"Uatibal, Chanlacan sacked [likely, esp food]"	
Hos 13	Jan 1639	Oct 1654	 	Bu Ma	Tortuga Raids	23 Oct 1654	Pirates Cruising	Old	Capt. Francisco Perez of Bacalar-Pacha 6 Sp 15 Ma								
Hos 1	Jan 1696	Mar 1701	Sp	 	First Offensives	1 Jan 1696		St. George’s	men fm Milicias Provinciales de Yucatan					Eng loggers completely dislodged			
Hos 1	Jan 1696	Mar 1701	Sp	 	First Offensives	1 Oct 1699			Gov. Don Martín de Ursúa y Arizmendi			bloody battle		dislodged Eng fm Zacatan			
Hos 1	Jan 1696	Mar 1701	Sp	 	First Offensives	1 Mar 1701			"Gov. Don Martín de Ursúa y Arizmendi, Capt. Joseph de Aguilar w men fm Tipu"			bloody battle [likely]		drove away the People		houses or huts burnt	
War 1	Jul 1701	Sep 1714	Sp	Fr	Sp Succession												
Hos 2	Jan 1718	Feb 1725	Sp	Pir	Golden Age	10 Jan 1718				Lowther			Greyhound men barbarously used / 5 mates tradesmen impressed		"burnt 8 w cargo in Greyhound, 1 sloop burnt, 1 taken, 1 plundered, 1 of 80 to 100 t taken, 2 brigs taken"		
Hos 2	Jan 1718	Feb 1725	Sp	Pir	Golden Age	2 Apr 1718				Blackbeard			impressed Harriot and his men		took sloop Adventure		
Hos 2	Jan 1718	Feb 1725	Sp	Pir	Golden Age	9 Apr 1718				Blackbeard					"took Caesar 400 t ship, 4 sloops, plundered all, returned 2 sloops"		
Hos 2	Jan 1718	Feb 1725	Sp	Pir	Golden Age	1 Aug 1722				Anstis			1 sloop co of Dursey / Dursey and 5 or 6 escaped		1 sloop taken / 2 or 3 other vessel destroyed		
Hos 2	Jan 1718	Feb 1725	Sp	Pir	Golden Age	15 Mar 1723	Low’s Massacre			Low Lowther		"45 to 53 or 58 Sp, 1 mate killed / 1 Sp killed later"	6 sailors imprisoned / released later by Pir		"3 to 5 sloops w cargo taken [1 pink too, possibly] / retaken by Lowe Lowther"		
Hos 2	Jan 1718	Feb 1725	Sp	Pir	Golden Age	1 May 1724									7 or 8 sloops seized		
Hos 2	Jan 1718	Feb 1725	Sp	Pir	Golden Age	1 Sep 1724				Spriggs					14 ships seized		
Hos 2	Jan 1718	Feb 1725	Sp	Pir	Golden Age	1 Sep 1724				Shipton Spriggs	HMS Diamond	"6 Pir killed, 5 or 6 more mortally wounded"	min 1 sloop co impressed		10 or 12 vessels taken / then liberated by Eng		
Hos 2	Jan 1718	Feb 1725	Sp	Pir	Golden Age	23 Dec 1724				Shipton Spriggs		"1 Pir killed, 1 [likely] mortally wounded"	some Bay prisoners at Carthagena < 3 Jun 20		1 ship John and Mary taken / retaken by impressed mates / 5 had been prev taken		
Hos 2	Jan 1718	Feb 1725	Sp	Pir	Golden Age	1 Feb 1725				Spriggs			1 captain impressed		"taken 16 sail, burnt 1 [rest returned?]"		
War 2	Aug 1718	Feb 1720	Sp	 	Quadruple Alliance												
Hos 14	Sep 1722	Apr 1725	Sp	 	Second Offensives	1 Sep 1722	Barca Expedition	Old	Capt. Esteban de la Barca 2 PA				co of frigate imprisoned = 36 Eng 8 Neg		1 frigate of 24 cannons w Log cargo seized		
Hos 14	Sep 1722	Apr 1725	Sp	 	Second Offensives	1 Feb 1724	Barca Expedition	Old	Capt. Esteban de la Barca 1 Gal 1 PA 40 Sp soldiers sum 300 men 2 Paquebotes 1 Sloop						2 brig 1 sloop ea w wood taken	"all Log works or huts burnt, esp in El Carnero [Barcaderos?]"	
Hos 14	Sep 1722	Apr 1725	Sp	 	Second Offensives	11 Apr 1724	Rodriguez Expedition	"Cayo de Cocos, Old"	Commander Nicolás Rodriguez Capt. José Marqués w > 40 men [Guardacostas likely] inc. impressed Pir	Capt. Peyton or Payton			6 imprisoned at Old	Baymen and Neg fled to woods	some avg sized crafts / 1 brig w Prov	all Log works or huts burnt for 14 [Sp] leguas	
