Table 1
	From	To	Ft	Ft	Name			
Hos 13	Jan 1639	Oct 1654	 	Bu Ma	Tortuga Raids			
Nat 4	Jan 1647	Dec 1653	 	 	Famine			
War 10	Jan 1654	Dec 1660	Sp	Bu Fr	Cromwell’s			
Hos 18	Jan 1661	Jul 1670	Sp	Bu	Modyford Offensives			
Hos 1	Jan 1696	Mar 1701	Sp	 	First Offensives			
War 1	Jul 1701	Sep 1714	Sp	Fr	Sp Succession			
Hos 2	Jan 1718	Feb 1725	Sp	Pir	Golden Age			
War 2	Aug 1718	Feb 1720	Sp	 	Quadruple Alliance			
Hos 14	Sep 1722	Apr 1725	Sp	 	Second Offensives			
Hos 16	Jan 1724	Jul 1838	 	Af Du Fr Po	Af Slavery			
Nat 5	Jan 1725	Dec 1727	 	 	Famine			
War 3	Mar 1726	Feb 1728	Sp	 	 			
Hos 3	Nov 1728	Feb 1733	Sp	 	Bacalar Offensives			
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Offensives			
Ill 1	Jun 1737		 	 	Diphtheria ?			
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear			
Ill 2	Mar 1750		 	 	Malaria ?			
Hos 5	May 1750	Sep 1754	Sp	 	Amphibious Siege			
Ill 3	Nov 1751		 	 	Measles ?			
Hos 6	May 1756	Apr 1761	Sp	Fr	Seven Years’ Offensives			
War 5	Jan 1762	Feb 1763	Sp	Fr	Seven Years’			
Crs 5	Dec 1763	Mar 1765	Sp	 	Hondo R Prohibition			
Nat 1	Jan 1765	Nov 1773	 	 	Great Famine			
Fin 1	Jun 1765		 	 	Logwood Exhaustion			
Rev 1	Aug 1765	Sep 1765	 	 	Cook’s			
Crs 2	Jan 1766		Sp	 	Sp Asylum			
Crs 1	Feb 1767	Dec 1770	 	Fr Du	Alien Logging			
Hos 8	Mar 1767	Apr 1767	Sp	 	 			
Hos 12	Jul 1767	Jul 1767	 	Ma	Naismith Raid			
Hos 9	Jul 1770	Mar 1772	Sp	 	 			
Hos 10	Jan 1773	Sep 1773	 	Ma	Arms Raids			
Rev 2	May 1773	Aug 1773	 	 	Davidson’s			
War 6	Apr 1775	Sep 1783	Sp	Am Fr	Am Revolution			
Nat 2	Dec 1784	Nov 1785	 	 	 			
Crs 3	Feb 1785		Sp	 	Sp Panic			
Rev 3	Jun 1786	Jun 1786	 	 	Old R			
Crs 4	Jun 1787	Apr 1791	 	 	Despard Affair			
Hos 17	Jun 1787			Mos	Mos Slavery			
Ill 4	Feb 1788		 	 	Measles ?			
Nat 3	Nov 1792	Oct 1792	 	 	 			
Hos 11	Nov 1793	Nov 1793	 	Ma	 			
War 7	Aug 1796	Mar 1802	Sp	Fr	Fr Revolution			
Ill 5	Sep 1797		 	 	Yellow Fever			
War 8	May 1804	Jul 1808	Sp	Fr	Napoleonic			
War 11	Sep 1808	Sep 1833	Sp	 	Sp Am Revolution			
War 9	Jun 1812	Feb 1815	 	Am	 			
Rev 4	Jan 1813		 	 	New R			
Rev 5	Apr 1820		 	 	Will & Sharper			
