Table 1
	From	To	Ft	Ft	Name	Lives	Lives +	Assume	£ List	£	Assume	Held	Assume	Cf	Moved	Craft / Cargo	Assume	Cf	Property	Trade	Prov	Cost
Crs 1	Feb 1767	Dec 1770	 	Fr Du	Alien Logging				"8,100 Log"	"J£ 40,500"	"36 m foreign logging
5 gangs of 15"								? logged by Fr Du loggers			
Crs 2	Jan 1766	0	Sp	 	Sp Asylum	min 1			270 Log	"J£ 1,350"					"c 53 + £ 10,000 Neg refugees exit / Sp return 47"				min 1 house robbed			
Crs 3	Feb 1785	0	Sp	 	Sp Panic										"New, Hondo for 1 t 4 m / ? Neg refugees exit"				"New, Hondo houses, stock lost"		Prov scarce for > 5 m	
Crs 4	Jun 1787	Apr 1791	 	 	Despard Affair							sev turtlers for ? m							all plantain walks destroyed twice / all fished turtles seized once / much unrest for ? m twice	shipping v scarce for min 24 m / [price crash likely]	Prov v scarce for ? m twice	
Crs 5	Dec 1763	Mar 1765	Sp	 	Hondo R Prohibition					"£ 27,097.5"					"New, Hondo for 12 m = part of £ 26,794.5"				"part of £ 26,794.5"			£ 303
Fin 1	Jun 1765	0	 	 	Logwood Exhaustion				"6,750 Log
225 Log"	"J£ 34,875"										Log v scarce for min 15 m	Prov v scarce for min 6 m	
Hos 1	Jan 1696	Mar 1701	Sp	 	First Offensives	sev	3 t 5	"sev = .01 t .02 of population
250 population"	"13.125 Log
6,750 Log"	"J£ 33,815.625"	"0.25 m wage = 1 hut
1 hut per 10 population
0.75 destruction rate
9 m total expulsion
250 pop
3.75 ton per m per man
0.2 loss Log per m
J£ 5 per ton Log"				Hon for < 12 m thrice				c ? huts			
Hos 10	Jan 1773	Sep 1773	 	Ma	Arms Raids	sev			"2,025 t 2,700 Log"	"J£ 10,125 t 13,500"	"sev = 10
some = 5
rob = 0.5 house worth"								some houses burnt / some to sev houses robbed			
Hos 11	Nov 1793	Nov 1793	 	Ma	 	4																
Hos 12	Jul 1767	Jul 1767	 	Ma	Naismith Raid	1			270 Log	"J£ 1,350"									1 house robbed			
Hos 13	Jan 1639	Oct 1654	 	Bu Ma	Tortuga Raids	1 t 4	77 t 140	"1 in 3 Ma fm Yuc taken fm Hon
All Ma not found died"	"1,733.33 t 2,888.89 reales
17,333.33 t 28,888.89 reales
34,666.67 t 57,777.78 reales
4,500 t 6,000 ducados
12,000 t 16,000 pesos
1,386.67 reales"	"Sp $ 25,093.70 t 35,639.38"	"6 m for 1/3 Ma / 5 yr for 1/3 Ma / 10 for 1/3 Ma
Ea Ma is head of fam
0 Ma craft taken
26 t maize per Ma hamlet
1 carga = 300 lbs / 1 t = 2000 lbs
1 real = 1/8 Sp dollar
1 peso = 1 Sp dollar
1 ducado = 1.3786 Sp dollar"	300 t 500 Ma fm Yuc [st Sp found 70 t 80 on 9 Feb 1654] for c ? m / c ? fm Bac for c 2 m	"2.6 t maize per yr
family size = 5
2 reales per carga maize"	"UW 2020
WGF 2017"	Bac for c 2 m	3 t 4 Sp / ? Ma	"50 t per craft
30 ducados per ton"	CWM 2002	"12 t 16,000 pesos fm Bac / ? fm 4 Ma hamlets"			
Hos 14	Sep 1722	Apr 1725	Sp	 	Second Offensives				"£ 444.42
4,500 Log
£ 2,100 t 3,000
37.5 Log"	"£ 2,544.42 t 3,444.42
J£ 22,687.5"	"3 m impression per man
20 working days per m
only sailors impressed
3 m total expulsion
some = 2 t 5 craft
0.5 m wage = 1 rancho
1 rancho per 10 population
500 population
"	50 for ? m	"14.814 p per day [crew]
J£ 5 per ton
3.75 ton per m per man"	"BOE
Lon 1700
CO 5/119 I
Lon 1809"	Hon for ? m	5 + some			all ranchos burnt twice			
Hos 16	Jan 1724	Jul 1838	 	Af Du Fr Po	Af Slavery			"No deaths on journey fm Jam
No direct importation"	"138,600 Log
223,300 Log
250,800 Log
475,200 Log"	"J£ 3,987,500"	"11 working m per year
0.7 of pop = slave to 1790
0.5 women slaves fm 1790 at 1/3 male wage
0.6 of pop = slave to 1838
500 pop to 1760
1,000 pop to 1790
3,000 pop to 1810
4,000 pop to 1838
J£ 5 per t to 1790 / J£ 3 after"	? for c ? m / [st ? died]	"1 ton Log per m per man c 1770s / J£ 40 d Saturday labour < 1800s
J£ 5 per ton < 1780s / J£ 3 per ton > 1780s ?
J£ 15 per 1,000 ft c 1780s / J£ 16 to 30 [per 1,000 ft, likely] c 1800s"	"Lon 1700
Lon 1893
Lon 1809"								
Hos 17	Jun 1787	0	0	Mos	Mos Slavery							? for c ? m										
Hos 18	Jan 1661	Jul 1670	Sp	Bu	Modyford Offensives	?														?		
Hos 2	Jan 1718	Feb 1725	Sp	Pir	Golden Age	60 t 72			"£ 314.24
£ 15,900 t 21,900"	"£ 16,214.24 t 22,214.24"	"3 m impression per man
20 working days per m
15 men per crew"	m 6 men + 2 crews impressed for ? m	14.548 p per day	BOE		53 t 73	"100 t per craft
£ 30 per ton"	Lon 1742				
Hos 3	Nov 1728	Feb 1733	Sp	 	Bacalar Offensives	2 + sev	5 t 15	"sev = .01 t .03 of population
500 population"	"576 Log
114,750 Log
£ 294,000 t 300,000
J£ 28,000
32 Log
12,122.5 t 16,122.5 Log"	"J£ 665,402.50 t 685,402.50
£ 294,000 t 300,000"	"only loggers held
3 m imprisonment per man
>> sev = .05 pop
500 pop
sev = 3 t 5 craft
all = 1/3 of 140 flats
1 Pila = 0.5 t Log
sev = 0.5 of 32 ranchos"	39 + >> sev for ? m	15.086 p per day	BOE	Hon for 76.5 m	c 95 + sev twice / c 140 flats + all once	"5 t per flat
J£ 30 per ton"		"32 + sev twice ranchos / 12 t 16,000 ton = 300,000 quintals + 245 Pilas Log"			
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Offensives	7			"£ 438.08
£ 69,000 t 72,000
1,050 t 2,100 Log
1,500 Log"	"£ 69,438.08 t 72,438.08
J£ 12,750 t 15,750"	"only crew held for 3 m
scarce = 0.5 logging cap
500 pop
sev = 1 m Log of 0.7 Hon
>> sev = 2 m Log output of 0.7 Hon"	3 t 4 + 3 crews imprisoned for ? m	15.211 p per day	BOE		23 t 24			sev t >> sev Log burnt	Log scarce for min 2 m		
Hos 5	May 1750	Sep 1754	Sp	 	Amphibious Siege	2			"£ 138.36
1,845 Log
J£ 100
46,500 Log
£ 303,000 t 306,000
J£ 2,970 t 4,050
1,890 Log
1,035 Log"	"£ 303,138.36 t 306,138.36
J£ 259,420 t 260,500"	"only 1 crew held
3 month detention
all = 50 Neg
sev = 15 men
inc Sat labour for Neg
31 m expulsion
500 pop
sev = 7 craft
all = 15 flats
house = 6 m Log earnings
work = 1 m Log earning
sev = 7
all = 15 works
gang of 15 for earnings"	140 + sev + 1 crew + all Neg for ? m	15.373 p per day	BOE	Hon for < 15 m / Hon for < 11 m / Hon for 10 m	94 t 95 + sev / 18 t 30 + all flats in New			sev Log works + all Log works in New + sev houses sacked			
Hos 6	May 1756	Apr 1761	Sp	Fr	Seven Years’ Offensives				"810 Log
12,000 Log
£ 750
J£ 1,500 t 3,000
450 t 900 Log
2,700 t 5,400 Log
1,500 Log"	"£ 750
J£ 88,800 + 106,050"	"3 m detention
sev = 10 men
some = 5 men
pop 500
sev = 10 works / houses / flats
>> sev = 20 flats / works / houses"	60 + sev fm New + sev once + some twice for ? m	15.639 p per day	BOE	Hon for c 8 m	2.5 / sev t >> sev flats			sev t >> sev Log works / houses / Log	panic for min 1 m [halt logging likely]		
Hos 8	Mar 1767	Apr 1767	Sp	 	 	some	3 t 5	some = 3 t 5	"270 Log
J£ 60
315 Log
7.5 Log"	"J£ 3,022.50"	"3 m detention
some = 10 Neg
sev = 20 Neg
? = 7 works
? = 15 cattle
0.5 Log per cattle"	some Neg fm Hondo + sev Neg for ? m							? Log works at Hondo / ? cattle at Hondo / ? property			
Hos 9	Jul 1770	Mar 1772	Sp	 	 	sev			"£ 165.88
9,000 Log
1.2 million Mah
£ 300
60,000 Mah
225 Log"	"£ 465.88
J£ 235,125"	"2/3 Log / 1/3 Mah
900 pop
only crew impressed
sev = 5 gangs of 15
all = 1 m Mah
1,000 ft Mah per man per m"	1 + 1 crew for ? m	17.279 p per day	BOE	mainland for min 5 m	1			sev houses in Ambergris burnt / all Mah burnt	halt logging for min 5 m		
Ill 1	Jun 1737	0	 	 	Diphtheria ?	sev t >> sev	5 t 15	"sev = .01 t .03 of population
500 population"														
Ill 2	Mar 1750	0	 	 	Malaria ?				"1,350 Log"	"J£ 6,750"	"? = 3 m Log of 0.7 Hon
pop 500"									halt logging for ? m		
Ill 3	Nov 1751	0	 	 	Measles ?	sev t >> sev	5 t 15	"sev = .01 t .03 of population
500 population"														
Ill 4	Feb 1788	0	 	 	Measles ?	50 + >> 50																
Ill 5	Sep 1797	0	 	 	Yellow Fever	23																
Nat 1	Jan 1765	Nov 1773	 	 	Great Famine	"c 40,000 Ma fm Yuc"	"8,000 in Hon"	2/10 deaths in Hon	"25 Log
187.5 Log"	"J£ 1,062.5"	"15 percent inflation
3 m rise
.5 Log on Prov per m normally
.25 ton Log per refugee
100 refugees
500 pop"				? Ma refugees enter						Prov v scarce for ? m	
Nat 2	Dec 1784	Nov 1785	 	 	 	sev at New					"2/3 Log / 1/3 Mah
900 pop"								? houses / works flooded esp in New	halt logging for min 11 m		 
Nat 3	Nov 1792	Oct 1792	 	 	 	sev									Old for c 0.25 m				"c 2,000,000 ft Mah loss / ? tons Log loss / all houses at Old flooded"			
Nat 4	Jan 1647	Dec 1653	 	 	Famine	?																
Nat 5	Jan 1725	Dec 1727	 	 	Famine																	
Rev 1	Aug 1765	Sep 1765	 	 	Cook’s	5 + sev twice	6 t 10	sev = 3 t 5 persons	"1,350 Log
270 Log"	"J£ 8,100"	"2 m expulsion
15 gangs of 15 moved
2 m siege"				New for ? m				min 1 house robbed	New sieged for ? m		
Rev 2	May 1773	Aug 1773	 	 	Davidson’s	13 t 14 + 1 family + ? of 40			"42 Log
J£ 2.15
£ 300
1,215 Log
5,400 Log
720,000 ft Mah"	"£ 300
J£ 44,087.15"	"only Neg impressed
3 m logging halt
900 pop"	min 14 impressed for 0.25 m / ? of 40 taken	17.146 p per day	BOE	c 70 Neg refugees exit	min 1			min 9 houses robbed	halt logging for ? m		
Rev 3	Jun 1786	Jun 1786	 	 	Old R	sev																
Rev 4	Jan 1813	0	 	 	New R																	
Rev 5	Apr 1820	0	 	 	Will & Sharper														sev houses robbed			
War 1	Jul 1701	Sep 1714	Sp	Fr	Sp Succession																	
War 10	Jan 1654	Dec 1660	Sp	Bu Fr	Cromwell’s	?																
War 11	Sep 1808	Sep 1833	Sp	 	Sp Am Revolution															silver scarcity for ? m		
War 2	Aug 1718	Feb 1720	Sp	 	Quadruple Alliance																	
War 3	Mar 1726	Feb 1728	Sp	 	 				"£ 300
693.33 reales"	"£ 300
Sp $ 86.67"						1			? fm 2 Ma hamlets			
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear	9 t 10 + sev + 1 crew	20 t 30	"sev = .01 t .03 of population
500 population
crew = 15 men"	"£ 365.59
£ 69,000
J£ 750"	"£ 69,365.59
J£ 750"	"only crews held
some = 5 men
some = 3 craft
sev = 5 craft or flats"	2 crews + some men twice for ? m	15.233 p per day	BOE		15 + some + sev / sev flats						
War 5	Jan 1762	Feb 1763	Sp	Fr	Seven Years’																	
