Table 1
	From	To	Ft	Ft	Name	Lives	Held	Assume	Cf	Moved	Craft / Cargo	Assume	Cf	Property	Trade	Prov	Cost
Hos 13	Jan 1639	Oct 1654	 	Bu Ma	Tortuga Raids	1 t 4	300 t 500 Ma fm Yuc [st Sp found 70 t 80 on 9 Feb 1654] for c ? m / c ? fm Bac for c 2 m	"2.6 t maize per yr
family size = 5
2 reales per carga maize"	"UW 2020
WGF 2017"	Bac for c 2 m	3 t 4 Sp / ? Ma	"50 t per craft
30 ducados per ton"	CWM 2002	"12 t 16,000 pesos fm Bac / ? fm 4 Ma hamlets"			
Nat 4	Jan 1647	Dec 1653	 	 	Famine	?											
War 10	Jan 1654	Dec 1660	Sp	Bu Fr	Cromwell’s	?											
Hos 18	Jan 1661	Jul 1670	Sp	Bu	Modyford Offensives	?									?		
Hos 1	Jan 1696	Mar 1701	Sp	 	First Offensives	sev				Hon for < 12 m thrice				c ? huts			
War 1	Jul 1701	Sep 1714	Sp	Fr	Sp Succession												
Hos 2	Jan 1718	Feb 1725	Sp	Pir	Golden Age	60 t 72	m 6 men + 2 crews impressed for ? m	14.548 p per day	BOE		53 t 73	"100 t per craft
£ 30 per ton"	Lon 1742				
War 2	Aug 1718	Feb 1720	Sp	 	Quadruple Alliance												
Hos 14	Sep 1722	Apr 1725	Sp	 	Second Offensives		50 for ? m	"14.814 p per day [crew]
J£ 5 per ton
3.75 ton per m per man"	"BOE
Lon 1700
CO 5/119 I
Lon 1809"	Hon for ? m	5 + some			all ranchos burnt twice			
Hos 16	Jan 1724	Jul 1838	 	Af Du Fr Po	Af Slavery		? for c ? m / [st ? died]	"1 ton Log per m per man c 1770s / J£ 40 p Saturday labour < 1800s
J£ 5 per ton < 1780s / J£ 3 per ton > 1780s ?
J£ 15 per 1,000 ft c 1780s / J£ 16 to 30 [per 1,000 ft, likely] c 1800s"	"Lon 1700
Lon 1893
Lon 1809"								
Nat 5	Jan 1725	Dec 1727	 	 	Famine												
War 3	Mar 1726	Feb 1728	Sp	 	 						1			? fm 2 Ma hamlets			
Hos 3	Nov 1728	Feb 1733	Sp	 	Bacalar Offensives	2 + sev	39 + >> sev for ? m	15.086 p per day	BOE	Hon for 76.5 m	c 95 + sev twice / c 140 flats + all once			"32 + sev twice ranchos / 12 t 16,000 ton = 300,000 quintals + 245 Pilas Log"			
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Offensives	7	3 t 4 + 3 crews imprisoned for ? m	15.211 p per day	BOE		23 t 24			sev t >> sev Log burnt	Log scarce for min 2 m		
Ill 1	Jun 1737	0	 	 	Diphtheria ?	sev t >> sev											
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear	9 t 10 + sev + 1 crew	2 crews + some men twice for ? m	15.233 p per day	BOE		15 + some + sev / sev flats						
Ill 2	Mar 1750	0	 	 	Malaria ?										halt logging for ? m		
Hos 5	May 1750	Sep 1754	Sp	 	Amphibious Siege	2	140 + sev + 1 crew + all Neg for ? m	15.373 p per day	BOE	Hon for < 15 m / Hon for < 11 m / Hon for 10 m	94 t 95 + sev / 18 t 30 + all flats in New			sev Log works + all Log works in New + sev houses sacked			
Ill 3	Nov 1751	0	 	 	Measles ?	sev t >> sev											
Hos 6	May 1756	Apr 1761	Sp	Fr	Seven Years’ Offensives		60 + sev fm New + sev once + some twice for ? m	15.639 p per day	BOE	Hon for c 8 m	2.5 / sev t >> sev flats			sev t >> sev Log works / houses / Log	panic for min 1 m [halt logging likely]		
War 5	Jan 1762	Feb 1763	Sp	Fr	Seven Years’												
Crs 5	Dec 1763	Mar 1765	Sp	 	Hondo R Prohibition					"New, Hondo for 12 m = part of £ 26,794.5"				"part of £ 26,794.5"			£ 303
Nat 1	Jan 1765	Nov 1773	 	 	Great Famine	"c 40,000 Ma fm Yuc"				? Ma refugees enter						Prov v scarce for ? m	
Fin 1	Jun 1765	0	 	 	Logwood Exhaustion										Log v scarce for min 15 m	Prov v scarce for min 6 m	
