Table 1
Date	Link	Paper		Paper	APA
28 Mar 1723	Link	Boston News-Letter (1000)	"Rhode-Island, March 19. (1723, March 28"	"Rhode-Island, March 19. (1723, March 28). Boston News-Letter (1000)"	"Rhode-Island, March 19. (1723, March 28). Boston News-Letter (1000), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-105663C57AD4F42F%402350459-105663C584965E2E%400-105663C5D983BB51%40Rhode-Island%252C%2BMarch%2B19."
11 Apr 1723	Link	Boston News-Letter (1002)	"Rhode-Island, April 4th. (1723, April 11"	"Rhode-Island, April 4th. (1723, April 11). Boston News-Letter (1002)"	"Rhode-Island, April 4th. (1723, April 11). Boston News-Letter (1002), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-105663C6A117F9E2%402350473-105663C6A95A82A5%400-105663C6E51651FC%40Rhode-Island%252C%2BApril%2B4th."
16 May 1723	Link	Boston News-Letter (1007)	"Rhode-Island, May 9th. (1723, May 16"	"Rhode-Island, May 9th. (1723, May 16). Boston News-Letter (1007)"	"Rhode-Island, May 9th. (1723, May 16). Boston News-Letter (1007), p. [4]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-105663C9419740CA%402350508-105663C987A00830%403-105663CA16AD57F0%40Rhode-Island%252C%2BMay%2B9th."
22 Aug 1723	Link	Boston News-Letter (1021)	"New Port, Rhode-Island, Aug. 15th. (1723, August 22"	"New Port, Rhode-Island, Aug. 15th. (1723, August 22). Boston News-Letter (1021)"	"New Port, Rhode-Island, Aug. 15th. (1723, August 22). Boston News-Letter (1021), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-105663D3BA0F70E9%402350606-105663D3C4D52A8D%400-105663D41628E8CC%40New%2BPort%252C%2BRhode-Island%252C%2BAug.%2B15th."
10 Dec 1724	Link	Boston News-Letter (1089)	"Rhode-Island, Decemb. 4. (1724, December 10"	"Rhode-Island, Decemb. 4. (1724, December 10). Boston News-Letter (1089)"	"Rhode-Island, Decemb. 4. (1724, December 10). Boston News-Letter (1089), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-105664066A202F41%402351082-105664068E423D80%401-10566406D21B6270%40Rhode-Island%252C%2BDecemb.%2B4."
28 Aug 1727	Link	New-England Weekly Journal (XXIII)		"New-York, August 21. (1727, August 28). New-England Weekly Journal (XXIII)"	"New-York, August 21. (1727, August 28). New-England Weekly Journal (XXIII), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A108C1BB941096180%40EANX-108C9B2DB0047330%402352073-108C9B2E0364A700%401-108C9B2E935ED8D8%40New-York%252C%2BAugust%2B21."
26 Jul 1731	Link	New-England Weekly Journal (CCXXVII)		"New-York, July 22. (1731, July 26). New-England Weekly Journal (CCXXVII)"	"New-York, July 22. (1731, July 26). New-England Weekly Journal (CCXXVII), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A108C1BB941096180%40EANX-108C9B1D72A6DF88%402353501-108C9B1DB61473B0%401-108C9B1E2C6B1BE8%40New-York%252C%2BJuly%2B22."
29 Jul 1731	Link	Boston News-Letter (1435)		"New York, July 12. (1731, July 29). Boston News-Letter (1435)"	"New York, July 12. (1731, July 29). Boston News-Letter (1435), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-105664F6F285CFEC%402353504-105664F71C79598D%401-105664F767C7C45E%40New%2BYork%252C%2BJuly%2B12."
14 Sep 1732	Link	Boston News-Letter (1494)	"Charlestown, (in South Carolina) August 12. (1732, September 14"	"Charlestown, (in South Carolina) August 12. (1732, September 14). Boston News-Letter (1494)"	"Charlestown, (in South Carolina) August 12. (1732, September 14). Boston News-Letter (1494), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-10566526F709CEC0%402353917-105665271E266F75%401-1056652777B76ADD%40Charlestown%252C%2B%2528in%2BSouth%2BCarolina%2529%2BAugust%2B12."
8 Oct 1733	Link	Weekly Rehearsal (106)	"[Crow; Rhode-Island; St. Christopher's; Deck; Gale; Wind; Sloop Horses; Sheep]. (1733, October 8"	"[Crow; Rhode-Island; St. Christopher's; Deck; Gale; Wind; Sloop Horses; Sheep]. (1733, October 8). Weekly Rehearsal (106)"	"[Crow; Rhode-Island; St. Christopher's; Deck; Gale; Wind; Sloop Horses; Sheep]. (1733, October 8). Weekly Rehearsal (106), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10DBE17D479427B0%40EANX-108B7D3BD8501F00%402354306-108B7D3C03EA4220%401-108B7D3C9C537ED0%40%255BCrow%253B%2BRhode-Island%253B%2BSt.%2BChristopher%2527s%253B%2BDeck%253B%2BGale%253B%2BWind%253B%2BSloop%2BHorses%253B%2BSheep%255D."
24 Feb 1735	Link	Boston Gazette (790)	"Extract of a Letter from Charlestown, in South-Carolina, Dated January 18, 1734. (1735, February 24"	"Extract of a Letter from Charlestown, in South-Carolina, Dated January 18, 1734. (1735, February 24). Boston Gazette (790)"	"Extract of a Letter from Charlestown, in South-Carolina, Dated January 18, 1734. (1735, February 24). Boston Gazette (790), p. [4]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD2E61FB47A0%40EANX-1046E004E194B0A0%402354810-1046E005281A6244%403-1046E0059D1ADACA%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2BCharlestown%252C%2Bin%2BSouth-Carolina%252C%2BDated%2BJanuary%2B18%252C%2B1734."
17 Aug 1736	Link	New-England Weekly Journal (489)		"New-York, August 2. (1736, August 17). New-England Weekly Journal (489)"	"New-York, August 2. (1736, August 17). New-England Weekly Journal (489), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A108C1BB941096180%40EANX-108C9CFB5DD42F48%402355350-108C9CFB7A7D7ED8%400-108C9CFC012096E8%40New-York%252C%2BAugust%2B2."
8 Nov 1736	Link	Boston Gazette (878)		"New York, Nov. 1. (1736, November 8). Boston Gazette (878)"	"New York, Nov. 1. (1736, November 8). Boston Gazette (878), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD2E61FB47A0%40EANX-1046E09CC4F65974%402355433-1046E09CDEC173E2%401-1046E09D5A98BD0F%40New%2BYork%252C%2BNov.%2B1."
7 Feb 1737	Link	Boston Gazette (891)	"Rhode Island, Feb. 4. (1737, February 7"	"Rhode Island, Feb. 4. (1737, February 7). Boston Gazette (891)"	"Rhode Island, Feb. 4. (1737, February 7). Boston Gazette (891), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD2E61FB47A0%40EANX-1046E1390C3F8850%402355524-1046E1392438E382%401-1046E1399C7BEDFA%40Rhode%2BIsland%252C%2BFeb.%2B4."
28 Feb 1737	Link	Boston Evening-Post (81)	"Newport Rhode-Island Feb. 21. (1737, February 28"	"Newport Rhode-Island Feb. 21. (1737, February 28). Boston Evening-Post (81)"	"Newport Rhode-Island Feb. 21. (1737, February 28). Boston Evening-Post (81), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C792E64CF650%40EANX-1089CB1E0E214F40%402355545-1089CB1E330A8B28%401-1089CB1E78C5BCB8%40Newport%2BRhode-Island%2BFeb.%2B21."
3 Mar 1737	Link	Boston News-Letter (1722)	"New Port, Rhode Island, Feb 23. (1737, March 3"	"New Port, Rhode Island, Feb 23. (1737, March 3). Boston News-Letter (1722)"	"New Port, Rhode Island, Feb 23. (1737, March 3). Boston News-Letter (1722), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-105666B016ED0945%402355548-105666B042E968FB%401-105666B08D51750C%40New%2BPort%252C%2BRhode%2BIsland%252C%2BFeb%2B23."
24 Mar 1737	Link	Boston News-Letter (1725)	"Charlstown, South Carolina, Feb. 19. (1737, March 24"	"Charlstown, South Carolina, Feb. 19. (1737, March 24). Boston News-Letter (1725)"	"Charlstown, South Carolina, Feb. 19. (1737, March 24). Boston News-Letter (1725), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-105666C7DF676942%402355569-105666C7E7CC9F02%400-105666C840181BE9%40Charlstown%252C%2BSouth%2BCarolina%252C%2BFeb.%2B19."
16 Feb 1738	Link	Boston News-Letter (1769)	"Charlstown, South-Carolina, Nov. 17. (1738, February 16"	"Charlstown, South-Carolina, Nov. 17. (1738, February 16). Boston News-Letter (1769)"	"Charlstown, South-Carolina, Nov. 17. (1738, February 16). Boston News-Letter (1769), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-105667DF5453918D%402355898-105667DF76DB58F9%401-105667DFF00D7FF9%40Charlstown%252C%2BSouth-Carolina%252C%2BNov.%2B17."
20 Feb 1738	Link	Boston Gazette (945)	"Charlestown, South-Carolina, Nov. 17. (1738, February 20"	"Charlestown, South-Carolina, Nov. 17. (1738, February 20). Boston Gazette (945)"	"Charlestown, South-Carolina, Nov. 17. (1738, February 20). Boston Gazette (945), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD2E61FB47A0%40EANX-1046E1EF61EB387E%402355902-1046E1EF762FAB7F%401-1046E1EFD29A841B%40Charlestown%252C%2BSouth-Carolina%252C%2BNov.%2B17."
20 Feb 1738	Link	Boston Post-Boy (172)	"Charlestown, South-Carolina, Nov. 17. (1738, February 20"	"Charlestown, South-Carolina, Nov. 17. (1738, February 20). Boston Post-Boy (172)"	"Charlestown, South-Carolina, Nov. 17. (1738, February 20). Boston Post-Boy (172), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C7C672FD2D48%40EANX-1089CC6B9A0D0D58%402355902-1089CC6BD2B51000%402-1089CC6C2DEBF370%40Charlestown%252C%2BSouth-Carolina%252C%2BNov.%2B17."
21 Feb 1738	Link	New-England Weekly Journal (566)	"Charlestown, South-Carolina, Nov. 17. (1738, February 21"	"Charlestown, South-Carolina, Nov. 17. (1738, February 21). New-England Weekly Journal (566)"	"Charlestown, South-Carolina, Nov. 17. (1738, February 21). New-England Weekly Journal (566), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A108C1BB941096180%40EANX-108C9D9D18E7C738%402355903-108C9D9D29098228%400-108C9D9DB54B1CB8%40Charlestown%252C%2BSouth-Carolina%252C%2BNov.%2B17."
23 Mar 1738	Link	Boston News-Letter (1774)	"Newport, Rhode-Island, March 17. (1738, March 23"	"Newport, Rhode-Island, March 17. (1738, March 23). Boston News-Letter (1774)"	"Newport, Rhode-Island, March 17. (1738, March 23). Boston News-Letter (1774), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-105667E313444D3E%402355933-105667E346077719%401-105667E3B77A44E9%40Newport%252C%2BRhode-Island%252C%2BMarch%2B17."
17 Apr 1738	Link	Boston Evening-Post (140)	"Rhode-Island, April 14. (1738, April 17"	"Rhode-Island, April 14. (1738, April 17). Boston Evening-Post (140)"	"Rhode-Island, April 14. (1738, April 17). Boston Evening-Post (140), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C792E64CF650%40EANX-1089C8C2CC5EC750%402355958-1089C8C2F5B2DB50%401-1089C8C3811CD9E0%40Rhode-Island%252C%2BApril%2B14."
17 Apr 1738	Link	Boston Gazette (953)	"Rhode-Island, April 14. (1738, April 17"	"Rhode-Island, April 14. (1738, April 17). Boston Gazette (953)"	"Rhode-Island, April 14. (1738, April 17). Boston Gazette (953), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD2E61FB47A0%40EANX-1046E1F5C83EECB5%402355958-1046E1F5EE5448BD%402-1046E1F6567A151A%40Rhode-Island%252C%2BApril%2B14."
18 Apr 1738	Link	New-England Weekly Journal (574)	"Rhode-Island, April 14. (1738, April 18"	"Rhode-Island, April 14. (1738, April 18). New-England Weekly Journal (574)"	"Rhode-Island, April 14. (1738, April 18). New-England Weekly Journal (574), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A108C1BB941096180%40EANX-108C9DABC315F290%402355959-108C9DAC28C56C78%401-108C9DADC014A528%40Rhode-Island%252C%2BApril%2B14."
