Table 1
Date	Link	Headline	Paper	Address	
24 May 1701	Bur 944	"Hague, June 1."	Flying Post (944)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001376136/GDCS?u=camb55135&sid=GDCS&xid=4e07aa4d	
26 Jul 1718	Bur 496	"London, July 29."	St. James’s Evening Post (496)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001342325/GDCS?u=camb55135&sid=GDCS&xid=9039da26	
24 May 1722	Bur 4	London.	Compleat Set of St James’s Journals (4)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001344843/GDCS?u=camb55135&sid=GDCS&xid=2470c3e9	
30 Jun 1722	Bur 2017	"London, July 3."	Evening Post (1709) (2017)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001372211/GDCS?u=camb55135&sid=GDCS&xid=e1ef25c5	
7 Jul 1722	Bur sn	"Boston in New-England, April 16."	Weekly Journal or British Gazetteer	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001588009/GDCS?u=camb55135&sid=GDCS&xid=85f9fbee	
13 May 1723	Bur 94	"Custom House, Boston."	New England Courant (94)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001394927/GDCS?u=camb55135&sid=GDCS&xid=c89985a0	
27 Jun 1723	Bur 1169	"Boston, May 6."	Daily Post (1169)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000266249/GDCS?u=camb55135&sid=GDCS&xid=d545bac1	
27 Jun 1723	Bur 248	"There is Advice from Rhode Island, dated May the 9th …"	Weekly Journal or Saturday’s Post (248)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001597849/GDCS?u=camb55135&sid=GDCS&xid=5a313df6	
9 Nov 1723	Bur 263	"London, November 9."	Weekly Journal or Saturday’s Post (263)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001598245/GDCS?u=camb55135&sid=GDCS&xid=add0539c	
12 Jun 1724	Bur 7065	"St. Christopher’s, March 24."	Daily Courant (7065)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000206697/GDCS?u=camb55135&sid=GDCS&xid=0ee0b542	
13 Jul 1724	Bur 1496	"London, July 13."	Daily Post (1496)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000266921/GDCS?u=camb55135&sid=GDCS&xid=9bd4026d	
15 Jul 1724	Bur 883	"London, July 15."	Parker’s London News or the Impartial Intelligencer (883)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001053062/GDCS?u=camb55135&sid=GDCS&xid=672c328a	
15 Jul 1724	Bur 883	"London, July 15."	Parker’s London News or the Impartial Intelligencer (883)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001053062/GDCS?u=camb55135&sid=GDCS&xid=672c328a	
8 Aug 1724	Bur 99	"Letter by Captain Hawkins to One of his Owners; … Benacca, April 26. 1724."	British Journal (99)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000122736/GDCS?u=camb55135&sid=GDCS&xid=85f55cc4	
8 Aug 1724	Bur 2347	"London, Aug 11."	Evening Post (1709) (2347)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001373336/GDCS?u=camb55135&sid=GDCS&xid=183b8f24	
10 Aug 1724	Bur 1520	"New-York, June 10."	Daily Post (1520)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000267001/GDCS?u=camb55135&sid=GDCS&xid=d4b181f2	
15 Jan 1725	Bur 1656	"London, January 15."	Daily Post (1656)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000267588/GDCS?u=camb55135&sid=GDCS&xid=84f87a80	
25 Jan 1725	Bur 7262	"Rhode-Island, Dec. 4."	Daily Courant (7262)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000207604/GDCS?u=camb55135&sid=GDCS&xid=29cb2c41	
30 Jan 1725	Bur 124	"Rhode-Island, Dec. 4."	British Journal (124)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000123226/GDCS?u=camb55135&sid=GDCS&xid=01847152	
8 May 1725	Bur 7351	"Newport in Rhode-Island, Feb. 5."	Daily Courant (7351)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000208080/GDCS?u=camb55135&sid=GDCS&xid=377ea82e	
8 May 1725	Bur 2	"London, May 8."	Mist’s Weekly Journal (2)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000786052/GDCS?u=camb55135&sid=GDCS&xid=80232b8a	
16 Jan 1729	Bur 2504	"London, January 16."	Daily Journal (2504)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000246523/GDCS?u=camb55135&sid=GDCS&xid=6aaaf9e9	
8 May 1729	Bur 2600	"Boston in New-England, March 29."	Daily Journal (2600)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000247051/GDCS?u=camb55135&sid=GDCS&xid=bc3f1bb7	
11 Oct 1729	Bur 532	"Boston in New-England, Aug 18."	London Journal (1720) (532)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001387504/GDCS?u=camb55135&sid=GDCS&xid=f8cc9bdf	
13 Aug 1730	Bur 2996	"Philadelphia in Pensilvania, June 18."	Daily Journal (2996)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000248933/GDCS?u=camb55135&sid=GDCS&xid=6a53d5c3	
3 May 1731	Bur 3221	London.	Daily Journal (3221)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000250215/GDCS?u=camb55135&sid=GDCS&xid=3c515fad	
12 May 1731	Bur 3229	London.	Daily Journal (3229)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000250275/GDCS?u=camb55135&sid=GDCS&xid=9e57463e	
24 Sep 1731	Bur 3345	London.	Daily Journal (3345)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000251060/GDCS?u=camb55135&sid=GDCS&xid=4b81c191	
23 Oct 1731	Bur 277	"London, October 23."	Country Journal or The Craftsman (277)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000133505/GDCS?u=camb55135&sid=GDCS&xid=2b187e95	
4 Nov 1731	Bur 614	"Extract of a Letter from Boston in New England, dated Sept. 28."	London Evening Post (614)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000632515/GDCS?u=camb55135&sid=GDCS&xid=bb3448b4	
19 May 1732	Bur 3548	London.	Daily Journal (3548)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000252377/GDCS?u=camb55135&sid=GDCS&xid=0a21a172	
27 May 1732	Bur 375	"Extract of a Letter from Campeche in the Province of Yucatan, dated Nov. 24."	Read’s Weekly Journal or British Gazetteer (375)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001242714/GDCS?u=camb55135&sid=GDCS&xid=f8c30e5c	
22 Jul 1732	Bur 198	London.	Universal Spectator and Weekly Journal (198)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001496196/GDCS?u=camb55135&sid=GDCS&xid=43f6bc6d	
22 Jul 1732	Bur 198	London.	Universal Spectator and Weekly Journal (198)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001496196/GDCS?u=camb55135&sid=GDCS&xid=43f6bc6d	
3 Oct 1732	Bur 3666	London.	Daily Journal (3666)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000253173/GDCS?u=camb55135&sid=GDCS&xid=0274a29b	
11 Aug 1747	Bur 2159	"London, August 13."	General Evening Post (2159)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000434671/GDCS?u=camb55135&sid=GDCS&xid=d4544fb3	
18 Apr 1752	Bur 31	Friday.	Covent-Garden Journal (31)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000139186/GDCS?u=camb55135&sid=GDCS&xid=45ec79bb	
14 Dec 1754	Bur 4228	"Extract of a Letter from New York, Oct. 22."	London Evening Post (4228)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000658065/GDCS?u=camb55135&sid=GDCS&xid=d8a0a5ac	
28 Dec 1754	Bur 4234	"Kingston in Jamaica, Oct. 2."	London Evening Post (4234)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000658101/GDCS?u=camb55135&sid=GDCS&xid=8d26f435	
30 Jan 1755	Bur 4248	"An Extract of a Letter from Black River, on the Musqueto Shore, dated Nov. 19, 1754."	London Evening Post (4248)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000658205/GDCS?u=camb55135&sid=GDCS&xid=0abb66f9	
6 Oct 1755	Bur 6543	"We learn from New-York, by Letters of the 11th of August, …"	Public Advertiser (6543)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001070665/GDCS?u=camb55135&sid=GDCS&xid=2ffadd07	
11 Oct 1755	Bur 2339	"We learn from New-York, by Letters of the 11th of August, …"	Read’s Weekly Journal or British Gazetteer (2339)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001247773/GDCS?u=camb55135&sid=GDCS&xid=f7d95eef	
31 Oct 1765	Bur 11431	Articles of Intelligence from the other Daily Papers of yesterday.	Gazetteer and New Daily Advertiser (11431)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000352153/GDCS?u=camb55135&sid=GDCS&xid=179617d8	
10 Feb 1766	Bur 11 518	London.	Gazetteer and New Daily Advertiser (11 518)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000353875/GDCS?u=camb55135&sid=GDCS&xid=3d92c638	
1 Sep 1770	Bur 5757	London.	General Evening Post (5757)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000440235/GDCS?u=camb55135&sid=GDCS&xid=b7dbe92f	
30 Apr 1772	Bur 6915	London.	London Evening Post (6915)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000682911/GDCS?u=camb55135&sid=GDCS&xid=aeb446db	
30 Nov 1773	Bur 730	London.	Middlesex Journal (730)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000770279/GDCS?u=camb55135&sid=GDCS&xid=2fa1d122	
5 Feb 1785	Bur 4412	"Kingston, Nov 25."	London Chronicle (4412)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000582847/GDCS?u=camb55135&sid=GDCS&xid=0ad9fbe6	
25 Jul 1787	Bur 5680	Jamaica News.	Morning Chronicle (1770) (5680)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000879373/GDCS?u=camb55135&sid=GDCS&xid=cc478762	
13 Mar 1794	Bur 7135	"Kingston, Dec. 28."	Whitehall Evening Post (1770) (7135)	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001633801/GDCS?u=camb55135&sid=GDCS&xid=e3d309d8	
