Table 1
Date	Link	Delpher		Address	
17 Nov 1629	Link	"""Zedert dat den Admirael Pater, met bijne bij"". ""Courante uyt Italien, Duytslandt, &c."". Amsterdam, 1629/11/17 00:00:00, Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=MMKB08:000213427:mpeg21:p002"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001376136/GDCS?u=camb55135&sid=GDCS&xid=4e07aa4d	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001377136/GDCS?u=camb55135&sid=GDCS&xid=bb8b61c7
16 Oct 1666	Link	"""SPANGIEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1666/10/16 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:010926715:mpeg21:p001"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001342325/GDCS?u=camb55135&sid=GDCS&xid=9039da26	
18 Oct 1666	Link	"""De Madrid le 22 Septembre."". ""Gazette ordinaire d'Amsterdam"". Amsterdam, 1666/10/18 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011014571:mpeg21:p001"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001344843/GDCS?u=camb55135&sid=GDCS&xid=2470c3e9	
17 Jan 1667	Link	"""D'Amsterdam le 17 Ianvier."". ""Gazette ordinaire d'Amsterdam"". Amsterdam, 1667/01/17 00:00:00, p. 4. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:010926633:mpeg21:p004"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001372211/GDCS?u=camb55135&sid=GDCS&xid=e1ef25c5	
19 Feb 1667	Link	"""SPANGIEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1667/02/19 00:00:00, p. 2. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:010926740:mpeg21:p002"	Poss Eng fort by Guat	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001588009/GDCS?u=camb55135&sid=GDCS&xid=85f9fbee	
2 Aug 1667	Link	"""SPANGIEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1667/08/02 00:00:00, p. 2. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:010926782:mpeg21:p002"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001394927/GDCS?u=camb55135&sid=GDCS&xid=c89985a0	
6 Dec 1668	Link	"""d'Amsterdam le 6 Decembre."". ""La gazette d'Amsterdam"". Amsterdam, 1668/12/06 00:00:00, p. 4. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011014630:mpeg21:p004"	Plunder near Hon	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000266249/GDCS?u=camb55135&sid=GDCS&xid=d545bac1	
7 Feb 1669	Link	"""V ' N NIXEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1669/02/07 00:00:00, p. 2. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:010926810:mpeg21:p002"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001597849/GDCS?u=camb55135&sid=GDCS&xid=5a313df6	
14 Feb 1669	Link	"""SPANGIEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1669/02/14 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:010926813:mpeg21:p001"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001598245/GDCS?u=camb55135&sid=GDCS&xid=add0539c	
16 Feb 1669	Link	"""SPANJEN."". ""Tĳdinghe uyt verscheyde quartieren"". Amsterdam, 1669/02/16 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:010758935:mpeg21:p001"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000206697/GDCS?u=camb55135&sid=GDCS&xid=0ee0b542	
