Table 1
Date	Link	Headling	
24 May 01	Bur 944	"Hague, June 1."	
26 Jul 18	Bur 496	"London, July 29."	
24 May 22	Bur 4	London.	
30 Jun 22	Bur 2017	"London, July 3."	
7 Jul 22	Bur sn	"Boston in New-England, April 16."	
28 Mar 23	Press 1000	"Rhode-Island, March 19."	
11 Apr 23	Press 1002	"Rhode-Island, April 4th."	
13 May 23	Bur 94	"Custom House, Boston."	
16 May 23	Press 1007	"Rhode-Island, May 9th."	
27 Jun 23	Bur 1169	"Boston, May 6."	
27 Jun 23	Bur 248	"There is Advice from Rhode Island, dated May the 9th …"	
22 Aug 23	Press 1021	"New Port, Rhode-Island, Aug. 15th."	
9 Nov 23	Bur 263	"London, November 9."	
12 Jun 24	Bur 7065	"St. Christopher’s, March 24."	
13 Jul 24	Bur 1496	"London, July 13."	
15 Jul 24	Bur 883	"London, July 15."	
15 Jul 24	Bur 883	"London, July 15."	
8 Aug 24	Bur 99	"Letter by Captain Hawkins to One of his Owners; … Benacca, April 26. 1724."	
8 Aug 24	Bur 2347	"London, Aug 11."	
10 Aug 24	Bur 1520	"New-York, June 10."	
10 Dec 24	Press 1089	"Rhode-Island, Decemb. 4."	
15 Jan 25	Bur 1656	"London, January 15."	
25 Jan 25	Bur 7262	"Rhode-Island, Dec. 4."	
30 Jan 25	Bur 124	"Rhode-Island, Dec. 4."	
8 May 25	Bur 7351	"Newport in Rhode-Island, Feb. 5."	
8 May 25	Bur 2	"London, May 8."	
28 Aug 27	Press XXIII	"New-York, August 21."	
16 Jan 29	Bur 2504	"London, January 16."	
8 May 29	Bur 2600	"Boston in New-England, March 29."	
11 Oct 29	Bur 532	"Boston in New-England, Aug 18."	
13 Aug 30	Bur 2996	"Philadelphia in Pensilvania, June 18."	
3 May 31	Bur 3221	London.	
12 May 31	Bur 3229	London.	
26 Jul 31	Press CCXXVII	"New-York, July 22."	
29 Jul 31	Press 1435	"New York, July 12."	
24 Sep 31	Bur 3345	London.	
23 Oct 31	Bur 277	"London, October 23."	
4 Nov 31	Bur 614	"Extract of a Letter from Boston in New England, dated Sept. 28."	
19 May 32	Bur 3548	London.	
27 May 32	Bur 375	"Extract of a Letter from Campeche in the Province of Yucatan, dated Nov. 24."	
22 Jul 32	Bur 198	London.	
22 Jul 32	Bur 198	London.	
14 Sep 32	Press 1494	"Charlestown, (in South Carolina) August 12."	
3 Oct 32	Bur 3666	London.	
8 Oct 33	Press 106	[Crow; Rhode-Island; St. Christopher's; Deck; Gale; Wind; Sloop Horses; Sheep].	
24 Feb 34	Press LXVIII	"Newport, Jan. 1734-5."	
11 Nov 34	Press LIV	"Foreign Affairs. Boston, October 14."	
11 Nov 34	Press LIV	"Foreign Affairs. Boston, October 14."	
24 Feb 35	Press 790	"Extract of a Letter from Charlestown, in South-Carolina, Dated January 18, 1734."	
22 Dec 35	Press CXI	"Boston, December 15."	
22 Dec 35	Press CXI	"Boston, December 15."	
17 Aug 36	Press 489	"New-York, August 2."	
8 Nov 36	Press 878	"New York, Nov. 1."	
7 Feb 37	Press 891	"Rhode Island, Feb. 4."	
28 Feb 37	Press 81	Newport Rhode-Island Feb. 21.	
3 Mar 37	Press 1722	"New Port, Rhode Island, Feb 23."	
24 Mar 37	Press 1725	"Charlstown, South Carolina, Feb. 19."	
26 Sep 37	Press 203	"Boston, September 12."	
26 Sep 37	Press 203	"Boston, September 12."	
10 Oct 37	Press 205	"Boston, August 29."	
10 Oct 37	Press 205	"Boston, August 29."	
16 Feb 38	Press 1769	"Charlstown, South-Carolina, Nov. 17."	
20 Feb 38	Press 945	"Charlestown, South-Carolina, Nov. 17."	
20 Feb 38	Press 172	"Charlestown, South-Carolina, Nov. 17."	
21 Feb 38	Press 566	"Charlestown, South-Carolina, Nov. 17."	
23 Mar 38	Press 1774	"Newport, Rhode-Island, March 17."	
17 Apr 38	Press 140	"Rhode-Island, April 14."	
17 Apr 38	Press 953	"Rhode-Island, April 14."	
18 Apr 38	Press 574	"Rhode-Island, April 14."	
3 Mar 39	Press 325	"Newport, Rhode Island."	
3 Mar 39	Press 325	"Newport, Rhode Island."	
16 Apr 39	Press 279	Boston.	
16 Apr 39	Press 279	Boston.	
15 May 39	Press 630	Mortuary Notice.	
17 May 39	Press 1834	"Newport, Rhode-Island, May 11."	
28 Jan 40	Press 303	[November; Capt. Stedman; Charming; Nancy; Passage; Plymouth; Capt. John Hadaway; Rhode-Island].	
18 Feb 40	Press 237	"Newport, Rhode-Island, Feb. 15."	
21 Feb 40	Press 1874	"New Port, Rhode-Island, Feb. 15."	
17 Mar 40	Press 241	"Extract of a Letter from Capt. Williams, Master of the Scooner Whalebone, Going into the Bay of Honduras."	
20 Mar 40	Press 1878	"Extract of a Letter from Capt. Williams, Master of the Scooner Whalebone, Going into the Bay of Honduras."	
31 Mar 40	Press 329	"Extract of a Letter from Capt. Williams Master of the Scooner Whalebone, Going into the Bay of Honduras."	
21 Apr 40	Press 315	"Newport, Rhode-Island, April 18."	
22 Apr 40	Press 679	"Boston. Extract of a Letter from South Carolina, Dated March 23d. 1739, 40."	
24 Apr 40	Press 1883	"Newport, Rhode-Island, April 18."	
5 May 40	Press 335	"Boston, April 21."	
5 May 40	Press 335	"Boston, April 21."	
2 Oct 40	Press 1906	"Rhode-Island, Sept. 26."	
7 Oct 40	Press 703	"New-York, September 29."	
19 Mar 41	Press 1930	"New-York, February 23d."	
23 Mar 41	Press 294	"New-York, Feb. 23."	
23 Mar 41	Press 1022	"New-York, Feb. 9th."	
24 Mar 41	Press 727	"New-York, Feb. 9th."	
9 Nov 41	Press 415	"Boston, November 2."	
9 Nov 41	Press 415	"Boston, November 2."	
15 Mar 42	Press 345	"Charlestown, in South Carolina, December 26."	
15 Mar 42	Press 347	"From the South-Carolina, Gazette, Feb. 13, 1742."	
18 Mar 42	Press 1982	"Charlestown, South-Carolina, Jan. 22."	
14 Jun 42	Press 446	"Extract of a Letter from Jamaica, Dated March 4th."	
15 Nov 42	Press 413	"Charlestown, (South-Carolina,) Sept. 20."	
18 Nov 42	Press 2017	"Charlestown, (South-Carolina,) Sept. 20."	
22 Nov 42	Press 470	"Boston, October 11."	
22 Nov 42	Press 470	"Boston, October 11."	
20 Dec 42	Press 474	"CharleS-Town, South Carolina, October 4."	
3 May 43	Press 1105	"Amsterdam, Dec. 31."	
4 Jul 43	Press 413	"New-York, June 27."	
7 Jul 43	Press 2049	"New-York, June 27."	
9 Jan 44	Press 440	"Abstract of a Letter from the Bay of Honduras, Dated Octob. 5. 1743. via New York."	
9 Jan 44	Press 440	"Abstract of a Letter from the Bay of Honduras, Dated Octob. 5. 1743. via New York."	
11 Nov 45	Press 535	"Extract of a Letter from Charlestown in S. Carolina, Dated Oct. 17."	
18 Nov 45	Press 52	"Extract of a Letter from Charlestown in S. Carolina, Dated Oct. 17."	
