Table 1
Date	Link	Paper	Headline			APA
24 Feb 1734	Link	New-York Weekly Journal (LXVIII)	"Newport, Jan. 1734-5."		"Newport, Jan. 1734-5. (1734, February 24). New-York Weekly Journal (LXVIII)"	"Newport, Jan. 1734-5. (1734, February 24). New-York Weekly Journal (LXVIII), p. [4]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD36DBC06A78%40EANX-1062A4990A846547%402354445-1062A4994FEC40B0%403-1062A499C3EB84FF%40Newport%252C%2BJan.%2B1734-5."
11 Nov 1734	Link	New-York Weekly Journal (LIV)	"Foreign Affairs. Boston, October 14."		"Foreign Affairs. Boston, October 14. (1734, November 11). New-York Weekly Journal (LIV)"	"Foreign Affairs. Boston, October 14. (1734, November 11). New-York Weekly Journal (LIV), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD36DBC06A78%40EANX-1062A48EAB4E681E%402354705-1062A48ECB23C94D%402-1062A48F083DB909%40Foreign%2BAffairs.%2BBoston%252C%2BOctober%2B14."
11 Nov 1734	Link	New-York Weekly Journal (LIV)	"Foreign Affairs. Boston, October 14."		"Foreign Affairs. Boston, October 14. (1734, November 11). New-York Weekly Journal (LIV)"	"Foreign Affairs. Boston, October 14. (1734, November 11). New-York Weekly Journal (LIV), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD36DBC06A78%40EANX-1062A48EAB4E681E%402354705-1062A48ECB23C94D%402-1062A48F083DB909%40Foreign%2BAffairs.%2BBoston%252C%2BOctober%2B14."
22 Dec 1735	Link	New-York Weekly Journal (CXI)	"Boston, December 15."		"Boston, December 15. (1735, December 22). New-York Weekly Journal (CXI)"	"Boston, December 15. (1735, December 22). New-York Weekly Journal (CXI), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD36DBC06A78%40EANX-1062A3DFCC933A6C%402355111-1062A3DFF5BD1D5E%402-1062A3E0441FEFD5%40Boston%252C%2BDecember%2B15."
22 Dec 1735	Link	New-York Weekly Journal (CXI)	"Boston, December 15."		"Boston, December 15. (1735, December 22). New-York Weekly Journal (CXI)"	"Boston, December 15. (1735, December 22). New-York Weekly Journal (CXI), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD36DBC06A78%40EANX-1062A3DFCC933A6C%402355111-1062A3DFF5BD1D5E%402-1062A3E0441FEFD5%40Boston%252C%2BDecember%2B15."
26 Sep 1737	Link	New-York Weekly Journal (203)	"Boston, September 12."		"Boston, September 12. (1737, September 26). New-York Weekly Journal (203)"	"Boston, September 12. (1737, September 26). New-York Weekly Journal (203), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD36DBC06A78%40EANX-1062A42C68C61774%402355755-1062A42CA2337550%402-1062A42D243B4484%40Boston%252C%2BSeptember%2B12."
26 Sep 1737	Link	New-York Weekly Journal (203)	"Boston, September 12."		"Boston, September 12. (1737, September 26). New-York Weekly Journal (203)"	"Boston, September 12. (1737, September 26). New-York Weekly Journal (203), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD36DBC06A78%40EANX-1062A42C68C61774%402355755-1062A42CA2337550%402-1062A42D243B4484%40Boston%252C%2BSeptember%2B12."
10 Oct 1737	Link	New-York Weekly Journal (205)	"Boston, August 29."		"Boston, August 29. (1737, October 10). New-York Weekly Journal (205)"	"Boston, August 29. (1737, October 10). New-York Weekly Journal (205), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD36DBC06A78%40EANX-1062A42E26042FCE%402355769-1062A42E42EC36DE%401-1062A42E9844AFBB%40Boston%252C%2BAugust%2B29."
10 Oct 1737	Link	New-York Weekly Journal (205)	"Boston, August 29."		"Boston, August 29. (1737, October 10). New-York Weekly Journal (205)"	"Boston, August 29. (1737, October 10). New-York Weekly Journal (205), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD36DBC06A78%40EANX-1062A42E26042FCE%402355769-1062A42E42EC36DE%401-1062A42E9844AFBB%40Boston%252C%2BAugust%2B29."
3 Mar 1739	Link	New-York Weekly Journal (325)	"Newport, Rhode Island."		"Newport, Rhode Island. (1739, March 3). New-York Weekly Journal (325)"	"Newport, Rhode Island. (1739, March 3). New-York Weekly Journal (325), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD36DBC06A78%40EANX-1062A4E6C55BA013%402356278-1062A4E6E66402E9%402-1062A4E74458CE9A%40Newport%252C%2BRhode%2BIsland."
3 Mar 1739	Link	New-York Weekly Journal (325)	"Newport, Rhode Island."	"Newport, Rhode Island. (1739, March 3"	"Newport, Rhode Island. (1739, March 3). New-York Weekly Journal (325)"	"Newport, Rhode Island. (1739, March 3). New-York Weekly Journal (325), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD36DBC06A78%40EANX-1062A4E6C55BA013%402356278-1062A4E6E66402E9%402-1062A4E74458CE9A%40Newport%252C%2BRhode%2BIsland."
16 Apr 1739	Link	New-York Weekly Journal (279)	Boston.		"Boston. (1739, April 16). New-York Weekly Journal (279)"	"Boston. (1739, April 16). New-York Weekly Journal (279), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD36DBC06A78%40EANX-1062A46BC1374605%402356322-1062A46BCEC21FCB%401-1062A46C035308E9%40Boston."
