Vars surveys
	2020	2019	2018	2016	2015	2014	2012	2010	2008		
"VAB / means, scaled 0 to 100"											
B32 / Trust in local govt						41.6	54.7	41.4	47.2		
EXC7 / Perceived corruption						75.0	67.9	76.3	68.8		
EXC* / Victim of corruption						20.5	11.9	17.2	19.1		
* = 2 / 6 / 11 / 13 / 14 / 15 / 16											
											
											
"WJP / means, scaled 0 to 1"											
F1 / Constraints on power	0.44	0.46	0.47	0.45	0.47						
F2 / Absence of corruption	0.43	0.44	0.44	0.48	0.48						
F3 / Open govt	0.45	0.45	0.44	0.45	0.55						
F4 / Fundamental rights	0.50	0.49	0.53	0.51	0.50						
F5 / Order and security	0.70	0.73	0.73	0.70	0.68						
F6 / Regulatory enforcement	0.43	0.42	0.39	0.43	0.42						
F7 / Civil justice	0.51	0.50	0.47	0.47	0.49						
F8 / Criminal justice	0.36	0.34	0.33	0.32	0.29						
F6.4 / Due process in administrative proceedings	0.30	0.37	0.30	0.34	0.44						
F6.3 / No unreadable delay in administrative proceedings	0.37	0.33	0.28	0.34	0.29						
F4.3 / Due process	0.38	0.35	0.38	0.32	0.28						
F4.6 / Privacy	0.38	0.41	0.45	0.44	0.31						
F3.1 / Public laws and data	0.36	0.35	0.36	0.33	0.46						
F2.1 / Corruption in executive branch	0.38	0.39	0.39	0.44	0.44						
F2.4 / Corruption in legislative branch	0.23	0.23	0.20	0.37	0.39						
F1.3 / Auditing and review	0.26	0.30	0.34	0.32	0.33						
F1.4 / Sanctions	0.24	0.24	0.26	0.20	0.28						
