Table 1
Place	Party	Position	Surname	Forenames	Date	
Belize City	U	M	MOYA	Zenida Victoria	1 Mar 2006	
Belize City	U	C	ESQUIVEL	Laura Andrea	1 Mar 2006	
Belize City	U	C	KING	Mark Anthony	1 Mar 2006	
Belize City	U	C	LATCHMAN	Hyacinth E.	1 Mar 2006	
Belize City	U	C	MICHAEL	Anthony James	1 Mar 2006	
Belize City	U	C	MIDDLETON	Gilroy Hughdonald	1 Mar 2006	
Belize City	U	C	PEYREFITTE	Leila Amira	1 Mar 2006	
Belize City	U	C	QUILTER	Calvert Wayne	1 Mar 2006	
Belize City	U	C	SAMUELS	Dean Trevor	1 Mar 2006	
Belize City	U	C	USHER	Wayne Owen Maurice	1 Mar 2006	
Belize City	U	C	WILLOUGHBY	Philip Cordova	1 Mar 2006	
Belmopan	U	M	LOPEZ	Simeon	1 Mar 2006	
Belmopan	U	C	BALONA	Tita	1 Mar 2006	
Belmopan	U	C	BROWN	Eugene Michael	1 Mar 2006	
Belmopan	U	C	CARCAMO	Celso	1 Mar 2006	
Belmopan	U	C	CARRILLO	Pedro	1 Mar 2006	
Belmopan	U	C	MYERS	Olga	1 Mar 2006	
Belmopan	U	C	PERDOMO	Victor	1 Mar 2006	
Corozal	U	M	CAMPOS	Hilberto	1 Mar 2006	
Corozal	U	C	BABB	Aron	1 Mar 2006	
Corozal	U	C	BROOKS	Luis	1 Mar 2006	
Corozal	U	C	CRUZ	Joselle Willie	1 Mar 2006	
Corozal	U	C	GOMEZ	Abigail	1 Mar 2006	
Corozal	U	C	RAMIREZ	Nonita	1 Mar 2006	
Corozal	U	C	WILLIAMS	Rosalee Price	1 Mar 2006	
San Ignacio / Santa Elena	U	M	AUGUST	John Francis	1 Mar 2006	
San Ignacio / Santa Elena	U	C	CANO	Eduardo	1 Mar 2006	
San Ignacio / Santa Elena	U	C	FERNANDEZ	Bernadette	1 Mar 2006	
San Ignacio / Santa Elena	U	C	HERRERA	George Luis	1 Mar 2006	
San Ignacio / Santa Elena	U	C	MORENO	Iliana	1 Mar 2006	
San Ignacio / Santa Elena	U	C	NEAL	Vanessa Jeaneane	1 Mar 2006	
San Ignacio / Santa Elena	U	C	TRAPP JR.	Earl	1 Mar 2006	
Dangriga	U	M	MENA	Frank	1 Mar 2006	
Dangriga	U	C	CHAVEZ	Alden Jack	1 Mar 2006	
Dangriga	U	C	FAIRWEATHER	Grace	1 Mar 2006	
Dangriga	U	C	GARCIA	Russel	1 Mar 2006	
Dangriga	U	C	GONGORA	Aaron Jake	1 Mar 2006	
Dangriga	U	C	NORALEZ	Barbara	1 Mar 2006	
Dangriga	U	C	SABAL	Harry Henry	1 Mar 2006	
Benque Viejo	U	M	SOSA	Gerardo Marconi	1 Mar 2006	
Benque Viejo	P	C	CHULIN	Armando	1 Mar 2006	
Benque Viejo	U	C	ESCALANTE	Mirna Araceli	1 Mar 2006	
Benque Viejo	U	C	GUERRA JR.	Adrian	1 Mar 2006	
Benque Viejo	U	C	GUERRA	Elmer	1 Mar 2006	
Benque Viejo	U	C	IGLESIAS	Salvador	1 Mar 2006	
Benque Viejo	U	C	RUIZ	Nicholasito Russel	1 Mar 2006	
Punta Gorda	P	M	GALVEZ	Carlos	1 Mar 2006	
Punta Gorda	P	C	CHAVARRIA	Leonardo	1 Mar 2006	
Punta Gorda	U	C	GALVEZ	Wilfredo	1 Mar 2006	
Punta Gorda	U	C	LAMBEY	Anthony	1 Mar 2006	
Punta Gorda	U	C	LINO	Floyd	1 Mar 2006	
Punta Gorda	U	C	PENNIL	Rene Arthur	1 Mar 2006	
Punta Gorda	U	C	SUPAL	Leeroy Ned	1 Mar 2006	
Orange Walk	U	M	GONZALEZ	Ravell	1 Mar 2006	
Orange Walk	U	C	ALCOSER	Raul	1 Mar 2006	
Orange Walk	U	C	DE LA FUENTE	Philip Marvin	1 Mar 2006	
Orange Walk	U	C	MATAR	Jamil Amin	1 Mar 2006	
Orange Walk	U	C	MELENDEZ	Rosario	1 Mar 2006	
Orange Walk	U	C	MORALEZ	Enid Urbina	1 Mar 2006	
Orange Walk	U	C	PERERA	Carlos	1 Mar 2006	
San Pedro	U	M	PAZ	Elsa	1 Mar 2006	
San Pedro	U	C	ALAMILLA	Juan	1 Mar 2006	
San Pedro	U	C	ELIJIO	Joseph	1 Mar 2006	
San Pedro	U	C	GOMEZ	Nesto	1 Mar 2006	
San Pedro	U	C	GUERRERO	Justiniano	1 Mar 2006	
San Pedro	U	C	GUERRERO JR.	Severo	1 Mar 2006	
San Pedro	U	C	ICO	Pablo	1 Mar 2006	
Belmopan	U	M	LOPEZ	Simeon	4 Mar 2009	
Belmopan	U	C	BALONA	Tita	4 Mar 2009	
Belmopan	U	C	BANNER	Shanna Marie	4 Mar 2009	
Belmopan	U	C	CARRILLO	Pedro	4 Mar 2009	
Belmopan	U	C	MYERS	Olga Jean	4 Mar 2009	
Belmopan	U	C	PERDOMO	Victor Santiago	4 Mar 2009	
Belmopan	U	C	UMANA	Amilcar Alfredo	4 Mar 2009	
San Pedro	U	M	PAZ	Elsa	4 Mar 2009	
San Pedro	U	C	ALAMILLA	Juan	4 Mar 2009	
San Pedro	U	C	ELIJIO	Joseph	4 Mar 2009	
San Pedro	U	C	GOMEZ	Nesto	4 Mar 2009	
San Pedro	U	C	GUERRERO	Justiniano	4 Mar 2009	
San Pedro	U	C	GUERRERO JR.	Severo	4 Mar 2009	
San Pedro	U	C	ICO	Pablo	4 Mar 2009	
Corozal	U	M	CAMPOS	Hilberto Enrique	4 Mar 2009	
Corozal	U	C	BABB	Aron Ubaldo	4 Mar 2009	
Corozal	U	C	BUDNA	Jude Stanley	4 Mar 2009	
Corozal	U	C	CRUZ	Willie Joselle	4 Mar 2009	
Corozal	U	C	ESQUIVEL	Kenisha Yvonne	4 Mar 2009	
Corozal	U	C	GOMEZ	Abigail Karina	4 Mar 2009	
Corozal	U	C	RAMIREZ	Nonita Encarnacion	4 Mar 2009	
Orange Walk	U	M	DE LA FUENTE	Phillip Marvin	4 Mar 2009	*
Orange Walk	P	C	ARANA-FLORES	Rozel	4 Mar 2009	*
Orange Walk	U	C	CONSTANZA	David Israel	4 Mar 2009	*
Orange Walk	P	C	BERNARD	Kevin E.	4 Mar 2009	*
Orange Walk	P	C	CARBALLO	Josue	4 Mar 2009	*
Orange Walk	U	C	MORALES	Xenia Enid	4 Mar 2009	*
Orange Walk	P	C	RIVEROL	Faride	4 Mar 2009	*
San Ignacio / Santa Elena	U	M	AUGUST	John Francis	4 Mar 2009	
San Ignacio / Santa Elena	U	C	CANO	Eduardo	4 Mar 2009	
San Ignacio / Santa Elena	U	C	CHUC	Orlando Moses	4 Mar 2009	
San Ignacio / Santa Elena	U	C	FERNANDEZ	Bernadette	4 Mar 2009	
San Ignacio / Santa Elena	U	C	NEAL	Desol D.	4 Mar 2009	
San Ignacio / Santa Elena	U	C	NEAL	Vanessa Jeaneane	4 Mar 2009	
San Ignacio / Santa Elena	U	C	TRAPP	A. Earl	4 Mar 2009	
