Table 1
Place	Party	Position	Surname	Forenames	Date	
Caribbean Shores	P	R	COYE	Jose	13 Mar 2003	
Freetown	P	R	FONSECA	Francis	13 Mar 2003	
Pickstock	P	R	SMITH	Godfrey	13 Mar 2003	
Fort George	P	R	MUSA	Said	13 Mar 2003	
Lake Independence	P	R	HYDE	Cordel	13 Mar 2003	
Albert	P	R	ESPAT	Mark	13 Mar 2003	
Collet	U	R	FABER	Patrick	13 Mar 2003	
Mesopotamia	U	R	FINNEGAN	Michael	13 Mar 2003	
Queen’s Square	U	R	BARROW	Dean	13 Mar 2003	
Port Loyola	U	R	MARTINEZ	Anthony	13 Mar 2003	
BRN	P	R	SAMUELS	Maxwell	13 Mar 2003	
BRS	U	R	HEREDIA	Manuel	13 Mar 2003	
BRC	P	R	FONSECA	Ralph	13 Mar 2003	
OWN	P	R	BAEZA	Servulo	13 Mar 2003	
OWC	P	R	BRICENO	Juan	13 Mar 2003	
OWE	P	R	BURGOS	Dave	13 Mar 2003	
OWS	P	R	CAL	Ismael	13 Mar 2003	
CN	P	R	LESLIE	Ainslie	13 Mar 2003	
CS	P	R	CAWICH	Agripino	13 Mar 2003	
CW	U	R	CONTRERAS	Erwin	13 Mar 2003	
CC	P	R	CASTELLANOS	Mario	13 Mar 2003	
ZN	P	R	CASTILLO	Valdemar	13 Mar 2003	
ZSW	U	R	MARTINEZ	Gabriel	13 Mar 2003	
Corozal Bay	P	R	MARIN	Juan Vildo	13 Mar 2003	
ZSE	P	R	MARIN	Florencio	13 Mar 2003	
Dangriga	P	R	FLORES	Sylvia	13 Mar 2003	
SCW	P	R	FERGUSON	Rodwell	13 Mar 2003	
TW	P	R	MES	Marcial	13 Mar 2003	
TE	P	R	ESPAT	Michael	13 Mar 2003	
Freetown	P	R	FONSECA	Francis	7 Feb 2008	
Caribbean Shores	U	R	PERDOMO	Carlos	7 Feb 2008	
Pickstock	U	R	ELRINGTON	Wilfred Peter	7 Feb 2008	
Fort George	P	R	MUSA	Said	7 Feb 2008	
Albert	P	R	ESPAT	Mark	7 Feb 2008	
Queen’s Square	U	R	BARROW	Dean Oliver	7 Feb 2008	
Mesopotamia	U	R	FINNEGAN	Michael	7 Feb 2008	
Lake Independence	P	R	HYDE	Cordel	7 Feb 2008	
Collet	U	R	FABER	Patrick Jason	7 Feb 2008	
Port Loyola	U	R	MARTINEZ	Anthony	7 Feb 2008	
BRN	U	R	CASTRO	Edmond George	7 Feb 2008	
BRC	U	R	HUTCHINSON	Michael	7 Feb 2008	
BRS	U	R	HEREDIA JR.	Manuel	7 Feb 2008	
Corozal Bay	U	R	MARIN	Pablo Saul	7 Feb 2008	
ZN	U	R	ACOSTA	Nemencio	7 Feb 2008	
ZSE	P	R	MARIN JR.	Florencio Julian	7 Feb 2008	
ZSW	U	R	MARTINEZ	Gabriel Alberto	7 Feb 2008	
OWC	P	R	BRICENO	Johnny	7 Feb 2008	
OWN	U	R	VEGA	Gaspar	7 Feb 2008	
OWE	U	R	CARDONA	Marcel Porfirio	7 Feb 2008	
OWS	U	R	PECH	Marco	7 Feb 2008	
CN	U	R	FERNANDEZ	Salvador	7 Feb 2008	
CC	U	R	MONTERO	Rene	7 Feb 2008	
CW	U	R	CONTRERAS	Erwin Rafael	7 Feb 2008	
CS	U	R	WITZ	Ramon	7 Feb 2008	
CNE	U	R	PENNER	Elvin	7 Feb 2008	
