Table 1
Yr	Log	£	Date	Event	Desc	Source	A L	A U	Cf	E L Ev	E U Ev	Cf	L Splice	U Splice	L Extra	U Extra	Formula	L Fin	U Fin
1638	0			// Pirate raids	c ? 70 crew camping	Vars				50	90		50	90				50	90
1639	0														50	90	Con	50	90
1640	0														50	90	Con	50	90
1641	0														50	90	Con	50	90
1642	0														50	90	Con	50	90
1643	0														50	90	Con	50	90
1644	0														50	90	Con	50	90
1645	0														50	90	Con	50	90
1646	0														50	90	Con	50	90
1647	0														50	90	Con	50	90
1648	0														50	90	Con	50	90
1649	0														50	90	Con	50	90
1650	0														50	90	Con	50	90
1651	0														50	90	Con	50	90
1652	0														50	90	Con	50	90
1653	0														50	90	Con	50	90
1654	0														50	90	Con	50	90
1655	0														50	90	Con	50	90
1656	0														50	90	Con	50	90
1657	0														50	90	Con	50	90
1658	0														50	90	Con	50	90
1659	0														50	90	Con	50	90
1660	0														50	90	Con	50	90
1661	0														50	90	Con	50	90
1662															50	90	Con	50	90
1663															60	108	Growth 1.2	60	108
1664															69	114	Inter	69	114
1665															77	120	Inter	77	120
1666															86	126	Inter	86	126
1667															94	132	Inter	94	132
1668															103	138	Inter	103	138
1669															111	144	Inter	111	144
1670			? ?		c ? Bay men from Belize R. settle New & Hondo Rivers after 29 May 1652 destruction of Bacalar town	Read’s Weekly Journal or British Gazetteer 375 London 1732 p 3				120	150	1226 III CSPC 7	120	150				120	150
1671															240	300	Med	240	300
1672			28 Sep		c 900 at Beef Island near Triste	940 CSPC 7				360	450		360	450				360	450
1673			"5 Mar


8 Jul"		"c 300 residing winter & summer at Yucatan for eight years past

c 500 or 600 loggers & privateers at Campeachy"	"1226 III CSPC 7


1115 CSPC 7"				200	300	1115 CSPC 7	200	300				200	300
1674															150	213	Med	150	213
1675			? Sep		c 250 settled in Campeachy	W. Dampier Voyages and descriptions v 2 part II “The Campeachy Voyages” London 1700				100	125		100	125				100	125
1676															100	133	Inter	100	133
1677															100	141	Inter	100	141
1678															100	149	Inter	100	149
1679															100	156	Inter	100	156
1680															100	164	Inter	100	164
1681			23 Nov	// Attack & expulsion at Campeachy	c 80 or 90 loggers surrendered to Spanish at Triste; many others escaped imprisonment	303 CSPC 11									100	172	Inter	100	172
1682			29 Aug		c 200 to 300 loggers at Yucatan & New Spain	668 CSPC 11				100	180		100	180				100	180
1683															106	186	Inter	106	186
1684															113	192	Inter	113	192
1685															119	198	Inter	119	198
1686	444														125	204	Inter	125	204
1687	402														131	211	Inter	131	211
1688	"1,984"														138	217	Inter	138	217
1689	"1,040"														144	223	Inter	144	223
1690	320														150	229	Inter	150	229
1691															156	236	Inter	156	236
1692															163	242	Inter	163	242
1693															169	248	Inter	169	248
1694															175	254	Inter	175	254
1695															181	261	Inter	181	261
1696															188	267	Inter	188	267
1697	623														194	273	Inter	194	273
1698	"1,067"														200	279	Inter	200	279
1699	"2,843"														206	286	Inter	206	286
1700	"6,618"														213	292	Inter	213	292
1701	"4,792"		1 Jun	// Attacks & expulsions at Campeachy & Honduras	"Spaniards have “made some Descents in the Bay of Campeachy, and on the Coast of Honduras, where they have burnt Houses, and drove away the People”"	Flying Post 944 London 1701 p 2									219	298	Inter	219	298
1702	"4,434"		15 May		England / GB (part of Grand Alliance) declares war on France & Spain										225	304	Inter	225	304
1703	"2,422"														231	311	Inter	231	311
1704	"1,209"														238	317	Inter	238	317
1705			? Sep	Belize appraised as one of principal sources of logwood for English	“River of Bully” (60 leagues from Porto Cavallo) = one of principal sources of logwood for English	CO 137/51 ff ?									244	323	Inter	244	323
1706	321														250	329	Inter	250	329
1707	829														256	336	Inter	256	336
1708	"1,290"														263	342	Inter	263	342
1709	826														269	348	Inter	269	348
1710	653														275	354	Inter	275	354
1711	470														281	361	Inter	281	361
1712			? Jul	// Attacks & expulsions at Campeachy “some Time before”	"c 7 or 8 English, 12 slaves near Triest, after Spanish routing “some Time before”"	N. Uring A history of the voyages and travels of Capt. Nathaniel Uring p 246 London 1726									288	367	Inter	288	367
1713	"2,190"		13 Jul		GB signs Peace of Utrecht with Spain										294	373	Inter	294	373
1714	"4,766"									300	360	BNL 596; A. B. 1726	300	360				300	360
