Table 1
Yr	Kingston	England & Wales	Source	Note	England & Wales £	Source		
1670								
1671								
1672								
1673								
1674								
1675								
1676								
1677								
1678								
1679								
1680								
1681								
1682								
1683								
1684								
1685								
1686	222.00	444.00	CO 142/13	England & Wales = Kingston ÷ 0.5				
1687	201.00	402.00	CO 142/13	England & Wales = Kingston ÷ 0.5				
1688	992.00	"1,984.00"	CO 142/13	England & Wales = Kingston ÷ 0.5				
1689	520.00	"1,040.00"	CO 142/13	England & Wales = Kingston ÷ 0.5				
1690	160.00	320.00	CO 142/13	England & Wales = Kingston ÷ 0.5				
1691								
1692								
1693								
1694								
1695								
1696								
1697		622.56	Cust 3/81					
1698		"1,067.00"	Cust 3/1					
1699		"2,843.09"	Cust 3/3					
1700		"6,618.30"	Cust 3/4					
1701		"4,791.55"	Cust 3/5					
1702		"4,434.48"	Cust 3/6					
1703		"2,421.88"	Cust 3/7					
1704		"1,209.03"	Cust 3/8					
1705								
1706		320.95	Cust 3/9					
1707		829.47	Cust 3/10					
1708		"1,289.52"	Cust 3/11					
1709		825.73	Cust 3/12					
1710		653.33	Cust 3/13					
1711		470.33	Cust 3/14					
1712								
1713		"2,189.80"	Cust 3/15					
1714		"4,766.50"	Cust 3/16					
1715		"5,859.67"	Cust 3/17					
1716		"2,055.62"	Cust 3/18					
1717		"1,148.45"	Cust 3/19					
1718		"1,174.86"	Cust 3/20					
1719		739.63	Cust 3/21					
1720		342.75	Cust 3/22					
1721		"1,798.03"	Cust 3/23					
1722		"1,130.40"	Cust 3/24					
1723		"2,273.60"	Cust 3/25					
1724		"3,347.48"	Cust 3/26					
1725		"3,220.81"	Cust 3/27					
1726		"3,588.07"	Cust 3/28B					
1727		"3,108.98"	Cust 3/82					
1728								
1729		989.05	Cust 3/29					
1730		"1,505.12"	Cust 3/30					
1731		780.73	Cust 3/31					
1732		"1,189.41"	Cust 3/32					
1733		"1,461.12"	Cust 3/33					
1734		"1,261.73"	Cust 3/34					
1735		"1,594.55"	Cust 3/35					
1736		"2,231.85"	Cust 3/36					
1737		"2,176.78"	Cust 3/37					
1738		"2,520.25"	Cust 3/38					
1739		"1,945.37"	Cust 3/39					
1740		"1,997.20"	Cust 3/40					
1741		"1,289.17"	Cust 3/41					
1742		"1,030.73"	Cust 3/42					
1743		"1,299.07"	Cust 3/43					
1744		495.11	Cust 3/44					
1745		574.38	Cust 3/45					
1746		136.55	Cust 3/46					
1747		596.29	Cust 3/47					
1748		"1,747.10"	Cust 3/48					
1749		"1,233.65"	Cust 3/49					
1750		"4,659.84"	Cust 3/50					
1751		"7,386.18"	Cust 3/51					
1752		"5,368.41"	Cust 3/52					
1753		"3,912.26"	Cust 3/53					
1754		"3,213.91"	Cust 3/54					
1755		"2,545.10"	Cust 3/55					
1756		"4,802.85"	Cust 3/56					
1757		"4,158.47"	Cust 3/57					
1758		"3,937.04"	Cust 3/58					
1759		"4,851.48"	Cust 3/59					
1760		"1,852.77"	Cust 3/60					
1761		878.14	Cust 3/61					
1762		"1,983.67"	Cust 3/62					
1763		"3,567.21"	Cust 3/63					
1764		"4,502.72"	Cust 3/64					
1765		"6,058.00"	Cust 3/65					
1766		"10,538.81"	Cust 3/66		"11,601.13"	Cust 3/66		
1767		"9,098.50"	Cust 3/67		"15,611.41"	Cust 3/67		
1768		"9,597.59"	Cust 3/68		"34,633.40"	Cust 3/68		
1769		"10,367.78"	Cust 3/69		"7,456.50"	Cust 3/69		
1770		"10,590.17"	Cust 3/70		"85,659.36"	Cust 3/70		
1771		"3,466.16"	Cust 3/71		"34,087.48"	Cust 3/71		
1772		"6,663.19"	Cust 3/72		"51,079.69"	Cust 3/72		
1773		"2,180.99"	Cust 3/73		"21,377.69"	Cust 3/73		
1774		"1,978.06"	Cust 3/74		"25,253.98"	Cust 3/74		
1775		"2,754.33"	Cust 3/75		"43,180.32"	Cust 3/75		
1776		"1,548.36"	Cust 3/76		"30,007.45"	Cust 3/76		
1777		"1,892.97"	Cust 3/77		"27,744.38"	Cust 3/77		
1778		"2,264.25"	Cust 3/78		"44,003.70"	Cust 3/78		
1779		"4,403.45"	Cust 3/79		"10,690.08"	Cust 3/79		
1780		"4,296.05"	Cust 3/80		14.05	Cust 3/80		
1781		"3,056.68"	Cust 17/7					
1782		"1,440.60"	Cust 17/7					
1783		"1,140.45"	Cust 17/8					
1784		"2,323.39"	Cust 17/8					
1785		"11,683.07"	Cust 17/9					
1786		"15,471.54"	Cust 17/9					
1787		"8,795.04"	Cust 17/10					
1788		"6,333.87"	Cust 17/10					
1789								
1790								
