E1—48 / Disasters.
ID	ALT ID	NAME	BEG	END	FT	FT	DESCRIPTION	NOTE	Lives	Lives +	Assume	£ List	£	Assume	Held	Assume	Cf	Moved	Craft / Cargo	Assume	Cf	Property	Trade	Prov	Cost		
E27	Crs 1	Alien Logging	Feb 1767	Dec 1770	 	Fr Du	French and Dutch loggers within Settlement.					"8,100 Log"	"J£ 40,500"	"36 m foreign logging
5 gangs of 15"								? logged by Fr Du loggers					
E26	Crs 2	Spanish Asylum	Jan 1766		Sp	 	Yucatan offers asylum to slaves who cross the Hondo and convert to Catholicism.		min 1			270 Log	"J£ 1,350"					"c 53 + £ 10,000 Neg refugees exit / Sp return 47"				min 1 house robbed					
E35	Crs 3	Spanish Panic	Feb 1785		Sp	 	Baymen panic.											"New, Hondo for 1 t 4 m / ? Neg refugees exit"				"New, Hondo houses, stock lost"		Prov scarce for > 5 m			
E37	Crs 4	Despard	Jun 1787	Apr 1791	 	 	Mosquito Shore evacuees enter Settlement.  Civil unrest.  Government crisis.  Market destabilised.								sev turtlers for ? m							all plantain walks destroyed twice / all fished turtles seized once / much unrest for ? m twice	shipping v scarce for min 24 m / [price crash likely]	Prov v scarce for ? m twice			
E22	Crs 5	Hondo Prohibition	Dec 1763	Mar 1765	Sp	 	Yucatan prohibits logging along northern rivers.						"£ 27,097.5"					"New, Hondo for 12 m = part of £ 26,794.5"				"part of £ 26,794.5"			£ 303		
E24	Fin 1	Logwood Exhaustion	Jun 1765		 	 	Significant scarcity of logwood.					"6,750 Log
225 Log"	"J£ 34,875"										Log v scarce for min 15 m	Prov v scarce for min 6 m			
E5	Hos 1	First Offensives	Jan 1696	Mar 1701	Sp	 	Yucatan launches 3 military campaigns against Baymen.		sev	3 t 5	"sev = .01 t .02 of population
250 population"	"13.125 Log
6,750 Log"	"J£ 33,815.625"	"0.25 m wage = 1 hut
1 hut per 10 population
0.75 destruction rate
9 m total expulsion
250 pop
3.75 ton per m per man
0.2 loss Log per m
J£ 5 per ton Log"				Hon for < 12 m thrice				c ? huts					
E31	Hos 10	Arms Raids	Jan 1773	Sep 1773	 	Ma	Maya assault or raid various houses in Settlement.		sev			"2,025 t 2,700 Log"	"J£ 10,125 t 13,500"	"sev = 10
some = 5
rob = 0.5 house worth"								some houses burnt / some to sev houses robbed					
E41	Hos 11		Nov 1793	Nov 1793	 	Ma	Maya assault or raid Baymen. Baymen engage.		4																		
E29	Hos 12	Naismith Raid	Jul 1767	Jul 1767	 	Ma	Maya assault or raid Capt. Naismith’s house.		1			270 Log	"J£ 1,350"									1 house robbed					
