D1—29 / Pre-censal estimates of population or of proxies for population.
ID	PERIOD	TALLY	PLACE	FOR	SOURCE	CF	TYPE	NOTE	
D1	Nov 1642	70	N Honduras	Crew of Diego el Mulatto	"33n cf 34, 35"	xxx	P		
D2	Mar 1665—73	300	Yucatan	English loggers resident winter and summer	1226 III CSPC 7		P		
D3	Oct 1669—72	200 or 300	W—NE Yucatan	English loggers resident	954 I CSPC 7		P		
D4	< 28 Sep 1672 /7	900	W Yucatan	Loggers	940 CSPC 7		P	Tally refers to population at one time.	
D5	Jul 1673	500 or 600	Yucatan	Loggers and privateers	1115 CSPC 7		P		
D6	Sep 1675	250	W Yucatan	Individuals settled	Lon 1700		P		
D7	Aug 1682	200 to 300	Yucatan	Loggers	668 CSPC 11		P		
D8	Sep 1715	> 200 /5	W Yucatan	Loggers gone	Boston News-Letter 596		P	"A few loggers remain starving, several Negroes have died."	
D9	Feb 1716	150	W Yucatan	Men Whites and Blacks held by Spanish	Boston News-Letter 629		P		
D10	10 Dec 1716	50	W Yucatan	Loggers escape imprisonment by Spanish	484 X CSPC 29		P		
D11	10 Dec 1716	400 /2	W Yucatan	Loggers	Lon 1726		P	"Inferred from — 2,000 men employed in logwood trade, 100 sail employed in logwood trade, and upwards of 20 sailors seized by Spanish at Campeachy on 10 December 1716 /Lon 1726."	
D12	Dec 1716—Apr 1717	200 to 300	W Yucatan	Loggers not imprisoned 	Boston News-Letter 677		P		
D13	Aug 1722	500	Belize River	Loggers	Lon 1737		P		
D14	Jun 1723	> 152 /6	Belize River	Sailors /4	AGI MEX 1017 /3		P	"Plus crews of 3 balandras = sloops and 1 brigantina = brigantine.
Via Sev 1944."	
D15	Jun 1723	200	Belize River	Loggers	AGI MEX 1017 /3		P	Via Sev 1944.	
D16	Jun 1723	70	Belize River	Slaves	AGI MEX 1017 /3		P	Via Sev 1944.	
D17	Aug 1735	200	Honduras	Loggers	210 JBTP 7 1930		P		
D18	Jun 1745	170	Honduras	Inhabitants	CO 137/48 /1		P	Via Bolland xxx /xxx.	
D19	Oct 1754	500	Honduras	Baymen	London Evening Post 4234		P		
D20	1757	"1,500"	Honduras	Men	Lon 1757		P		
D21	Aug 1779	700	Honduras	Men fit for combat	CO 137/75 /2		P	"Inferred from — 2,000 men employed in logwood trade, 100 sail employed in logwood trade, and upwards of 20 sailors seized by Spanish at Campeachy on 10 December 1716 /Lon 1726."	
D22	Jun 1787	"1,200"	Honduras	Baymen	Savannah-la-Mar Gazette I 29		P		
D23	Jun 1787	"2,208"	Honduras	Evacuees from Mosquito Shore	Savannah-la-Mar Gazette I 29		P		
D24	Mar 1669—71	32 /4	Yucatan	Jamaica merchant craft trading /5	704 IV CSPC 7		O	"Sum = 1,170 tonnes, 424 men.
Belonging to Port Royal, Jamaica, which yearly trade to and from for logwood."	
D25	Oct 1670	12	Yucatan	Merchant craft trading exclusively /6	310 CSPC 7		O	"Vessels that only ply this trade … they were privateers, but will not leave the trade again."	
D26	< 6 Jul 1671	40	Yucatan	Craft logging or trading	587 CSPC 7		O		
D27	Sep—17 Dec 1675	17	Yucatan	New England merchant craft trading /7	740 CSPC 9		O	"Which touched at Port Royal, bound to Bay of Campeachy for logwood."	
D28	1 Apr 1729	32 /3	NW—NE Honduras	Works burnt	AGI MEX 3017 /1		O	"Via Sev 1944.
Sum = 23 Ranchos Poblados, 9 Ranchos despoblados."	
D29	1 Apr 1729	62 /2	NW—NE Honduras	Craft seized	AGI MEX 3017 /1		O	"Via Sev 1944.
Sum = 29 Bongos, 6 Piraguas, 3 Botes, 2 Lanchones, 7 Valandras, 8 Doris."	
D30									
D31									
