F1—170 / Events.
ID	PART OF	DATE	NAME	NEAR	SP	ALLY	ALLY	LIVES	HELD	MOVED	CRAFT	PROPERTY	OTHER	CF			
F1	Hos 13	1 Jan 1639	Capture of Zacatan	Zacatan													
F2	Hos 13	1 Jul 1641		"Old, Sittee"					2 Sp held for some time			"Soite, Cehake towns [hamlets?] raided"					
F3	Hos 13	1 Nov 1642	Diego Raids	Sittee		Diego Lucifer de los Reyes el Mulato 70 Pir			kidnapped numb of [Maya] women / impressed men								
F4	Hos 13	1 Nov 1642	Diego Raids	Old		Diego Lucifer de los Reyes el Mulato 70 Pir					Pir took 3 or 4 Sp boats						
F5	Hos 13	22 Nov 1642	Sacking of Bacalar	Bacalar		Diego Lucifer de los Reyes el Mulato 70 Pir			kidnapped 3 Sp 2 Maya / Maya later released / Sp possibly died	Sp Maya residents forced into hiding by Lake Bacalar min. to early 1643		"stole all gold and silver fm Sp church = sum 12,000 to 16,000 pesos"					
F6	Hos 13	1 Jun 1648	Sacking of Bacalar	Bacalar	Capt. Bartolomé Palomino 27 men	Eng Pir or Bucc Abraham and co.		1 Sp killed	women carried off to Islote de los Cayos / liberated after 2 months	Bacalar residents move further inland to Pacha near Villadolid							
F7	Hos 13	1 Nov 1652		New					some Maya fm Uatibal and Chanlacan kidnapped [likely sold as slaves]	Ma moved inland w Sp help		"Uatibal, Chanlacan sacked [likely, esp food]"					
F8	Hos 13	23 Oct 1654	Pirates Cruising	Old	Capt. Francisco Perez of Bacalar-Pacha 6 Sp 15 Ma												
F9	Hos 1	1 Jan 1696		St. George’s	men fm Milicias Provinciales de Yucatan					Eng loggers completely dislodged							
F10	Hos 1	1 Oct 1699			Gov. Don Martín de Ursúa y Arizmendi			bloody battle		dislodged Eng fm Zacatan							
F11	Hos 1	1 Mar 1701			"Gov. Don Martín de Ursúa y Arizmendi, Capt. Joseph de Aguilar w men fm Tipu"			bloody battle [likely]		drove away the People		houses or huts burnt					
F12	War 1																
F13	Hos 2	10 Jan 1718				Lowther			Greyhound men barbarously used / 5 mates tradesmen impressed		"burnt 8 w cargo in Greyhound, 1 sloop burnt, 1 taken, 1 plundered, 1 of 80 to 100 t taken, 2 brigs taken"						
F14	Hos 2	2 Apr 1718				Blackbeard			impressed Harriot and his men		took sloop Adventure						
F15	Hos 2	9 Apr 1718				Blackbeard					"took Caesar 400 t ship, 4 sloops, plundered all, returned 2 sloops"						
F16	Hos 2	1 Aug 1722				Anstis			1 sloop co of Dursey / Dursey and 5 or 6 escaped		1 sloop taken / 2 or 3 other vessel destroyed						
F17	Hos 2	15 Mar 1723	Low’s Massacre			Low Lowther		"45 to 53 or 58 Sp, 1 mate killed / 1 Sp killed later"	6 sailors imprisoned / released later by Pir		"3 to 5 sloops w cargo taken [1 pink too, possibly] / retaken by Lowe Lowther"						
F18	Hos 2	1 May 1724									7 or 8 sloops seized						
F19	Hos 2	1 Sep 1724				Spriggs					14 ships seized						
F20	Hos 2	1 Sep 1724				Shipton Spriggs	HMS Diamond	"6 Pir killed, 5 or 6 more mortally wounded"	min 1 sloop co impressed		10 or 12 vessels taken / then liberated by Eng						
