G1—383 / Population.
ID	YR	POPULATION	NOTE	CENSUS	SOURCE	UN	INTERCENSAL	UPPER ESTIMATE	LOWER ESTIMATE	UPPER EXTRAPOLATED	LOWER EXTRAPOLATED	FORMULA					
G1	1638	70	Median					50	90								
G2	1639	70	Median							50	90	Con					
G3	1640	70	Median							50	90	Con					
G4	1641	70	Median							50	90	Con					
G5	1642	70	Median							50	90	Con					
G6	1643	70	Median							50	90	Con					
G7	1644	70	Median							50	90	Con					
G8	1645	70	Median							50	90	Con					
G9	1646	70	Median							50	90	Con					
G10	1647	70	Median							50	90	Con					
G11	1648	70	Median							50	90	Con					
G12	1649	70	Median							50	90	Con					
G13	1650	70	Median							50	90	Con					
G14	1651	70	Median							50	90	Con					
G15	1652	70	Median							50	90	Con					
G16	1653	70	Median							50	90	Con					
G17	1654	70	Median							50	90	Con					
G18	1655	70	Median							50	90	Con					
G19	1656	70	Median							50	90	Con					
G20	1657	70	Median							50	90	Con					
G21	1658	70	Median							50	90	Con					
G22	1659	70	Median							50	90	Con					
G23	1660	70	Median							50	90	Con					
G24	1661	70	Median							50	90	Con					
G25	1662	70	Median							50	90	Con					
G26	1663	84	Median							60	108	Growth 1.2					
G27	1664	91	Median							69	114	Inter					
G28	1665	99	Median							77	120	Inter					
G29	1666	106	Median							86	126	Inter					
G30	1667	113	Median							94	132	Inter					
G31	1668	120	Median							103	138	Inter					
G32	1669	128	Median							111	144	Inter					
G33	1670	135	Median					120	150								
G34	1671	270	Median							240	300	Med					
G35	1672	405	Median					360	450								
G36	1673	250	Median					200	300								
G37	1674	181	Median							150	213	Med					
G38	1675	113	Median					100	125								
G39	1676	116	Median							100	133	Inter					
G40	1677	120	Median							100	141	Inter					
G41	1678	124	Median							100	149	Inter					
G42	1679	128	Median							100	156	Inter					
G43	1680	132	Median							100	164	Inter					
G44	1681	136	Median							100	172	Inter					
G45	1682	140	Median					100	180								
G46	1683	146	Median							106	186	Inter					
G47	1684	152	Median							113	192	Inter					
G48	1685	158	Median							119	198	Inter					
G49	1686	165	Median							125	204	Inter					
G50	1687	171	Median							131	211	Inter					
G51	1688	177	Median							138	217	Inter					
G52	1689	183	Median							144	223	Inter					
G53	1690	190	Median							150	229	Inter					
G54	1691	196	Median							156	236	Inter					
G55	1692	202	Median							163	242	Inter					
G56	1693	208	Median							169	248	Inter					
G57	1694	215	Median							175	254	Inter					
G58	1695	221	Median							181	261	Inter					
G59	1696	227	Median							188	267	Inter					
G60	1697	233	Median							194	273	Inter					
G61	1698	240	Median							200	279	Inter					
G62	1699	246	Median							206	286	Inter					
G63	1700	252	Median							213	292	Inter					
G64	1701	258	Median							219	298	Inter					
G65	1702	265	Median							225	304	Inter					
G66	1703	271	Median							231	311	Inter					
G67	1704	277	Median							238	317	Inter					
G68	1705	283	Median							244	323	Inter					
G69	1706	290	Median							250	329	Inter					
G70	1707	296	Median							256	336	Inter					
G71	1708	302	Median							263	342	Inter					
G72	1709	308	Median							269	348	Inter					
G73	1710	315	Median							275	354	Inter					
G74	1711	321	Median							281	361	Inter					
G75	1712	327	Median							288	367	Inter					
