G1—383 / Population.
ID	YR	ID	EVENT	DATE	CF	ID	EVENT	DATE	CF	ID	EVENT	DATE	CF				
K1	1638																
K2	1639	F1															
K3	1640																
K4	1641	F2															
K5	1642																
K6	1643																
K7	1644																
K8	1645																
K9	1646																
K10	1647																
K11	1648																
K12	1649																
K13	1650																
K14	1651																
K15	1652																
K16	1653																
K17	1654																
K18	1655																
K19	1656																
K20	1657																
K21	1658																
K22	1659																
K23	1660																
K24	1661																
K25	1662																
K26	1663																
K27	1664																
K28	1665																
K29	1666																
K30	1667																
K31	1668																
K32	1669																
K33	1670																
K34	1671																
K35	1672																
K36	1673																
K37	1674																
K38	1675																
K39	1676																
K40	1677																
K41	1678																
K42	1679																
K43	1680																
K44	1681																
K45	1682																
K46	1683																
K47	1684																
K48	1685																
K49	1686																
K50	1687																
K51	1688																
K52	1689																
K53	1690																
K54	1691																
K55	1692																
K56	1693																
K57	1694																
K58	1695																
K59	1696																
K60	1697																
K61	1698																
K62	1699																
K63	1700																
K64	1701																
K65	1702																
K66	1703																
K67	1704																
K68	1705																
K69	1706																
K70	1707																
K71	1708																
K72	1709																
K73	1710																
K74	1711																
K75	1712																
K76	1713																
K77	1714																
K78	1715																
K79	1716																
K80	1717																
K81	1718																
K82	1719																
K83	1720																
K84	1721																
K85	1722																
K86	1723																
K87	1724																
K88	1725																
K89	1726																
K90	1727																
K91	1728																
K92	1729																
K93	1730																
K94	1731																
K95	1732																
K96	1733																
K97	1734																
K98	1735																
K99	1736																
K100	1737																
K101	1738																
K102	1739																
K103	1740																
K104	1741																
K105	1742																
K106	1743																
K107	1744																
K108	1745																
K109	1746																
K110	1747																
K111	1748																
K112	1749																
K113	1750																
K114	1751																
K115	1752																
K116	1753																
K117	1754																
K118	1755																
K119	1756																
K120	1757																
K121	1758																
K122	1759																
K123	1760																
K124	1761																
K125	1762																
K126	1763																
K127	1764																
K128	1765																
K129	1766																
K130	1767																
K131	1768																
K132	1769																
K133	1770																
K134	1771																
K135	1772																
K136	1773																
K137	1774																
K138	1775																
K139	1776																
K140	1777																
K141	1778																
K142	1779																
K143	1780																
K144	1781																
K145	1782																
K146	1783																
K147	1784																
K148	1785																
K149	1786																
K150	1787																
K151	1788																
K152	1789																
K153	1790																
K154	1791																
K155	1792																
K156	1793																
K157	1794																
K158	1795																
K159	1796																
K160	1797																
K161	1798																
K162	1799																
K163	1800																
K164	1801																
K165	1802																
K166	1803																
K167	1804																
K168	1805																
K169	1806																
K170	1807																
K171	1808																
K172	1809																
K173	1810																
K174	1811																
K175	1812																
K176	1813																
K177	1814																
K178	1815																
K179	1816																
K180	1817																
K181	1818																
K182	1819																
K183	1820																
K184	1821																
K185	1822																
K186	1823																
K187	1824																
K188	1825																
K189	1826																
K190	1827																
K191	1828																
K192	1829																
K193	1830																
K194	1831																
K195	1832																
K196	1833																
K197	1834																
K198	1835																
K199	1836																
K200	1837																
K201	1838																
K202	1839																
K203	1840																
K204	1841																
K205	1842																
K206	1843																
K207	1844																
K208	1845																
K209	1846																
K210	1847																
K211	1848																
K212	1849																
K213	1850																
K214	1851																
K215	1852																
K216	1853																
K217	1854																
K218	1855																
K219	1856																
K220	1857																
K221	1858																
K222	1859																
K223	1860																
K224	1861																
K225	1862																
K226	1863																
K227	1864																
K228	1865																
K229	1866																
K230	1867																
K231	1868																
K232	1869																
K233	1870																
K234	1871																
K235	1872																
K236	1873																
K237	1874																
K238	1875																
K239	1876																
K240	1877																
K241	1878																
K242	1879																
K243	1880																
K244	1881																
K245	1882																
K246	1883																
K247	1884																
K248	1885																
K249	1886																
K250	1887																
K251	1888																
K252	1889																
K253	1890																
K254	1891																
K255	1892																
K256	1893																
K257	1894																
K258	1895																
K259	1896																
K260	1897																
K261	1898																
K262	1899																
K263	1900																
K264	1901																
K265	1902																
K266	1903																
K267	1904																
K268	1905																
K269	1906																
K270	1907																
K271	1908																
K272	1909																
K273	1910																
K274	1911																
K275	1912																
K276	1913																
K277	1914																
K278	1915																
K279	1916																
K280	1917																
K281	1918																
K282	1919																
K283	1920																
K284	1921																
K285	1922																
K286	1923																
K287	1924																
K288	1925																
K289	1926																
K290	1927																
K291	1928																
K292	1929																
K293	1930																
K294	1931																
K295	1932																
K296	1933																
K297	1934																
K298	1935																
K299	1936																
K300	1937																
K301	1938																
K302	1939																
K303	1940																
K304	1941																
K305	1942																
K306	1943																
K307	1944																
K308	1945																
K309	1946																
K310	1947																
K311	1948																
K312	1949																
K313	1950																
K314	1951																
K315	1952																
K316	1953																
K317	1954																
K318	1955																
K319	1956																
K320	1957																
K321	1958																
K322	1959																
K323	1960																
K324	1961																
K325	1962																
K326	1963																
K327	1964																
K328	1965																
K329	1966																
K330	1967																
K331	1968																
K332	1969																
K333	1970																
K334	1971																
K335	1972																
K336	1973																
K337	1974																
K338	1975																
K339	1976																
K340	1977																
K341	1978																
K342	1979																
K343	1980																
K344	1981																
K345	1982																
K346	1983																
K347	1984																
K348	1985																
K349	1986																
K350	1987																
K351	1988																
K352	1989																
K353	1990																
K354	1991																
K355	1992																
K356	1993																
K357	1994																
K358	1995																
K359	1996																
K360	1997																
K361	1998																
K362	1999																
K363	2000																
K364	2001																
K365	2002																
K366	2003																
K367	2004																
K368	2005																
K369	2006																
K370	2007																
K371	2008																
K372	2009																
K373	2010																
K374	2011																
K375	2012																
K376	2013																
K377	2014																
K378	2015																
K379	2016																
K380	2017																
K381	2018																
K382	2019																
K383	2020																
K384																	
K385																	
K386																	
K387																	
K388																	
K389																	
K390																	
