H1—383 / Treasury rate.
ID	YR	SP $	US $	HON $	HON £	£	d	CF									
H1	1638	1.00				0.21	50	Lon 1978									
H2	1639	1.00				0.21	50	Lon 1978									
H3	1640	1.00				0.21	50	Lon 1978									
H4	1641	1.00				0.21	50	Lon 1978									
H5	1642	1.00				0.21	50	Lon 1978									
H6	1643	1.00				0.21	50	Lon 1978									
H7	1644	1.00				0.21	50	Lon 1978									
H8	1645	1.00				0.21	50	Lon 1978									
H9	1646	1.00				0.21	50	Lon 1978									
H10	1647	1.00				0.21	50	Lon 1978									
H11	1648	1.00				0.21	50	Lon 1978									
H12	1649	1.00				0.21	50	Lon 1978									
H13	1650	1.00				0.21	50	Lon 1978									
H14	1651	1.00				0.21	50	Lon 1978									
H15	1652	1.00				0.21	50	Lon 1978									
H16	1653	1.00				0.21	50	Lon 1978									
H17	1654	1.00				0.21	50	Lon 1978									
H18	1655	1.00				0.21	50	Lon 1978									
H19	1656	1.00			0.20	0.20		Lon 1978									
H20	1657	1.00			0.20	0.20		Lon 1978									
H21	1658	1.00			0.20	0.20		Lon 1978									
H22	1659	1.00			0.20	0.20		Lon 1978									
H23	1660	1.00			0.20	0.20		Lon 1978									
H24	1661	1.00			0.20	0.20		Lon 1978									
H25	1662	1.00			0.20	0.20		Lon 1978									
H26	1663	1.00			0.20	0.20		Lon 1978									
H27	1664	1.00			0.20	0.20		Lon 1978									
H28	1665	1.00			0.20	0.20		Lon 1978									
H29	1666	1.00			0.20	0.20		Lon 1978									
H30	1667	1.00			0.20	0.20		Lon 1978									
H31	1668	1.00			0.20	0.20		Lon 1978									
H32	1669	1.00			0.20	0.20		Lon 1978									
H33	1670	1.00			0.20	0.20		Lon 1978									
H34	1671	1.00			0.20	0.20		Lon 1978									
H35	1672	1.00			0.23	0.20		Lon 1978									
H36	1673	1.00			0.23	0.20		Lon 1978									
H37	1674	1.00			0.23	0.20		Lon 1978									
H38	1675	1.00			0.25	0.23		Lon 1978									
H39	1676	1.00			0.25	0.23		Lon 1978									
H40	1677	1.00			0.25	0.23		Lon 1978									
H41	1678	1.00			0.25	0.23		Lon 1978									
H42	1679	1.00			0.25	0.23		Lon 1978									
H43	1680	1.00			0.25	0.23		Lon 1978									
H44	1681	1.00			0.25	0.23		Lon 1978									
H45	1682	1.00			0.25	0.23		Lon 1978									
H46	1683	1.00			0.25	0.23		Lon 1978									
H47	1684	1.00			0.25	0.23		Lon 1978									
H48	1685	1.00			0.25	0.23		Lon 1978									
H49	1686	1.00			0.25	0.19		Lon 1978									
H50	1687	1.00			0.25	0.19		Lon 1978									
H51	1688	1.00			0.30	0.23		Lon 1978									
H52	1689	1.00			0.30	0.23		Lon 1978									
H53	1690	1.00			0.30	0.23		Lon 1978									
H54	1691	1.00			0.30	0.23		Lon 1978									
H55	1692	1.00			0.30	0.23		Lon 1978									
H56	1693	1.00			0.30	0.23		Lon 1978									
H57	1694	1.00			0.30	0.23		Lon 1978									
H58	1695	1.00			0.30	0.23		Lon 1978									
H59	1696	1.00			0.30	0.23		Lon 1978									
H60	1697	1.00			0.30	0.23		Lon 1978									
H61	1698	1.00			0.30	0.23		Lon 1978									
H62	1699	1.00			0.30	0.23		Lon 1978									
H63	1700	1.00			0.30	0.23		Lon 1978									
H64	1701	1.00			0.30	0.23		Lon 1978									
H65	1702	1.00			0.30	0.23		Lon 1978									
H66	1703	1.00			0.30	0.23		Lon 1978									
H67	1704	1.00			0.30	0.23		Lon 1978									
H68	1705	1.00			0.30	0.23		Lon 1978									
H69	1706	1.00			0.30	0.23		Lon 1978									
H70	1707	1.00			0.30	0.23		Lon 1978									
H71	1708	1.00			0.30	0.23		Lon 1978									
H72	1709	1.00			0.30	0.23		Lon 1978									
H73	1710	1.00			0.30	0.23		Lon 1978									
H74	1711	1.00			0.30	0.23		Lon 1978									
H75	1712	1.00			0.30	0.23		Lon 1978									
H76	1713	1.00			0.30	0.23		Lon 1978									
H77	1714	1.00			0.30	0.23		Lon 1978									
H78	1715	1.00			0.31	0.23		Lon 1978									
H79	1716	1.00			0.31	0.23		Lon 1978									
H80	1717	1.00			0.31	0.23		Lon 1978									
H81	1718	1.00			0.31	0.23		Lon 1978									
H82	1719	1.00			0.31	0.23		Lon 1978									
H83	1720	1.00			0.31	0.23		Lon 1978									
H84	1721	1.00			0.31	0.23		Lon 1978									
H85	1722	1.00			0.31	0.23		Lon 1978									
H86	1723	1.00			0.31	0.22		Lon 1978									
H87	1724	1.00			0.31	0.22		Lon 1978									
