E1—48 / Disasters.
ID	No	ALT ID	NAME	BEG	END	FT	FT	DESCRIPTION	PRESS	CF	VIA	NOTE	
E 		Crs 1	Alien Logging	1 Jan 1765	30 Dec 1770	 	Du Fr	Alien loggers saturate Settlement					
E 		Crs 2	Zayas Asylum	1 Jan 1766	30 Dec 1771	Sp	 	Yucatan offers asylum to Settlement slaves					
E 		Crs 3	Spanish Panic	1 Feb 1785		Sp	 	Baymen panic.					
E 		Crs 4	Despard Affair	1 Jun 1787	30 May 1791	Sp		Shoremen evacuated to Settlement / Civil unrest / Constitutional crisis / Market destabilised	"Independent Journal NYC NY 295 p2
Independent Journal NYC NY 311 p2
New-York Journal 2091 p2"				
E 		Crs 5	Logging Prohibition	23 Dec 1763	5 Mar 1765	Sp	 	Yucatan prohibits logging along northern rivers					
E 		Fin 1	Logwood Exhaustion	1 Jun 1765	30 Nov 1766	 	 	Logwood becomes significantly scarce					
E 		Hos 1	Soberanis y Centeno Offensives	1 Jan 1694	30 Dec 1710	Sp	Ai	"Guatemala launch 2 military campaigns against Settlement / Yucatan launch 4 paramilitary campaigns against Settlement / Baymen, possibly with Amerindian allies, raid Spanish and Amerindian settlements in Guatemala or Yucatan"					
E 		Hos 10	Arms Raids	1 Sep 1773	30 Nov 1773	 	Ai	Amerindian assault or raid Settlement					
E 		Hos 11		1 Nov 1793	30 Nov 1793	 	Ai	Amerindian assault or raid Settlement / Baymen engage					
E 		Hos 12	Naismith Raid	25 Jul 1767	25 Jul 1767	 	Ai	Amerindian assault or raid Settlement					
E 		Hos 13	Providence Raids	1 Apr 1636	30 Aug 1677	 	Ai Bu Du	"Buccaneers or privateers, at times with non-English and Amerindian allies, raid Spanish and Amerindian settlements along Bay of Hon coast"					
E 		Hos 14	Figueroa y Silva Siege	1 Aug 1722	21 Feb 1733	Sp	 	"Yucatan lay siege on Settlement / Yucatan launch 8 military campaigns against Settlement /  Royal Navy, Fleet and Baymen engage"					
E 		Hos 16	Jamaica Slavery	1 Jan 1722	1 Jul 1838	 	Af Du Fr Po	"Jamaicans and others, with Baymen’s aid, enslave Africans"					
E 		Hos 19	Tortuga Slavery	1 Jan 1638			Ai Bu	Buccaneers or privateers impress or enslave Amerindians					
