E1—48 / Disasters.
ID	No	ALT ID	NAME	BEG	END	FT	FT	DESCRIPTION	CF GENERALLY	NOTE	Lives	Lives +	Assume	£ List	£	Assume	Held	Assume	Cf	Moved	Craft / Cargo	Assume	Cf	Property	Trade	Prov	Cost		
E 		Crs 1	Alien Logging	1 Jan 1765	30 Dec 1770	 	Fr Du	Alien loggers saturate Settlement						"8,100 Log"	"J£ 40,500"	"36 m foreign logging
5 gangs of 15"								? logged by Fr Du loggers					
E 		Crs 2	Zayas Asylum	1 Jan 1766	30 Dec 1771	Sp	 	Yucatan offers asylum to Settlement slaves			min 1			270 Log	"J£ 1,350"					"c 53 + £ 10,000 Neg refugees exit / Sp return 47"				min 1 house robbed					
E 		Crs 3	Spanish Panic	1 Feb 1785		Sp	 	Baymen panic.												"New, Hondo for 1 t 4 m / ? Neg refugees exit"				"New, Hondo houses, stock lost"		Prov scarce for > 5 m			
E 		Crs 4	Despard Affair	1 Jun 1787	30 May 1791	 	 	Shoremen evacuated to Settlement / Civil unrest / Constitutional crisis / Market destabilised	"Independent Journal NYC NY 295 p2
Independent Journal NYC NY 311 p2
New-York Journal 2091 p2"								sev turtlers for ? m							all plantain walks destroyed twice / all fished turtles seized once / much unrest for ? m twice	shipping v scarce for min 24 m / [price crash likely]	Prov v scarce for ? m twice			
E 		Crs 5	Logging Prohibition	23 Dec 1763	5 Mar 1765	Sp	 	Yucatan prohibits logging along northern rivers							"£ 27,097.5"					"New, Hondo for 12 m = part of £ 26,794.5"				"part of £ 26,794.5"			£ 303		
E 		Fin 1	Logwood Exhaustion	1 Jun 1765	30 Nov 1766	 	 	Logwood becomes significantly scarce						"6,750 Log
225 Log"	"J£ 34,875"										Log v scarce for min 15 m	Prov v scarce for min 6 m			
E 		Hos 1	Soberanis y Centeno Offensives	1 Jan 1694	30 Dec 1710	Sp	Ai	"Guatemala launch 2 military campaigns against Settlement / Yucatan launch 4 paramilitary campaigns against Settlement / Baymen, possibly with Amerindian allies, raid Spanish and Amerindian settlements in Guatemala or Yucatan"			sev	3 t 5	"sev = .01 t .02 of population
250 population"	"13.125 Log
6,750 Log"	"J£ 33,815.625"	"0.25 m wage = 1 hut
1 hut per 10 population
0.75 destruction rate
9 m total expulsion
250 pop
3.75 ton per m per man
0.2 loss Log per m
J£ 5 per ton Log"				Hon for < 12 m thrice				c ? huts					
E 		Hos 10	Arms Raids	1 Sep 1773	30 Nov 1773	 	Ma	Amerindian assault or raid Settlement			sev			"2,025 t 2,700 Log"	"J£ 10,125 t 13,500"	"sev = 10
some = 5
rob = 0.5 house worth"								some houses burnt / some to sev houses robbed					
E 		Hos 11		1 Nov 1793	30 Nov 1793	 	Ma	Amerindian assault or raid Settlement / Baymen engage			4																		
E 		Hos 12	Naismith Raid	25 Jul 1767	25 Jul 1767	 	Ma	Amerindian assault or raid Settlement			1			270 Log	"J£ 1,350"									1 house robbed					
E 		Hos 13	Providence Raids	1 Apr 1636	30 Aug 1677	 	Ai Bu Du Ma	"Buccaneers or privateers, at times with non-English and Amerindian allies, raid Spanish and Amerindian settlements along Bay of Hon coast"			1 t 4	77 t 140	"1 in 3 Ma fm Yuc taken fm Hon
All Ma not found died"	"1,733.33 t 2,888.89 reales
17,333.33 t 28,888.89 reales
34,666.67 t 57,777.78 reales
4,500 t 6,000 ducados
12,000 t 16,000 pesos
1,386.67 reales"	"Sp $ 25,093.70 t 35,639.38"	"6 m for 1/3 Ma / 5 yr for 1/3 Ma / 10 for 1/3 Ma
Ea Ma is head of fam
0 Ma craft taken
26 t maize per Ma hamlet
1 carga = 300 lbs / 1 t = 2000 lbs
1 real = 1/8 Sp dollar
1 peso = 1 Sp dollar
1 ducado = 1.3786 Sp dollar"	300 t 500 Ma fm Yuc [st Sp found 70 t 80 on 9 Feb 1654] for c ? m / c ? fm Bac for c 2 m	"2.6 t maize per yr
family size = 5
2 reales per carga maize"	"UW 2020
WGF 2017"	Bac for c 2 m	3 t 4 Sp / ? Ma	"50 t per craft
30 ducados per ton"	CWM 2002	"12 t 16,000 pesos fm Bac / ? fm 4 Ma hamlets"					
E 		Hos 14	Figueroa y Silva Siege	1 Aug 1722	21 Feb 1733	Sp	 	"Yucatan lay siege on Settlement / Yucatan launch 8 military campaigns against Settlement /  Royal Navy, Fleet and Baymen engage"						"£ 444.42
4,500 Log
£ 2,100 t 3,000
37.5 Log"	"£ 2,544.42 t 3,444.42
J£ 22,687.5"	"3 m impression per man
20 working days per m
only sailors impressed
3 m total expulsion
some = 2 t 5 craft
0.5 m wage = 1 rancho
1 rancho per 10 population
500 population
"	50 for ? m	"14.814 p per day [crew]
J£ 5 per ton
3.75 ton per m per man"	"BOE
Lon 1700
CO 5/119 I
Lon 1809"	Hon for ? m	5 + some			all ranchos burnt twice					
E 		Hos 16	Jamaica Slavery	1 Jan 1722	1 Jul 1838	 	Af Du Fr Po	"Jamaicans and others, with Baymen’s aid, enslave Africans"					"No deaths on journey fm Jam
No direct importation"	"138,600 Log
223,300 Log
250,800 Log
475,200 Log"	"J£ 3,987,500"	"11 working m per year
0.7 of pop = slave to 1790
0.5 women slaves fm 1790 at 1/3 male wage
0.6 of pop = slave to 1838
500 pop to 1760
1,000 pop to 1790
3,000 pop to 1810
4,000 pop to 1838
J£ 5 per t to 1790 / J£ 3 after"	? for c ? m / [st ? died]	"1 ton Log per m per man c 1770s / J£ 40 d Saturday labour < 1800s
J£ 5 per ton < 1780s / J£ 3 per ton > 1780s ?
J£ 15 per 1,000 ft c 1780s / J£ 16 to 30 [per 1,000 ft, likely] c 1800s"	"Lon 1700
Lon 1893
Lon 1809"										
E 		Hos 19	Tortuga Slavery	1 Jan 1638				Buccaneers or privateers impress or enslave Amerindians																					
E 		Hos 2	Golden Age of Piracy	10 Jan 1718	28 Feb 1725	Sp	Bu	Buccaneers surprise Fleet			60 t 72			"£ 314.24
£ 15,900 t 21,900"	"£ 16,214.24 t 22,214.24"	"3 m impression per man
20 working days per m
15 men per crew"	m 6 men + 2 crews impressed for ? m	14.548 p per day	BOE		53 t 73	"100 t per craft
£ 30 per ton"	Lon 1742						
E 		Hos 20	Mosquito Slavery	1 Jan 1702				"Miskito and possibly other Amerindians, at times with Baymen’s aid, enslave Amerindians"																					
E 		Hos 3	Salcedo Siege	10 Mar 1734	30 Jun 1741	Sp	 	"Yucatan lay siege on Settlement / Yucatan launch 1 military campaign against Settlement / Royal Navy, Fleet, and Baymen, at times with Amerindian allies, engage"	Read’s Weekly Journal or British Gazetteer 375 p3		2 + sev	5 t 15	"sev = .01 t .03 of population
500 population"	"576 Log
114,750 Log
£ 294,000 t 300,000
J£ 28,000
32 Log
12,122.5 t 16,122.5 Log"	"J£ 665,402.50 t 685,402.50
£ 294,000 t 300,000"	"only loggers held
3 m imprisonment per man
>> sev = .05 pop
500 pop
sev = 3 t 5 craft
all = 1/3 of 140 flats
1 Pila = 0.5 t Log
sev = 0.5 of 32 ranchos"	39 + >> sev for ? m	15.086 p per day	BOE	Hon for 76.5 m	c 95 + sev twice / c 140 flats + all once	"5 t per flat
J£ 30 per ton"		"32 + sev twice ranchos / 12 t 16,000 ton = 300,000 quintals + 245 Pilas Log"					
E 		Hos 4	Bazán y Molina Siege	1 Mar 1744	30 Jun 1761	Sp	 	"Yucatan lay siege to Settlement / Cuba, Guatemala and Yucatan launch xxx military campaigns against Settlement / Fleet and Baymen, possibly with Amerindian allies, engage"			7			"£ 438.08
£ 69,000 t 72,000
1,050 t 2,100 Log
1,500 Log"	"£ 69,438.08 t 72,438.08
J£ 12,750 t 15,750"	"only crew held for 3 m
scarce = 0.5 logging cap
500 pop
sev = 1 m Log of 0.7 Hon
>> sev = 2 m Log output of 0.7 Hon"	3 t 4 + 3 crews imprisoned for ? m	15.211 p per day	BOE		23 t 24			sev t >> sev Log burnt	Log scarce for min 2 m				
E 		Hos 8	Zayas Siege	1 Mar 1767	23 Aug 1773	Sp	 	Yucatan lay siege to Settlement / Yucatan launch at least 2 military or paramilitary campaigns against Settlement / Fleet and Baymen engage		Yucatan is assumed.	some	3 t 5	some = 3 t 5	"270 Log
J£ 60
315 Log
7.5 Log"	"J£ 3,022.50"	"3 m detention
some = 10 Neg
sev = 20 Neg
? = 7 works
? = 15 cattle
0.5 Log per cattle"	some Neg fm Hondo + sev Neg for ? m							? Log works at Hondo / ? cattle at Hondo / ? property					
E 		Ill 1	Diphtheria	1 Jun 1737	30 Dec 1737	 	 	Epidemic among Baymen and Fleet			sev t >> sev	5 t 15	"sev = .01 t .03 of population
500 population"																
E 		Ill 2	Malaria	7 Mar 1750	30 Sep 1750	 	 	Epidemic among Baymen						"1,350 Log"	"J£ 6,750"	"? = 3 m Log of 0.7 Hon
pop 500"									halt logging for ? m				
E 		Ill 3	Measles	1 Nov 1751	30 May 1752	 	 	Epidemic among Baymen and Fleet			sev t >> sev	5 t 15	"sev = .01 t .03 of population
500 population"																
E 		Ill 4	Measles	1 Feb 1788	30 Aug 1788	 	 	Epidemic among Baymen			50 + >> 50																		
E 		Ill 5	Yellow fever	29 Sep 1797	30 Dec 1797	 	 	Epidemic among Irish Brigade			23																		
E 		Nat 1	Great Famine	1 Jun 1771	30 Apr 1772	 	 	Amerindians seek refuge in Settlement / Provisions become significantly scarce			"c 40,000 Ma fm Yuc"	"8,000 in Hon"	2/10 deaths in Hon	"25 Log
187.5 Log"	"J£ 1,062.5"	"15 percent inflation
3 m rise
.5 Log on Prov per m normally
.25 ton Log per refugee
100 refugees
500 pop"				? Ma refugees enter						Prov v scarce for ? m			
