Odd E / Non-disastrous events.
ID	NO	LOWER START	UPPER END	NAME	DESCRIPTION	NEAR	SP	ALLY		PRESS	CF	VIA	NOTE	
E 		3 June 1621	3 June 1621	Old West India Company established	Dutch Republic grants charter for trade monopoly to Geoctrooieerde Westindische Compagnie	Hague					xxx			
E 		1 January 1625	31 December 1625	Hakluytus Posthumus published	Samuel Purchas publishes Hakluytus Posthumus	London						Offen 11 p19	"Colin Steele has shown that this publication marked a definitive turning point from an old to new world focus among the Hakluyt-Purchas corpus, and presented a more comprehensive picture of the Americas in English than had been previously possi- ble. The work was especially strong in natural history and geography, and Steele shows that its timing clearly reflected declining relations with Spain. /Offen 11 p19, referencing Steele, Colin R. “Latin America”. In The Purchas Handbook: Studies of the Life and Writings of Samuel 
Purchas, 1577-1626, edited by L. E. Pennington, Vol. I, 301-11. London: The Hakluyt Society, 1997. 
"	
E 		1 January 1630	31 December 1630		"Bacalar, or at least it’s religious governors, lose control to some extent"	Bacalar					"AGN (of Mexico), Historia, 410, f 223v
BL Egerton MS 1791 ff 53-54v"	Gerhard 72		
E 		1 January 1630	31 December 1630		"John Hilton of St. Christophers takes colonists to settle Tortuga, thereafter joined to Prov Co"	"St. Kitts, Tortuga"		John Hilton			"BL Egerton MS 2395 ff 503-xxx
BL Sloane MS 973
CSPD -- 17 jun 1631"	"Harlow x
Newton 103"		
E 		1 July 1633	30 December 1635	Providence Trade Expedition	"Gov of Prov Sussex Camock, Capt. Samuel Axe, Nathaniel Goodman, Abraham Blauvelt and 50 men set out from Prov to mainland to secure trade, thereafter establishing alliance with Miskito"	"Prov, Cape Gracias a Dios"		Gov of Prov Sussex Camock / Capt. Samuel Axe / Nathaniel Goodman / Abraham Blauvelt / 50 men			"CO 124/1 -- PIC to Gov and Counc 10 May 1632 pt. 21, PIC to Gov 1 Jul 1633, PIC to Gov and Counc by Long Robert, Sep 1634, PIC to Bell 10 Apr 1633, PIC to Bell by Expectation Feb or Mar 1635
CO 123/2 -- PIC Ctee. of 22 May 1633, of 24 Dec 1634
Egerton MS 2646 f 58"	"Kupperman p95-8 n45-51, p100-4
Offen 11"	"Records of survey notes of Expedition, which apparently split into separate groups, likely not extant /via Kupperman p100"	
E 		1 January 1633	31 December 1633		First export of “braziletto” or logwood by Eng under Capt. Anthony Hilton from Tortuga = Association to France	Tortuga		Capt. Anthony Hilton / Neg slaves / Agent of Prov or Tort in France Abraham Chamberlain			"PIC Instructions to Camock 1 Jul 1633 / PIC to Bell 10 Apr 1633 / PIC general court 18 Feb 1633 / PIC general court 14 Feb 1634, 19 Jun 1634 / Prep. court 13 Jun 1634 / Ctee. 18 Jul 1634, 5 Mar 1635 / Ord. Ct. 9 Mar 1635"	"Offen 00 p122 = Kupperman 310, 167 / Newton 289"		
E 		1 January 1635	30 January 1635		Don Fernandez de Fuemayor leads Sp bloody campaign against Tortuga		Fernandez de Fuemayor				xxx	Harlow x		
E 		1 February 1635	31 December 1635		Prov Island Co. authorised to issue letters of marquee against Sp to British captains	Prov					"CO 124/2 f 240
CO 1/8, No. 86, ff 222-223"	Offen 11 p23		
E 		19 March 1636	19 March 1636		Prov Co orders Capt. Rous in craft Blessing to impress Sp pilot	"London, Prov"		Capt. Rous			"CO 124/2 ff 94v, 186-187, 262"	Offen 11 p32	"After 1636, when [Prov] company thoughts turned to privateering, they consistently ordered the capture of good Spanish pilots. For example, Captain Rous was given instructions to procure Spanish pilots for ""the Bay of Nicorago, or the Bay of Hondura, Terri fima or of ye Maine Continent."" /via Offen 11 p32"	
E 		22 January 1636	22 January 1636	Armada de Barlovento established	"By Diego de Sandi, relator in Sala del Crimen de la Real Audiencia"						"INDIFERENTE,451,L.A8 porción 1 ff 141v—144r (128v—131r) — a 26 jun 1624
DIVERSOS-COLECCIONES,32,N.5
MEXICO,35,N.2
MEXICO,360,R.5,N.31"		"Or rather 1598 /via Zahedieh 3 p166 no 86 /citing Hussey, 292, 293, 296, 297"	
