B1—25 / Catalogues and repositories of archival material.
ID		REPOSITORY	LOCATION	CATALOGUE	CATALOGUER	COUNT	CATALOGUED	DIGITISED	UNIT	NOTE	
B1		VARS	VARS	Discovery	TNA	"2,500"	"32,000,000"	"550,000"	r		
B2		VARS	VARS	PARES	MCD	12	"5,373,151"	"1,921,904"	r		
B3		VARS	VARS	WorldCat	OCLC	"16,857"	"507,187,386"	xxx	i		
B4		Archives and Records Service	Belize	xxx	xxx	1	xxx	0	i		
B5		Library Service	Belize	xxx	xxx	1	xxx	0	i		
B6		Biblioteca Nacional José Martí	Cuba	xxx	xxx	1	"148,812"	"19,168"	i		
B7		Archivo Nacional de Cuba	Cuba	xxx	xxx	1	xxx	xxx			
B8		Instituto de Historia de Cuba	Cuba	xxx	xxx	1	xxx	xxx			
B9		Universidad de La Habana	Cuba	xxx	xxx	1	"519,500"	xxx			
B10		Archivo General de Centroamérica	Guatemala	xxx	xxx	1	"63,000"	1	v		
B11		Centro de Investigaciones Regionales de Guatemala	Guatemala	xxx	xxx	1	"10,000,000"	0	i		
B12		Universidad de San Carlos de Guatemala	Guatemala	xxx	xxx	1	"139,100"	0	i		
B13		Universidad Rafael Landívar	Guatemala	xxx	xxx	1	"550,000"	"38,380"	i		
B14		Biblioteca Nacional de Guatemala	Guatemala	xxx	xxx	1	xxx	xxx			
B15		Hemeroteca Nacional de Guatemala	Guatemala	xxx	xxx	1	xxx	xxx			
B16		Archivo General de la Nación	Mexico	xxx	xxx	1	"375,000,000"	xxx	p		
B17		Biblioteca Central UNAM	Mexico	xxx	xxx	1	"1,445,109"	"6,085"	i		
B18		Biblioteca Palafoxiana	Mexico	xxx	xxx	1	"52,422"	xxx	i		
B19		Biblioteca Vasconcelos	Mexico	xxx	xxx	1	"575,000"	xxx	i		
B20		Biblioteca Cervantina	Mexico	xxx	xxx	1	"130,000"	xxx	i		
B21		Bilbioteca Nacional de México	Mexico	xxx	xxx	1	"1,560,000"	xxx	i		
B22		Hemeroteca Nacional de México	Mexico	xxx	xxx	1	xxx	xxx			
B23		Archivo Histórico de Mérida	Mexico	xxx	xxx	1	xxx	xxx			
B24		Archivo General del Estado de Yucatán	Mexico	xxx	xxx	1	xxx	xxx			
B25		Biblioteca Yucatanense	Mexico	xxx	xxx	1	xxx	xxx			
