C1—30 / Online collections of archival material.
ID		COLLECTION	BEG	END	REPOSITORY	PUBLISHER	REC	DIGITISED	TYPE	NOTE	
C9		American Historical Periodicals	1607	1940	AAS	Gale	R	"7,000,000"	p		
C16		Archives Unbound	1500	2000	VAR	Gale	R	361	v		
C10		Associated Press Collections Online	1915	2009	AP	Gale	R	"1,910,000"	p		
C18		"British History Online, Version 5"	1000	1832	VAR	IHR	K	"1,300"	v		
C12		British Library Newspapers	1732	1950	BL	Gale	R	"6,350,000"	p		
C22		British Periodicals	1681	2007	xxx	ProQuest	R	490	t		
C11		Burney Collection	1604	1804	BL	Gale	R	"1,000,000"	p		
C6		Caribbean Blue Books	1824	1950	TNA	BOA	S	21	v		
C26		"Caribbean Newspapers, Series 1"	1718	1876	AAS	Readex	R	140	t		
C1		Colonial America	1606	1822	TNA	Adam Matthew	R	"1,450"	i		
C2		Confidential Print	1824	1961	TNA	Adam Matthew	R	371	i		
C14		Declassified Documents Online	1905	2002	TNA	Gale	R	"500,000"	p		
C29		Digital Library of the Caribbean	xxx	xxx	VAR	Smathers	R	"4,099,896"	p		
C25		"Early American Newspapers, Series 1"	1690	1876	AAS	Readex	R	"340,000"	i		
C28		"Early American Newspapers, Series 2—14"	1820	1922	VAR	Readex	R	xxx	xxx		
C21		Early English Books Online	1475	1700	VAR	ProQuest	R	"146,000"	i		
C20		Early European Books	1450	1700	VAR	ProQuest	R	"20,576,000"	p		
C19		Economist Intelligence Unit Country Reports Archive	1952	1995	EIU	ProQuest	R	662	i		
C3		Empire Online	1492	2007	VAR	Adam Matthew	R	970	i		
C4		Empire Studies	1734	1968	VAR	Adam Matthew	R	"1,132"	i		
C7		Factiva	1978	2021	VAR	Dow Jones	R	"33,000"	t		
C23		House of Commons Parliamentary Papers	1688	2021	xxx	ProQuest	R	"11,000,000"	p		
C24		House of Lords Parliamentary Papers	1800	1910	xxx	ProQuest	R	"2,100,000"	p		
C27		"Latin American Newspapers, Series 1—2"	1805	1922	CRL	Readex	R	300	t		
C5		Naval Office Shipping Lists	1678	1825	TNA	BOA	S	5	v		
C15		Sabin Americana	1500	1926	VAR	Gale	R	"13,000,000"	p		
C8		The British Newspaper Archive	1708	2009	BL	Findmypast	R	"41,900,432"	p		
C30		The London Gazette	1665	2021	TSO	TSO	R	"63,201"	i		
C13		The Times Digital Archive	1785	2014	News UK	Gale	R	"1,800,000"	p		
C17		"World Scholar, Latin America and the Caribbean"	xxx	xxx	VAR	Gale	R	"1,400,000"	p		
