C1—30 / Online collections of archival material.
ID	NO	TYPE	ALT ID	YR	AUTHORS	JOURNAL	V	I	TITLE	LINK	
		M	Antochiw	2004	M. Antochiw	Anuario de Estudios Centroamericanos	46		ALEJANDRO JOSEPH DE GUELLE	http://observatoriogeograficoamericalatina.org.mx/egal9/Geografiasocioeconomica/Geografiacultural/10.pdf	
		T	Barke 12	2012	G. Vasquez Barke				BACALAR EN EL SIGLO XVII	http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/761	
		T	Barke 16	2016	G. Vasquez Barke				Los poderes y los hombres	http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/336	
			Baudot	1986	G. Baudot	Cahiers du monde hispanique et luso-brésilien	46		Dissidences indiennes et complicités flibustières dans le Yucatán du XVII e siècle	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/40852876	
			Bialuschewski	2017	A. Bialuschewski	Ethnohistory	64	1	Slaves of the Buccaneers: Mayas in Captivity in the Second Half of the Seventeenth Century	https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00141801-3688359	
		T	Bowett	1996	A. Bowett				The english mahogany trade 1700-1793 	"Bowett, A. (1996). The english mahogany trade 1700-1793 (Order No. CA47977). Available from ProQuest Dissertations & Theses Global. (304303774). Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/english-mahogany-trade-1700-1793/docview/304303774/se-2?accountid=11311"	
		T	Breuer	1993	K. H. Breuer				"Colonies of happenstance: The english settlements in central america, 1525-1787 "	"Breuer, K. H. (1993). Colonies of happenstance: The english settlements in central america, 1525-1787 (Order No. 1352917). Available from ProQuest Dissertations & Theses Global. (230667983). Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/colonies-happenstance-english-settlements-central/docview/230667983/se-2?accountid=11311"	
			Bulmer	2016	"B. Bulmer-Thomas, V. Bulmer-Thomas"	Tempus	4		The Origins of the Belize Settlement	file:///Users/angelnavidad/Downloads/326161-Texto%20del%20art%3Fculo-119179-1-10-20161119.pdf	
			Camille	1996	M. A. Camille & R. Espejo-Saavedra	Yearbook (Conference of Latin Americanist Geographers)	22		Historical Geography of the Belizean Logwood Trade	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/25765830	
			Cervera 19	2019	A. E. Cervera Molina	Península	14	2	BELIZE AND YUCATAN THROUGH TRAVEL STORIES	http://www.revistas.unam.mx/index.php/peninsula/article/view/70001	
			Cervera 20	2020	A. E. Cervera Molina	Anuario de Estudios Centroamericanos	46		A BACK AND FORTH JOURNEY. DIALOGUES BETWEEN ALEJANDRO JOSEPH DE GUELLE AND JAMES COOK	https://doi.org/10.15517/aeca.v46i0.45040	
			Contreras	1987	A. C. Contreras Sanchez	Historia Mexicana	37	1	"El palo de tinte, motivo de un conflicto entre dos naciones"	https://historiamexicana.colmex.mx/index.php/RHM/article/view/2034	
			Correa	2020	"C. Correa Angulo, A. Ramírez Romero"	Anuario de Estudios Centroamericanos	46		Central American membership: Belize among neighbouring countries	https://doi.org/10.15517/aeca.v46i0.45027	
			Davis	1954	R. Davis	Economic History Review	7	2	"English Foreign Trade, 1660-1700"	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/2591619	
		T	Elliott	1997	P. Elliott-Wright				"The officers of the irish brigade and the british army, 1789-98 "	"Elliott-Wright, P. (1997). The officers of the irish brigade and the british army, 1789-98 (Order No. U093336). Available from ProQuest Dissertations & Theses Global. (301519802). Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/officers-irish-brigade-british-army-1789-98/docview/301519802/se-2?accountid=11311"	
		M	Evans	1999	D. K. Evans				A Brief History of the Bay Islands	http://aboututila.com/UtilaInfo/Historical/David-Evans-Brief-History.htm	
		M	Ferguson	2019	"M. Ferguson, P. Pelayo, N. Encalada"				A History of Slavery & Emancipation in Belize	https://ambergriscaye.com/photogallery/art/Slavery-and-Emancipation-in-Bz-by-ISCR-NICH.pdf	
		M	Fischbeck	2020	S. L. Fischbeck				Agricultural Terrace Productivity in the Maya Lowlands of Belize	http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.580.5403&rep=rep1&type=pdf	
		T	Genkins	2018	D. Genkins				Entangled Empires: Anglo-Spanish Competition in the Seventeenth-Century Caribbean	https://ir.vanderbilt.edu/bitstream/handle/1803/13282/Genkins_dissertation_final.pdf?sequence=1	
			Gonzalez	1983	N. L. Gonzalez	Nieuwe West-Indische Gids / New West Indian Guide	5	3/4	NEW EVIDENCE ON THE ORIGIN OF THE BLACK CARIB: WITH THOUGHTS ON THE MEANING OF TRADITION	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/41849126	
			Graham	1989	"E. Graham, D. M. Pendergast, G. D. Jones"	Science	246	4935	On the Fringes of Conquest: Maya-Spanish Contact in Colonial Belize	"Graham, E., Pendergast, D. M., & Jones, G. D. (1989). On the fringe of conquest: Maya-spanish contact in colonial belize. Science, 246(4935), 1254. Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/on-fringe-conquest-maya-spanish-contact-colonial/docview/213534015/se-2?accountid=11311"	
			Grunewald	1965	D. Grunewald	Caribbean Studies	5	2	The Anglo-Guatemalan Dispute over British Honduras	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/25611880	
