C 1—47 / Event clusters.
ID	No	ALT ID	NAME	BEG	END	FT	FT	DESCRIPTION	PRESS	CF	VIA	NOTE	
C 1	1	War 13		1 Jan 1625	30 Dec 1630	Sp		England declares war on Spain					
C 2	2	Hos 13	Providence Reprisals	1 Apr 1636	30 Aug 1677	 	Ai Bu Du	"Buccaneers or privateers, at times with non-English and Amerindian allies, raid Spanish and Amerindian settlements along Bay of Hon coast"					
C 3	3	Hos 19	Tortuga Slavery	1 Jan 1638			Ai Bu	Buccaneers or privateers impress or enslave Amerindians				"Upper End possibly = 1665 /v Bialuschewski 20 p239 /GUATEMALA,22,R.1,N.11"	
C 4	4	War 10	Cromwell’s	15 Dec 1654	23 May 1667	Sp	Bu Fr	England declares war on Spain					
C 5	5	War 14	Portuguese Restoration	1 Jan 1662	13 Feb 1668	Sp		England declares war on Spain					
C 6	6	Hos 1	Soberanis y Centeno Offensives	1 Jan 1694	30 Dec 1710	Sp	Ai	"Guatemala launch 2 military campaigns against Settlement / Yucatan launch 4 paramilitary campaigns against Settlement / Baymen, possibly with Amerindian allies, raid Spanish and Amerindian settlements in Guatemala or Yucatan"					
C 7	7	War 1	Spanish Succession	1 Jul 1701	11 Sep 1714	Sp	Fr	England declares war on Spain				"Alvaro Rivaguda [Gov of Yuc 1703–1706], mandó por aquel tiempo [War of Sp Succession] á practicar un reconocimiento de toda la costa [de Belice], y se descubrió el verdadero lugar en que estaban guarecidos los bandidos [piratas ingléses], y aunque insistió [a Corona española] en que se les atacase y destruyese una pequeña fortificacion que habian construido, se le informó que aquello no era posible porque eran desconocidos aquellos lugares y estaban llenos de arrecifes y cayos que hacian peligrosa la entrada al rio [Walis]. /v Peniche 220 citing ""Ojeada histórica sobre el establecimiento británico de Belice,"" Fénix, xxx"	
C 8	8	Hos 20	Mosquito Slavery	1 Jan 1702			Ai	"Miskito and possibly other Amerindians, at times with Baymen’s aid, enslave Amerindians"					
C 9	9	Hos 2	Golden Age of Piracy	10 Jan 1718	28 Feb 1725		Bu	Buccaneers surprise Fleet					
C 10	10	War 2	Quadruple Alliance	2 Aug 1718	17 Feb 1720	Sp	 	Great Britain declares war on Spain					
C 11	11	Hos 16	Jamaica Slavery	1 Jan 1722	1 Jul 1838	 	Af Du Fr Po	"Jamaicans and others, with Baymen’s aid, enslave Africans"					
C 12	12	Hos 14	Cortaire y Terreros Siege	1 Aug 1722	21 Feb 1733	Sp	 	"Yucatan lay siege on Settlement / Yucatan launch 8 military campaigns against Settlement /  Royal Navy, Fleet and Baymen engage"					
C 13	13	War 3		1 Mar 1726	9 Nov 1729	Sp	 	Great Britain declares war on Spain					
