E 1—320 / Events.
ID	NO	OUT	MIL	PART OF	LOWER START	UPPER END	SUMMARY	DESCRIPTION	NEAR	SP	NON—SP	NON—SP	LIVES	HELD	MOVED	CRAFT	PROPERTY	OTHER	PRESS	CF	VIA	NOTE	
E 		1			5 Aug 1100	5 Aug 1100	Charter of Liberties																
		1			1 Jan 1166	30 Dec 1166	Assize of Clarendon																
		1			12 Sep 1213	27 Jul 1273	Armada Española est																
		1			15 Jun 1215	15 Jun 1215	Magna Carta																
E 		1			6 Nov 1217	6 Nov 1217	Charter of the Forest																
E 		1			20 Jan 1265	15 Mar 1265	Simon de Montford’s Parliament																
E 		1			1 Jan 1511	30 Dec 1511	Stranding of Guerrero	c 10 Spaniards inc Jerónimo de Aguilar and Gonzalo Guerrero arrive in Yuc after being stranded in Sp Jamaica	"Jamaica, E Yuc"	"1 Batel 20 men inc Jerónimo de Aguilar, Gonzalo Guerrero"										Oviedo lib 32 cap 3	RAH DNB		
E 		1			27 Dec 1512	27 Dec 1512	Leyes de Burgos		Burgos														
E 		1			1 Jan 1514	30 Dec 1514	Guerrero under Nachan Can	"Gonzalo Guerrero enters service of Nachan Can, Lord of Chactemal"	Chactemal	Gonzalo Guerrero	Nachan Can									Oviedo lib 32 cap 3	RAH DNB		
E 		1			1 Jan 1524	30 Dec 1524	Puerto Caballos est		Puerto Caballos														
E 		1			18 May 1525	18 May 1525	Trujillo est		Trujillo														
E 		1			19 Nov 1526	8 Dec 1526	Montejo Patent	Francisco de Montejo requests and obains patent to conquer Yucatan	Granada	Francisco de Montejo											Chamberlain 19		
E 		1			1 Jul 1527	30 May 1528	Montejo entrada	"Francisco de Montejo conquers NE Yucatan [N of Cozumel] for King of Castille, inc Battles of Chauaca, of Ake"	"Seville, Azores, Santo Domingo, Cozumel, Xelha, Pole, Xamanha, Moc-hi, Ecab [Cape Catoche], Conil, Cachi, Sinsimato, Chauaca, Ake, Zizha, Loche"	Francisco de Montejo / Alonso Dávila / Pedro de los Ríos / Pedro de Añasco / Pedro de Lugones / Pedro González / Hernando Palomino / Pedro Gaitán / 4 Ships 250 t 275 men	Cacique of Cozumel Naum Pat										Chamberlain 30	"Ships = San Jerónimo, Nicolasa, La Gavarra, ...
Allies = Cozumel, Xelha, Zama / Xelha and Zama later sever alliance /v Chamberlain 39 / Ecab /v Chamberlain 47
Oct 1527 Sp villa established at Xelha, named Salamanca, w alcaldes inc Cristóbal de Sotelo /v Chamberlain 36"	
E 		1			1 Mar 1528	30 Jul 1528	Montejo entrada and survey	"Francisco de Montejo attempts to conquer E Yucatan [S of Cozumel] for King of Castille, via land and sea routes, but is foiled by Nachan Can and Gonzalo Guerrero, inc passage through Barrier Reef to Corozal Bay, and coastal survey from Bahía de la Ascención to Río de Ulúa"	"Xelha, Bahía de la Ascensión, Chactemal, Río de Ulua"	Francisco de Montejo / Alonso Dávila / Alonso de Luján 1 Brig	Nachan Can / Gonzalo Guerrero										"Chamberlain 59
Jones 1 26"	Brig = La Gavarra	
E 		1			1 Jun 1531	30 Mar 1533	Dávila entrada	"Francisco de Montejo sends Alonso Dávila to conquer Uaymil and Chactemal provinces, but Dávila is forced to retreat by sea fm Chactemal to Puerto Caballos, inc Battles of Chequitaquil, of Cochuah, of Hoya, Ma Siege of Sp-occupied Chactemal, and Sp torture of Cacique of and retinue fm Tapaen"	"Campeche, Canpech, Mani = Tutulxiu, Cochuah, Tulma, Chable, Maçanahau, Bakhalal, Chactemal, Chequitaquil, Hoya, Tapaen, Río Dulce [Golfo Dulce], Puerto Caballos, Río de Ulúa, Trujillo"	Francisco de Montejo / Alonso Dávila / Alonso de Luján < 60 men	Nachan Can / Gonzalo Guerrero									"CDI v 14 97–128
Oviedo lib 32 cap 6–8"	"Chamberlain 99
Jones 1 28"	"On Ma provinces and towns, demographics etc cf Jones 1 94–121 / present-day Belize territory = Yucatec Maya provinces of Chactumal and Dzuluinicob [under Chactumal and Tipuj]

Allies = Maçanahau, Yuyumpeten, /v Chamberlain 102 / Maçanahau later severs alliance, but thereafter surrenders /v Chamberlain 106

1531 Sp Villa Real established at Chetumal, w Regidores inc Francisco de Montejo [Jr, nephew of senior Francisco de Montejo] /v Chamberlain 103

Chetumal–Puerto Caballos retreat by sea in 32 canoes, piloted by Ma merchants fm Uaymil–Chetumal province / proved very difficult, inc raids for provisions and Ma pilots, and possible hurricane or flash thunderstorm / “Such a manner of coast ... has never been seen or heard of elsewhere, for it is all inundated by the sea for a great distance [back from the shore]. Because of this, it is impossible to move by land. The wind off the land drove them such a distance out to sea that they nearly lost sight of the shore, and at the same time threatened to capsize them. At midday, when the wind or tide turned, they were pushed back to land. [The Indian captives], who knew the coast, were sett o rowing when necessary, and at the hour of vespers, or sometimes later, they landed, having gained ... six or seven leagues [during the day's voyage]. It was something to be marvelled at how, just before sunset, they would find a stream or lagoon with a belt of sand, or beach, close to its entrance, where, with guards posted over the canoes, the men and horses could be put ashore.” /v Chamberlain 121 /Oviedo F1851–55, 32–8 / Find no towns along coast /v Jones 1 39"	
E 		1			1 Jan 1534	30 Mar 1535	Montejo Gov of Yuc	King of Castile appoints Francisco de Montejo Gov of Yuc ie territory between Río de Copilco [Tabasco] and Río Ulúa [Sp Hon = Higueras]	Granada	Francisco de Montejo											Chamberlain 179		
E 		1			1 Jun 1536	14 Aug 1536	Death of Guerrero	Gonzalo Guerrero dies in battle serving Cicumba against Pedro de Alvarado y Contreras near Río Ulúa 	"Chactemal, Río Ulúa"	Pedro de Alvarado y Contreras	Cicumba / Gonzalo Guerrero										"RAH DNB
Roys 2 162"		
E 		1			6 Jan 1542	6 Jan 1542	Mérida est	Francisco de Montejo the Younger est Mérida after conquering T’ho [=Ti’ho]	Mérida	Francisco de Montejo [the Younger]											Chamberlain 213		
E 		1			20 Nov 1542	20 Nov 1542	Nuevas Leyes		Barcelona														
E 		1			1 Apr 1543	30 Dec 1544	Pacheco entrada and Bacalar est	"Francisco de Montejo sends Gaspar Pacheco to conquer SE Yuc = Uaymil, Chactemal and Dzuluinicob provinces, and Golfo Dulce, inc severe food seizures, massacre and torture of Ma captives, leading to significant famine, desertion of towns, and depopulation"	"Mérida, Cochuah, Chactemal, Bakhalal, xxx, Tipuj, Golfo Dulce"	Gaspar Pacheco / Melchor Pacheco / Alonso Pacheco 25 t 30 men inc Rodrigo Alvarez										"ESCRIBANIA,304B [Fernández de Castro ... a 1597]
Cogolludo lib 3 cap 15
MEXICO,359 [Capítulos puestos a Montejo ... a 1544]"	"Chamberlain 232
Barke 12 26
Jones 1 41, 59"	"= “one of the bloodiest campaigns, and certainly the cruelest, of the entire conquest [of Yuc].” /Chamberlain 233 / Maya, both male and female, were killed in numbers with the garrote, or were thrown into the lakes to drown with weights attached to them. Savage dogs of war, although used not for the first time in Yucatan, tore many defenseless natives to pieces. It is said that the Pachecos cut off the hands, ears and noses of many Insias. Alonso Pacheco was seemingly the officer most reponsible for these and other barbarities. /v Chamberlain 234 / Cf Bienvenida a Felipe II 10 feb 1548 = Cartas de Indias, Madrid : Min de Fomento 1877, 70–82 / AGI, JUSTICIA,300,N.3,R.2 [Relación ... por Blas Cota a 1549]

Later Pachecos sued by Franciscan friars, and investigated by Crown /v Chamberlain 236

6 Mar 1544 Bacalar established after conquest of Bakhalal /v Barke 12 35 / no exact date given in Jones 1 43 / On economy eg coastal trade to Golfo Dulce cf MEXICO,99 [Probanza ... Bacalar, a 21 abril 1570] /v Jones 1 69 / inc est of Yucatec Ma reduction towns, eg those on coast eg Zacatan / Bacalar province = Uaymil, Chactemal, Dzuluinicob + newly est reduction towns divided into 5 encomiendas held by Melchor Pacheco, Martín Rodríguez, Alonso Pacheco, Pedro de Avila, Alonso Hernández, Juan Farfán, and possibly Juan Pérez de Castañeda /v Jones 1 44, 59"	
E 		1			24 May 1543	24 May 1543	Valladolid est	Francisco de Montejo the Nephew est Valladolid after conquering Chauaca	Valladolid-at-Chauaca	Francisco de Montejo [the Nephew]											Chamberlain 226	Spring 1544 Valladolid moved to Saci ie Sp occupy Saci /v Chamberlain 229	
E 		1			1 Jan 1546	30 Dec 1546	Royal Navy est																
E 		1			1 Nov 1546	30 Jun 1547	Avila survey	Francisco de Montejo sends Pedro de Avila to survey Hon coast and Golfo Dulce from Bacalar	"Bacalar, Golfo Dulce"	Pedro de Ávila											Chamberlain 257		
E 		1			8 Nov 1546	30 Mar 1547	Pixtemax revolt and conspiracy inc Chanlacan revolt and siege of Bacalar	"Cupul caciques, war leaders and priests, at Pixtemax [ie new Saci] organise concerted torture, sacrifice and massacre of Sp and Sp allies, in which they’re joined by provinces of Cochuah, Stotuta, Tazes, Chikinchel, Uaymil-Chetumal"	"Pixtemax, Villadolid, Cochuah, Sotuta, Tazes, Chikinchel, Uaymil-Chetumal, Chanlacan, Bacalar"	Francisco de Montejo [the Nephew] / Hernando de Bracamonte / Juan de Aguilar	Chilam Anbal									"PATRONATO,69,R.1,N.10"	"Chamberlain 237
Jones 1 45
Barke 12 56
Quezada 41–44"	"Events in Uaymil-Chetumal = Maya first refuse to serve Sp / Chanlacan kill encomendero Martín Rodríguez, rise in arms, and blockade Bacalar /v Chamberlain 244 / Lamanai fail to capture revolters / finally subjugated by Francisco de Montejo the Nephew and Juan de Aguilar without force /v Chamberlain 248 /v Jones 1 46"	
E 		1			1 Jan 1547	30 Dec 1547	Montejo entrada	Francisco de Montejo sends Montejo the Younger to conquer Golfo Dulce	"Merida, Bacalar"	Francisco de Montejo [Younger] / Francisco de Montejo [Nephew] 80 men											Chamberlain 257		
E 		1			1 Jan 1549		Sp logwood trade	"Sp in Yucatan start logging [first in west coast of Yuc and probably Bahía de Ascención, later by Champoton River] and exporting logwood"	"Campeche, Veracruz, Havanna, Puerto Caballos"	Marcos de Ayala Trujeque										"PATRONATO,80,N.3,R.4
INDIFERENTE,1530"	"McJunkin 88–90, 104–7"	"First exports probably went through Veracruz [fm Campeche], some informally shipped through Havana, and some fraction shipped to Puerto Caballos [most likely from lower reaches of Bahía de la Ascención or northern Belize] /McJunkin 88–90"	
E 		1			1 Jan 1553	30 Dec 1553	López retasación	"Tomás López Medel completes first comprehensive retasación of Yucatan, inc Bacalar provinces"	"Merida, xxx"	Tomás López Medel											Jones 1 60	"Inc reassignment of Bacalar province encomiendas to Juan Pérez de Tordesillas, Juan Díaz, Juan Núñez de Toledo, Juan Bautista /v Barke 12 57 /v Jones 1 60–83"	
E 		1			1 Apr 1568	30 Dec 1568	Garzón entrada and reduction	"Mérida authorises Juan de Garzón and Bacalar vecinos entrada to and reduction of Bacalar provinces = Uaymil, Chactemal and Dzuluinicob provinces, and Manche Chol territory, inc destruction of books, idols and temples, and possible enslavement of some captives"	"Bacalar, xxx, Tipuj, Manche Chol territory, Lamanai"	Juan de Garzón										"AGI,JUSTICIA,253 Pieza 4 [Residencia ... a 1569]
MEXICO,2999,L.2 ff 240v–241r, 72v–73r, 285v–286r, 117v–118r 
MEXICO,909 ff 1512r–1515r"	"Jones 1 47
Barke 12 58"	Juan de Garzón charged by Rodrigo de Escalona of enslavement of some captives / later exonerated of slavery charges /v Jones 1 50–51	
E 		1			1 Jan 1595	30 Dec 1595	Sp embargo Du	"Sp stop salt provisions to Netherlands, thereby endangering Du herring industry, and forcing Dutch salt traders to the WI in search of salt"	xxx											xxx	Marcus 31	"See Sluiter, ""Dutch-Spanish Rivalry,"" 175–95"	
