E 1—320 / Events.
ID	NO	OUT	MIL	PART OF	LOWER START	UPPER END	SUMMARY	DESCRIPTION	NEAR	SP	NON—SP	NON—SP	LIVES	HELD	MOVED	CRAFT	PROPERTY	OTHER	PRESS	CF	VIA	NOTE	
		1			1 Jan 1801	1 Jan 1801	Acts of Union																
		1			27 May 1801	27 May 1801	Bassett Report on Constitution	Attorney General of Jamaica reports on the proper division of authority between Magistrates and Superintendent in Hon	"Spanish Town, Old"		Gov of Jam / Attorney Gen of Jam / Brig. Gen. Sir Richard Bassett									"MM A2 [27, 29 May 1801]"	Burdon 2 p45	"Capt. Luson, 5th WIR, to Bassett, 1801, May 27th ... [the Attorney General's] opinion was as follows: That the Civil Power in Honduras is not competent to try offences extending to life or limb: That any infringements on the Regulations since Col. Hunter's Proclamation not sanctioned by proper authority are illegal: That the Transient tax should be expended on the Service of the Settlement, but that duties on Wine, Spirits &c. should go to the [Home] Government: That as it is undetermined whether the Settlement is ""a part of HM Dominions or not"", a certain part of wrecked goods might be claimed by the Superintendent for [Home] Government, but that such action was not worth while: That the entrance and clearing of Ships should properly belong to the Sec of the Superintendent, but, whether to him or to the Clerk of the Court, the appointment should be at the disposal of the Superintendent: That the Rules and Regulations under Col Hunter's Proclamation ""were perfectly adapted to the local situation”: and that the Superintendent had acted rightly in suppressing the Police Magistracy, unless there were some authority among the [Public] Records of which he [AG] was unaware. /Burdon 2 p45"	
		1			18 Aug 1801	16 Oct 1801	Bassett prohibits Public Meeting	"Superintendent orders notices of Public Meeting [for consideration on question of importation of Neg of dangerous character] posted around Belize Town destroyed, and issues Proclamation forbidding the meeting, citing Magistrates’ failure to obtain his consent for the meeting, after which xxx"	Old		Brig Gen Sir Richard Bassett	Magistrates / Clerk of Court George Thompson								"GC T [18 Aug 1801]
MM A2 [22 Aug, 9, 12, 22 Sep, 16, 17 Oct 1801] 
ML B [7, 8 Sep 1801]"	Burdon 2 p47	"1801, Sep 7. Proclamation by Col Sir R Basset. ""WHEREAS Advertisement have this day been stuck up in different parts of this town by order of the Magistrates to request a public meeting of the Inhabitants of this Settlement without my Sanction or approbation and in defiance of my orders to the contrary I have therefore thought fir to issue this my Proclamation strictly forbidding such meeting to assemble untill it shall be publickly notified to me that my consent has been obtained for that purpose, and I do hereby caution all HM faithful Subjects Inhabitants of this Settlement, at their peril not to attend or countenance such meeting, as the consequences thereof will rest at their own Doors."" /via Burdon 2 /ML B

1801, Sep 7. ADVERTISEMENT. Notice To The Public. WHEREAS it appears that a few evil minded Persons either from Pique or malice are willing to lead the Public astray and draw them from their proper allegiance to HM Government, the Superintendent requests that the People will individually weigh what follows and treat it with coolness and candour. The present Contest between the Superintendent and Magistrates is not whether there should or should not be Public meetings but whether they should be with or without his approbation and that such meeting should be enabled to form Laws that should be binding to the Settlement without either his approbation or concurrence. He appeals to the Public whether any Gentleman would accept of the situations of Superintendent and Commanding in Chief of the Settlement situated as this is, surrounded by enemies and responsible for the safety of it to HM and the Gov of Jam and allow the Sovreignty of it to be wrested from him and usurped which in this case it must be by a Set of People very inadequate to the task. ... /via Burdon 2 /ML B

1801, Sep 8. ADVERTISEMENT. ... A measure of consequence to the welfare of the Settlement (to which attention of the Magistrates was called in the first instance by a written Communicaiton from HM Sup) required in the opinion of the Magistrates an amendment in the Regulation respecting the admission of negro Slaves from the west india islands this could only be effected by a meeting of the Inhabitants who alone are competent and have power to make or amend the Laws as the annexed extracts will shew and as invariable custom has fully sanctioned. The intention of calling such meeting was formerly communicated in writing to HM Sup through the medium of Captain Luson and Advertisements were accordingly put up, calling a meeting of the Inhabitants on the 18th intant solely for the purpose aforesaid which have since taken down by his authority. The Magistates disclaim any idea of offering the least opposition to HM Sup Comm in Chief in the due execution of his Authority or of usurping powers not legally vested in them, and they request their Constituents to continue that peaceable and loyal demeanour they have ever held. ... By the unanimous Order of the Magistrates. Honduras Sep 8th, 1801. GEORGE THOMPSON, Cler. Cur. /via Burdon 2 /ML B"	
		1			14 Oct 1801	14 Oct 1801	Hon maritime jack	"Magistrates stipulate use of ""a signal Jack, with a blue Ball or Square in the centre"" by every certified Pilot"	Old											Laws 1765–1810 [14 Oct 1801]	Burdon 2 p51	"= inverse of Blue Peter, or current maritime signal flag for S by International Code of Signals by IMO, Albert Embankment, London UK"	
		1			27 Mar 1802	27 Mar 1802	Treaty of Amiens																
		1			1 Apr 1802	30 Apr 1802	Bassett obstructs Courts	"Superintendent seizes and imprisons John Nicholson, a slave of one of the Magistrates, charged with murder, and refuses to give him up to be tried by Laws of the Settlement, after which Col Barrow surrenders him to Magistrates"	Old		Brig Gen Sir Richard Bassett / Col Thomas Barrow / John Nicholson									"ML B [22 Apr, 24 Jun 1802, 2 Feb 1803]
MM A2 [7, 8 Jun 1802]
"	"Burdon 2 p54, 62"	"Magistrates, on approval of Inhabitants, move to send a Magistrate to Jamaica to take Counsil on bringing notice to Home Government vi Lt Gov of Jam /via Burdon 2 /ML B"	
				xxx	1 Apr 1802	22 May 1802	Fire in Belize Town	"Fire destroys unknown portion of Belize Town, after which Magistrates vote £300 for purchase of Fire Engines"	Old											MM A2 [9 May 1802]	Burdon 2 p54		
		1			29 Jun 1802		Bassett restricts Courts	"On vote by Public Meeting to discontinue salary to Sec of Sup, Sup assume's Clerk of Court's business of entering and clearing vessels ""as was custom in Col Despard's time”, after which Home Government sanction practice"	Old		Brig Gen Sir Richard Bassett									"MM A2 [29, 30 Jun, 5, 9 Jul, 2 Aug 1802]
GC T [30 Aug 1802]
ML C [7 Jul 1804]"	"Burdon 2 p55, 71"		
		1			1 Jul 1802	30 Aug 1802	King George’s Grant	"King George of Mosquito Shore grants unknown number of cattle for garrison at Hon, after which Magistrates order £40 be expended on gift to young King Frederick of Mosquito Shore and three of his Chiefs"	"Mosquito Shore, Old"		King George of Mos / King Frederick of Mos									MM A2 [2 Aug 1802]	Burdon 2 p57		
		1			2 Jul 1802	2 Jul 1802	“Belize Honduras” used	"""Belize Honduras"" used by Grand Court, rather than customary ""Belize Rivers Mouth"" or ""this Rivers Mouth”, possibly marking first use of “Belize” in name of Settlement"	Old											GC Q [2 Jul 1802]	Burdon 2 p55		
