T 1—15 / Pre-statistical estimates of trade, wealth, and the like.
ID	NO	TYPE	LOWER START	PERIOD	PUB	TALLY	FOR	TALLY	FOR			CF	VIA	NOTE	
T 1	1	E	25 Mar 1750	25 Mar 1751	21 Apr 1751			"8,000"	Tun of Logwood			CO 137/57 [21 Apr 1751]	Burdon 1 77	"Robert Hodgson, Jamaica, to Mr. Aldworth. There was cut last year in the Bay of Honduras above 8000 Tun of Logwood, sold at an Average in England and elsewhere for at least £20 p. Ton. Total £160,000 a valuable sum ... the Consumption of all Europe, by what I can learn does not exceed 4000 Tun a Year, but the Baymen cut more or less every Year, as they are more or less interrupted, and in proportion to the Demand from the Merchants that Store it, who are now Stocked, I'm told, in England, for two or three years"	
T 		E	1 Jan 1755	Jan—Dec 1755	31 Jul 1784			"13,612"	palo de tinte [toneladas] que se exporto a Jamaica			"SANTA_FE,L.758B [Doc. 46 ... a 31 jul 1784]"	Barke 16 149	"Cantidades de palo de tinte, extraído en el Golfo de Honduras y que se exportó en 1755 a Jamaica. DESTINO DE LA MERCANCÍA Y CANTIDAD EXPORTADA. Jamaica 2,746. Londres 1,785. Sucandina 60. Nueva York 3,750. Filadelfia 300. Río Dailan 1,870. Bristol 400. Segham 420. Holanda 1,771. Boston 810. TOTAL 13,612. /v Barke 16 149 /SANTA_FE,L.758B"	
T 2	2	E	1 Jan 1756	Jan—Dec 1756	10 Feb 1783			"18,000"	Tuns [Logwood]			CO 123/2 [10 Feb 1783]	Burdon 1 p134	"Memorial of His Majesty's Subjects driven from the Bay of Honduras in September 1779 on behalf of themselves and the Merchants formerly Trading to the said Bay. ... Prior to the settlement of his Mejesty's Subjects in the Bay of Honduras the price of Logwood in this Kingdom [Eng or Brit] was from £50 to £60 per Ton. From that time the price continued decreasing until 1749, when it was reduced to £25 per Ton. From 1749 the quantity continued increasing, and the price of course diminishing untill 1756, when they exported from Honduras 18,000 Tons per Annum at £11 per Ton. Lastly form their Re-establishment in the Bay in 1763, their Exportations of this Article became immense, in so much that there were from 40 to 75 Sail of Ships loading Continually in the Bay all year round, untill about the year 1770; during which time the price continued lowering, till it came to about £6 and £5 per Ton. By the foregoing immense exportation of this Article, and its importation into His Majesty’s Dominions the Supplies So far exceeded the home Consumption and all the Demands from abroad, and the Dealers and Speculators were so Overstocked with it, that from 1770 to 1772 there was not above 5 or 6 Sail of Ships loaded at a time, and the whole exportation did not exceed from 5,000 to 6,000 Tons. For the Market price here [Bay?] about 1772 became so low as not to pay the freights and Expences incurred in sending it home. From 1773 the price gradually rose, untill a little before and at the time of the rupture with France, when an extraordinary demand from that Country brought it up to £10 p. Ton. But that demand being answered, it immediately fell; and at the time the rupture with Spain took place, its price was onely £8. 10. p. Ton. ... /via Burdon 1 p134 /CO 123/2"	
T 		E	25 Mar 1765	Mar–Sep 1765	7 Oct 1765	"401,231"	feet of Mahogany	"7,449"	Tons of Logwood			CO 137/62 [7 Oct 1765]	Bolland 75 p59	"It was reported in 1765 that between 25 March and 25 September there was loaded in the Bay '7,449 Tons of Logwood, and 401,231 feet of Mahogany which at £7.10 per Ton for Logwood and ten pence per foot for Mahogany, the Current prices those commoditys bear at present in London, amount to near Seventy three Thousand pounds Sterling.' /v Bolland 75 59 /CO 137/62 [Maud to Littelton 7 Oct 1765]"	
T 3	3	E	1 Jan 1770	Jan 1770—1772	10 Feb 1783			"5,000 t 6,000"	Tons [Logwood]			CO 123/2 [10 Feb 1783]	Burdon 1 p134		
T 4	4	E	1 Jan 1778	Jan—Dec 1778	10 Feb 1783	"70,000"	tons [Mahogany]	"7,000"	tons [Logwood]			CO 123/2 [10 Feb 1783]	Burdon 1 p134	"1783, February 10th. Robert White to Sec. Townsend. ... gives the following figures for the annual timer trade of the Settlement [Hon] :— Logwood ... ... 7,000 tons. Mahogany ... ... 70,000 tons. /via Burdon 1 p135 /CO 123/2"	
T 5	5	E	1 Mar 1784	Mar 1784—1785	8 Sep 1790	"2,000,000"	pies superficiales de caoba	"1,000"	toneladas de palo de tinta			"MEXICO,3023 [L. Gálvez a C. Alange, Mérida a 8 sep 1790]"	Calderon 367	"“deducido de los mejores cálculos que es posible hacer,” in ESTADO DE LAS EXPORTACIONES BRITANICAS EN BELICE, EN MERIDA A 8-9-790, annexed to MEXICO,3023 item"	
T 6	6	E	1 Mar 1785	Mar 1785—1786	8 Sep 1790	"2,500,000"	pies superficiales de caoba	"1,200"	toneladas de palo de tinta			"MEXICO,3023 [L. Gálvez a C. Alange, Mérida a 8 sep 1790]"	Calderon 367	"“deducido de los mejores cálculos que es posible hacer,” in ESTADO DE LAS EXPORTACIONES BRITANICAS EN BELICE, EN MERIDA A 8-9-790, annexed to MEXICO,3023 item"	
T 7	7	E	1 Mar 1786	Mar 1786—1787	8 Sep 1790	"3,000,000"	pies superficiales de caoba	"1,500"	toneladas de palo de tinta			"MEXICO,3023 [L. Gálvez a C. Alange, Mérida a 8 sep 1790]"	Calderon 367	"“deducido de los mejores cálculos que es posible hacer,” in ESTADO DE LAS EXPORTACIONES BRITANICAS EN BELICE, EN MERIDA A 8-9-790, annexed to MEXICO,3023 item"	
T 8	8	E	1 Mar 1787	Mar—Oct 1787	8 Sep 1790	"2,000,000"	pies superficiales de caoba	"1,000"	toneladas de palo de tinta			"MEXICO,3023 [L. Gálvez a C. Alange, Mérida a 8 sep 1790]"	Calderon 367	"“deducido de los mejores cálculos que es posible hacer,” in ESTADO DE LAS EXPORTACIONES BRITANICAS EN BELICE, EN MERIDA A 8-9-790, annexed to MEXICO,3023 item"	
