C1—30 / Online collections of archival material.
ID	NO	TYPE	ALT ID	PERIOD	PERIOD	NO.	UNITS	ITEM	REPOSITORY	CITY	COUNTRY					VIA	NOTE	
		P		1690	1922	18000	titles	Newspapers & Periodicals	American Antiquarian Society	Worcester	USA						Guide: https://www.americanantiquarian.org/newspapers-periodicals	
		MS		1885	1985	8.3	feet	"Records, United Bible Societies, Latin America Regional Center"	American Bible Society	Philadelphia	USA						Assume ABS records moved from NY to PA in 2015 / Guide not found	
		MS		1778	1778	1	items	"Account for repairs done at Honduras to sloop ""Cupid"", (captain Wm. Carlyon), and stores taken on board"	Archives and Cornish Studies Service	Redruth	UK						"Ref CN/3389
TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/9d6e7f1b-4243-47e8-8086-07a8b583b0de"	
		MS	Civil List	1786	1896	1	vols	"British Honduras Civil List, 1895–1896"	Archives and Records Service	Belmopan	Belize					Burdon 2		
		MS	GC a	1790	1843	13	vols	Grand Court of Assize	Archives and Records Service	Belmopan	Belize					Burdon 1	Inc Summary Courts in earlier vols /Burdon 1	
		MS		1829	1829	1	vols	Indian Papers	Archives and Records Service	Belmopan	Belize					Burdon 2	"Inc uncompleted, unsigned, undated questionnaire with answers, on the subject of the constitution of the Law Courts, the law, and the Judiciary procedure of the Settlement /Burdon 2"	
		MS	Laws 1765–1810	1765	1810	1	vols	"Laws of Honduras, 1806–1810"	Archives and Records Service	Belmopan	Belize					Burdon 1		
		MS	LM a	1830	1843	2	vols	Legislative Assembly	Archives and Records Service	Belmopan	Belize					Burdon 2		
		MS	R d	1805	1853	32	vols	Letters and Despatches	Archives and Records Service	Belmopan	Belize					Burdon 2	"Inc Mr. Miller’s Mission, Records 11 /Burdon 2 / Inc Proceedings of Public Meeting, Records 20 /Burdon 2"	
		MS	ML a	1791	1812	4	vols	Magistrates’ Letters	Archives and Records Service	Belmopan	Belize					Burdon 1		
		MS	MM a	1793	1844	13	vols	Magistrates’ Meetings	Archives and Records Service	Belmopan	Belize					Burdon 2		
		MS	MSR	1771	1787	xxx	vols	Mosquito Shore Records	Archives and Records Service	Belmopan	Belize					Burdon 1		
		MS	PCR	1789	1798	1	vols	Police Court Records and Magistrates' Meetings	Archives and Records Service	Belmopan	Belize					Burdon 1	"Numbered 13 on fly leaf / includes Police Court Records 1789, Magistrates' Meetings 1793, Bonds 1797–1798 /Burdon 1 p292"	
		MS	PR a	1774	1849	22	vols	Private Records	Archives and Records Service	Belmopan	Belize					Burdon 1	"Where PR 1 = typed copies of eight Record Books 1774–1818, bulk 1784–1793 /Burdon 1 p291, and so counted as 8 vols"	
		MS	SC d	1817	1850	4	vols	Summary Courts	Archives and Records Service	Belmopan	Belize					Burdon 2		
		MS	Sup Ct a	1820	1848	4	vols	Supreme Court	Archives and Records Service	Belmopan	Belize					Burdon 2	Inc Summary Courts in some vols /Burdon 2	
		MS	ANOM	xxx		xxx			Archives Nationales d'Outre-Mer	Aix-en-Provence	France							
		MS		1776	1815	70	boxes	Vice-Admiralty Court records	Archives Unit	Spanish Town	Jamaica						Records = c 60 to 80 boxes / median used /Claudette Thomas 2011 Link: https://www.ifla.org/past-wlic/2011/141-thomas-en.pdf	
		MS	"AGCA, a"	1544	1821	xxx			Archivo General de Centro América	Guatemala	Guatemala						"Microfilm copy by Ross Publishing LLC, New York, NY, USA Link: https://www.rosspub.com/guatemalaenglishbrochure.htm "	
		MS	"GUATEMALA,a"	1525	1837	971	legajos	Audiencia de Guatemala	Archivo General de Indias	Seville	Spain					PARES	PARES Link: http://pares.mcu.es/ParesBusquedas20/catalogo/search 	
