C1—30 / Online collections of archival material.
ID	NO		TYPE	ALT ID	AUTHORS						JOURNAL	V	I	TITLE						YR				LINK	
			MS	Antochiw	M. Antochiw									ALEJANDRO JOSEPH DE GUELLE						2004				http://observatoriogeograficoamericalatina.org.mx/egal9/Geografiasocioeconomica/Geografiacultural/10.pdf	
			MS	Evans	D. K. Evans									A Brief History of the Bay Islands						1999				http://aboututila.com/UtilaInfo/Historical/David-Evans-Brief-History.htm	
			MS	Ferguson	"M. Ferguson, P. Pelayo, N. Encalada"									A History of Slavery & Emancipation in Belize						2019				https://ambergriscaye.com/photogallery/art/Slavery-and-Emancipation-in-Bz-by-ISCR-NICH.pdf	
			MS	Fischbeck	S. L. Fischbeck									Agricultural Terrace Productivity in the Maya Lowlands of Belize						2020				http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.580.5403&rep=rep1&type=pdf	
			MS	Meide	C. Meide									A Plague of Ships						2002				https://www.ltrr.arizona.edu/webhome/cbaisan/Florida/A_Plague_of_Ships_Spanish_Ships_and_Ship.pdf	
			T	Barke 12	G. Vasquez Barke									BACALAR EN EL SIGLO XVII						2012				http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/761	
			T	Barke 16	G. Vasquez Barke									Los poderes y los hombres						2016				http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/336	
			T	Bolland 75	O. N. Bolland									"The formation of a colonial society : Belize, from conquest to Crown Colony"						1975				file:///Users/angelnavidad/Downloads/content-hull_7151a.pdf	
			T	Bowett	A. Bowett									The english mahogany trade 1700-1793 						1996				file:///Users/angelnavidad/Downloads/288218482-3.pdf	
			T	Breuer	K. H. Breuer									"Colonies of happenstance: The english settlements in central america, 1525-1787 "						1993				http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/colonies-happenstance-english-settlements-central/docview/230667983/se-2?accountid=11311	
			T	Elliott	P. Elliott-Wright									"The officers of the irish brigade and the british army, 1789-98 "						1997				http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/officers-irish-brigade-british-army-1789-98/docview/301519802/se-2?accountid=11311	
			T	Finamore	D. R. Finamore									"Sailors and slaves on the wood-cutting frontier: Archaeology of the British Bay Settlement, Belize"						1994				file:///Users/angelnavidad/Downloads/Sailors_and_slaves_on_the_wood.pdf	
			T	Genkins	D. Genkins									Entangled Empires: Anglo-Spanish Competition in the Seventeenth-Century Caribbean						2018				https://ir.vanderbilt.edu/bitstream/handle/1803/13282/Genkins_dissertation_final.pdf?sequence=1	
			T	Marcus	L. C. Marcus									"English influence on Belize and the Petén region of northern Guatemala, 1630 to 1763"						1990				file:///Users/angelnavidad/Downloads/English_influence_on_Belize_an.pdf	
			T	McJunkin	D. M. McJunkin									Logwood						1991				http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/logwood-inquiry-into-historical-biogeography/docview/303932948/se-2?accountid=11311	
			T	Rushton	E. A. C. Rushton									Under the Shade I Flourish						2014				http://eprints.nottingham.ac.uk/27615/1/Hardbound%20Thesis_October2014_Rushton.pdf	
			T	Sorsby	W. S. Sorsby									"The British superintendency of the Mosquito Shore, 1749-1787"						1969				file:///Users/angelnavidad/Downloads/1882969.pdf	
			T	Wu	Y. Wu									"Jamaican trade, 1688-1769"						1996				http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/jamaican-trade-1688-1769-quantitative-study/docview/304300587/se-2?accountid=11311	
			A	Allen	B. Allen						Journal of the Royal Geographical Society	11		"Sketch of the Eastern Coast of Central America, Compiled from Notes of Captain Richard Owen and the Officers of Her Majesty's Ship Thunder, and Schooner Lark"						1841				https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/WJSWUN066496772/NCCO?u=camb55135&sid=NCCO&xid=3aaff7ff	
			A	Awe	"J. J. Awe, C. Helmke"						Ethnohistory	62	2	The Sword and the Olive Jar: Material Evidence of Seventeenth-Century Maya-European Interaction in Central Belize						2015				https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00141801-2854369	
			A	Barbour	V. Barbour						American Historical Review	16	3	Privateers and Pirates of the West Indies						1911				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/1834836	
			A	Baudot	G. Baudot						Cahiers du monde hispanique et luso-brésilien	46		Dissidences indiennes et complicités flibustières dans le Yucatán du XVII e siècle						1986				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/40852876	
			A	Bialuschewski	A. Bialuschewski						Ethnohistory	64	1	Slaves of the Buccaneers: Mayas in Captivity in the Second Half of the Seventeenth Century						2017				https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00141801-3688359	
			A	Bialuschewski 20	A. Bialuschewski						Hispanic American Historical Review	100	2	Juan Gallardo: A Native American Buccaneer						2020				https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00182168-8178200	
			A	Brown	W. Brown						Belizean Studies	18	2	The Mosquito Shore and the Bay of Honduras during the era of the American Revolution						1990				xxx	
			A	Bulmer	"B. Bulmer-Thomas, V. Bulmer-Thomas"						Tempus	4		The Origins of the Belize Settlement						2016				file:///Users/angelnavidad/Downloads/326161-Texto%20del%20art%3Fculo-119179-1-10-20161119.pdf	
			A	Camille	M. A. Camille & R. Espejo-Saavedra						Yearbook (Conference of Latin Americanist Geographers)	22		Historical Geography of the Belizean Logwood Trade						1996				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/25765830	
			A	Cave	R. Cave						Library Quarterly	46	1	Printing in Nineteenth-Century Belize						1976				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/4306599	
			A	Cave 75	R. Cave						Jamaica Journal	9	2	Printing comes to Jamaica						1975				http://ufdc.ufl.edu/UF00090030/00027	
			A	Cervera 19	A. E. Cervera Molina						Península	14	2	BELIZE AND YUCATAN THROUGH TRAVEL STORIES						2019				http://www.revistas.unam.mx/index.php/peninsula/article/view/70001	
			A	Cervera 20	A. E. Cervera Molina						Anuario de Estudios Centroamericanos	46		A BACK AND FORTH JOURNEY. DIALOGUES BETWEEN ALEJANDRO JOSEPH DE GUELLE AND JAMES COOK						2020				https://doi.org/10.15517/aeca.v46i0.45040	
			A	Contreras	A. C. Contreras Sanchez						Historia Mexicana	37	1	"El palo de tinte, motivo de un conflicto entre dos naciones"						1987				https://historiamexicana.colmex.mx/index.php/RHM/article/view/2034	
			A	Correa	"C. Correa Angulo, A. Ramírez Romero"						Anuario de Estudios Centroamericanos	46		Central American membership: Belize among neighbouring countries						2020				https://doi.org/10.15517/aeca.v46i0.45027	
			A	Dapson	"R. Dapson, C. Bain"						Biotechnic and histochemistry	90	6	"Brazilwood, sappanwood, brazilin and the red dye brazilein"						2015				http://ezp-prod1.hul.harvard.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=aph&AN=108394375&site=ehost-live&scope=site	
			A	Davis	R. Davis						Economic History Review	7	2	"English Foreign Trade, 1660-1700"						1954				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/2591619	
