C1—30 / Online collections of archival material.
ID	NO			ALT ID	AUTHORS	EDITORS			V		TITLE				CITY	COUNTRY	FIRST				LINK	
				Adams		"R. E. W. Adams, M. J. MacLeod"			3		The Cambridge History of the Native Peoples of the Americas				Cambridge	UK	1996				https://www-cambridge-org.ezp-prod1.hul.harvard.edu/core/series/cambridge-history-of-the-native-peoples-of-the-americas/4C505D0578405CDB65145628352F3B82	
				Alsedo	D. de Alsedo y Herrera				1		Piraterías y agresiones de los ingleses y de otros pueblos de Europa en la América española desde el siglo XVI al XVIII				Madrid	Spain	1883				https://www.google.com/books/edition/Pirater%C3%ADas_y_agresiones_de_los_ingleses/MasMAAAAYAAJ?hl=en&gbpv=1&printsec=frontcover	
				Alves		"A. Alves Carrara, E. Sánchez Santiró"			1		Guerra y fiscalidad en la Iberoamérica colonial				Mexico	Mexico	2012				file:///Users/angelnavidad/Downloads/Entre_la_paz_y_la_guerra_el_gasto_milita.pdf	
				Ancona	E. Ancona				5		"Historia de Yucatan, desde la època más remota hasta nuestros dias"				Merida	Mexico	1878				"Google v 2,3,4: http://nrs.harvard.edu/urn-3:HUL.FIG:003871492"	
				Bancroft	H. H. Bancroft				3		History of Central America				San Francisco	USA	1882				"Google: http://nrs.harvard.edu/urn-3:HUL.FIG:002653988
LLMC: http://id.lib.harvard.edu/alma/99154275013303941/catalog"	
				Bechtold		"T. Bechtold, R. Mussak"			1		Handbook of Natural Colorants				Chippenham	UK	2009				"file:///Users/angelnavidad/Downloads/(Wiley%20series%20in%20renewable%20resources)%20Thomas%20Bechtold,%20Rita%20Mussak%20-%20Handbook%20of%20natural%20colorants-Wiley%20(2009).pdf"	
				Bolland 1	"O. N. Bolland, A. Shoman"				1		Land in Belize 1765—1871				Kingston	Jamaica	1975				file:///Users/angelnavidad/Downloads/land_in_belize_1765-1871_bolland_and_shoman.pdf	
				Bolland 2	O. N. Bolland				1		Formation of a Colonial Society				Baltimore	USA	1977				https://archive.org/details/formationofcolon0000boll	
				Bracamonte	P. Bracamonte y Sosa				1		"La conquista inconclusa de Yucatán : los mayas de la montaña, 1560-1680"				Mexico	Mexico	2001				"file:///Users/angelnavidad/Downloads/(Peninsular_%20Estudios)%20Pedro%20Bracamonte%20y%20Sosa%20-%20La%20conquista%20inconclusa%20de%20Yucatán_%20los%20mayas%20de%20la%20montaña,%201560-1680-CIESAS%20(2001).pdf"	
				Calderon	J. A. Calderón Quijano				1		Belice 1663 (?)-1821 				Seville	Spain	1944				http://simurg.bibliotecas.csic.es/viewer/image/CSIC000048031/1/	
				Cardona	J. M. Cardona Amaya				1		Invasiones de corsarios a la Honduras de Felipe IV (1633-1643) 				Tegucigalpa	Honduras	2020				https://halshs.archives-ouvertes.fr/halshs-02540842/document	
				Chalmers	R. Chalmers				1		A History of Currency in the British Colonies				London	UK	1893				"Gale/Making Modern World: https://link.gale.com/apps/doc/U0112205310/MOME?u=camb55135&sid=MOME&xid=212bf46b&pg=1 
HathiTrust: https://hdl.handle.net/2027/uc2.ark:/13960/t12n56b7g"	
				Chamberlain	R. S. Chamberlain				1		"The conquest and colonization of Yucatan, 1517-1550"				Washington	USA	1948				https://hdl.handle.net/2027/txu.059173008409431	
				Craton	M. Craton				1		Testing the chains: resistance to slavery in the British West Indies				Ithaca	USA	1982				https://hdl-handle-net.ezp-prod1.hul.harvard.edu/2027/heb.04568	
				Dutt	R. Dutt				1		"Empire on Edge : The British Struggle for Order in Belize during Yucatan's Caste War, 1847—1901"				Cambridge	UK	2020				Intro: file:///Users/angelnavidad/Downloads/introduction.pdf	
				Dobson	N. Dobson				1		A History of Belize				London	UK	1973				xxx	
				Fancourt	C. S. J. Fancourt				1		"The history of Yucatan, from its discovery to the close of the seventeenth century"				London	UK	1854				"Gale/Sabin Americana: https://link.gale.com/apps/doc/CY0100004060/SABN?u=camb55135&sid=SABN&xid=783b6f0e&pg=1
Google: https://www.google.com/books/edition/The_History_of_Yucatan/LOTgaZN4LPYC?hl=en&gbpv=1&printsec=frontcover"	
				Fernandez	C. Fernández Duro				6		Disquisiciones nauticas				Madrid	Spain	1876				http://id.lib.harvard.edu/alma/990048821940203941/catalog	
				Forbes	S. Forbes	E. W. Williams			1		The Baymen of Belize and how they wrested British Honduras from the Spaniards				London	UK	1914				https://ufdc.ufl.edu/UF00095345/00001	
				Gerhard	P. Gerhard				1		The Southeast Frontier of New Spain				London	UK	1979				file:///Users/angelnavidad/Downloads/Peter%20Gerhard%20-%20The%20Southeast%20Frontier%20of%20New%20Spain-University%20of%20Oklahoma%20Press%20(1993).pdf	
				Gibbs	A. R. Gibbs				1		"British Honduras: an historical and descriptive account of the colony from its settlement, 1670"				London	UK	1883				"Readex/Afro-Americana: https://docs-newsbank-com.ezp-prod1.hul.harvard.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:EAIX&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=147E02AD710C6198&svc_dat=Evans:eaidoc&req_dat=B425E5B32E784515BC5AAA87BC16A340
Google: file:///Users/angelnavidad/Downloads/British_Honduras.pdf"	
				Goslinga	C. C. Goslinga				1		The Dutch in the Caribbean				Assen	Netherlands	1971				"1971 edition: file:///Users/angelnavidad/Downloads/Cornelius%20Ch.%20Goslinga%20-%20The%20Dutch%20in%20the%20Caribbean%20and%20on%20the%20Wild%20Coast%201580-1680-Koninklijke%20Van%20Gorcum%20&%20Comp.%20N.V.%20(1971).pdf
2017 edition: file:///Users/angelnavidad/Downloads/9781947372726_Goslinga.pdf"	
				Graham	E. Graham				1		Maya Christians and Their Churches in Sixteenth-Century Belize				Gainesville	USA	2011				https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/17957	
				Guatemala DNB					1		Diccionario histórico biográfico de Guatemala				Guatemala	Guatemala	2004				http://www.fundacionhcg.org/libros/dhbg/	
				Hanna	M. G. Hanna				1		"Pirate Nests and the Rise of the British Empire, 1570-1740"				Chapel Hill	USA	2015				https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/44065/	
				Haring	C. H. Haring				1		Buccaneers in the West Indies in the Seventeenth Century				London	UK	1910				http://www.gutenberg.org/ebooks/19139	
				Harris	J. D. Harris				1		A summer on the borders of the Caribbean Sea				New York	USA	1860				"Gutenberg: http://www.gutenberg.org/files/53418/53418-h/53418-h.htm
HathiTrust: https://hdl.handle.net/2027/loc.ark:/13960/t6155db19"	
				Jarvis	M. J. Jarvis				1		"In the Eye of All Trade Bermuda, Bermudians, and the Maritime Atlantic World, 1680-1783"				Williamsburg	USA	2010				https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/41104	
				Jones 1	G. D. Jones				1		Maya Resistance to Spanish Rule				Albuquerque	USA	1989				file:///Users/angelnavidad/Downloads/Grant%20D.%20Jones%20-%20Maya%20resistance%20to%20Spanish%20rule_%20Time%20and%20history%20on%20a%20colonial%20frontier-University%20of%20New%20Mexico%20Press%20(1989).pdf	
				Jones 2	G. D. Jones				1		Conquest of the Last Maya Kingdom				Stanford	USA	1998				https://hdl-handle-net.ezp-prod1.hul.harvard.edu/2027/heb.03515	
				Juarros	D. Juarros				1		Compendio de la historia de la ciudad de Guatemala				Guatemala	Guatemala	1808				https://www.google.com/books/edition/Compendio_de_la_historia_de_la_ciudad_de/Uk4CAAAAYAAJ?hl=en&gbpv=0	
				Kupperman	K. O. Kupperman				1		"Providence Island, 1630-1641: the other Puritan colony"				Cambridge	UK	1993				https://hdl-handle-net.ezp-prod1.hul.harvard.edu/2027/heb.00270	
				Lane	K. E. Lane				1		Pillaging the Empire				New York	USA	1998				file:///Users/angelnavidad/Downloads/9781315722269.pdf	
				Latimer	J. Latimer				1		Buccaneers of the Caribbean				Cambridge	USA	2009				https://doi-org.ezp-prod1.hul.harvard.edu/10.4159/9780674054172	
				MacLeod	M. J. MacLeod				1		"Spanish Central America: A Socioeconomic History, 1520–1720"				Berkeley	USA	1973				https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/45035	
