Table 1
ID	No	PART OF	LOWER START	UPPER END	NAME	DESCRIPTION	NEAR	SP	ALLY	ALLY	LIVES	HELD	MOVED	CRAFT	PROPERTY	OTHER	PRESS	CF	VIA	NOTE				
E 			17 February 1603	7 March 1603	Battle of Puerto Caballos	Pie de Palo and Diego el Mulato sack Puerto Caballos	Puerto Caballos	Capt. Juan Monasterios 2 Galleons 100 militia	Christopher Newport / Sir Michael Geare / 8 Ships 400 men									xxx	Marley p144-145					
E 			1 January 1606	28 June 1606		Buccaneers or privateers attempt twice to sack Sp galleons at Sto Tomás de Castillo	Sto. Tomás de Castillo											"Col Navarrete, XXIII, 226 ff -- a 28 jun 1606"	Goslinga p152	Figure out citation abbrev.				
E 			1 March 1624	28 February 1625	Schouten Expedition	"GWC sends Pieter Schouten to reconnoitre and raid Sp, who surveys Main and islands, and sacks and destroys Ma hamlets"	"Silán, Sisal"		GWC / Pieter Schouten 3 Ships									"ARA, WIC, OC, 1, Minutes of XIX 1623-24
de Laet/Naber, 1, 36 ff
van Wassenaer, VII, 154-55"	Goslinga p152-3	Figure out citation abbrev.				
E 			1 January 1627	16 July 1627	Lucifer Expedition	Hendrick Jacobszoon Lucifer of GWC takes some ships of Sp Hon fotilla	Bay of Hon		GWC / Hendrick Jacobszoon Lucifer / 3 Ships / later joined by 2 Yachts									"Wright/van Dam, 1, *101-3/ Cristóbal Aranda to Crown, 16 jul 1627; p171 Report by Tomás de Larraspuru 10 nov 1627, and of president of Council of Indies, Madrid, 22 nov 1627"	Goslinga p170-171	Location /via Juiz de Fora 2012 p51 				
E 			1 May 1630	25 September 1630	Booneter Expedition	Jan Gijsbertszoon Booneter of GWC takes some ships of Sp Hon flotilla	Bay of Hon		GWC / Jan Gijsbertszoon Booneter / 8 Ships / later joins fleet of Pieter Adiraenszoon Ita									"ARA, WIC, OC, Inv. St. Gen. (West Indië) 5752, 1630-34, Jun 13, 1630 
21, Chamber of Zeeland, Minutes 1629-33, Instruction of Booneter, Jun 4, 1630
ARA, WIC, OC, 2, Minutes of the XIX 1629-45. Letter of the XIX to Booneter, Sep 2, 1630
De Laet/Naber, II, 173"	Goslinga 217-224					
E 			1 January 1632	30 December 1632	Stapels Survey	GWC sends Galeyn von Stapels to survey Hon coast	"Yuc, Hon, Sp Hon"		GWC / Galeyn von Stapels / 2 Yachts									"ARA, WIC, OC, 45 -- Instructions on 14 Jun 1632"	Goslinga p225-226	"Reached Bonaire in Jul, Sacked Sisal after this"				
E 			1 January 1633	30 December 1633		"Buccaneer or privateers raid Trujillo, and then Campeche"	"Trujillo, Campeche"											"MEXICO,360 ff 1r—v — a 16 ago 1634"	Baudot p29 n15	"Campeche raided partly in order to make Maya allies per AGI item.
Exclude?"				
E 			15 July 1633	24 August 1633	Hoorn Expedition	"GWC sends Jan Janszoon van Hoorn to sack Trujillo, though he finds the town abandoned, and thereafter proceeds to Campeche to raid San Francisco"	"Trujillo, San Francisco"		GWC / Jan Janszoon van Hoorn / 4 Ships 3 Yachts 3 Sloops 518 sailors 420 soldiers									"ARA, WIC, OC, 2 -- Minutes of XIX 1629-45, 3 Nov 1632
de Laet/Naber, III, 187-96
Duro, Armada Española, IV, 115-16"	Goslinga p226	Also raids San Francisco in Bay of Campeche				
E 			1 April 1636	12 May 1636	Failed Sacking of Trujillo	"Buccaneers or privateers, with Miskito allies, attempt to raid Trujillo"	Trujillo											"GUATEMALA,16,R.2,N.13 f xxx"	"Cardona Amaya p111, 24-6"	Exclude? [no evidence of Eng or survey or camp on Hon]				
E 			1 September 1637	30 September 1637		"Crew of ship Providence under Capt. Newman, Eng privateers, chased off Utila"	Utila		Capt. Thomas Newman with ship Providence 1 Prize ship									"GUATEMALA,16,R.2,N.13 f 43-82"	"Cardona Amaya p112, p31-xxx"	"Were anchored in western coast of Utila; one ship was Sp prize of Juan Rodriguez de Olmeda; had been on voyage from Prov or Lon since Sep 36; inform at least three pirate or priv crews interested in attacking Sp Hon = Pie de Palo, Diego el Mulato, Thomas Newman /via Cardona Amaya p45"				
E 2	2	Hos 13	1 January 1638	31 December 1640	Capture of Zacatan	Buccaneers or privateers raid at least one Maya hamlet	Bennett’s or Norther River Lagoon					xxx Ma taken			Zacatan town raided			"MEXICO,250,N.1 "	Jones 89 p289 n59	"Zacatan location /via Jones 89 xv—xvii, p289
Upper End inferred as previous to Lower Start of next raids of Maya hamlets. "				
E 			12 March 1638	30 June 1638		Diego el Mulato assaults Sp craft off Sp Hon coast from Trujillo to Amatique	"Trujillo, Amatique"	Ship of Capt. Miguel de Arotigui	Diego el Mulato									"GUATEMALA,16,R.2,N.13 f 98"	"Cardona Amaya p112-4, p45-6"	xxx				
E 			1 May 1638	30 May 1638		"Buccaneers or privateers roam off Trujillo, after which a Sp prisoner of theirs escapes"	Trujillo	Velador de Punta de Castilla	2 Ships 5 Frigs									"GUATEMALA,16,R.2,N.13 f 93-6"	"Cardona Amaya p112, p47-8"	xxx				
E 			10 February 1639	10 February 1639	Sacking of Guanaja	Diego el Mulato raids and burns native hamlet on Guanaja	Guanaja		Diego el Mulato 2 Ships									"GUATEMALA,16,R.2,N.13 f 111"	"Cardona Amaya p115, p49-50"	xxx				
