Table 1
ID	NO	STYLE	YR	AUTHORS	PUBLICATION	TITLE	LINK				
			1644	J. de Laet	Leiden	Historie ...	https://hdl.handle.net/2027/mdp.39015077856105?urlappend=%3Bseq=427				
			1644	"W. Castell, B. Rudyerd"	London	A short discoverie of the coasts and continent of America	"Castell, William, et al. A short discoverie of the coasts and continent of America  from the equinoctiall northward and the adjacent isles. [s.n.], 1644. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102903240/SABN?u=camb55135&sid=SABN&xid=6db34e3d&pg=91. Accessed 19 Feb. 2021."				
			1655	"T. Gage, T. Chaloner"	London	A new survey of the West-India's	"Gage, Thomas, and Thomas Chaloner. A new survey of the West-India's, or, The English American, his travail by sea and land : containing a journal of three thousand and three hundred miles within the main land of America : wherein is set forth his voyage from Spain to St. John de Ulhua, and from thence to Zalappa, to Tlazcalla, the City of Angels, and forward to Mexico : with the description of that great city as it was in former times and also at this present : likewise, his journey from Mexico through the provinces of Guaxaca, Chiapa, Guatemala, Vera Paz, Truxillo, Comayagua, with his abode twelve years about Guatemala and especially in the Indian-towns of Mixco, Pinola, Petapa, Amatitlan : as also his strange and wonderfull conversion and calling from those remote parts to his native country : with his return through the province of Nicaragua and Costa Rica to Nicoya, Panama, Portobelo, Cartagena and Havana, with divers occurrents and dangers that did befal in the said journey : also, a new and exact discovery of the Spanish navigation to those parts and of their dominions, government, religion, forts, castles, ports, havens, commodities, fashions, behaviour of Spaniards, priests and friars, blackmores, mulatto's, mestiso's, Indians, and of their feasts and solemnities : with a grammar or some few rudiments of the Indian tongue called Poconchi, or Pocoman. 2nd ed., Printed by E. Cotes, 1655. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0103064190/SABN?u=camb55135&sid=SABN&xid=35cc20a3&pg=1. Accessed 19 Feb. 2021."				
			1662	J. Blaeu	Amsterdam	Atlas Maior	https://www.erfgoedleiden.nl/schatkamer/bladeren-door-blaeu				
			1671	J. Ogilby	London	"America, being the latest and most accurate description of the Nevv VVorld"	"Ogilby, John. America, being the latest and most accurate description of the Nevv VVorld : containing the original of the inhabitants and the remarkable voyages thither, the conquest of the vast empires of Mexico and Peru and other large provinces and territories, with the several European plantations in those parts : also their cities, fortresses, towns, temples, mountains and rivers, their habits, customs, manners and religions, their plants, beasts, birds and serpents : with an appendix, containing, besides several other considerable additions, a brief survey of what hath been discover'd of the unknown south-land and the Arctick region. Printed by the author and are to be had at his house in White Fryers, 1671. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0110106505/SABN?u=camb55135&sid=SABN&xid=af6e3093&pg=1. Accessed 19 Feb. 2021."				
			1678	A. O. Exquemeling	Amsterdam	The Pirates of Panama	https://www.gutenberg.org/dirs/2/6/6/9/26690/26690-h/26690-h.htm				
			1688	"D. L. de Cogolludo, F. de Ayeta"	Madrid	Historia de Yucathan	"López de Cogolludo, Diego, and Francisco de Ayeta. Historia de Yucathan. Jvan Garcia Infanzen, 1688. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102936949/SABN?u=camb55135&sid=SABN&xid=fbdf1b13&pg=444. Accessed 18 Feb. 2021."				
			1694	S. de Roteta	Madrid	Method of Securing the Ports and Populations of All the Coasts of the Indies	https://www.wdl.org/en/item/4393/				
		Dampier	1700	W. Dampier	London	Voyages and descriptions vol 2	http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/voyages-descriptions-three-parts-which-is-added/docview/2264207852/se-2?accountid=11311				
			1724	C. Johnson	London	General History of the Pyrates	https://www.gutenberg.org/files/40580/40580-h/40580-h.htm				
			1726	"A. B., J. Knight"	London	The state of the island of Jamaica.	https://link.gale.com/apps/doc/U0100618230/MOME?u=camb55135&sid=MOME&xid=62daebbf&pg=15				
