Series L 0—382 / Currency and exchange.
ID	NO	YR	SP $ HON TREAS	US $ HON TREAS	HON $ HON TREAS	HON £ HON TREAS	£ HON TREAS	PENCE HON TREAS	CF	NOTE	SP $ JAM MARK	J £ JAM MARK	J PENCE 78 JAM MARK	J PENCE 93 JAM MARK	£ JAM MARK	PAR JAM MARK	CF	NOTE
L 0	0	1638	"BZD	1.00"				"£	0.21"	50	McCusker									
L 1	1	1639	"BZD	1.00"				"£	0.21"	50	McCusker									
L 2	2	1640	"BZD	1.00"				"£	0.21"	50	McCusker									
L 3	3	1641	"BZD	1.00"				"£	0.21"	50	McCusker									
L 4	4	1642	"BZD	1.00"				"£	0.21"	50	McCusker									
L 5	5	1643	"BZD	1.00"				"£	0.21"	50	McCusker									
L 6	6	1644	"BZD	1.00"				"£	0.21"	50	McCusker									
L 7	7	1645	"BZD	1.00"				"£	0.21"	50	McCusker									
L 8	8	1646	"BZD	1.00"				"£	0.21"	50	McCusker									
L 9	9	1647	"BZD	1.00"				"£	0.21"	50	McCusker									
L 10	10	1648	"BZD	1.00"				"£	0.21"	50	McCusker									
L 11	11	1649	"BZD	1.00"				"£	0.21"	50	McCusker									
L 12	12	1650	"BZD	1.00"				"£	0.21"	50	McCusker									
L 13	13	1651	"BZD	1.00"				"£	0.21"	50	McCusker									
L 14	14	1652	"BZD	1.00"				"£	0.21"	50	McCusker									
L 15	15	1653	"BZD	1.00"				"£	0.21"	50	McCusker									
L 16	16	1654	"BZD	1.00"				"£	0.21"	50	McCusker									
L 17	17	1655	"BZD	1.00"				"£	0.21"	50	McCusker									
L 18	18	1656	"BZD	1.00"			"£	0.20"	"£	0.20"		McCusker		"BZD	1.00"	"£	0.20"	48	48	"£	0.20"	100	"McCusker
Chalmers"	Generally accepted value in 1600s in Jam
L 19	19	1657	"BZD	1.00"			"£	0.20"	"£	0.20"		McCusker		"BZD	1.00"	"£	0.20"	48	48	"£	0.20"	100	"McCusker
Chalmers"	Jam currency = Sterl c 1660s
L 20	20	1658	"BZD	1.00"			"£	0.20"	"£	0.20"		McCusker		"BZD	1.00"	"£	0.20"	48	48	"£	0.20"	100	"McCusker
Chalmers"	
