Series S 0—435 / Primary and secondary sources.
ID	NO	PRIMARY	TYPE	ALT ID	AUTHORS	EDITORS	PERIOD	PERIOD	VOLS	UNITS	JOURNAL	V	I	ITEM	REPOSITORY	CITY	COUNTRY	CITY	COUNTRY	FIRST PUB	LAST PUB	VIA	NOTE	LINK	
S 0	0	0	P	Adams		"R. E. W. Adams, M. J. MacLeod"			3					The Cambridge History of the Native Peoples of the Americas				Cambridge	UK	1996				https://www-cambridge-org.ezp-prod1.hul.harvard.edu/core/series/cambridge-history-of-the-native-peoples-of-the-americas/4C505D0578405CDB65145628352F3B82	
S 1	1	1	MS	Add MS			1	2019	157097	mss				Additional Manuscripts	British Library	London	UK					BL Catalogue	"PERIOD = 1 set arbitrarily / couple Add MS dated BCE /BL Catalogue, Link: http://searcharchives.bl.uk/primo_library/libweb/action/search.do?vid=IAMS_VU2"		
S 2	2	1	MS	ADM d/d			1205	1998	363	series				"Records of the Admiralty, Naval Forces, Royal Marines, Coastguard, and related bodies"	National Archives	Kew	UK					TNA Kew Catalogue			
S 3	3	1	MS	"AGCA, a"			1544	1821	xxx						Archivo General de Centro América	Guatemala	Guatemala						"Microfilm copy by Ross Publishing LLC, New York, NY, USA Link: https://www.rosspub.com/guatemalaenglishbrochure.htm "		
S 4	4	1	MS	"AGN Mex, Historia, d"			1616	1880	597	vols				"V Colecciones y documentos, 257 Historia"	Archivo General de la Nación	Mexico	Mexico					AGN Mexico Guía	AGN Mexico Guía Link: https://archivos.gob.mx/GuiaGeneral/GuiaGeneral.html 		
S 5	5	1	MS	"AGN Mex, Reales Cédulas, d"			1520	1820	447	vols				"I Documentación de las instituciones coloniales, 100 Reales Cédulas"	Archivo General de la Nación	Mexico	Mexico					AGN Mexico Guía			
S 6	6	1	P	AHA 1898			xxx		1					Annual report of the American Historical Association for the year 1898				Washington	USA	1899	1899	Readex / US Congressional Serial Set		https://docs-newsbank-com.ezp-prod1.hul.harvard.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:SERIAL&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=113940A2F120EB68&svc_dat=Digital:ssetdoc&req_dat=B425E5B32E784515BC5AAA87BC16A340	
S 7	7	1	P	Aitzema			xxx		6					Saken van staet en oorlogh in ende omtrent de Vereenigde Nederlanden				Hague	Netherlands	1669	1672	Goslinga			
S 8	8	0	A	Allen	B. Allen						Journal of the Royal Geographical Society	11		"Sketch of the Eastern Coast of Central America, Compiled from Notes of Captain Richard Owen and the Officers of Her Majesty's Ship Thunder, and Schooner Lark"						1841				https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/WJSWUN066496772/NCCO?u=camb55135&sid=NCCO&xid=3aaff7ff	
S 9	9	0	P	Alsedo	D. de Alsedo y Herrera				1					Piraterías y agresiones de los ingleses y de otros pueblos de Europa en la América española desde el siglo XVI al XVIII				Madrid	Spain	1883				https://www.google.com/books/edition/Pirater%C3%ADas_y_agresiones_de_los_ingleses/MasMAAAAYAAJ?hl=en&gbpv=1&printsec=frontcover	
S 10	10	0	P	Alves		"A. Alves Carrara, E. Sánchez Santiró"			1					Guerra y fiscalidad en la Iberoamérica colonial				Mexico	Mexico	2012				file:///Users/angelnavidad/Downloads/Entre_la_paz_y_la_guerra_el_gasto_milita.pdf	
S 11	11	0	P	Ancona	E. Ancona				5					"Historia de Yucatan, desde la època más remota hasta nuestros dias"				Merida	Mexico	1878				"Google v 2,3,4: http://nrs.harvard.edu/urn-3:HUL.FIG:003871492"	
S 12	12	1	S	Ann Reg			1758	2021	263					The Annual Register				London	UK	1758	2021			"To 1799: https://access-newspaperarchive-com.ezp-prod1.hul.harvard.edu/browse/uk/middlesex/london/london-annual-register/
To 1830: http://nrs.harvard.edu/urn-3:HUL.FIG:000796411"	
S 13	13	1	MS	ANOM			xxx		xxx						Archives Nationales d'Outre-Mer	Aix-en-Provence	France								
S 14	14	0	MS	Antochiw	M. Antochiw									ALEJANDRO JOSEPH DE GUELLE						2004				http://observatoriogeograficoamericalatina.org.mx/egal9/Geografiasocioeconomica/Geografiacultural/10.pdf	
S 15	15	1	P	APC Col			1613	1783	6					Act of the Privy Council of England : colonial series				London	UK	1908	1912	Burdon 1		http://id.lib.harvard.edu/alma/99154274911603941/catalog	
S 16	16	1	P	Armstrong			xxx		1					"A candid examination of ""The defense of the settlers of Honduras"" : or, A fair inquiry into the truth and justice of their accusations against Colonel George Arthur, late Superintendent of that settlement"				London	UK	1824	1824		Printed for J. Butterworth and son	https://link.gale.com/apps/doc/U0107412823/MOME?u=camb55135&sid=MOME&xid=ace432cc	
S 17	17	1	P	Ashton			xxx		1					"Ashton's memorial : An history of the strange adventures, and signal deliverances, of Mr. Philip Ashton, who, after he had made his escape from the pirates, liv'd alone on a desolate island for about sixteen months, &c. : With a short account of Mr. Nicholas Merritt, who was taken at the same time. : To which is added a sermon on Dan. 3. 17."				London	UK	1725	1725			https://docs-newsbank-com.ezp-prod1.hul.harvard.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:EAIX&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=0F2F82DC25AC64D8&svc_dat=Evans:eaidoc&req_dat=B425E5B32E784515BC5AAA87BC16A340	
S 18	18	1	P	Atkins			xxx		1					"Voyage to Guinea, Brazil and the West Indies in HMS Swallow and Weymouth"				London	UK	1735	1735			https://archive.org/details/voyagetoguineabr00atki	
S 19	19	0	A	Awe	"J. J. Awe, C. Helmke"						Ethnohistory	62	2	The Sword and the Olive Jar: Material Evidence of Seventeenth-Century Maya-European Interaction in Central Belize						2015				https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00141801-2854369	
S 20	20	0	P	Bancroft	H. H. Bancroft				3					History of Central America				San Francisco	USA	1882				"Google: http://nrs.harvard.edu/urn-3:HUL.FIG:002653988
LLMC: http://id.lib.harvard.edu/alma/99154275013303941/catalog"	
S 21	21	0	A	Barbour	V. Barbour						American Historical Review	16	3	Privateers and Pirates of the West Indies						1911				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/1834836	
S 22	22	0	T	Barke 12	G. Vasquez Barke									BACALAR EN EL SIGLO XVII						2012				http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/761	
S 23	23	0	T	Barke 16	G. Vasquez Barke									Los poderes y los hombres						2016				http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/336	
S 24	24	1	P	Barlaeus			xxx		1					"Rerum per octennium in Brasilia et alibi nuper gestarum sub praefectura J. Mauritii, Nassoviae, 1647"				Amsterdam	Netherlands	1647	1647	Goslinga	"Barlaeus/Naber = Trans. and ed. S. P. l'Honoré Naber, Kaspar van Baerle. Nederlandsch Brazilië onder het bewind van Johan Maurits, grave van Nassau. 's-Gravenhage, 1923."	https://gallica.bnf.fr/ark:/12148/btv1b8556547p	
S 25	25	0	A	Baudot	G. Baudot						Cahiers du monde hispanique et luso-brésilien	46		Dissidences indiennes et complicités flibustières dans le Yucatán du XVII e siècle						1986				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/40852876	
S 26	26	0	P	Bechtold		"T. Bechtold, R. Mussak"			1					Handbook of Natural Colorants				Chippenham	UK	2009				"file:///Users/angelnavidad/Downloads/(Wiley%20series%20in%20renewable%20resources)%20Thomas%20Bechtold,%20Rita%20Mussak%20-%20Handbook%20of%20natural%20colorants-Wiley%20(2009).pdf"	
