Series F 0—170 / Public Finances.
ID	NO	YR	REV	EXP	LOAN EXP	DEBT	CF	NOTE	REV	EXP	LOAN EXP	DEBT	CF	NOTE	END	
F 0	0	1800	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 1	1	1801	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 2	2	1802	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 3	3	1803	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 4	4	1804	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 5	5	1805	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 6	6	1806	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 7	7	1807	"£	7,566"	"£	8,291"	xnp	xnp	Martin 140–141	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 8	8	1808	"£	6,005"	"£	5,170"	xnp	xnp	Martin 140–141	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 9	9	1809	"£	6,829"	"£	6,066"	xnp	xnp	Martin 140–141	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 10	10	1810	"£	9,523"	"£	9,604"	xnp	xnp	Martin 140–141	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 11	11	1811	"£	8,643"	"£	8,981"	xnp	xnp	Martin 140–141	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 12	12	1812	"£	6,590"	"£	6,312"	xnp	xnp	Martin 140–141	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 13	13	1813	"£	5,438"	"£	5,548"	xnp	xnp	Martin 140–141	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 14	14	1814	"£	5,474"	"£	5,629"	xnp	xnp	Martin 140–141	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 15	15	1815	"£	12,944"	"£	12,527"	xnp	xnp	Martin 140–141	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 16	16	1816	"£	10,672"	"£	9,276"	xnp	xnp	Martin 140–141	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 17	17	1817	"£	8,168"	"£	8,838"	xnp	xnp	Martin 140–141	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 18	18	1818	"£	16,501"	"£	18,193"	xnp	xnp	Martin 140–141	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 19	19	1819	"£	15,967"	"£	16,896"	xnp	xnp	Martin 140–141	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 20	20	1820	"£	17,249"	"£	17,266"	xnp	xnp	Martin 140–141	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
