Series S 0—421 / Primary sources which are deposited series or collections.
ID	NO	PRIM	COLL	TYPE	ALT ID	CITED	PERIOD	PERIOD	SIZE	UNITS	ITEM	REPOSITORY	CITY	COUNTRY	IMPRINT	CITY	COUNTRY	FIRST PUB	LAST PUB	AUTHORS	EDITORS	JOURNAL	V	I	VIA	NOTE	LINK	END	
S 41	41	1	1	MS	ANOM	5	xxx	xxx	xxx	xxx	xnp	Archives Nationales d'Outre-Mer	Aix-en-Provence	France	np	np	np	np	np	np	np	np	np	np	xnp	xnp	xnp	###	
S 187	187	1	1	MS	xxx	0	1808	1964	15.75	feet	"Hugh Hammond Bennett papers, 1808-1964, undated"	Iowa State University	Ames	USA	np	np	np	np	np	np	np	np	np	np	xnp	ISU Aid: https://isuarchives.cuadra.com/star/findingaids/ms-0164.xml	xnp	###	
S 353	353	1	1	MS	xxx	0	1679	1981	xxx	xxx	735 Inventaris van het Archief van de Firma Hope & Co. met verwante archiefvormers	Stadsarchief Amsterdam	Amsterdam	Netherlands	np	np	np	np	np	np	np	np	np	np	xnp	https://archief.amsterdam/inventarissen/details/735/keywords/Hope%20en%20Co./withscans/0/start/0/limit/10/flimit/5	xnp	###	
S 377	377	1	1	MS	xxx	0	1660	1804	9.5	feet	"Charles Townshend papers (1660-1804, bulk 1748-1767)"	University of Michigan	Ann Arbor	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://quod.lib.umich.edu/c/clementsead/umich-wcl-M-1773tow?view=text	xnp	###	
S 385	385	1	1	MS	"U Tex Lib, G19-d"	1	1500	1920	xxx	xxx	Nettie Lee Benson Latin American Collection	University of Texas	Austin	USA	np	np	np	np	np	np	np	np	np	np	"C. E. Castañeda, J. A. Dabbs, Guide, Cambridge 1939, Link: https://hdl.handle.net/2027/mdp.39015034712904 "	https://www.lib.utexas.edu/about/locations/benson	xnp	###	
S 387	387	1	1	MS	xxx	0	1848	1906	0.77	feet	"Dashiell, Jeremiah Yellot, papers"	University of Texas	Austin	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://legacy.lib.utexas.edu/taro/utcah/01833/cah-01833.html	xnp	###	
S 391	391	1	1	MS	xxx	0	1808	1821	23	items	Louis-Michel Aury Papers	University of Texas	Austin	USA	np	np	np	np	np	np	np	np	np	np	xnp	http://legacy.lib.utexas.edu/taro/utcah/00809/cah-00809.html	xnp	###	
S 389	389	1	1	MS	xxx	0	1874	1988	11	feet	Helen Madora Bisbee Papers	University of Texas	Austin	USA	np	np	np	np	np	np	np	np	np	np	xnp	http://legacy.lib.utexas.edu/taro/ttusw/00146/tsw-00146.html	xnp	###	
S 213	213	1	1	MS	xxx	0	1832	1890	104	items	Samuel McCutchon papers	Louisiana State University	Baton Rouge	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://www.lib.lsu.edu/sites/default/files/sc/findaid/1049m.pdf	xnp	###	
S 211	211	1	1	MS	xxx	0	1700	1721	1	vols	"Council of Trade and Plantations letter book, Mss. 680"	Louisiana State University	Baton Rouge	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://lsu.ent.sirsi.net/client/en_US/lsu/search/detailnonmodal/ent:$002f$002fSD_LSU$002f0$002fSD_LSU:1254833/one	xnp	###	
S 89	89	1	1	MS	xxx	0	1657	1853	xxx	xxx	Wrest Park (Lucas) Manuscripts	Bedfordshire Archives & Records Service	Bedford	UK	np	np	np	np	np	np	np	np	np	np	xnp	TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/2b8f4b12-252e-49d8-b1ae-3cace3bf6145	xnp	###	
