Series O xxx / Settlements present or established post-Columbus.
ID	NO	NAME	EXC	NAMES	DESC	LAT	LON	VIA	LAT	LON	VIA	UPPER EST	LOWER END	CF	VIA	NOTE	END	
		Baltok	0						17.13	-89.06	Jones 1 xvi				Jones 1 xvi			
		Barcadares	1												xxx			
		Belize	0												xxx			
		Boxelac	0			17.37	-88.74	Graham 241							Graham 241			
		Campin	0						16.37	-88.51	Jones 1 xv				Jones 1 xv			
		Chanlacan	0		On or near Progresso Lagoon /v Jones 1 283–284	18.24	-88.41	Graham 53	18.25	-88.38	Jones 1 xv		30 Dec 1654		Graham 53 / Jones 1 xv	"See Jaime Awe, John Morris, Sherilyne Jones, Christophe Helmke, Archaeological Investigations in the Eastern Maya Lowlands: Papers of the 2004 Belize Archaeology Symposium [Belmopan, NICH, 2005], 223–230 /v Graham 199"		
		Chantome	0						17.29	-88.79	Jones 1 xvi				Jones 1 xvi			
		Chetumal	1	"Chactumal, Chetemal, Chitemal, Villa Real de Chetumal, Santa Rita Corozal, Corozal T, Corosal T"	2 t 3 [Sp naut] leagues N or S fm mouth of Hondo /v Jones 1 280–281	18.41	-88.38	Graham 53	18.41	-88.38	Jones 1 xvi				Graham 53 / Jones 1 xvi	"Location likely != Santa Rita Corozal, rather Ichpaatun–Oxtancah–San Manuel [archaeological] complex [opp Tamalcab Isl, sev km N of Calderitas, Q. Roo, Mexico] /Jones 1 280–281 /// Location = 3 [Sp naut] leagues N or S of mouth of Hondo ie site of an estancia of a Bacalar vecino in 1618 [= date of Fr Bartolomé Fuensalida + Alcalde ordinario of Bacalar journey via Bacalar–Hondo R–New R–Old R–Macal R to Tipu] /v Jones 1 281–282 /Cogolludo lib 9 cap 6 /// Location possibly or likely = Santa Rita Corozal, eg Diane Z. Chase, Archaeology 34(sn), ""The Maya Postclassic at Santa Rita Corozal"" [1981], 25–33 / Grant D. Jones, Belcast Journal of Belizean Affairs 1(1), ""Maya-Spanish Relations in Sixteenth Century Belize"" [1984], 30-31 /v Jones 1 282 / Ueli Hostettler & Matthew Restall, Maya Survivalism [Markt Schwaben, Verlag Anton Saurwein, 2001], 37–50 /v Graham 130"		
		Chinam	0						18.46	-88.70	Jones 1 xvi				Jones 1 xvi	"Possibly see mention of ""chinamitas"" near Tipu in Avendaño 1695–1696 Hon map in Newb Lib Ayer MS 1040 = Aliphat 863 /v Aliphat 864"		
		Chunukum	0		"S of Lucu, on Old R /v Jones 1 288"				17.35	-88.70	Jones 1 xvi				Jones 1 xvi			
