Table 1
	fm SWI	Cf	fm Hon	Cf				
1680								
1681								
1682								
1683								
1684								
1685								
1686								
1687								
1688								
1689								
1690								
1691								
1692								
1693								
1694								
1695								
1696								
1697		Cust 3/81		Cust 3/81				
1698		Cust 3/1		Cust 3/1				
1699		Cust 3/3		Cust 3/3				
1700		Cust 3/4		Cust 3/4				
1701		Cust 3/5		Cust 3/5				
1702		Cust 3/6		Cust 3/6				
1703		Cust 3/7		Cust 3/7				
1704		Cust 3/8		Cust 3/8				
1705								
1706		Cust 3/9		Cust 3/9				
1707		Cust 3/10		Cust 3/10				
1708		Cust 3/11		Cust 3/11				
1709		Cust 3/12		Cust 3/12				
1710		Cust 3/13		Cust 3/13				
1711		Cust 3/14		Cust 3/14				
1712								
1713		Cust 3/15		Cust 3/15				
1714		Cust 3/16		Cust 3/16				
1715		Cust 3/17		Cust 3/17				
1716		Cust 3/18		Cust 3/18				
1717	"£	163,219.06"	Cust 3/19		Cust 3/19				
1718	"£	73,071.28"	Cust 3/20		Cust 3/20				
1719	"£	18,417.49"	Cust 3/21		Cust 3/21				
1720		Cust 3/22		Cust 3/22				
1721	"£	1,012.10"	Cust 3/23		Cust 3/23				
1722	"£	8,125.00"	Cust 3/24		Cust 3/24				
1723	"£	6,013.26"	Cust 3/25		Cust 3/25				
1724	"£	156,083.45"	Cust 3/26		Cust 3/26				
1725	"£	20,136.04"	Cust 3/27		Cust 3/27				
1726	"£	45,902.43"	Cust 3/28B		Cust 3/28B				
1727	"£	42,050.53"	Cust 3/82		Cust 3/82				
1728								
1729	"£	1,024.39"	Cust 3/29		Cust 3/29				
1730	"£	125,956.78"	Cust 3/30		Cust 3/30				
1731	"£	147,958.80"	Cust 3/31		Cust 3/31				
1732	"£	51,543.42"	Cust 3/32		Cust 3/32				
1733	"£	11,608.89"	Cust 3/33		Cust 3/33				
1734	"£	25,629.12"	Cust 3/34		Cust 3/34				
1735	"£	16,989.78"	Cust 3/35		Cust 3/35				
1736	"£	4,037.76"	Cust 3/36		Cust 3/36				
1737	"£	1,695.56"	Cust 3/37		Cust 3/37				
1738	"£	3,432.50"	Cust 3/38		Cust 3/38				
1739	"£	62,914.55"	Cust 3/39		Cust 3/39				
1740	"£	202.44"	Cust 3/40		Cust 3/40				
1741	"£	2,519.15"	Cust 3/41		Cust 3/41				
1742		Cust 3/42		Cust 3/42				
1743		Cust 3/43		Cust 3/43				
1744		Cust 3/44		Cust 3/44				
1745		Cust 3/45		Cust 3/45				
1746		Cust 3/46		Cust 3/46				
1747		Cust 3/47		Cust 3/47				
1748		Cust 3/48		Cust 3/48				
1749		Cust 3/49		Cust 3/49				
1750		Cust 3/50		Cust 3/50				
1751		Cust 3/51		Cust 3/51				
1752		Cust 3/52		Cust 3/52				
1753		Cust 3/53		Cust 3/53				
1754		Cust 3/54		Cust 3/54				
1755		Cust 3/55		Cust 3/55				
1756		Cust 3/56		Cust 3/56				
1757		Cust 3/57		Cust 3/57				
1758		Cust 3/58		Cust 3/58				
1759		Cust 3/59		Cust 3/59				
1760		Cust 3/60		Cust 3/60				
1761		Cust 3/61		Cust 3/61				
1762		Cust 3/62		Cust 3/62				
1763		Cust 3/63		Cust 3/63				
1764	"£	9,398.56"	Cust 3/64		Cust 3/64				
1765	"£	11,874.28"	Cust 3/65		Cust 3/65				
1766	"£	11,601.13"	Cust 3/66	"£	11,601.13"	Cust 3/66				
1767	"£	15,611.41"	Cust 3/67	"£	15,611.41"	Cust 3/67				
1768	"£	34,633.40"	Cust 3/68	"£	34,633.40"	Cust 3/68				
1769	"£	81,494.13"	Cust 3/69	"£	7,456.50"	Cust 3/69				
1770	"£	87,256.96"	Cust 3/70	"£	85,659.36"	Cust 3/70				
1771	"£	39,363.04"	Cust 3/71	"£	34,087.48"	Cust 3/71				
1772	"£	66,659.84"	Cust 3/72	"£	51,079.69"	Cust 3/72				
1773	"£	35,941.28"	Cust 3/73	"£	21,377.69"	Cust 3/73				
1774	"£	33,948.46"	Cust 3/74	"£	25,253.98"	Cust 3/74				
1775	"£	51,030.24"	Cust 3/75	"£	43,180.32"	Cust 3/75				
1776	"£	33,476.25"	Cust 3/76	"£	30,007.45"	Cust 3/76				
1777	"£	33,026.69"	Cust 3/77	"£	27,744.38"	Cust 3/77				
1778	"£	50,624.68"	Cust 3/78	"£	44,003.70"	Cust 3/78				
1779	"£	10,738.69"	Cust 3/79	"£	10,690.08"	Cust 3/79				
1780	"£	1,541.20"	Cust 3/80	"£	14.05"	Cust 3/80				
1781		Cust 17/7		Cust 17/7				
1782		Cust 17/7		Cust 17/7				
1783		Cust 17/8		Cust 17/8				
1784		Cust 17/8		Cust 17/8				
1785		Cust 17/9		Cust 17/9				
1786		Cust 17/9		Cust 17/9				
1787		Cust 17/10		Cust 17/10				
1788		Cust 17/10		Cust 17/10				
1789		Cust 17/11		Cust 17/11				
1790		Just 17/12		Just 17/12				
