Table 1
	Cf	Jam Qs	H to J	Sum J	Ratio	Cf	Bos Qs	H to B	Sum B	Ratio	Cf	NYC Qs	H to N	Sum N	Ratio	Sum
1680																
1681																
1682																
1683	CO 142/13	1.0	0	0												
1684	CO 142/13	1.0	300	300	1.00											
1685	CO 142/13	1.0	40	40	1.00											
1686	CO 142/13	4.0	20	222	0.09											
1687	CO 142/13	4.0	75	141	0.53											
1688	CO 142/13	4.0	420	881	0.48											
1689	CO 142/13	4.0	80	520	0.15											
1690	CO 142/13	4.0	20	160	0.13											
1691	CO 142/13	4.0	0	0												
1692	CO 142/13	1.0	30	30	1.00											
1693																
1694																
1695																
1696																
1697																
1698																
1699																
1700																
1701																
1702																
1703																
1704																
1705																
1706																
1707																
1708																
1709	CO 142/14	3.0	144	322	0.45											
1710	CO 142/14	4.0	146	372	0.39											
1711	CO 142/14	3.0	0	239	0.00											
1712	CO 142/14	3.0	0	0												
1713	CO 142/14	4.0	0	0												
1714						CO 5/848	4.0	0	"1,434"	0.00						0.00
1715						CO 5/848	4.0	0	969	0.00	CO 5/1222	2.0	0	440	0.00	440.00
1716						CO 5/848	4.0	0	275	0.00	CO 5/1222	4.0	0	127	0.00	127.00
1717						CO 5/848	2.0	0	60	0.00	CO 5/1222	4.0	4	60	0.07	60.00
1718	CO 142/14	3.0	0	45	0.00	CO 5/848	1.5	0	0		CO 5/1222	4.0	0	14	0.00	13.50
1719	CO 142/14	4.0	40	40	1.00	CO 5/848	2.5	0	0		CO 5/1222	4.0	0	60	0.00	100.00
1720	CO 142/14	2.0	35	35	1.00						CO 5/1222	4.0	0	12	0.00	47.00
1721	CO 142/14	1.0	0	0							CO 5/1222	4.0	76	92	0.83	92.00
1722											CO 5/1222-3	4.0	145	266	0.55	266.00
1723											CO 5/1223	4.0	155	223	0.70	223.00
1724											CO 5/1223	4.0	70	125	0.56	125.00
1725											CO 5/1223	3.0	0	15	0.00	15.00
1726																
1727	CO 142/15	1.0	40	40	1.00											
1728	CO 142/15	2.0	"1,200"	"1,240"	0.97											
1729	CO 142/15	4.0	88	88	1.00											
1730	CO 142/15	1.0	193	275	0.70											
1731																
1732																
1733																
1734																
1735																
1736																
1737																
1738																
1739																
1740																
1741																
1742	CO 142/15	1.0	155	155	1.00											
1743	CO 142/15	3.0	309	356	0.87											
1744	CO 142/15	3.8	35	285	0.12											
1745	CO 142/15	3.0	0	0												
1746	CO 142/15	1.0	0	60	0.00											
1747	CO 142/15	2.5	0	79	0.00											
1748	CO 142/15	2.0	0	0												
1749																
1750																
1751																
1752	CO 142/15	4.0	"1,058"	"1,063"	1.00	CO 5/849	1.0	0	0							1057.50
1753	CO 142/15	3.0	300	300	1.00	CO 5/849	4.0	325	335	0.97						625.00
1754						CO 5/849	4.0	538	538	1.00						538.00
1755						CO 5/849	4.0	0	52	0.00						0.00
1756						CO 5/849	3.5	465	650	0.72						465.00
1757																
1758																
1759																
1760																
1761																
1762						CO 5/850	3.5	0	0							
1763						CO 5/850	4.0	0	0							
1764						CO 5/850	2.5	0	0							
1765																
1766																
1767																
1768																
1769																
1770																
