Table 1
	Treasury Hon								Market Jam					Treasury + Market Jam							
	$	US$	£	L	s	d	Cf	N	$	£	L	s	d	JL	Js	Jd	L	s	d	Cf	N
1670	"BZD	1.00"		"£	0.20"	0	4	0			"BZD	1.00"	"£	0.20"	0	4	0								
1671	"BZD	1.00"		"£	0.20"	0	4	0			"BZD	1.00"	"£	0.20"	0	4	0							Chalmers 1893 p 99	"> 21 Dec; by Order of Gov of Jam, de jure rate fixed at Sp silver $ 1 = 0.5.0 Sterl"
1672	"BZD	1.00"		"£	0.20"	0	4	0			"BZD	1.00"	"£	0.20"	0	4	0								
1673	"BZD	1.00"		"£	0.20"	0	4	0			"BZD	1.00"	"£	0.20"	0	4	0								
1674	"BZD	1.00"		"£	0.20"	0	4	0			"BZD	1.00"	"£	0.20"	0	4	0								
1675	"BZD	1.00"		"£	0.20"	0	4	0			"BZD	1.00"	"£	0.20"	0	4	0								
1676	"BZD	1.00"		"£	0.20"	0	4	0			"BZD	1.00"	"£	0.20"	0	4	0								
1677	"BZD	1.00"		"£	0.20"	0	4	0			"BZD	1.00"	"£	0.20"	0	4	0								
1678	"BZD	1.00"		"£	0.20"	0	4	0			"BZD	1.00"	"£	0.20"	0	4	0								
1679	"BZD	1.00"		"£	0.20"	0	4	0			"BZD	1.00"	"£	0.20"	0	4	0								
1680	"BZD	1.00"		"£	0.20"	0	4	0			"BZD	1.00"	"£	0.20"	0	4	0							Chalmers 1893 p 97	
1681	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0							Chalmers 1893 p 99	> 23 Feb; by Act; de jure rate Sp silver $ 1 = 0.5.0 Sterl
1682	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0								
1683	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0								
1684	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0								
1685	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0								
1686	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0								
1687	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0								
1688	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0								
1689	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0								
1690	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0								
1691	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0								
1692	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0								
1693	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0								
1694	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0								
1695	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0								
1696	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0								
1697	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0								
1698	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0								
1699	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0								
1700	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0								
1701	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0								
1702	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0								
1703	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0								
1704	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0							Chalmers 1893 p 100	WI inc Jam put on gold std by Queen Anne on 18 Jun 1704
1705	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0								
1706	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0								
1707	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0								
1708	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0								
1709	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0								
1710	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0								
1711	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0								
1712	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0								
1713	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0								
1714	"BZD	1.00"		"£	0.25"	0	5	0			"BZD	1.00"	"£	0.25"	0	5	0								
1715	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3							Chalmers 1893 p 100	1707 < change from 5s to 6s 3p < 1722; so set at midpoint
1716	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1717	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1718	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1719	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1720	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1721	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1722	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1723	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1724	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1725	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1726	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1727	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1728	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1729	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1730	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1731	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1732	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1733	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1734	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1735	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1736	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1737	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1738	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1739	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1740	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1741	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1742	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1743	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1744	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1745	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1746	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1747	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1748	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1749	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1750	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1751	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1752	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1753	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1754	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1755	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1756	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1757	"BZD	1.00"		"£	0.31"	0	6	3			"BZD	1.00"	"£	0.31"	0	6	3								
1758	"BZD	1.00"		"£	0.33"	0	6	6			"BZD	1.00"	"£	0.33"	0	6	6							Chalmers 1893 p 104	"> 11 Nov; by Act, legally set at Sp silver $ 1 = 6s 8d"
1759	"BZD	1.00"		"£	0.33"	0	6	6			"BZD	1.00"	"£	0.33"	0	6	6								
1760	"BZD	1.00"		"£	0.33"	0	6	6			"BZD	1.00"	"£	0.33"	0	6	6								
1761	"BZD	1.00"		"£	0.33"	0	6	6			"BZD	1.00"	"£	0.33"	0	6	6								
1762	"BZD	1.00"		"£	0.33"	0	6	6			"BZD	1.00"	"£	0.33"	0	6	6								
1763	"BZD	1.00"		"£	0.33"	0	6	6			"BZD	1.00"	"£	0.33"	0	6	6								
1764	"BZD	1.00"		"£	0.33"	0	6	6			"BZD	1.00"	"£	0.33"	0	6	6								
1765	"BZD	1.00"		"£	0.33"	0	6	6	Chalmers 1893 p 139	"Accts in Jamaica currency, inferred from Burnaby’s Code"	"BZD	1.00"	"£	0.33"	0	6	6								
1766	"BZD	1.00"		"£	0.33"	0	6	6			"BZD	1.00"	"£	0.33"	0	6	6								
1767	"BZD	1.00"		"£	0.33"	0	6	6			"BZD	1.00"	"£	0.33"	0	6	6								
1768	"BZD	1.00"		"£	0.33"	0	6	6			"BZD	1.00"	"£	0.33"	0	6	6								
1769	"BZD	1.00"		"£	0.33"	0	6	6			"BZD	1.00"	"£	0.33"	0	6	6								
1770	"BZD	1.00"		"£	0.33"	0	6	6			"BZD	1.00"	"£	0.33"	0	6	6								
1771	"BZD	1.00"		"£	0.33"	0	6	6			"BZD	1.00"	"£	0.33"	0	6	6								
1772	"BZD	1.00"		"£	0.33"	0	6	6			"BZD	1.00"	"£	0.33"	0	6	6								
1773	"BZD	1.00"		"£	0.33"	0	6	6			"BZD	1.00"	"£	0.33"	0	6	6							Chalmers 1893 p 105	"> 31 Dec, Act had effect of increasing FX “soon after”"
1774	"BZD	1.00"		"£	0.33"	0	6	8			"BZD	1.00"	"£	0.33"	0	6	8							Chalmers 1893 p 107	
1775	"BZD	1.00"		"£	0.33"	0	6	8			"BZD	1.00"	"£	0.33"	0	6	8								
1776	"BZD	1.00"		"£	0.33"	0	6	8			"BZD	1.00"	"£	0.33"	0	6	8								
1777	"BZD	1.00"		"£	0.33"	0	6	8			"BZD	1.00"	"£	0.33"	0	6	8								
1778	"BZD	1.00"		"£	0.33"	0	6	8			"BZD	1.00"	"£	0.33"	0	6	8								
1779	"BZD	1.00"		"£	0.33"	0	6	8			"BZD	1.00"	"£	0.33"	0	6	8								
1780	"BZD	1.00"		"£	0.33"	0	6	8			"BZD	1.00"	"£	0.33"	0	6	8								
1781	"BZD	1.00"		"£	0.33"	0	6	8			"BZD	1.00"	"£	0.33"	0	6	8								
1782	"BZD	1.00"		"£	0.33"	0	6	8			"BZD	1.00"	"£	0.33"	0	6	8								
1783	"BZD	1.00"		"£	0.33"	0	6	8			"BZD	1.00"	"£	0.33"	0	6	8								
1784	"BZD	1.00"		"£	0.33"	0	6	8	Chalmers 1893 p 140	Accts only in Jamaica currency > 12 Jun; Chalmers 1893 p 140	"BZD	1.00"	"£	0.33"	0	6	8								
1785	"BZD	1.00"		"£	0.33"	0	6	8			"BZD	1.00"	"£	0.33"	0	6	8								
1786	"BZD	1.00"		"£	0.33"	0	6	8			"BZD	1.00"	"£	0.33"	0	6	8								
1787	"BZD	1.00"		"£	0.33"	0	6	8			"BZD	1.00"	"£	0.33"	0	6	8								
1788	"BZD	1.00"		"£	0.33"	0	6	8			"BZD	1.00"	"£	0.33"	0	6	8								
1789	"BZD	1.00"		"£	0.33"	0	6	8			"BZD	1.00"	"£	0.33"	0	6	8								
1790	"BZD	1.00"		"£	0.33"	0	6	8			"BZD	1.00"	"£	0.33"	0	6	8								
1791	"BZD	1.00"		"£	0.33"	0	6	8			"BZD	1.00"	"£	0.33"	0	6	8								
1792	"BZD	1.00"		"£	0.33"	0	6	8			"BZD	1.00"	"£	0.33"	0	6	8								
1793	"BZD	1.00"		"£	0.33"	0	6	8			"BZD	1.00"	"£	0.33"	0	6	8								
1794	"BZD	1.00"		"£	0.33"	0	6	8			"BZD	1.00"	"£	0.33"	0	6	8								
1795	"BZD	1.00"		"£	0.33"	0	6	8			"BZD	1.00"	"£	0.33"	0	6	8								
1796	"BZD	1.00"		"£	0.33"	0	6	8			"BZD	1.00"	"£	0.33"	0	6	8								
1797	"BZD	1.00"		"£	0.33"	0	6	8			"BZD	1.00"	"£	0.33"	0	6	8								
1798	"BZD	1.00"		"£	0.33"	0	6	8			"BZD	1.00"	"£	0.33"	0	6	8								
1799	"BZD	1.00"		"£	0.33"	0	6	8			"BZD	1.00"	"£	0.33"	0	6	8								
1800	"BZD	1.00"		"£	0.33"	0	6	8			"BZD	1.00"	"£	0.33"	0	6	8								
1801	"BZD	1.00"		"£	0.33"	0	6	8			"BZD	1.00"	"£	0.33"	0	6	8								
1802	"BZD	1.00"		"£	0.33"	0	6	8			"BZD	1.00"	"£	0.33"	0	6	8								
1803	"BZD	1.00"		"£	0.33"	0	6	8			"BZD	1.00"	"£	0.33"	0	6	8								
1804	"BZD	1.00"		"£	0.33"	0	6	8			"BZD	1.00"	"£	0.33"	0	6	8								
1805	"BZD	1.00"		"£	0.33"	0	6	8			"BZD	1.00"	"£	0.33"	0	6	8								
1806	"BZD	1.00"		"£	0.33"	0	6	8			"BZD	1.00"	"£	0.33"	0	6	8								
