Table 1
	Rev	Exp	Exp Ln	Debt	Cf	N	Rev	Exp	Exp Ln	Debt	Cf	Note	
1800													
1801													
1802													
1803													
1804													
1805													
1806													
1807	"£	7,566"	"£	8,291"			Martin 1839 p 140-1								
1808	"£	6,005"	"£	5,170"			Martin 1839 p 140-1								
1809	"£	6,829"	"£	6,066"			Martin 1839 p 140-1								
1810	"£	9,523"	"£	9,604"			Martin 1839 p 140-1								
1811	"£	8,643"	"£	8,981"			Martin 1839 p 140-1								
1812	"£	6,590"	"£	6,312"			Martin 1839 p 140-1								
1813	"£	5,438"	"£	5,548"			Martin 1839 p 140-1								
1814	"£	5,474"	"£	5,629"			Martin 1839 p 140-1								
1815	"£	12,944"	"£	12,527"			Martin 1839 p 140-1								
1816	"£	10,672"	"£	9,276"			Martin 1839 p 140-1								
1817	"£	8,168"	"£	8,838"			Martin 1839 p 140-1								
1818	"£	16,501"	"£	18,193"			Martin 1839 p 140-1								
1819	"£	15,967"	"£	16,896"			Martin 1839 p 140-1								
1820	"£	17,249"	"£	17,266"			Martin 1839 p 140-1								
1821	"£	12,306"	"£	12,027"			Martin 1839 p 140-1								
1822	"£	14,831"	"£	14,296"			Martin 1839 p 140-1								
1823	"£	19,294"	"£	21,012"			Martin 1839 p 140-1								
1824	"£	14,125"	"£	14,163"			Martin 1839 p 140-1								
1825	"£	17,594"	"£	17,634"			Martin 1839 p 140-1								
1826	"£	13,256"	"£	13,755"			Martin 1839 p 140-1								
1827	"£	17,416"	"£	17,562"			Martin 1839 p 140-1								
1828	"£	12,460"	"£	10,760"			Martin 1839 p 140-1								
1829	"£	11,057"	"£	11,150"			Martin 1839 p 140-1								
1830	"£	24,885"	"£	15,807"			Martin 1839 p 140-1		"BZD	74,658"	"BZD	66,391"			CP 1005 p 163		
1831	"£	13,943"	"£	13,721"			Martin 1839 p 140-1		"BZD	58,563"	"BZD	57,629"			CP 1005 p 163		
1832	"£	16,824"	"£	16,997"			Martin 1839 p 140-1		"BZD	70,251"	"BZD	84,990"			CP 1005 p 163		
1833	"£	15,157"	"£	16,802"			Martin 1839 p 140-1		"BZD	63,660"	"BZD	70,569"			CP 1005 p 163		
1834	"£	17,507"	"£	16,954"			CP 1847 869 p 103		"BZD	73,530"	"BZD	71,208"			CP 1005 p 163		
